prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang
"Q: ""Agora temos ratos de 4 meses de idade que não são diabéticos e que antes eram diabéticos,""complementou.
A:","""Agora temos ratos de 4 meses de idade que não são diabéticos e que antes eram diabéticos,""complementou.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Now we have rats that are 4 months old that are not diabetic and that are 4 months old that are not diabetic and that are 4 months old that are not diabetic and that are 4 months old that are not diabetic and that are 4 months old that are not diabetic and that are 4 months old that are not diabetic and that are 4 months old that are not diabetic and that are 4 months old that are not diabetic and that are 4 months old",1.232421700693397,20.47386716284574,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",1.232421700693397,20.47386716284574
"Q: O Médico Ehud Ur, um professor de medicina na Universidade de Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Canadian Diabetes Association disse que o estudo ainda está dando seus primeiros passos.
A:","O Médico Ehud Ur, um professor de medicina na Universidade de Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Canadian Diabetes Association disse que o estudo ainda está dando seus primeiros passos.","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","The study still has its first steps, and the Canadian Diabetes Association said that the study still has its first steps, and the Canadian Diabetes Association said that the study still has its first steps, and the Canadian Diabetes Association said that the study still has its first steps, and the Canadian Diabetes Association said that the study still has its first steps, and the Canadian Diabetes Association said that the study still has its first steps, and the Canadian Diabetes Association said that the study still has its first steps, and",4.37418668127209,24.18145792519018,eng_Latn," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",4.37418668127209,24.18145792519018
"Q: Assim como alguns outros especialistas, ele é cético sobre a cura do diabetes, observando que essas descobertas não têm relevância às pessoas que já têm diabetes tipo 1.
A:","Assim como alguns outros especialistas, ele é cético sobre a cura do diabetes, observando que essas descobertas não têm relevância às pessoas que já têm diabetes tipo 1.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Some experts, he is skeptical about the cure for diabetes, observing that these discoveries do not have any relevance to people who have diabetes, observing that these discoveries do not have any relevance to people who have diabetes, observing that these discoveries do not have any relevance to people who have diabetes, observing that these discoveries do not have any relevance to people who have diabetes, observing that these discoveries do not have any relevance to people who have diabetes, observing that these discoveries do not have any relevance to people who",8.275571211628,37.37300466633534,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",8.275571211628,37.37300466633534
"Q: Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Rádio Sveriges na Suécia que o comitê, incapaz de entrar em contato com Bob Dylan diretamente sobre a conquista do Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para contactá-lo.
A:","Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Rádio Sveriges na Suécia que o comitê, incapaz de entrar em contato com Bob Dylan diretamente sobre a conquista do Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para contactá-lo.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","The second-feira, Sara Danius, the secretary of the Nobel Prize, announced that the Nobel Prize, the second-feira, the secretary of the Nobel Prize, announced that the second-feira, the secretary of the Nobel Prize, the second-feira, the secretary of the Nobel Prize, the second-feira, the secretary of the Nobel Prize, the second-feira, the secretary of the Nobel Prize, the second-feira, the secretary of the Nobel Prize, the second-",7.178749606793507,24.966053046989664,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",7.178749606793507,24.966053046989664
"Q: Danius disse: ""Neste momento não estamos fazendo nada. Tenho ligado e enviado e-mails para o seu colaborador mais próximo e tenho recebido repostas muito amigáveis. Por enquanto, isso certamente é o suficiente.""
A:","Danius disse: ""Neste momento não estamos fazendo nada. Tenho ligado e enviado e-mails para o seu colaborador mais próximo e tenho recebido repostas muito amigáveis. Por enquanto, isso certamente é o suficiente.""","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",This is certainly enough. This is certainly enough. This is certainly enough. This is certainly enough. This is certainly enough. This is certainly enough. This is certainly enough. This is certainly enough. This is certainly enough. This is certainly enough. This is certainly enough. This is certainly enough. This is certainly enough. This is certainly enough. This is certainly enough. This is certainly enough. This is certainly enough. This is certainly enough. This is certainly enough. This is certainly enough,2.512462369370416,14.530378615185455,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",2.512462369370416,14.530378615185455
"Q: Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa surgiu quando sua campainha não podia ser ouvida de sua loja em sua garagem.
A:","Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa surgiu quando sua campainha não podia ser ouvida de sua loja em sua garagem.","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","The CEO of Ring, Jamie Siminoff, commented that the company was born when Ring, Jamie Siminoff, commented that the company was born when Ring, Jamie Siminoff, commented that the company was born when Ring, Jamie Siminoff, commented that the company was born when Ring, Jamie Siminoff, commented that the company was born when Ring, Jamie Siminoff, commented that the company was born when Ring, Jamie Siminoff, commented that the company was born when Ring, Jamie Siminoff",4.819448696785462,21.022815113696275,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",4.819448696785462,21.022815113696275
"Q: Ele montou uma campainha sem fio, disse.
A:","Ele montou uma campainha sem fio, disse.","He built a WiFi door bell, he said.","He put a wireless speaker, said.",10.729256185679601,21.903990615879067,eng_Latn," He built a WiFi door bell, he said.",10.729256185679601,21.903990615879067
"Q: Siminoff afirmou que as vendas aumentaram após sua aparição de 2013 em um episódio do Shark Tank, no qual os jurados do programa recusaram o financiamento da startup.
A:","Siminoff afirmou que as vendas aumentaram após sua aparição de 2013 em um episódio do Shark Tank, no qual os jurados do programa recusaram o financiamento da startup.",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Siminoff said that the sales increased after his appearance on Shark Tank, the show, the sales increased after his appearance on Shark Tank, the show, the sales increased after his appearance on Shark Tank, the show, the sales increased after his appearance on Shark Tank, the show, the sales increased after his appearance on Shark Tank, the show, the sales increased after his appearance on Shark Tank, the show, the sales increased after his appearance on Shark Tank, the show, the sales increased after",3.8720820466432047,26.578772716971148,eng_Latn, Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,3.8720820466432047,26.578772716971148
"Q: Siminoff foi exibido no canal de televisão de compras QVC, no final de 2017.
A:","Siminoff foi exibido no canal de televisão de compras QVC, no final de 2017.","In late 2017, Siminoff appeared on shopping television channel QVC.","Siminoff was shown on the QVC channel, the end of 2017, the QVC channel, the end of 2017, the end of 2017, the end of 2017, the end of 2017, the end of 2017, the end of 2017, the end of 2017, the end of 2017, the end of",3.4796566754948546,21.347648838970525,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",3.4796566754948546,21.347648838970525
"Q: A Ring ganhou também uma causa judicial contra a empresa de segurança concorrente, a ADT Corporation.
A:","A Ring ganhou também uma causa judicial contra a empresa de segurança concorrente, a ADT Corporation.","Ring also settled a lawsuit with competing security company, the ADT Corporation.","The Ring won also a lawsuit against the company, the ADT Corporation.",42.29247984636107,54.81446771731427,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",42.29247984636107,54.81446771731427
