prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",0.0,0.25329280648429586,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",100.00000000000004,100.0,25.0,25.0
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。,糖尿病学会の臨床および科学部門の会長であるダラス大学の医学教授エフド・ウルは、研究はまだ初期段階にあると警告した。,10.865644677881805,22.9255111172162,jpn_Jpan, ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。,10.865644677881805,22.9255111172162,4.78125,5.625
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。,他は糖尿病が治るということを否定する専門家の一人である。,0.638497185881479,7.039103332779242,jpn_Jpan, 他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。,0.638497185881479,7.039103332779242,19.25,19.5
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。,2016年ノーベル文学賞を受賞したボブ・ディランに直接連絡を取る努力を放棄した。,3.022742726801931,13.637460636139867,jpn_Jpan, スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。,3.022742726801931,13.637460636139867,17.25,20.125
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。,ダニウスは言った。「今は何もしていない。彼の最も近い協力者と連絡を取り合い、とてもフレンドリーな返信を得た。今は十分だ。」,19.47640994569606,21.658199144657768,jpn_Jpan, ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。,19.47640994569606,21.658199144657768,4.90625,4.5625
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。,以前、リングのCEOであるジェイミー・シモフ氏は、彼のショップからドアベルが聞こえないと述べた。,13.680232537476789,20.544584784614006,jpn_Jpan, RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。,13.680232537476789,20.544584784614006,9.0,9.6875
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.",彼はWi-Fiで鳴るドアベルを作ったそうです。,彼らはWiFiドアベルを建てたと言いました。,8.639795714750207,17.682671412551127,jpn_Jpan, 彼はWi-Fiで鳴るドアベルを作ったそうです。,8.639795714750207,17.682671412551127,5.75,6.40625
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。,2013年、シマンフは、投資家が起業家を支援する番組で、2013年に起業家が投資家を支援する番組で、シマンフは、投資家が起業家を支援する番組で、シマンフは、投資家が起業家を支援する番組で、シマンフは、投資家が起業家を支援する番組で、シマンフは、投資家が,2.1518594565679843,7.739025720006001,jpn_Jpan, シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。,2.1518594565679843,7.739025720006001,25.0,25.0
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.",2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。,2017年末、シミニフはショッピングテレビチャンネルQVCに出演した。,6.972648853058603,28.070441602276887,jpn_Jpan, 2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。,6.972648853058603,28.070441602276887,2.359375,3.421875
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.",Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。,ベルは競合するセキュリティ会社、ADT社との訴訟を解決した。,13.32358437599213,28.809586183426187,jpn_Jpan, Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。,13.32358437599213,28.809586183426187,6.28125,6.6875
