prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.","""Nous avons maintenant des souris âgées de 4 mois qui ne sont plus diabétiques, car elles sont âgées de 4 mois.",16.85298412186053,46.18674699933129,fra_Latn," « Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.",16.85298412186053,46.18674699933129,11.625,10.8125
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.","Le professeur Ehud Ur, professeur de médecine à l'Université Dalhousie, au Canada, a prévenu que les recherches sont encore à ses débuts.",28.314798473161517,43.09231315670326,fra_Latn," Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.",28.314798473161517,43.09231315670326,6.34375,5.34375
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.","Comme certains experts, il est sceptique quant à savoir si le diabète peut être guéri, car il est sceptique quant à savoir si le diabète peut être guéri, car il est sceptique quant à savoir si le diabète peut être guéri, car il est sceptique quant à savoir si le diabète peut être guéri, car il est sceptique quant à savoir si le diabète peut être guéri, car il est sceptique quant à savoir si le diabète",7.164323356420914,27.722556393735864,fra_Latn," À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.",7.164323356420914,27.722556393735864,25.0,25.0
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.","Le lundi, la secrétaire permanente de la commission des Nations Unies a annoncé que, le lundi, la secrétaire permanente de la commission des Nations Unies a annoncé que, le lundi, la secrétaire permanente de la commission des Nations Unies a annoncé que, le lundi, la secrétaire permanente de la commission des Nations Unies a annoncé que, le lundi, la secrétaire permanente de la commission des Nations Unies a annoncé que, le lundi, la secrétaire permanente de la commission des Nations Unies a annoncé",3.658664279769938,24.611024120960277,fra_Latn," Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.",3.658664279769938,24.611024120960277,25.0,25.0
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »","Danius a déclaré que nous ne faisons rien pour le moment. Nous avons appelé et envoyé des courriels à son collègue le plus proche et nous avons reçu des réponses très amicales. Pour le moment, nous ne faisons rien. Nous avons appelé et envoyé des courriels à son collègue le plus proche et nous avons reçu des réponses très amicales. Pour le moment, nous ne faisons rien. Nous avons appelé et envoyé des courriels à son collè",25.135496305557613,53.71407825577249,fra_Latn," Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »",25.135496305557613,53.71407825577249,25.0,25.0
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.","L'ancien CEO de l'entreprise a noté que l'entreprise a commencé lorsque le son de la porte d'entrée n'était pas audible depuis le magasin, l'ancien CEO de l'entreprise a noté que l'entreprise a commencé lorsque le son de la porte d'entrée n'était pas audible depuis le magasin.",18.00007254073085,41.64241515857239,fra_Latn," Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.",18.00007254073085,41.64241515857239,23.0,23.0
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.",Il dit avoir conçu une sonnette de porte Wi-Fi.,"Il a construit un interphone WiFi, il a dit.",3.7644257151903666,18.4972661210584,fra_Latn, Il dit avoir conçu une sonnette de porte Wi-Fi.,3.7644257151903666,18.4972661210584,3.328125,4.34375
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,Siminoff a déclaré que les ventes ont augmenté après que l'on a dit que les ventes ont augmenté après que l'on a dit que les ventes ont augmenté après que l'on a dit que les ventes ont augmenté après que l'on a dit que les ventes ont augmenté après que l'on a dit que les ventes ont augmenté après que l'on a dit que les ventes ont augmenté après que l'on a dit que les ventes ont augmenté après que l'on a dit,10.872920459693933,29.791780714196264,fra_Latn, M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,10.872920459693933,29.791780714196264,23.625,23.125
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.","En fin de 2017, Siminoff a fait l'objet d'une apparition sur la chaîne de télévision QVC, en fin de 2017, Siminoff a fait l'objet d'une apparition sur la chaîne de télévision QVC.",15.075118319849468,45.788371120276224,fra_Latn," Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.",15.075118319849468,45.788371120276224,17.75,17.5
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.","Le tour a également réglé une action en justice avec une société de sécurité concurrent, l'ADT Corporation.",38.79205026254884,63.66586627649657,fra_Latn," Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.",38.79205026254884,63.66586627649657,7.6875,7.59375
