prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.
A:","""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Now we have four-month-old puppies, there are four-month-old puppies, there are four-month-old puppies, there are four-month-old puppies, there are four-month-old puppies, there are four-month-old puppies, there are four-month-old puppies, there are four-month-old puppies, there are four-month-old puppies, there are four-month-old puppies, there are four-month-old puppies",2.2497283848238308,12.96869787260949,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",2.2497283848238308,12.96869787260949,21.75,23.375
"Q: Согласно предупреждению доктора Эхуда Ура (Ehud Ur), профессора медицины в Университете Дэлхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.
A:","Согласно предупреждению доктора Эхуда Ура (Ehud Ur), профессора медицины в Университете Дэлхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","According to the warning, the research still stands on the verge of being completed, the research is still on the verge of being completed, the research is still on the verge of being completed, the research is still on the verge of being completed, the research is still on the verge of being completed, the research is still on the verge of being completed, the research is still on the verge of being completed, the research is still on the verge of being completed, the research is still on the verge",2.8938614384850396,19.108664649704313,eng_Latn," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",2.8938614384850396,19.108664649704313,15.375,19.125
"Q: Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.
A:","Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","The expert believes that the disease is incurable, but the disease is not incurable, but the disease is not incurable, but the disease is not incurable, but the disease is not incurable, but the disease is not incurable, but the disease is not incurable, but the disease is not incurable, but the disease is not incurable, but the disease is not incurable, but the disease is not incurable, but the disease is not incurable, but the disease is not incurable, but the disease is not incurable,",0.46582492008030474,14.278279204268717,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",0.46582492008030474,14.278279204268717,23.0,25.0
"Q: В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской Академии, публично заявила во время передачи на шведской радиостанции Sveriges о том, что комитет, которому не удалось связаться с Бобом Диланом напрямую и сообщить ему, что он выиграл Нобелевскую премию по литературе за 2016 год, прекращает попытки выйти с ним на связь.
A:","В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской Академии, публично заявила во время передачи на шведской радиостанции Sveriges о том, что комитет, которому не удалось связаться с Бобом Диланом напрямую и сообщить ему, что он выиграл Нобелевскую премию по литературе за 2016 год, прекращает попытки выйти с ним на связь.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","The Nobel Prize Committee announced that the committee has decided to stop trying to reach out to the committee, the committee has decided to stop trying to reach out to the committee, the committee has decided to stop trying to reach out to the committee, the committee has decided to stop trying to reach out to the committee, the committee has decided to stop trying to reach out to the committee, the committee has decided to stop trying to reach out to the committee, the committee has decided to stop trying to reach out",2.6296314021834246,23.622806656879387,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",2.6296314021834246,23.622806656879387,23.125,23.375
"Q: Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".
A:","Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","""I've been told that this, at this point, this, at this point, this, at this point, this, at this point, this, at this point, this, at this point, this, at this point, this, at this point, this, at this point, this, at this point, this, at this point, this, at this point, this, at this point, this, at this point, this, at this point, this, at",0.5076469172229491,9.02637239914825,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",0.5076469172229491,9.02637239914825,21.375,25.0
"Q: Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.
A:","Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Ring CEO James Simons noted that this company was founded by James Simons, the CEO of Ring, he said that this company was founded by James Simons, the CEO of Ring, he said that this company was founded by James Simons, the CEO of Ring, he said that this company was founded by James Simons, the CEO of Ring, he said that this company was founded by James Simons, the CEO of Ring, he said that this company was founded by James Simons, the CEO of Ring, he",0.5333035452118836,14.319565723428585,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",0.5333035452118836,14.319565723428585,24.625,24.25
"Q: Он сказал, что создал дверной звонок, работающий от WiFi.
A:","Он сказал, что создал дверной звонок, работающий от WiFi.","He built a WiFi door bell, he said.","He said that he created a door buzzer, and the door buzzer was working.",3.1142484770067234,24.58265909017283,eng_Latn," He built a WiFi door bell, he said.",3.1142484770067234,24.58265909017283,10.5,9.9375
"Q: Симинофф сказал, что продажи выросли после его появления в выпуске шоу ""Shark Tank"" в 2013 году, где члены жюри отказались финансировать его стартап.
A:","Симинофф сказал, что продажи выросли после его появления в выпуске шоу ""Shark Tank"" в 2013 году, где члены жюри отказались финансировать его стартап.",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Shark Tank founder said that sales increased after his appearance on ""Shark Tank"" in 2013, the show was canceled.",8.395022860665065,37.215967482029235,eng_Latn, Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,8.395022860665065,37.215967482029235,15.6875,15.0625
"Q: В конце 2017 года Симинофф появился на торговом телеканале QVC.
A:",В конце 2017 года Симинофф появился на торговом телеканале QVC.,"In late 2017, Siminoff appeared on shopping television channel QVC.","In the end of 2017, the QVC brand was launched.",7.20914034876181,19.09989310697258,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",7.20914034876181,19.09989310697258,14.3125,13.5
"Q: Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.
A:","Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring also resolved the case, ADT Corporation, Ring also resolved the case, ADT Corporation, Ring also resolved the case, ADT Corporation, Ring also resolved the case, ADT Corporation, Ring also resolved the case, ADT Corporation, Ring also resolved the case, ADT Corporation, Ring also resolved the case, ADT Corporation, Ring also resolved the case, ADT Corporation, Ring also resolved the case, ADT Corporation, Ring also resolved the case, ADT Corporation,",1.659169080073896,18.00384569468977,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",1.659169080073896,18.00384569468977,10.0625,12.375
