prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.","""Nous avons maintenant des souris non diabétiques qui ont utilisé à l'époque de la récidive à la récidive diabétique qui étaient diabétiques, et qui ont utilisé à l'époque de la récidive à la récidive diabétique qui ont utilisé à l'époque de la récidive à la récidive diabétique qui ont utilisé à l'époque de la récidive à la récidive diabétique qui ont utilisé à l'époque de la",2.926021530513314,26.315352639357066,fra_Latn," « Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.",2.926021530513314,26.315352639357066,23.625,22.75
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.","Dr. Ehud Ur, professeur de médecine de médecine de Dalhousie en Halifax, Nova Scotia et président de la division clinique et scientifique de l'Association canadienne de la diabète de diabète de diabète de diabète de diabète de diabète de diabète de diabète de diabète de diabète de diabète de diabète de diabète de diabète de diabète de diabète de diabète de diabète de diabète de diabète de diabète de diab",23.298766888797335,49.83988714062053,fra_Latn," Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.",23.298766888797335,49.83988714062053,19.125,19.5
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.","Le Dr. Jean-François est scepté sur la cure de diabète, en raison de ces résultats, qui n'ont aucune importance pour les personnes déjà en diabète de Type 1. Ces résultats n'ont aucune importance pour les personnes déjà en diabète de Type 1.",12.113610558464948,32.89375905399752,fra_Latn," À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.",12.113610558464948,32.89375905399752,20.125,20.5
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.","Le lundi, Sara Danius, secrétaire d'État de la Nobel du Livre à la Commission de la littérature de l'Académie de la Suède, a annoncé lors d'une radio publique sur la chaîne de télévision de la Suède, le comité Nobel pour la littérature, incapable de parvenir à Bob Dylan directement, a abandonné ses efforts pour parvenir à lui.",28.790920814693347,50.24976642929093,fra_Latn," Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.",28.790920814693347,50.24976642929093,8.0625,8.625
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »","Danius a déclaré, ""C'est maintenant que nous sommes en tant que rien. Je vais vous envoyer des emails à son plus proche collaborateur et je vous recevais très chaleureusement. Pour le moment, cela n'a pas de conséquence. Pour le moment, cela n'a pas de conséquence.",16.94535016793429,43.79675144745992,fra_Latn," Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »",16.94535016793429,43.79675144745992,22.0,22.5
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.","Ring a CEO, Jamie Siminoff, a propriétaire de la société, a déclaré que la société a commencé lorsque son propriétaire, Jamie Siminoff, a noté que la boîte de mail n'était pas audible de son garage dans sa garage de garage de garage de garage de garage de garage de garage de garage de garage de garage de garage de garage de garage de garage de garage de garage de garage de garage de garage de garage de garage de garage de garage de garage de garage de garage de garage",11.11443475399727,33.507406256420595,kin_Latn," Mbere y’aho, Umuyobozi mukuru wa Ring, Jamie Siminoff, yavuze ko isosiyete yatangiye igihe inzogera ye y’umuryango itumvikanaga mu iduka rye riri mu igarage rye.",4.436926546510435,16.418970464630544,18.5,18.75
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.",Il dit avoir conçu une sonnette de porte Wi-Fi.,"Le bâtiment a construit un appel de WiFi, il dit.",3.737437943747671,18.153827269737977,fra_Latn, Il dit avoir conçu une sonnette de porte Wi-Fi.,3.737437943747671,18.153827269737977,20.5,21.5
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,Le Sinsinon a déclaré avoir vendu ses ventes après son apparition dans une épisode de la chaîne de la Shark Tank où le panel de la chaîne refusent de financer le startup. Le Sinsinon a vendu ses ventes après son apparition dans une épisode de la chaîne de la Shark Tank où le panel refusent de financer le startup. Le Sinsinon a vendu ses ventes après son apparition dans une épisode de la chaîne de la Shark Tank où le panel refusent de financ,12.212045905088297,42.60766514828712,fra_Latn, M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,12.212045905088297,42.60766514828712,24.25,25.0
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.",Siminoff apparaît sur la chaîne de télévision QVC.,35.36496760320457,50.59909307151623,fra_Latn," Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.",35.36496760320457,50.59909307151623,8.5625,6.15625
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.","Ring a la société d'assurance, la société ADT Corporation.",8.968990391079044,27.02825333229702,fra_Latn," Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.",8.968990391079044,27.02825333229702,23.125,23.0
