prompt,query,reference,generation_ablation,bleu_ablation,chrf_ablation,ablation_lang,reference_lang,bleu_ablation_lang,chrf_ablation_lang
"Translate the following sentence from English to Arabic:
Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.","""We now have 4-month-old mice that are non-diabetic,"" he said.",0.8572303659974251,1.4861112101356797,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",67.69664199222687,66.10658490064436
"Translate the following sentence from English to Arabic:
Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",نبه الدكتور إيهود أور -أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية في الجمعية الكندية للسكري- إلى أن البحث لا يزال في أيامه الأولى.,"The sentence is: ""Dr. Ehud Ur is a professor of medicine at Dalhousie University in Nova Scotia. He is the chair of the Canadian Diabetes Association.""",0.4934717594082215,0.48617524272012563,eng_Latn," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",33.61936382157947,51.57280020916127
"Translate the following sentence from English to Arabic:
Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.,"The sentence is: ""He is skeptical about the possibility of curing diabetes, but he is not a pessimist.""",0.6198148136022537,0.1059322033898305,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",8.51865873262766,24.010716840390977
"Translate the following sentence from English to Arabic:
Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",في يوم الإثنين ، أعلنت سارة دانيوس -السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية- على الملأ خلال برنامج إذاعي على راديو السويد في السويد، أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها للوصول إليه.,"Sara Danius, the Swedish Academy’s president, announced that the Nobel Prize for Literature 2016 was awarded to Bob Dylan. She said, “I am very pleased to announce that the Nobel Prize for Literature 2016 is awarded to Bob Dylan. I am very pleased to announce that he is the winner of the Nobel Prize for Literature 2016. I am very pleased to announce that he is the winner of the Nobel Prize for Literature 2016. I am very pleased to announce that",0.32890466431311793,0.9389669919825636,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",7.757764629125602,35.374760666563695
"Translate the following sentence from English to Arabic:
Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","قال دانيوس ""لن نقوم الآن بفعل أي شيء. لقد قمت بالاتصال وإرسال رسائل بريد إلكتروني إلى أقرب المتعاونين معه وحصلت على ردود لطيفة جداً. هذا يكفي في الوقت الحالي بالطبع"".","""Danius said, ""Right now we are doing nothing. I have called and sent emails to my closest collaborator. I have not heard back from him. I have not heard from him at all. I have not heard from him at all. I have not heard from him at all. I have not called him. I have not called him. I have not called him. I have not called him. I have not called him. I have not called him. I have not called",0.4584538536165193,1.4353793611246648,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",20.98867099257956,48.35952349287554
"Translate the following sentence from English to Arabic:
Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن جرس بابه مسموعاً من متجره في مرآب منزله.,"The sentence is: ""The sentence is: ""The following sentence is: ""The following sentence is: ""The following sentence is: ""The following sentence is: ""The answer is: ""The correct answer is: ""The correct answer is the only correct answer.""",0.6609918289641935,0.7147296892182177,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",0.7860561859628806,10.751089229309962
"Translate the following sentence from English to Arabic:
Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.",قال إنه صنع جرس باب يعمل بتقنية واي فاي.,He built a doorbell.,2.139538333930869,1.8200441222817518,eng_Latn," He built a WiFi door bell, he said.",17.625328548379716,43.98742332100753
"Translate the following sentence from English to Arabic:
Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,قال سيمينوف إن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.,"The sentence is: ""Siminoff said that he was rejected from the show, and that he was rejected from the show, and that he was rejected from the show, and that he was rejected from the show, and that he was rejected from the show, and that he was rejected from the show, and that he was rejected from the show, and that he was rejected from the show, and that he was rejected from the show, and that he was rejected from the show, and that",0.0,0.0,eng_Latn, Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,1.7154917445480387,16.822406898241805
"Translate the following sentence from English to Arabic:
Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","في أواخر عام 2017، ظهر ""سيمينوف"" على قناة التسوق التلفزيونية كيو في سي.","In the United States, QVC is a popular shopping channel. It is a cable television service, and it is available in 100 million households. Simoff is a popular name in the United States, and she is a popular television personality. She is a well-known television personality in the United States. She is a popular television show in the United States. She is a popular television show in the United States. She is a popular television show in the United States. She is a popular television show",0.3449506591186915,0.6924657882812869,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",0.9756678009503839,19.28467106622252
"Translate the following sentence from English to Arabic:
Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.",كما قامت رينج بتسوية دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,"The sentence is: ""The plaintiff, the defendant, and the defendant's attorney, the defendant's attorney, and the defendant's attorney, and the defendant's attorney, the defendant's attorney, the plaintiff's attorney, the defendant's attorney, the defendant's attorney, the defendant's attorney, the defendant's attorney, the defendant's attorney, the defendant's attorney, the defendant's attorney, the defendant's attorney, the defendant's attorney, the defendant's attorney, the defendant's attorney, the",0.0,0.09412650602409639,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",0.4147343017181691,7.948167492199095
"Translate the following sentence from English to Arabic:
Q: While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.
A:","While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",بينما يبدو أن هناك لقاحاً واحداً تجريبياً قادراً على الحد من وفيات الإيبولا، حتى الآن، لم يتم إثبات أي عقاقير مناسبة لعلاج العدوى الموجودة.,"The sentence is: “While one experimental vaccine appears able to reduce Ebola mortality, the vaccine is still in clinical trials.”",0.6509241589234072,0.10869565217391304,eng_Latn," While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",37.03725358233026,47.16014221452302
"Translate the following sentence from English to Arabic:
Q: One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.
A:","One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",كان كوكتيل واحد من الأجسام المضادة، وهو ZMapp، واعداً في البداية في هذا المجال، ولكن الدراسات الرسمية أشارت إلى أن الفائدة المترتبة على هذا الكوكتيل كانت أقل من الفوائد التي تم السعي إليها في منع الموت.,"The sentence is: ""The study was a phase 3 trial, and the results were published in the New England Journal of Medicine. The results were negative, and the study was rejected by the New York journal, and the results of the study, ""The New York Times"" (the title of the journal) is the name of the study, ""The New York Times"" is the name of the journal, ""The New York Times"", the name of the journal. The sentence is: """,0.35896057761679323,0.6288168545526147,eng_Latn," One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",0.9448373757517554,16.030885582172125
"Translate the following sentence from English to Arabic:
Q: In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.
A:","In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",في تجربة PALM، استُخدم عقار ZMapp كمعيار مراقبة، بمعنى أن العلماء وضعوه كأساس وقارنوا العلاجات الثلاثة الأخرى به.,"In the PALM trial, ZMapp served as a control, meaning that the scientists used ZMapp as a control.",3.6803213590033788,4.838319824511063,eng_Latn," In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",49.08299519287512,58.18787995218438
"Translate the following sentence from English to Arabic:
Q: USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.
A:",USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,تدعم الولايات المتحدة للجمباز رسالة اللجنة الأولمبية الأمريكية وتقبل الحاجة المطلقة للأسرة الأولمبية لتعزيز بيئةٍ آمنةٍ لجميعِ الرياضيين لدينا.,The United States Olympic Committee (USOC) is the national governing body of the Olympic movement. The USOC is the organization that represents the Olympic movement. The USOC is the organization that represents the Olympic movement. The USOC is the organization that represents the Olympic movement. The USOC is the organization that represents the Olympic movement. The USOC is the organization that represents the Olympic movement. The USOC is the organization that represents the Olympic movement. The USOC is the organization that represents the,0.3319933098523721,0.4306631755146987,eng_Latn, USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,3.2862238283641028,25.546100686950147
"Translate the following sentence from English to Arabic:
Q: We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.
A:","We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.",نتفق مع بيان اللجنة الأولمبية الأمريكية بأن مصالح الرياضيين والأندية، ورياضتهم، يمكن أن تُخدم بشكل أفضل من خلال المضي قدماً في تغيير ذي مغزى داخل مؤسستنا، بدلاً من سحب التراخيص.,We agree with the USOC's statement that the USOC's position is not a position on the USOC's position.,0.34371347961615345,0.5295699789516255,eng_Latn," We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.",20.243303276144715,26.83083147855676
"Translate the following sentence from English to Arabic:
Q: USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.
A:",USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,تدعم الولايات المتحدة للجمباز تحقيقًا مستقلًا قد يسلط الضوء على أن وصف الإساءة النسبية بشجاعةٍ من قبل الناجين من لاري نصار قد كان من الممكن ألا يتم اكتشافه لفترة طويلة بدون احتضان أية تغييرات ضرورية ومناسبة.,"The sentence is: “The statement is a quote from the statement of the victim, which is the basis of the lawsuit, and the statement is the basis of the lawsuit itself. The statement is the basis of the lawsuit. The statement is the basis of the lawsuit. The statement is the basis of the lawsuit. The statement is the court’s decision. The court’s decision is the verdict. The court’s decision is the judgment. The court’s decision is the verdict. The court’s words are",0.3171041852110737,0.3166925678592857,eng_Latn, USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,0.8346651551095363,16.04175500678588
"Translate the following sentence from English to Arabic:
Q: USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.
A:","USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.",لدى الولايات المتحدة الأمريكية للجمباز و اللجنة الأولمبية الأمريكية نفس الهدف — وهو جعل رياضة الجمباز وغيرها، آمنةً قدر الإمكان للرياضيين لتحقيق أحلامهم في بيئة آمنة وإيجابية وقوية.,The sentence is: “The United States Olympic Committee (USOC) and USA Gymnastics are the same.”,0.39175040229151875,0.08979885057471264,eng_Latn," USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.",5.284670459916173,17.299778006321205
