prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang
"Q: 「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。
A:",「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""We have a 4-month-old mouse that we have been raising, which is a mouse that we have been raising, which is a 4-month-old mouse that we have been raising, which is a 4-month-old mouse that we have been raising, which is a 4-month-old mouse that we have been raising, which is a 4-month-old mouse that we have been raising, which is a 4-month old mouse that we have been raising, which is a 4",3.9781774000980783,18.96992025459862,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",3.9781774000980783,18.96992025459862
"Q: ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。
A:",ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",Dr. Edw Dr. Edw Dr. Edw Dr. Edw Dr. Edw Dr. Edw Dr. Edw Dr. Edw Dr. Edw Dr. Edw Dr. Edw Dr. Edw Dr. Edw Dr. Edw Dr. Edw Dr. Edw Dr. Edw Dr. Edw Dr. Edw Dr. Edw Dr. Edw Dr. Edw Dr. Edw Dr. Edw Dr. Edw,0.794510362267378,3.153454065644442,cym_Latn," Fe wnaeth Dr Ehud Ur, athro meddygaeth ym Mhrifysgol Dalhousie yn Halifax, Nova Scotia, a chadeirydd adran glinigol Cymdeithas Clefyd Siwgr Canada rybuddio bod yr ymchwil yn dal yn ei ddyddiau cynnar.",0.4724186878758777,3.429156672288171
"Q: 他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。
A:",他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Other experts, like others, he is skeptical about whether he is already diagnosed with type 1 diabetes, and the results of the experts, like others, he is already diagnosed with type 1 diabetes, and the results of the experts, like others, he is already diagnosed with type 1 diabetes, and the results of the experts, like others, he is already diagnosed with type 1 diabetes, and the results of the experts, like others, he is already diagnosed with type 1 diabetes",6.914588564035726,33.4223113939974,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",6.914588564035726,33.4223113939974
"Q: スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。
A:",スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","The Swedish Academy's Nobel Prize in Literature, which was awarded to Bob Dylan, who won the Nobel Prize in Literature, which was awarded to Bob Dylan, who won the Nobel Prize in Literature, which was awarded to Bob Dylan, who won the Nobel Prize in Literature, which was awarded to Bob Dylan, who won the Nobel Prize in Literature, which was awarded to Bob Dylan, who won the Nobel Prize in Literature, which was awarded to Bob Dylan, who won the Nobel Prize in Literature, which",6.962919308807763,28.42845101867398,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",6.962919308807763,28.42845101867398
"Q: ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。
A:",ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",Dania said that he said that he said that he said that he said that he said that he said that he said that he said that he said that he said that he said that he said that he said that he said that he said that he said that he said that he said that he said that he said that he said that he said that he said that he said that he said that he said that he said that he said that he said that he said that he said that he said that,0.426878472907377,7.192663245965098,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",0.426878472907377,7.192663245965098
"Q: RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。
A:",RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","The CEO of the Ring, Jaymi Smito, previously, the CEO of the Ring, the CEO of the Ring, the CEO of the Ring, the CEO of the Ring, the CEO of the Ring, the CEO of the Ring, the CEO of the Ring, the CEO of the Ring, the CEO of the Ring, the CEO of the Ring, the CEO of the Ring, the CEO of the Ring, the CEO of the Ring, the CEO of the Ring, the CEO",0.981959920620957,12.75824068752502,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",0.981959920620957,12.75824068752502
"Q: 彼はWi-Fiで鳴るドアベルを作ったそうです。
A:",彼はWi-Fiで鳴るドアベルを作ったそうです。,"He built a WiFi door bell, he said.","He made a doorbell that rings with Wi-Fi, he made a doorbell that rings with Wi-Fi, he made a doorbell that rings with Wi-Fi, he made a doorbell that rings with Wi-Fi, he made a doorbell that rings with Wi-Fi, he made a doorbell that rings with Wi-Fi, he made a doorbell that rings with Wi-Fi, he made a doorbell that rings with Wi-Fi, he made a doorbell that rings with Wi-Fi, he",0.7632451963948046,11.394849185867015,eng_Latn," He built a WiFi door bell, he said.",0.7632451963948046,11.394849185867015
"Q: シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。
A:",シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Shashin no shashin no shashin no shashin no shashin no shashin no shashin no shashin no shashin no shashin no shashin no shashin no shashin no shashin no shashin no shashin no shashin no shashin no shashin no shashin no shashin no shashin no shashin no shashin no shashin no,0.0,5.526275193053707,hau_Latn, Siminoff ya ce tallace-tallace sun bunkasa bayan bayyanarsa a 2013 a cikin wani taron fim na Shark Tank inda taron kwamitin ya nuna ba da tallafin farawa.,0.0,5.857806843495813
"Q: 2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。
A:",2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。,"In late 2017, Siminoff appeared on shopping television channel QVC.","In the second half of 2017, Shinof was on television shopping in QVC, in the second half of 2017, Shinof was on television shopping in QVC, in the second half of 2017, Shinof was on television shopping in QVC, in the second half of 2017, Shinof was on television shopping in QVC, in the second half of 2017, Sh",1.3607016614799177,24.617855705237265,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",1.3607016614799177,24.617855705237265
"Q: Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。
A:",Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","The Ring is also, the Ring is also, the Ring is also, the Ring is also, the Ring is also, the Ring is also, the Ring is also, the Ring is also, the Ring is also, the Ring is also, the Ring is also, the Ring is also, the Ring is also, the Ring is also, the Ring is also, the Ring is also, the Ring is also, the Ring is also, the Ring is also, the Ring is also,",0.853756945814754,10.117854932136769,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",0.853756945814754,10.117854932136769
