prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang
"Q: أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.
A:","أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","We now have four elderly dogs who are suffering from diabetes, we are now suffering from diabetes, we are now suffering, we are suffering, we are suffering, we now suffering, we now suffering, we now suffering, we now suffering, we now suffering, we now suffering, we now now suffering, we now now suffering, we now now suffering, we now now now, we now now now, we now now now, we now now now, we now now now, we now now now",0.8451753849055373,14.44277345274984,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",0.8451753849055373,14.44277345274984
"Q: نبه الدكتور إيهود أور -أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية في الجمعية الكندية للسكري- إلى أن البحث لا يزال في أيامه الأولى.
A:",نبه الدكتور إيهود أور -أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية في الجمعية الكندية للسكري- إلى أن البحث لا يزال في أيامه الأولى.,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",The research still remains in the time of the time of the time of the time of the time of the time of the time of the time of the time of the time of the time of the time of the time of the time of the time of the time of the time of the time of the time of the time of the time of the time of the time of the time of the time of the time of the time of the time of the time of the time of the time of the time,1.2434759166931149,13.05368392423125,eng_Latn," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",1.2434759166931149,13.05368392423125
"Q: مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.
A:",مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","He is not having diabetes, and there is no such a person, he is not having diabetes, he is not having such a person, he is not having such a person, he is not having such a person, he is not having such such he is not having such he is such he is such he is such he is he is such he is he is such he is he is such he is he is he is he is he is he is he is he is he is he is he",1.707513891629508,20.100353108116014,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",1.707513891629508,20.100353108116014
"Q: في يوم الإثنين ، أعلنت سارة دانيوس -السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية- على الملأ خلال برنامج إذاعي على راديو السويد في السويد، أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها للوصول إليه.
A:",في يوم الإثنين ، أعلنت سارة دانيوس -السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية- على الملأ خلال برنامج إذاعي على راديو السويد في السويد، أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها للوصول إليه.,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",The Nobel Prize Committee has withdrawn our efforts to reach out to we have withdrawn our efforts to reach out to we have withdrawn our efforts to reach out to we have withdrawn our efforts to reach out to we have withdrawn our efforts to reach out to we have withdrawn our efforts to reach out to we have withdrawn our efforts to reach out to we have our efforts to reach out to we have our efforts to reach out to we have our efforts to reach out to we have our efforts to our efforts to we have,1.777865578551916,18.481577664152567,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",1.777865578551916,18.481577664152567
"Q: قال دانيوس ""لن نقوم الآن بفعل أي شيء. لقد قمت بالاتصال وإرسال رسائل بريد إلكتروني إلى أقرب المتعاونين معه وحصلت على ردود لطيفة جداً. هذا يكفي في الوقت الحالي بالطبع"".
A:","قال دانيوس ""لن نقوم الآن بفعل أي شيء. لقد قمت بالاتصال وإرسال رسائل بريد إلكتروني إلى أقرب المتعاونين معه وحصلت على ردود لطيفة جداً. هذا يكفي في الوقت الحالي بالطبع"".","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",I contacted I was able to it is enough at at time at it is at at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it at it,0.5025442905774142,8.125000200695345,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",0.5025442905774142,8.125000200695345
"Q: في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن جرس بابه مسموعاً من متجره في مرآب منزله.
A:",في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن جرس بابه مسموعاً من متجره في مرآب منزله.,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","In former Jimmy Ring, when he was not audible to his home, he was heard, he was heard, he was heard, he was heard, he was heard, he was heard, he was heard, he was heard, he was heard, he was heard, he was heard, he was heard, he was heard, he was heard, he was heard, he was heard, he was heard, he was heard, he was heard, he was heard, he was heard, he was",1.0050885811548285,13.687161943955179,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",1.0050885811548285,13.687161943955179
"Q: قال إنه صنع جرس باب يعمل بتقنية واي فاي.
A:",قال إنه صنع جرس باب يعمل بتقنية واي فاي.,"He built a WiFi door bell, he said.",He made a bell that he made a technique that he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made he made,0.5076469172229491,5.4098276243980825,eng_Latn," He built a WiFi door bell, he said.",0.5076469172229491,5.4098276243980825
"Q: قال سيمينوف إن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.
A:",قال سيمينوف إن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,He declined to accept the Board of the Company refused to accept the Board of the Company refused to accept the Board of the Board of the Board of the Board of the Board of the Board of the Board of the Board of the Board of the Board of the Board of the Board of the Board of the Board of the Board of the Board of the Board of the Board of the Board of the Board of the Board of the Board of the Board of the Board of the Board of the Board of the Board,1.4589636570279447,10.583456100993248,eng_Latn, Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,1.4589636570279447,10.583456100993248
"Q: في أواخر عام 2017، ظهر ""سيمينوف"" على قناة التسوق التلفزيونية كيو في سي.
A:","في أواخر عام 2017، ظهر ""سيمينوف"" على قناة التسوق التلفزيونية كيو في سي.","In late 2017, Siminoff appeared on shopping television channel QVC.","In late 2017, ""Seminally in TV, it was seen in late 2017, it was seen in late 2017, it was seen in late 2017, it was seen in late 201201, it was seen in late 201201, it was seen in late 201201, it was seen in late 201201, it was seen in late 201201, it was seen in late 201201, it was seen in late",1.655602748525008,15.052780644185926,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",1.655602748525008,15.052780644185926
"Q: كما قامت رينج بتسوية دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.
A:",كما قامت رينج بتسوية دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","She has sued to sue to the company, she has sued to the company, she has sued to the company, she has sued to the company, she has sued to the company, she has sued to the company, she has sued to the company, she has sued to the company, she has sued to the company, she has sued to the company, she has sued to the company, she has sued to the company, she has sued to the company, she has sued to the company,",0.6956275006086693,10.814702335422139,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",0.6956275006086693,10.814702335422139
