prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",他补充道：“我们现在有 4 个月大没有糖尿病的老鼠，但它们曾经得过该病。”,4个月-龄的鼠是糖尿病，但以前是糖尿病的，现在，它使用了。,4.725808920491989,11.200171772048453,zho_Hans, 他补充道：“我们现在有 4 个月大没有糖尿病的老鼠，但它们曾经得过该病。”,4.725808920491989,11.200171772048453
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",埃胡德·乌尔博士（新斯科舍省哈利法克斯市达尔豪西大学医学教授，加拿大糖尿病协会临床与科学部门教授）提醒，这项研究仍处在早期阶段。,2014年，在加拿大，糖尿病研究人员，教授的，和 2014年，在加拿大，糖尿病研究人员，教授的，和 2014年，在加拿大，糖尿病研究人员，教授的，和 2014年，在加拿大，糖尿病研究人员，教授的，和 2014年，在加拿大，糖尿病研究人员，教授的，和 2014年，在加拿大,2.0800368120886756,4.6530728826451195,yue_Hant, 位於新斯科舍省哈利法克斯的達爾豪西大學醫學教授、加拿大糖尿病協會臨床與科學部門主席埃胡德·烏爾醫生警告，這項研究仍處於早期階段。,1.9671773614505805,3.910449479839284
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。,医生认为，如果糖尿病，可以治好了，但这些发现没有直接影响， 医生认为，如果糖尿病，可以治好了，但这些发现没有直接影响， 医生认为，如果糖尿病，可以治好了，但这些发现没有直接影响， 医生认为，如果糖尿病，可以治好了，但这些发现没有直接影响， 医生认为，如果糖尿病，可以治好了，但这些发现没有直接影响， 医生认为，如果糖尿病，可以治,0.9217079234914175,4.911280832780656,zho_Hans, 和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。,0.9217079234914175,4.911280832780656
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",周一，瑞典学院诺贝尔文学委员会常务秘书萨拉·丹尼尔斯在瑞典广播电台的一档节目中向公众宣布，委员会因无法直接联系到鲍勃·迪伦，通知他获得了 2016 年诺贝尔文学奖，已经放弃了与他联系的尝试。,2016年，在瑞典，委员会的永久性秘书，在瑞典，委员会，在瑞典，委员会，在瑞典，委员会，在瑞典，委员会，在瑞典，委员会，在瑞典，委员会，在瑞典，委员会，在瑞典，委员会，在瑞典，委员会，在瑞典，委员会，在瑞典，委员会，在瑞典，委员会，在瑞典，委员会，在瑞典，,1.6617920255973213,6.772672740064629,zho_Hans, 周一，瑞典学院诺贝尔文学委员会常务秘书萨拉·丹尼尔斯在瑞典广播电台的一档节目中向公众宣布，委员会因无法直接联系到鲍勃·迪伦，通知他获得了 2016 年诺贝尔文学奖，已经放弃了与他联系的尝试。,1.6617920255973213,6.772672740064629
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",达尼厄斯说道：“目前我们保持按兵不动。我给他关系最好的合作者打过电话并发送了电子邮件，而且收到了对方非常友好的回复。就目前而言，这足够了。”,2019年，我们正在做。我打电话给他的合作者。,0.670839938852109,5.94976851277038,zho_Hans, 达尼厄斯说道：“目前我们保持按兵不动。我给他关系最好的合作者打过电话并发送了电子邮件，而且收到了对方非常友好的回复。就目前而言，这足够了。”,0.670839938852109,5.94976851277038
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",此前，铃声 (Ring) 公司 CEO 杰米·西米诺夫曾表示，公司成立之初，他在位于车库的工作室里是听不到门铃响声的。,2010年， Ring 首席执行官， 杰米· 斯诺夫，在自己的工作室在自己的商店， 2010年， 杰米· 斯诺夫，在自己的工作室， 2010年， 杰米· 斯诺夫，在自己的工作室， 2010年， 杰米· 斯诺夫，在自己的工作室， 2010年， 杰米,3.749041683498183,6.744085737445261,zho_Hans, 此前，铃声 (Ring) 公司 CEO 杰米·西米诺夫曾表示，公司成立之初，他在位于车库的工作室里是听不到门铃响声的。,3.749041683498183,6.744085737445261
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.",他称，他制作了一个 WiFi 门铃。,电话，他建造了一个WiFi 门铃，他说。,13.380161378318954,37.78283098740753,zho_Hans, 他称，他制作了一个 WiFi 门铃。,13.380161378318954,37.78283098740753
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,西米诺夫说，2013 年他在《创智赢家》节目中露面后，公司的销售额大增，当时节目组拒绝向这家初创公司投资。,2013 年的 2013 年， 2013 年， 2013 年， 2013 年， 2013 年， 2013 年， 2013 年， 2013 年， 2013 年， 2013 年， 2013 年， 2013 年， 2013 年，,1.149898569087498,5.272433878394757,zho_Hant, 西米諾夫表示當他 2013 年在《創業鯊魚幫》節目上露面後，銷售額提高了，當時節目評審拒絕投資這個新創公司。,2.077079238326844,6.165629382531597
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.",2017 年年末，西米诺夫出现在 QVC 电视销售频道。,2017 年 2 月，Siminoff 广播节目，QVC 频道。 2017 年 2 月，Siminoff 广播节目，QVC 频道。 2017 年 2 月，Siminoff 广播节目，QVC 频道。 2017 年 2 月，Siminoff 广播节目，QVC 频道。 2017 年 2 月，Siminoff 广播节目,2.185955548210467,9.547043538566063,yue_Hant, 2017 年底，Siminoff 出現在電視購物頻道 QVC 上。,3.183790295922459,17.76409262922772
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.",铃声 (Ring) 公司还与竞争对手 ADT 安保公司在一起官司中达成了庭外和解。,电话， ADT 公司的， 2000 年， 2000 年， 2000 年， 2000 年， 2000 年， 2000 年， 2000 年， 2000 年， 2000 年， 2000 年， 2000 年， 2000 年， 2000 年，,2.2266617638454975,3.688165453340702,yue_Hant, Ring 還與競爭對手ADT Corporation 保安公司達成了和解。,0.9798555761147508,2.543410774401828
