prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.","""That's great,"" said Dr. Richard K. Bernstein, a 50-year veteran of diabetes research and author of the best-selling ""D"" Book. ""But it's not a cure.""",2.1740981369339423,12.66970756316349,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",1.9986978024115483,16.872031702540056,23.125,25.0
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.","""The study is very interesting,"" he said. ""It's a very small study, and it's a very preliminary study. It's not a randomized, controlled trial. It's a very small study, and it's a very preliminary study. It's not a randomized, controlled trial. It's a very small study, and it's a very preliminary study. It's not a randomized, controlled trial. It's a very small study, and it's a very preliminary study. It's",0.4733382784361896,12.79590830916533,eng_Latn," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",0.4733382784361896,14.40029146151656,25.0,25.0
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.","The study is a good example of the confusion that can arise when the media reports on a study that is not yet peer-reviewed. The study was presented at the American Diabetes Association meeting in San Diego. The study was not a clinical trial, but a retrospective analysis of data from the Diabetes Control and Complications Trial (DCCT). The study was not designed to test the effect of intensive insulin therapy on the development of diabetes. The study was designed to test the effect of intensive insulin therapy on the development",0.30612117443871145,15.883290571493497,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",0.8658414332416114,20.787945929703692,25.0,25.0
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.","The Nobel Committee for Literature has not abandoned its efforts to reach Bob Dylan. The committee has been in contact with Dylan’s representatives, and the committee is hopeful that a solution can be found. The committee has not given up on the prize.",1.097113337105135,18.0679473640961,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",16.47699094348472,35.68545616558595,14.625,17.625
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »","I have been in touch with the people at the University of Chicago Press, and they are very concerned about the situation. They are trying to get in touch with Danius, and they are trying to get in touch with the publisher of the book. They are also trying to get in touch with the publisher of the book's translation. They are trying to get in touch with the translator. They are trying to get in touch with the translator's editor. They are trying to get in touch with the",0.9855909307426391,14.410535545290934,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",1.3089575999174028,18.91917100986586,15.8125,24.25
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.","The company's website says the doorbell is ""the first and only smart doorbell with a built-in HD video camera and two-way talk."" The video is stored in the cloud and can be viewed on a smartphone or tablet. The doorbell is also compatible with Amazon's Alexa voice control system.",0.8072712583467364,15.700152636738391,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",1.870111979901704,21.15999062071267,15.625,21.875
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.",Il dit avoir conçu une sonnette de porte Wi-Fi.,I don't know what that means.,2.7354882120611315,7.254610410885595,eng_Latn," He built a WiFi door bell, he said.",4.266331692956901,6.408555668887573,15.25,24.75
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,"The company has raised $1.5 million in funding, according to a company spokeswoman. The company has not disclosed the amount of the investment, but said it was a combination of equity and debt.",1.0981966615350194,14.580025176852548,eng_Latn, Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,1.4333000127883408,21.088115053681932,24.125,25.0
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.","The company, which has been in business since 1999, is based in the Chicago suburb of Oak Brook, Illinois. The company’s website says it has 100 employees and is “the largest privately held direct response marketer in the United States.” The company’s products are sold on QVC, HSN, Amazon, and other online retailers.",1.0794970520621934,10.800007465762862,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",1.1599950736381854,13.647030008878968,23.875,25.0
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.","ADT is a competitor of Ring, and the lawsuit was filed in 2018. The lawsuit was settled in 2019, and the settlement was approved by a federal judge in 2020. The settlement was for $10 million, and Ring agreed to not compete with ADT for 5 years. The settlement also included a non-compete agreement for Ring’s CEO, and a non-solicitation agreement for Ring’s COO. The settlement also included a confidentiality agreement, and a",0.5059482236900364,14.891150133226539,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",1.4485997094829168,23.717422616358757,7.875,17.125
