prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",他补充道：“我们现在有 4 个月大没有糖尿病的老鼠，但它们曾经得过该病。”,4个月大的小鼠现在是糖尿病的，以前的糖尿病小鼠现在是糖尿病的，以前的糖尿病小鼠现在是糖尿病的，以前的糖尿病小鼠现在是糖尿病的，以前的糖尿病小鼠现在是糖尿病的，以前的糖尿病小鼠现在是糖尿病的，以前的糖尿病小鼠现在是糖尿病的，以前的糖尿病小鼠现在是糖尿病的，以前的糖尿病小鼠现在是糖尿病的，以前的糖尿病小鼠现在是糖尿病的,1.2073946517414567,6.320154363543007,zho_Hans, 他补充道：“我们现在有 4 个月大没有糖尿病的老鼠，但它们曾经得过该病。”,1.2073946517414567,6.320154363543007
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",埃胡德·乌尔博士（新斯科舍省哈利法克斯市达尔豪西大学医学教授，加拿大糖尿病协会临床与科学部门教授）提醒，这项研究仍处在早期阶段。,艾德哈德·尤德教授在加拿大多伦多大学医学院的临床和科学委员会主席艾德哈德·尤德教授在加拿大多伦多大学医学院的临床和科学委员会主席艾德哈德·尤德教授在加拿大多伦多大学医学院的临床和科学委员会主席艾德哈德·尤德教授在加拿大多伦多大学医学院的临床和科学委员会主席艾德哈德·尤德教授在加拿大多,2.19976730497356,6.325212864576153,yue_Hant, 位於新斯科舍省哈利法克斯的達爾豪西大學醫學教授、加拿大糖尿病協會臨床與科學部門主席埃胡德·烏爾醫生警告，這項研究仍處於早期階段。,1.7494105477442545,3.7849075607876808
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。,他对这种说法是：这种说法对已经有糖尿病的人来说，这种说法对已经有糖尿病的人来说，这种说法对已经有糖尿病的人来说，这种说法对已经有糖尿病的人来说，这种说法对已经有糖尿病的人来说，这种说法对已经有糖尿病的人来说，这种说法对已经有糖尿病的人来说，这种说法对已经有糖尿病的人来说，这种说法对已经有糖尿病的人来说，这种说法对已经有糖尿病的人来说，这种说法对已经,0.8026637710499653,5.976381708270685,zho_Hans, 和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。,0.8026637710499653,5.976381708270685
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",周一，瑞典学院诺贝尔文学委员会常务秘书萨拉·丹尼尔斯在瑞典广播电台的一档节目中向公众宣布，委员会因无法直接联系到鲍勃·迪伦，通知他获得了 2016 年诺贝尔文学奖，已经放弃了与他联系的尝试。,2016 年诺贝尔文学奖委员会无法直接联系到Bob Dylan，诺贝尔文学奖委员会无法直接联系到Bob Dylan，2016 年诺贝尔文学奖委员会无法直接联系到Bob Dylan，2016 年诺贝尔文学奖委员会无法直接联系到Bob Dylan，2016 年诺贝尔文学奖委员会无法直接联系到Bob Dylan，2016 年诺贝尔文学奖委员会无法直接联系到Bob Dylan，20,12.057093816251962,16.05837405226552,yue_Hant, 在星期一，瑞典學院諾貝爾文學獎委員會常任秘書薩拉·達尼烏斯在瑞典 Sveriges 電台的一個廣播節目中公開宣布，該委員會無法就獲得 2016 年諾貝爾文學獎一事直接聯繫鮑勃·迪倫，因此放棄聯繫他。,0.950241275473698,4.908560921372695
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",达尼厄斯说道：“目前我们保持按兵不动。我给他关系最好的合作者打过电话并发送了电子邮件，而且收到了对方非常友好的回复。就目前而言，这足够了。”,丹尼斯说，现在我们正在做些什么？丹尼斯说，他正在做些什么？现在我们正在做些什么？丹尼斯说，现在我们正在做些什么？丹尼斯说，现在我们正在做些什么？现在我们正在做些什么？丹尼斯说，现在我们正在做些什么？现在我们正在做些什么？现在我们正在做些什么？现在我们正在做些什么？现在我们正在做些,1.0152938344458982,1.8748495812218917,zho_Hans, 达尼厄斯说道：“目前我们保持按兵不动。我给他关系最好的合作者打过电话并发送了电子邮件，而且收到了对方非常友好的回复。就目前而言，这足够了。”,1.0152938344458982,1.8748495812218917
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",此前，铃声 (Ring) 公司 CEO 杰米·西米诺夫曾表示，公司成立之初，他在位于车库的工作室里是听不到门铃响声的。,之前，Ring 的首席执行官 Jamie Siminoff 曾表示，当他的门铃不听从，他的商店里，当他的门铃不听从，他的商店里，当他的门铃不听从，他的商店里，当他的门铃不听从，他的商店里，当他的门铃不听从，他的商店里，当他的门铃不听从，他的商店里，当他的门铃不听从，他的商店里，当,2.1571166679398024,6.378624547821768,yue_Hant, 此前，Ring 的行政總裁Jamie Siminoff 表示公司創立的源由是從他車庫的店中聽不到門鈴。,3.1417871786924776,22.886219090216105
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.",他称，他制作了一个 WiFi 门铃。,他的无线门铃，他说。,9.027235033938242,7.862193889991988,bod_Tibt, ཁོས་སྒོའི་སྟེང་ཝཡེ་ཕྷེའི་སྒོ་དྲིལ་ཞིག་བཏགས་ཡིན་ཞེས་བཤད།,0.0,0.0
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,西米诺夫说，2013 年他在《创智赢家》节目中露面后，公司的销售额大增，当时节目组拒绝向这家初创公司投资。,2013年，Siminoff 在《 鲨鱼 谷》节目中，Siminoff 在《鲨鱼谷》节目中，Siminoff 在《鲨鱼谷》节目中，Siminoff 在《鲨鱼谷》节目中，Siminoff 在《鲨鱼谷》节目中，Siminoff 在《鲨鱼谷》节目中，Siminoff 在《鲨鱼谷》节目中，Siminoff 在《鲨鱼谷》节目中，Siminoff 在,2.7876721224163243,5.867126433334163,yue_Hant, Siminoff 表示，2013 年他在《創智贏家》節目中亮相，節目的評審團拒絕為這間初創公司提供資金，其後銷量有所增長。,1.138062378350233,9.517479571409778
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.",2017 年年末，西米诺夫出现在 QVC 电视销售频道。,2017 年 12 月，Siminoff 在购物频道 QVC 上 2017 年 12 月，Siminoff 在购物频道 QVC 上 2017 年 12 月，Siminoff 在购物频道 QVC 上 2017 年 12 月，Siminoff 在购物频道 QVC 上 2017 年 12 月，Siminoff 在购物频道 QVC 上 2017,1.601246346983589,9.870666137122754,yue_Hant, 2017 年底，Siminoff 出現在電視購物頻道 QVC 上。,6.267163185424095,20.70822095160663
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.",铃声 (Ring) 公司还与竞争对手 ADT 安保公司在一起官司中达成了庭外和解。,警长也与竞争对手安德塔公司达成诉讼，警长也与竞争对手安德塔公司达成诉讼，警长也与竞争对手安德塔公司达成诉讼，警长也与竞争对手安德塔公司达成诉讼，警长也与竞争对手安德塔公司达成诉讼，警长也与竞争对手安德塔公司达成诉讼，警长也与竞争对手安德塔公司达成诉讼，警,3.20822295224921,6.86756923330563,yue_Hant, Ring 還與競爭對手ADT Corporation 保安公司達成了和解。,0.41842835600020306,1.6348402257666785
