prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang
"Q: ""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.
A:","""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""The tuna are being sold in the market, and the people who have been selling them are selling them in the market, and the people who have been selling them are selling them in the market.",1.3737889784665156,15.411778240520151,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",1.3737889784665156,15.411778240520151
"Q: Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.
A:","Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","The doctor is a professor at the University of Nova Scotia, and he is a professor at the University of Nova Scotia. He is a professor at the University of Nova Scotia, and he is a professor at the University of Nova Scotia.",4.218849430140883,25.89591948896087,eng_Latn," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",4.218849430140883,25.89591948896087
"Q: Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.
A:","Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","The patient is being treated for a urinary tract infection, and the patient is being treated for a urinary tract infection. The patient is being treated for a urinary tract infection. The patient is being treated for a urinary tract infection. The patient is being treated for a urinary tract infection. The patient is being treated for a urinary tract infection. The patient is being treated for a urinary tract infection. The patient is being treated for a urinary tract infection. The patient is being treated for a urinary tract infection.",0.3994196212595157,11.073067807604634,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",0.3994196212595157,11.073067807604634
"Q: Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.
A:","Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","The Nobel Prize in Literature is awarded to the winner of the Nobel Prize in Literature, and the winner of the Nobel Prize in Literature is awarded to the winner of the Nobel Prize in Literature, and the winner of the Nobel Prize in Literature is awarded to the winner of the Nobel Prize in Literature, and the winner of the Nobel Prize in Literature is awarded to the winner of the Nobel Prize in Literature, and the winner of the Nobel Prize in Literature is awarded to the winner of the Nobel Prize in Literature",5.851712521934332,23.690819375660823,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",5.851712521934332,23.690819375660823
"Q: Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""
A:","Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","""The fish is called ""Sasa hivi hii ya kwanza, tuna hivi hii ya kwanza, tuna hivi hii ya kwanza, tuna hivi hii ya kwanza, tuna hivi hii ya kwanza, tuna hivi hii ya kwanza, tuna hivi hii ya kwanza, tuna hivi hii ya kwanza, tuna hivi hii ya kwanza, tuna hivi hii ya kwanza, tuna hivi hii ya kwanza, tuna hivi hii ya",0.7003226658264669,9.609138663897092,swh_Latn," Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""",3.372197464029217,16.079201391647622
"Q: Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.
A:","Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","The first time, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, was a man who was a man who was a man who was a man who was a man who was a man who was a man who was a man who was a man who was a man who was a man who was a man who was a man who was a man who was a man who was a man who was a man who was a man who was a man who was a man who was a",4.704512733171129,16.689099235220763,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",4.704512733171129,16.689099235220763
"Q: Aliunda kengele ya mlango ya Wi-Fi, alisema.
A:","Aliunda kengele ya mlango ya Wi-Fi, alisema.","He built a WiFi door bell, he said.","The antenna is located in the middle of the street, and the street lights are located in the middle of the street, and the street lights are located in the middle of the street, and the street lights are located in the middle of the street, and the street lights are located in the middle of the street, and the street lights are located in the middle of the street, and the street lights are located in the middle of the street, and the street lights are located in the middle of the",0.3319933098523721,4.062530928705245,eng_Latn," He built a WiFi door bell, he said.",0.3319933098523721,4.062530928705245
"Q: Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.
A:",Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,The shark is a shark that is a shark that is a shark that is a shark that is a shark that is a shark that is a shark that is a shark that is a shark that is a shark that is a shark that is a shark that is a shark that is a shark that is a shark that is a shark that is a shark that is a shark that is a shark that is a shark that is a shark that is a shark that is a shark that is a shark that is a,0.28628978106833347,6.181916270459653,eng_Latn, Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,0.28628978106833347,6.181916270459653
"Q: Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.
A:","Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.","In late 2017, Siminoff appeared on shopping television channel QVC.","The Baadaye 2017, Siminoff alionekana katika chaneli ya televisyen QVC.",19.445278057635548,40.62136729156591,swh_Latn," Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.",60.61105881801926,77.65362387816826
"Q: Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.
A:","Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.","Ring also settled a lawsuit with competing security company, the ADT Corporation.",The ring pia is a large pond that is used by the government to collect waste. The ring pia is a large pond that is used by the government to collect waste. The ring pia is a large pond that is used by the government to collect waste. The ring pia is a large pond that is used by the government to collect waste. The ring pia is a large pond that is used by the government to collect waste. The ring pia is a large pond that is used by the government to collect,0.4724186878758777,10.541904811976133,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",0.4724186878758777,10.541904811976133
