prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.
A:","""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Now we have four-month-old mice, who have less diabetes, — he added. Now we have four-month-old mice, who have less diabetes, — he added.",13.977755155410732,33.8034831699044,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",13.977755155410732,33.8034831699044,23.125,23.25
"Q: Согласно предупреждению доктора Эхуда Ура (Ehud Ur), профессора медицины в Университете Дэлхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.
A:","Согласно предупреждению доктора Эхуда Ура (Ehud Ur), профессора медицины в Университете Дэлхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","According to Dr. Ehud Ur, Professor of Medicine at the University of Dalhousie and the Chair of the Canadian Diabetes Association's Clinical and Scientific Committee, research is still in its early stages.",33.90021076271248,59.26409766810683,eng_Latn," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",33.90021076271248,59.26409766810683,2.265625,2.421875
"Q: Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.
A:","Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Some other experts, he notes, are skeptical that diabetes can be cured, he notes, he says, he is skeptical that diabetes can be cured, he says, he is skeptical that diabetes can be cured, he says, he is skeptical that diabetes can be cured, he says, he is skeptical that diabetes can be cured, he says, he is skeptical that diabetes can be cured, he says, he is skeptical that diabetes can be cured, he says, he is skeptical that diabetes can be",8.560411397145756,32.97388815890452,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",8.560411397145756,32.97388815890452,17.875,22.875
"Q: В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской Академии, публично заявила во время передачи на шведской радиостанции Sveriges о том, что комитет, которому не удалось связаться с Бобом Диланом напрямую и сообщить ему, что он выиграл Нобелевскую премию по литературе за 2016 год, прекращает попытки выйти с ним на связь.
A:","В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской Академии, публично заявила во время передачи на шведской радиостанции Sveriges о том, что комитет, которому не удалось связаться с Бобом Диланом напрямую и сообщить ему, что он выиграл Нобелевскую премию по литературе за 2016 год, прекращает попытки выйти с ним на связь.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","On Monday, the permanent secretary of the Nobel Committee for Literature, who is a permanent secretary of the Nobel Committee for Literature, who is a permanent secretary of the Nobel Committee for Literature, who is a permanent secretary of the Nobel Committee for Literature, who is a permanent secretary of the Nobel Committee for Literature, who is a permanent secretary of the Nobel Committee for Literature, who is a permanent secretary of the Nobel Committee for Literature, who is a permanent secretary of the Nobel Committee for Literature, who is a",10.61764932135909,31.401148335458874,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",10.61764932135909,31.401148335458874,22.625,22.875
"Q: Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".
A:","Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius said: ""Now we are doing nothing. I spoke to his closest staff member and received very friendly responses. At this point, we are doing nothing. I spoke to his closest staff member and received very friendly responses. At this point, we are doing nothing. I spoke to his closest staff member and received very friendly responses. At this point, we are doing nothing. I spoke to his closest staff member and received very friendly responses. At this point, we are doing nothing. I",10.113354976518238,37.2965548079211,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",10.113354976518238,37.2965548079211,25.0,25.0
"Q: Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.
A:","Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Previously, Ring CEO James Siminoff noted that this company began with him not hearing doorbell ring in his garage.",18.016149907490373,40.94000942092371,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",18.016149907490373,40.94000942092371,3.34375,3.6875
"Q: Он сказал, что создал дверной звонок, работающий от WiFi.
A:","Он сказал, что создал дверной звонок, работающий от WiFi.","He built a WiFi door bell, he said.",He said that he created a doorbell that works from WiFi.,5.024584978301581,35.20601368773979,eng_Latn," He built a WiFi door bell, he said.",5.024584978301581,35.20601368773979,1.546875,2.0
"Q: Симинофф сказал, что продажи выросли после его появления в выпуске шоу ""Shark Tank"" в 2013 году, где члены жюри отказались финансировать его стартап.
A:","Симинофф сказал, что продажи выросли после его появления в выпуске шоу ""Shark Tank"" в 2013 году, где члены жюри отказались финансировать его стартап.",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Siiminoff said that sales have risen after Shark Tank, where the judges refused to finance his startup.",10.411085339629356,37.0487052343985,eng_Latn, Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,10.411085339629356,37.0487052343985,5.0625,4.59375
"Q: В конце 2017 года Симинофф появился на торговом телеканале QVC.
A:",В конце 2017 года Симинофф появился на торговом телеканале QVC.,"In late 2017, Siminoff appeared on shopping television channel QVC.","In the end of 2017, Sinimoff appeared on the QVC TV channel.",13.259061490238881,42.565464242626774,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",13.259061490238881,42.565464242626774,4.15625,4.0625
"Q: Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.
A:","Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.","Ring also settled a lawsuit with competing security company, the ADT Corporation.","In addition, Ring has settled a lawsuit with its competitors, the ADT Corporation.",46.5075508035362,60.75234680230399,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",46.5075508035362,60.75234680230399,1.0859375,0.49804688
"Q: Несмотря на то, что нашлась экспериментальная вакцина, способная снизить смертность от вируса Эбола, пока еще ни одно лекарство не продемонстрировало явного эффекта в лечении существующей инфекции.
A:","Несмотря на то, что нашлась экспериментальная вакцина, способная снизить смертность от вируса Эбола, пока еще ни одно лекарство не продемонстрировало явного эффекта в лечении существующей инфекции.","While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","Despite the fact that an experimental vaccine, which can reduce the mortality rate from Ebola virus, has been found, no drug has yet demonstrated a clear effect in treating the existing infection.",15.245427154206864,47.418137779648156,eng_Latn," While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",15.245427154206864,47.418137779648156,1.65625,2.21875
"Q: Коктейль из антител ZMapp изначально показал многообещающие результаты в этой области, но официальные исследования показали, что он обладает меньшей пользой в предотвращении смерти, чем ожидалось ранее.
A:","Коктейль из антител ZMapp изначально показал многообещающие результаты в этой области, но официальные исследования показали, что он обладает меньшей пользой в предотвращении смерти, чем ожидалось ранее.","One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","The cocktail of antibodies ZMapp initially showed promising results in this area, but official studies showed that the cocktail of antibodies ZMapp initially showed promising results in this area, but official studies showed that the cocktail of antibodies ZMapp initially showed promising results in this area, but official studies showed that the cocktail of antibodies ZMapp initially showed promising results in this area, but official studies showed that the cocktail of antibodies ZMapp initially showed promising results in this area, but official studies showed that",2.5733619957616884,26.645728803527373,eng_Latn," One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",2.5733619957616884,26.645728803527373,25.0,25.0
"Q: В испытании PALM, ZMapp служил в качестве контрольного уровня, то есть учёные использовали его в качестве основы и сравнили с ним три других варианта лечения.
A:","В испытании PALM, ZMapp служил в качестве контрольного уровня, то есть учёные использовали его в качестве основы и сравнили с ним три других варианта лечения.","In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.","In Palm, ZMapp served as a control level, meaning that scientists used it as a control level, meaning that scientists used it as a control level, meaning that scientists used it as a control level, meaning that scientists used it as a control level, meaning that scientists used it as a control level, meaning that scientists used it as a control level, meaning that scientists used it as a control level, meaning that scientists used it as a control level, meaning that scientists used it as a control",10.810217402871741,32.5667866964243,eng_Latn," In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",10.810217402871741,32.5667866964243,19.5,25.0
"Q: Федерация гимнастики США поддерживает письмо Олимпийского комитета США и соглашается с абсолютной необходимостью создания безопасной среды для всех наших спортсменов.
A:",Федерация гимнастики США поддерживает письмо Олимпийского комитета США и соглашается с абсолютной необходимостью создания безопасной среды для всех наших спортсменов.,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,The US Gymnastics Federation supports the letter from the US Olympic Committee and agrees with the absolute necessity of creating a safe environment for all of our athletes.,36.57118236514774,58.09312803451405,eng_Latn, USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,36.57118236514774,58.09312803451405,1.0234375,1.609375
"Q: Мы согласны с заявлением USOC о том, что интересам наших спортсменов, клубов, а также их видов спорта, больше соответствует проведение реформ внутри нашей организации, а не аннулирование ее сертификации.
A:","Мы согласны с заявлением USOC о том, что интересам наших спортсменов, клубов, а также их видов спорта, больше соответствует проведение реформ внутри нашей организации, а не аннулирование ее сертификации.","We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.","We agree with USOC's statement that the interests of our athletes, clubs, and their sports, as well as the interests of our athletes, clubs, and their sports, as well as the interests of our athletes, clubs, and their sports, as well as the interests of our athletes, clubs, and their sports, as well as the interests of our athletes, clubs, and their sports, as well as the interests of our athletes, clubs, and their sports, as well as the",14.47562642216532,39.47931512130992,eng_Latn," We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.",14.47562642216532,39.47931512130992,25.0,25.0
"Q: USA Gymnastics поддерживает независимое расследование, которое бы могло пролить свет на то, каким образом насилие в таких масштабах, столь храбро описанных выжившими жертвами Ларри Наскара, могло продолжаться незамеченным так долго, и поддерживает все необходимые и уместные в данном случае изменения.
A:","USA Gymnastics поддерживает независимое расследование, которое бы могло пролить свет на то, каким образом насилие в таких масштабах, столь храбро описанных выжившими жертвами Ларри Наскара, могло продолжаться незамеченным так долго, и поддерживает все необходимые и уместные в данном случае изменения.",USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,"USA Gymnastics supports an independent investigation that would shed light on how the violence in such a large scale, so bravely described by survivors, was not only not noticed by USA Gymnastics supports an independent investigation that would shed light on how the violence in such a large scale, so bravely described by survivors, was not noticed by USA Gymnastics",14.777876435297246,40.458295292842536,eng_Latn, USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,14.777876435297246,40.458295292842536,25.0,25.0
"Q: Федерация гимнастики США и Олимпийский комитет США имеют одинаковую цель — сделать гимнастику и другие виды спорта настолько безопасными для спортсменов, насколько это возможно, чтобы они могли стремиться к своим целям в безопасной, позитивной среде и были наделены всеми правами.
A:","Федерация гимнастики США и Олимпийский комитет США имеют одинаковую цель — сделать гимнастику и другие виды спорта настолько безопасными для спортсменов, насколько это возможно, чтобы они могли стремиться к своим целям в безопасной, позитивной среде и были наделены всеми правами.","USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.",The Federation of American Gymnastics and the Olympic Committee of the United States have the same goal: to make gymnastics and other sports so safe that they can be made so safe that they can be made so safe that they can be made so safe that they can be made so safe that they can be made so safe that they can be made so safe that they can be made so safe that they can be made so safe that they can be made so safe that they can be made so safe that they can,7.240310434591525,29.090998272486857,eng_Latn," USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.",7.240310434591525,29.090998272486857,19.25,16.25
"Q: В 1960-х гг. Бжезинский занимал должность советника при Джоне Ф. Кеннеди, затем в администрации Линдона Б. Джонсона.
A:","В 1960-х гг. Бжезинский занимал должность советника при Джоне Ф. Кеннеди, затем в администрации Линдона Б. Джонсона.","Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.","In the 1960s, Bzezinski held the position of a senior advisor to John F. Kennedy, then in the 1960s, Bzezinski held the position of a senior advisor to John F. Kennedy, then in the 1960s, Bzezinski held the position of a senior advisor to John F. Kennedy, then in the 1960s, Bzezinski held the position of a senior advisor to John F",4.949997663249794,29.592054061254665,eng_Latn," Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.",4.949997663249794,29.592054061254665,24.5,23.875
"Q: Во время выборов 1976 года он консультировал Картера по вопросам внешней политики. Затем с 1977 по 1981 год он работал советником по национальной безопасности, сменив на этом посту Генри Киссинджера.
A:","Во время выборов 1976 года он консультировал Картера по вопросам внешней политики. Затем с 1977 по 1981 год он работал советником по национальной безопасности, сменив на этом посту Генри Киссинджера.","During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.","During the 1976 presidential election, he consulted with Carter on foreign policy. He was a foreign policy advisor during the 1976 presidential election, and he was a foreign policy advisor during the 1976 presidential election.",8.423108446494957,36.57180813126313,eng_Latn," During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.",8.423108446494957,36.57180813126313,16.0,15.75
"Q: Будучи советником по нацбезопасности, он помогал Картеру в мировой дипломатии, например, в заключении Кэмп-Дэвидских соглашений 1978 года, нормализации американо-китайских отношений в конце 1970-х годов, выработке политики в отношении Иранской революции, приведшей к кризису с заложниками в 1979 г., и вторжении СССР в Афганистан в 1979 году.
A:","Будучи советником по нацбезопасности, он помогал Картеру в мировой дипломатии, например, в заключении Кэмп-Дэвидских соглашений 1978 года, нормализации американо-китайских отношений в конце 1970-х годов, выработке политики в отношении Иранской революции, приведшей к кризису с заложниками в 1979 г., и вторжении СССР в Афганистан в 1979 году.","As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.","Being a national security adviser, he helped Carter in the world of diplomacy, for example, in the 1978 Camp David Accords, the normalization of American-Chinese relations in the 1970s, the normalization of American-Chinese relations in the 1970s, the normalization of American-Chinese relations in the 1970s, the normalization of American-Chinese relations in the 1970s, the normalization of American-Chinese",6.226581817119759,30.655269415483893,eng_Latn," As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.",6.226581817119759,30.655269415483893,19.125,19.5
"Q: Этот фильм с участием Райана Гослинга и Эммы Стоун получил номинации во всех главных категориях.
A:",Этот фильм с участием Райана Гослинга и Эммы Стоун получил номинации во всех главных категориях.,"The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.",This film with Ryan Gosling and Emma Stone received nominations for all the main categories.,31.67561402370862,59.79815414640255,eng_Latn," The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.",31.67561402370862,59.79815414640255,2.3125,2.453125
"Q: Гослинг и Стоун получили номинации на лучшего актера и актрису соответственно.
A:",Гослинг и Стоун получили номинации на лучшего актера и актрису соответственно.,Gosling and Stone received nominations for Best Actor and Actress respectively.,Goldsmith and Stone received nominations for Best Actor and Best Actress respectively.,67.49454888262711,85.47710196994429,eng_Latn, Gosling and Stone received nominations for Best Actor and Actress respectively.,67.49454888262711,85.47710196994429,8.375,9.375
"Q: Среди других номинаций: ""Лучшая картина"", ""Режиссёр"", ""Операторская работа"", ""Дизайн костюмов"", ""Монтаж фильма"", ""Оригинальная музыка"", ""Художник-постановщик"", ""Звуковой монтаж"", ""Звук"" и ""Оригинальный сценарий"".
A:","Среди других номинаций: ""Лучшая картина"", ""Режиссёр"", ""Операторская работа"", ""Дизайн костюмов"", ""Монтаж фильма"", ""Оригинальная музыка"", ""Художник-постановщик"", ""Звуковой монтаж"", ""Звук"" и ""Оригинальный сценарий"".","The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay.","Among other nominations: ""Best Picture"", ""Best Director"", ""Best Cinematographer"", ""Best Director"", ""Best Cinematographer"", ""Best Director"", ""Best Cinematographer"", ""Best Director"", ""Best Cinematographer"", ""Best Director"", ""Best Cinematographer"", ""Best Director"", ""Best Cinematographer"", ""Best Director"", ""Best Cinematographer"", ""Best Director"", ""Best Cinematographer"", ""Best Director"", ""Best Cinematographer"", ""Best",1.659169080073896,23.38715279520545,eng_Latn," The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay.",1.659169080073896,23.38715279520545,14.6875,16.75
"Q: Две песни из фильма — Audition (The Fools Who Dream) и City of Stars, попали в номинацию лучшая авторская песня. Студия Lionsgate попала в 26 номинаций — больше, чем любая другая студия.
A:","Две песни из фильма — Audition (The Fools Who Dream) и City of Stars, попали в номинацию лучшая авторская песня. Студия Lionsgate попала в 26 номинаций — больше, чем любая другая студия.","Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio.","Two songs from the film — Audition (The Fools Who Dream) and City of Stars, both from the film — Audition (The Fools Who Dream) and City of Stars, both from the film — Audition (The Fools Who Dream) and City of Stars, both from the film — Audition (The Fools Who Dream) and City of Stars, both from the film — Audition (The Fools Who Dream) and City of Stars, both from the film — Audition (The",14.292325389784171,37.063013733033365,eng_Latn," Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio.",14.292325389784171,37.063013733033365,24.875,24.625
