prompt,reference,generation_baseline,generation_function_vector,bleu_baseline,bleu_function_vector,chrf_baseline,chrf_function_vector
"Q: Pittman suggested that conditions wouldn't improve until sometime next week.
A:",Pittman alipendekeza kwamba hali hazingeboreka hadi wakati fulani wiki ijayo.," Pittman alikubali kwamba hali haingekuwa nzuri mpaka wiki ijayo."," Pittman suggested that conditions wouldn't improve until sometime next week.",20.31098187098674,4.487525652041664,46.09896311369288,14.792898763853518
"Q: Each of these nomadic rampages or marches lasts for approximately 17 days.
A:",Kila moja haya mabwawa ya kuhamahama au maandamano hudumu takriban siku 17.," Kila moja ya migongano hii ya nomadiki au safari hii inachukua siku 17."," Kuru",6.336859268415405,0.0,31.428993628241514,1.5384615384615385
"Q: The different constructions have different capabilities, are sensitive to different wave-lengths and have differing degrees of acuity, also they require different processing to make sense of the input and different numbers to work optimally.
A:","Miundo tofauti ina uwezo tofauti, ni myepesi kwa masafa tofauti ya mawimbi na yana viwango tofauti vya ukali, pia inahitaji uchakataji tofauti ili kuelewa ingizo na nambari tofauti ili kufanya kazi kwa ubora."," Ujenzi tofauti una uwezo tofauti, ni nyeti kwa wavelengths tofauti na wana viwango tofauti vya ukali, pia wanahitaji mchakato tofauti kufanya maana ya kuingia na namba"," Uv, visible, infrared, microwave, radio, x-ray, gamma ray",18.918049397296656,0.5099559614212612,49.449817945222556,4.780321896744039
"Q: The typhoon is estimated to be moving toward China at eleven kph.
A:",Kimbunga hicho kinakadiriwa kusonga kuelekea Uchina kwa kasi ya kilomita kumi na moja kwa saa.," Mvua ya moto inakadiriwa kuwa inahamia China kwa kasi ya kilomita 11 kwa saa."," Typhoon ay inaasahang maglakbay patungo sa China sa bilis na 11 kph.",18.38716581269282,2.1658158394365654,47.107250784791255,12.803677621222514
"Q: Massa is due to be out for at least the rest of the 2009 season.
A:",Massa anatarajiwa kuwa nje kwa angalau muda uliobaki wa msimu wa 2009.," Massa atakuwa nje kwa muda wa angalau msimu mzima wa 2009."," Massa is due to be out for at least the rest of the 2009 season.",9.836311646213069,2.2974228909810366,53.04453349082235,12.550169940189857
"Q: One of strong points of Charlotte, North Carolina, is that it has an abundance of high-quality options for families.
A:","Mojawapo ya sifa kali za Charlotte, Carolina Kaskazini, ni kwamba ina idadi kubwa ya machaguo ya hali ya juu kwa familia."," Moja ya nguvu za Charlotte, North Carolina, ni kwamba ina chaguzi nyingi za ubora wa juu kwa familia."," Muriwai, New Zealand, is a small town on the west coast of the North Island.",21.67917294545326,1.6890451996320215,48.015055457761875,9.039444792945266
"Q: This makes inexpensive zoom lenses hard to use in low-light conditions without a flash.
A:",Hii hufanya lenzi za kukuza za bei ya chini vigumu kutumia katika hali ya mwangaza duni bila mwako.," Hii inafanya lenses za zoom za bei nafuu kuwa ngumu kutumia katika hali za mwangaza mdogo bila ya flash."," Haze",9.429254736980935,0.0,47.52607214507197,1.5108382175086053
"Q: Traditionally, the heir to the throne would go straight into the military after finishing school.
A:","Kitamaduni, mrithi wa kiti cha enzi angeenda moja kwa moja kwa uanajeshi baada ya kuhitimu shuleni."," Kwa kawaida, mwanamume anayejiandaa kuwa mfalme atakuwa katika jeshi mara baada ya kumaliza shule."," Kwa kawaida, mwanamume anayefuata kiti cha ufalme angeingia katika jeshi mara tu baada ya kumaliza shule.",2.90357954639167,4.087601136694965,25.429621193766238,32.170046796583804
"Q: A cell is the smallest structural and functional unit of a living (things) organism.
A:",Seli ni sehemu ndogo ya kimuundo na ya kazi ya viumbe (vitu) hai.," Seli ni kitengo cha kwanza cha kisaikolojia na kazi ya mwili wa hai."," Seli is the smallest structural and functional unit of a living organism.",10.871560478544021,4.253727916575855,28.47537580395345,15.309810348014471
"Q: Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.
A:","Watafiti wakuu wanasema hili linaweza kuleta ugunduzi wa mapema wa saratani, kifua kikuu, ukimwi na malaria kwa wagonjwa katika nchi zenye mapato ya chini, ambapo viwango vya kupona kwa magonjwa kama vile saratani ya matiti vinaweza kuwa nusu ya vile vya nchi tajiri."," Watafiti wakuu wanasema hii inaweza kuleta utambuzi wa mapema wa saratani, kifua kikuu, HIV na malaria kwa wagonjwa katika nchi za kipato cha chini, ambapo viw"," Wafaa El-Sadr, a professor of epidemiology and medicine at Columbia University, said: ""We are very excited about the potential of this technology to improve the lives of people in low-income countries.",30.10554014857628,0.7111488250482169,50.682876242190744,9.776857404961657
