prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.","""توجد ماعين تبلغ من العمر 4 أشهر تزودت بمن يزودها بسيتوديودين، وتمت تزودها من يزودها من يزودها من يزودها من يزودها من يزودها من يزودها من يزودها من يزودها من يزودها من يزودها من يزودها من يزودها من ي",8.432934376424301,21.894012041279463,arb_Arab," أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.",8.432934376424301,21.894012041279463,22.375,25.0
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",نبه الدكتور إيهود أور -أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية في الجمعية الكندية للسكري- إلى أن البحث لا يزال في أيامه الأولى.,إن يُتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتت,0.35896057761679323,0.5639097744360901,arb_Arab, نبه الدكتور إيهود أور -أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية في الجمعية الكندية للسكري- إلى أن البحث لا يزال في أيامه الأولى.,0.35896057761679323,0.5639097744360901,25.0,23.875
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.,يكمن الأمر في أن يكمن الأمر في أن يكمن الأمر في أن يكمن الأمر في أن يكمن الأمر في أن يكمن الأمر في أن يكمن الأمر في أن يكمن الأمر في أن يكمن الأمر في أن يكمن الأمر في أن يكمن الأمر في أن يكمن الأمر في أن يكمن الأمر في أن يكمن الأمر في أن يكمن الأمر في أن يكمن الأمر في أن يكمن الأمر,0.43384866842485925,8.425723288453343,arb_Arab, مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.,0.43384866842485925,8.425723288453343,24.875,23.875
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",في يوم الإثنين ، أعلنت سارة دانيوس -السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية- على الملأ خلال برنامج إذاعي على راديو السويد في السويد، أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها للوصول إليه.,يعلن سارا دينوس، رئيسية لمن يزعم أن يزعم أن يزعم أن يزعم أن يزعم أن يزعم أن يزعم أن يزعم أن يزعم أن يزعم أن يزعم أن يزعم أن يزعم أن يزعم أن يزعم أن يزعم أن يزعم أن يزعم أن يزعم أن يزعم أن يزعم أن يزعم,0.4772006576161453,5.931101092735467,arb_Arab, في يوم الإثنين ، أعلنت سارة دانيوس -السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية- على الملأ خلال برنامج إذاعي على راديو السويد في السويد، أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها للوصول إليه.,0.4772006576161453,5.931101092735467,24.625,24.25
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","قال دانيوس ""لن نقوم الآن بفعل أي شيء. لقد قمت بالاتصال وإرسال رسائل بريد إلكتروني إلى أقرب المتعاونين معه وحصلت على ردود لطيفة جداً. هذا يكفي في الوقت الحالي بالطبع"".",يُقال أن يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد يد,0.0,2.6933857639710106,arb_Arab," قال دانيوس ""لن نقوم الآن بفعل أي شيء. لقد قمت بالاتصال وإرسال رسائل بريد إلكتروني إلى أقرب المتعاونين معه وحصلت على ردود لطيفة جداً. هذا يكفي في الوقت الحالي بالطبع"".",0.0,2.6933857639710106,25.0,25.0
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن جرس بابه مسموعاً من متجره في مرآب منزله.,يبدأ تبدأ شركة Ring، وتمت تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ تبدأ,0.7252854126424073,6.684359855567001,arb_Arab, في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن جرس بابه مسموعاً من متجره في مرآب منزله.,0.7252854126424073,6.684359855567001,23.75,22.625
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.",قال إنه صنع جرس باب يعمل بتقنية واي فاي.,يُتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتتت,0.0,0.6265664160401001,arb_Arab, قال إنه صنع جرس باب يعمل بتقنية واي فاي.,0.0,0.6265664160401001,22.75,20.625
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,قال سيمينوف إن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.,يُتوفت تيسيت، وتمت تجارة تيسيت، وتمت تجارة تيسيت، وتمت تجارة تيسيت، وتمت تجارة تيسيت، وتمت تجارة تيسيت، وتمت تجارة تيسيت، وتمت تجارة تيسيت، وتمت تجارة تيسيت، وتم,0.4945407352517106,5.800025990604446,arb_Arab, قال سيمينوف إن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.,0.4945407352517106,5.800025990604446,25.0,25.0
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","في أواخر عام 2017، ظهر ""سيمينوف"" على قناة التسوق التلفزيونية كيو في سي.",يظهر Simينوف في QVC في أواخر 2017.,5.787923083085017,18.761774638069657,arb_Arab," في أواخر عام 2017، ظهر ""سيمينوف"" على قناة التسوق التلفزيونية كيو في سي.",5.787923083085017,18.761774638069657,7.3125,10.25
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.",كما قامت رينج بتسوية دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,يُتعدّت هذه المرة تحليلات تحلية تحلية تحلية تحلية تحلية تحلية تحلية تحلية تحلية تحلية تحلية تحلية تحلية تحلية تحلية تحلية تحلية تحلية تحلية تحلية تحلية تحلية تحلية تحلية تحلية تحلية تحلية تحلية تحلية,0.0,3.72724955022392,arb_Arab, كما قامت رينج بتسوية دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,0.0,3.72724955022392,23.75,25.0
