prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector,commet_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",उन्होंने कहा “कि अब हमारे पास 4 महीने उम्र वाले चूहे हैं जिन्हें मधुमेह नहीं है जो मधुमेह के रोगी थे। ”,उसने इस बात का जिक्र किया कि अब हमारे पास ऐसे 4 महीने के माइक्स है जो नैन-डाइबिटिक है जिसके बारे में उसने बत,6.561789050024278,26.215691725517885,hin_Deva, उन्होंने कहा “कि अब हमारे पास 4 महीने उम्र वाले चूहे हैं जिन्हें मधुमेह नहीं है जो मधुमेह के रोगी थे। ”,6.561789050024278,26.215691725517885,11.75,14.4375,0.357421875
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","डॉ. एहुड उर, नोवा स्कोटिया के हैलिफ़ैक्स में डलहौज़ी विश्वविद्यालय में चिकित्सा के प्रोफ़ेसर और कनाडाई डायबिटीज़ एसोसिएशन के नैदानिक ​​और वैज्ञानिक विभाग के अध्यक्ष ने आगाह किया कि शोध अभी भी अपने शुरुआती दिनों में है.","डॉ. एहुड उर, डालहॉउसी यूनिवर्सिटी में अल्बर्टा, नोवा स्कोटिया में डॉ. एहुड उर, डालहॉउसी यूनिवर्स",16.03130548331626,19.326972331053547,hin_Deva," डॉ. एहुड उर, नोवा स्कोटिया के हैलिफ़ैक्स में डलहौज़ी विश्वविद्यालय में चिकित्सा के प्रोफ़ेसर और कनाडाई डायबिटीज़ एसोसिएशन के नैदानिक ​​और वैज्ञानिक विभाग के अध्यक्ष ने आगाह किया कि शोध अभी भी अपने शुरुआती दिनों में है.",16.03130548331626,19.326972331053547,20.875,19.375,0.00433349609375
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","कुछ अन्य विशेषज्ञों की तरह, उन्हें इस बात पर संदेह है कि क्या मधुमेह को ठीक किया जा सकता है, यह देखते हुए कि इन निष्कर्षों की उन लोगों के लिए कोई प्रासंगिकता नहीं है जिन्हें पहले से ही टाइप 1 मधुमेह है.","उसके जैसे कुछ अन्य विशेषज्ञों के अनुसार, उसने यह भी देखा कि डाइबिटीज को ठीक करने के लिए उसके अनुसार यह न",4.342718083300838,20.770724564112665,hin_Deva," कुछ अन्य विशेषज्ञों की तरह, उन्हें इस बात पर संदेह है कि क्या मधुमेह को ठीक किया जा सकता है, यह देखते हुए कि इन निष्कर्षों की उन लोगों के लिए कोई प्रासंगिकता नहीं है जिन्हें पहले से ही टाइप 1 मधुमेह है.",4.342718083300838,20.770724564112665,16.25,16.0,0.029296875
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","सोमवार को स्वीडिश अकादमी में साहित्य के लिए नोबेल समिति के स्थायी सचिव, सारा डेनियस, स्वीडन समिति में सेवरिज रेडियो पर एक रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा की, कि साहित्य में 2016 के नोबेल पुरस्कार जीतने को लेकर सीधे बॉब डायलन तक पहुँचने में असमर्थ होकर, अपने प्रयासों को छोड़ चुके थे.","शुक्रवार को, सारा डानियस, नोबेल पुरस्कार के लिए लिखने के लिए नोबेल पुरस्कार कमिटी के नियमित अधिकारी अकादमी के",2.992242625640298,18.96297369903268,mag_Deva," सोमरवा के, स्वीडिश अकादमी में साहित्य के लेल नोबेल समिति के स्थायी सचिव, सारा डेनियस स्वीडन में स्वेरिग्स रेडियो पर एगो रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा कलई, समिति, 2016 में साहित्य में नोबेल पुरस्कार जीते के बारे में सीधे बॉब डायलन तक पहुचाबे में असमर्थ रहलन, ओकरा तक पहुंचे के प्रयास में छोड़ देलन।",1.3322255644527083,15.14643563992937,21.75,22.125,-0.00341796875
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","डेनियस ने कहा, “फ़िलहाल हम कुछ नहीं कर रहे हैं. मैंने अपने साथ काम करने वाले लोगों को ईमेल भेजे हैं और उसने उनके फ्रेंडली जवाब भेजे हैं. अभी के लिए, बस इतना ही बताना चाहूँगा.”","दानियस ने कहा, ""अब हम इस बात के लिए कोई काम नहीं कर रहे हैं। मैंने उसके सबसे निकट विकास के लिए फोन किया और उस",8.631964604523361,24.66522510761992,hin_Deva," डेनियस ने कहा, “फ़िलहाल हम कुछ नहीं कर रहे हैं. मैंने अपने साथ काम करने वाले लोगों को ईमेल भेजे हैं और उसने उनके फ्रेंडली जवाब भेजे हैं. अभी के लिए, बस इतना ही बताना चाहूँगा.”",8.631964604523361,24.66522510761992,16.125,19.875,0.359375
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","इससे पहले, रिंग के सीईओ, जेमी सिमिनॉफ ने बताया था कि कंपनी तब शुरू हुई जब उसके दरवाज़े की घंटी उसके गेराज में स्थित दुकान से सुनाई नहीं देती थी।",रिंग के कंपनी के एसीओ जेमी सिमिनोफ ने पहले बताया कि उसने अपने गार्जन में अपने दरवाजे के बाद उसके दरवाजे के ब,9.683534038925446,27.35314965937066,hin_Deva," इससे पहले, रिंग के सीईओ, जेमी सिमिनॉफ ने बताया था कि कंपनी तब शुरू हुई जब उसके दरवाज़े की घंटी उसके गेराज में स्थित दुकान से सुनाई नहीं देती थी।",9.683534038925446,27.35314965937066,12.8125,14.0625,0.1650390625
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","उन्होंने (जेमी सिमिनॉफ़) कहा, कि उन्होंने एक वाईफ़ाई डोर बेल बनाई है.","उसने एक वाईफी डोर बेल बनाया, उसने कहा।",8.916167682560367,25.987892891811125,hin_Deva," उन्होंने (जेमी सिमिनॉफ़) कहा, कि उन्होंने एक वाईफ़ाई डोर बेल बनाई है.",8.916167682560367,25.987892891811125,4.28125,6.03125,0.8984375
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"सिमिनॉफ़ ने कहा कि 2013 में शार्क टैंक एपिसोड में उनके दिखने के बाद बिक्री में बढ़ोतरी हुई, जहाँ शो पैनल ने स्टार्टअप को पूँजी लगाने से मना कर दिया.",शिमिनोफ ने कहा कि उनके 2013 में शार्क टैंक के एक एपिसोड में जब शो के पैनल ने शुरुआती उसके बिजनेस के लिए फ,18.97526880007582,34.68551662088658,hin_Deva," सिमिनॉफ़ ने कहा कि 2013 में शार्क टैंक एपिसोड में उनके दिखने के बाद बिक्री में बढ़ोतरी हुई, जहाँ शो पैनल ने स्टार्टअप को पूँजी लगाने से मना कर दिया.",18.97526880007582,34.68551662088658,13.25,13.25,0.4140625
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","2017 के अंत में, सिमिनॉफ़ शॉपिंग टेलीविज़न चैनल QVC में दिखाई दिए.",लेट एक्सट्रा एक्सट्रा एक्सट्रा एक्सट्रा एक्सट्रा एक्सट्रा एक्सट्रा एक्सट्रा एक्सट्रा एक्सट्रा एक्सट्रा एक्सट्रा,0.0,1.3714733542319748,mag_Deva," 2017 के अंत में, सिमिनॉफ़ शॉपिंग टेलीविज़न चैनल QVC पर देखाई देलई।",0.0,1.3714733542319748,24.125,25.0,-0.03125
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.",रिंग ने अपनी प्रतिस्पर्धी कंपनी ADT कॉर्पोरेशन के साथ एक मुकदमा निपटाया है.,"रिंग ने अपने विरोधी सुरक्षा कंपनी, एडीटी कॉरपोरेशन के साथ एक लाइसेंस के लिए एक लाइसेंस के लिए एक लाइसेंस क",15.878174295086993,33.994952847545214,hin_Deva, रिंग ने अपनी प्रतिस्पर्धी कंपनी ADT कॉर्पोरेशन के साथ एक मुकदमा निपटाया है.,15.878174295086993,33.994952847545214,11.875,13.6875,0.03125
