prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.",لدينا الآن فأران عمرها أربعة أشهر غير مصابة بالسكري، حيث لدينا الآن فأران عمرها أربعة أشهر غير مصابة بالسكري، لدينا الآن فأران عمرها أربعة أشهر غير مصابة بالسكري، لدينا الآن فأران عمرها أربعة أشهر غير مصابة بالسكري، لدينا الآن فأران عمرها أربعة أشهر غير مصابة بالسكري، لدينا الآن فأران عمرها أربعة أشهر غير مصابة بالسكري، لدينا الآن فأران عمرها أربعة أشهر,1.0315884705612122,17.43320733343086,arb_Arab," أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.",1.0315884705612122,17.43320733343086,22.875,25.0
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",نبه الدكتور إيهود أور -أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية في الجمعية الكندية للسكري- إلى أن البحث لا يزال في أيامه الأولى.,حذر الدكتور إيهود أور، أستاذ الطب في جامعة دالهاوزي في كندا، أن البحث لا يزال في مراحله المبكرة، حيث حذر الدكتور إيهود أور، أستاذ الطب في جامعة دالهاوزي في كندا، أن البحث لا يزال في مراحله المبكرة، حيث حذر الدكتور إيهود أور، أستاذ الطب في جامعة دالهاوزي في كندا، حيث ح,16.239369425464613,37.80100107302583,arb_Arab, نبه الدكتور إيهود أور -أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية في الجمعية الكندية للسكري- إلى أن البحث لا يزال في أيامه الأولى.,16.239369425464613,37.80100107302583,23.375,24.375
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.,مثل بعض الخبراء، فهو يشك في أن يمكن علاج مرض السكري، حيث أن هذه النتائج لا علاقة لها بالمرضى الذين يعانون من مرض السكري، حيث أن هذه النتائج لا علاقة لها بالمرضى الذين يعانون من مرض السكري، حيث أن هذه النتائج لا علاقة لها بالمرضى الذين يعانون من مرض السكري، حيث أن هذه النتائج لا علاقة لها بالمرضى الذين يعانون من مرض السكري,8.995371030493654,31.25205842880399,arb_Arab, مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.,8.995371030493654,31.25205842880399,24.5,25.0
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",في يوم الإثنين ، أعلنت سارة دانيوس -السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية- على الملأ خلال برنامج إذاعي على راديو السويد في السويد، أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها للوصول إليه.,أعلنت سارة دانيوس، الأمينة الدائمة للجنة النوبل، أعلنت سارة دانيوس، الأمينة الدائمة للجنة النوبل، أعلنت سارة دانيوس، الأمينة الدائمة للجنة النوبل، أعلنت سارة دانيوس، الأمينة الدائمة للجنة النوبل، أعلنت سارة دانيوس، الأمينة الدائمة للجنة النوبل، أعلنت سارة,10.47774205170093,20.566757376491147,arb_Arab, في يوم الإثنين ، أعلنت سارة دانيوس -السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية- على الملأ خلال برنامج إذاعي على راديو السويد في السويد، أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها للوصول إليه.,10.47774205170093,20.566757376491147,24.875,25.0
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","قال دانيوس ""لن نقوم الآن بفعل أي شيء. لقد قمت بالاتصال وإرسال رسائل بريد إلكتروني إلى أقرب المتعاونين معه وحصلت على ردود لطيفة جداً. هذا يكفي في الوقت الحالي بالطبع"".",قال دانيوس: نحن الآن لا نفعل شيئًا، لقد اتصلنا وأرسلنا رسائل بريد إلكتروني إلى أقرب شخص إلى دانيوس، لقد اتصلنا وأرسلنا رسائل بريد إلكتروني إلى أقرب شخص إلى دانيوس، نحن الآن لا نفعل شيئًا، لقد اتصلنا وأرسلنا رسائل بريد إلكتروني إلى أقرب شخص إلى دانيوس، نحن الآن لا نفعل شيئًا,11.247107692044064,27.840774651414314,arb_Arab," قال دانيوس ""لن نقوم الآن بفعل أي شيء. لقد قمت بالاتصال وإرسال رسائل بريد إلكتروني إلى أقرب المتعاونين معه وحصلت على ردود لطيفة جداً. هذا يكفي في الوقت الحالي بالطبع"".",11.247107692044064,27.840774651414314,25.0,25.0
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن جرس بابه مسموعاً من متجره في مرآب منزله.,بدأ رينغ في وقت سابق، حيث بدأ رينغ في وقت سابق، حيث بدأ رينغ في وقت سابق، بدأ رينغ في وقت سابق، بدأ رينغ في وقت سابق، بدأ رينغ في وقت سابق، بدأ رينغ في وقت سابق، بدأ رينغ في وقت سابق، بدأ رينغ في وقت سابق، بدأ رينغ في وقت سابق، بدأ رينغ في وقت سابق، بدأ رينغ في وقت سابق، بدأ ر,0.5367712622457371,8.65327812494403,arb_Arab, في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن جرس بابه مسموعاً من متجره في مرآب منزله.,0.5367712622457371,8.65327812494403,22.75,24.375
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.",قال إنه صنع جرس باب يعمل بتقنية واي فاي.,لقد بنى بابًا للباب الذي بني بابًا، لقد بنى بابًا لقد بنى بابًا لقد بنى بابًا لقد بنى بابًا لقد بنى بابًا لقد بنى بابًا لقد بنى بابًا لقد بنى بابًا لقد بنى بابًا لقد بنى بابًا لقد بنى بابًا لقد بنى بابًا لقد بنى بابًا لقد بنى بابًا لقد بنى بابًا لقد بنى بابًا لقد بنى بابًا لقد بنى,0.30091012534221223,3.946978664767896,arb_Arab, قال إنه صنع جرس باب يعمل بتقنية واي فاي.,0.30091012534221223,3.946978664767896,18.125,20.875
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,قال سيمينوف إن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.,قال سيمينوف إن المبيعات ارتفعت بعد ظهورها في عرض أرتفع المبيعات بعد ظهورها في العرض ارتفع المبيعات بعد ظهورها في العرض ارتفع المبيعات بعد ظهورها في العرض ارتفع المبيعات بعد ظهورها في العرض ارتفع المبيعات بعد ظهورها في العرض ارتفع المبيعات بعد ظهورها في العرض ارتفع المبيعات بعد ظهورها في العرض ارتفع المبيعات,11.760069142100456,30.99083482634441,arb_Arab, قال سيمينوف إن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.,11.760069142100456,30.99083482634441,20.625,22.25
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","في أواخر عام 2017، ظهر ""سيمينوف"" على قناة التسوق التلفزيونية كيو في سي.",ظهرت سيمينوف في وقت متأخر من عام 2017، ظهرت سيمينوف في وقت متأخر من عام 2017، ظهرت سيمينوف في وقت متأخر من عام 2017، ظهرت سيمينوف في وقت متأخر من عام 2017، ظهرت سيمينوف في وقت متأخر من عام 2017، ظهرت سيمين,2.4494029685464445,21.56627194360871,arb_Arab," في أواخر عام 2017، ظهر ""سيمينوف"" على قناة التسوق التلفزيونية كيو في سي.",2.4494029685464445,21.56627194360871,23.25,25.0
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.",كما قامت رينج بتسوية دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,استقر رينغ قضية مع الشركة المنافسة، استقر رينغ قضية مع الشركة المنافسة، استقر رينغ قضية مع الشركة المنافسة، استقر رينغ قضية مع الشركة المنافسة، استقر رينغ قضية مع الشركة المنافسة، استقر رينغ قضية مع الشركة المنافسة، استقر رينغ قضية مع الشركة المنافسة، استقر رينغ قضية مع الشركة,2.6559464788189766,16.469900166112527,arb_Arab, كما قامت رينج بتسوية دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,2.6559464788189766,16.469900166112527,23.25,24.125
