prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.","""Мы теперь имеем 4-месячный-ноздравный млеко, который был раньше был диабетическим, но теперь имеем диабетическое млеко, который был раньше был диабетическим, но теперь имеем диабетическое млеко, который был раньше был диабетическим, но теперь имеем диабетическое млеко, который был раньше был диабетическим, но теперь имеем диабетическое млеко, который был",0.9119981239179452,15.395703437234317,rus_Cyrl," ""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.",0.9119981239179452,15.395703437234317,25.0,25.0
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Согласно предупреждению доктора Эхуда Ура (Ehud Ur), профессора медицины в Университете Дэлхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.","Dr. Ehud Ur, профессор кафедры дермалогии в Дании и член-корреспонденту, доктор медицинских наук, профессор, член-корреспонденту, доктор медицинских наук, профессор, член-корреспонденту, доктор медицинских наук, профессор, член-корреспонденту, доктор медицинских наук, профессор, член-корреспонденту, доктор медицинских наук, профессор, член-корреспонденту, доктор",0.556156680230649,17.716476250618495,rus_Cyrl," Согласно предупреждению доктора Эхуда Ура (Ehud Ur), профессора медицины в Университете Дэлхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.",0.556156680230649,17.716476250618495,25.0,25.0
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.","He не считает, что это может быть решен, что это может быть решен, что это может быть решен, что это может быть решен, что это может быть решен, что это может быть решен, что это может быть решен, что это может быть решен, что это может быть решен, что это может быть решен, что это может быть решен, что это может быть решен, что это может быть решен, что это может быть ре",1.230977085063625,11.234261510442977,rus_Cyrl," Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.",1.230977085063625,11.234261510442977,25.0,25.0
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской Академии, публично заявила во время передачи на шведской радиостанции Sveriges о том, что комитет, которому не удалось связаться с Бобом Диланом напрямую и сообщить ему, что он выиграл Нобелевскую премию по литературе за 2016 год, прекращает попытки выйти с ним на связь.","On Monday, Sara Danius, постоянный секретарь редакции Nobel-клуба в Швеции, публично объявила, что в 2016 году, в Швеции, редакция редакции Nobel-клуба, публично объявила, что в 2016 году, в Швеции, редакция редакции Nobel-клуба, публично объявила, что в 2016 году, в Швеции, редакция редакции Nobel-клу",5.768685193589301,19.482115023218586,rus_Cyrl," В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской Академии, публично заявила во время передачи на шведской радиостанции Sveriges о том, что комитет, которому не удалось связаться с Бобом Диланом напрямую и сообщить ему, что он выиграл Нобелевскую премию по литературе за 2016 год, прекращает попытки выйти с ним на связь.",5.768685193589301,19.482115023218586,25.0,25.0
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".","Danius сказал, ""Сейчас мы делаем ничего. Я позвонил и получил ответа, что это достаточно. Для начала, мы делаем ничего. Я позвонил и получил ответа, что это достаточно. Для начала, мы делаем ничего. Я позвонил и получил ответа, что это достаточно. Для начала, мы делаем ничего. Я позвонил и получил ответа, что это достаточно. Для начала, мы делаем ничего. Я позвонил и получил ответа, что",5.1438153238161055,24.76326452783086,rus_Cyrl," Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".",5.1438153238161055,24.76326452783086,25.0,25.0
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.","The CEO, Jamie Siminoff, сказал, что компания начала с того времени, когда его дверь не слышно от него.",3.0938553696074806,24.766918617543524,rus_Cyrl," Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.",3.0938553696074806,24.766918617543524,20.5,19.25
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","Он сказал, что создал дверной звонок, работающий от WiFi.","He построил телефонный звонок, он построил телефонный звонок.",9.78237574896145,19.316344565104053,rus_Cyrl," Он сказал, что создал дверной звонок, работающий от WiFi.",9.78237574896145,19.316344565104053,24.5,24.0
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Симинофф сказал, что продажи выросли после его появления в выпуске шоу ""Shark Tank"" в 2013 году, где члены жюри отказались финансировать его стартап.","Siminoff сказал, что продажи выросла после его 2013-го эпизода, когда он был представлен на Shark Tank, где он был представлен на Shark Tank, а в 2013-го эпизода, он был представлен на Shark Tank, где он был представлен на Shark Tank, а в 2013-го эпизода, он был представлен на Shark Tank, где он был представлен на Shark Tank, а в",7.470381463652829,29.83953130777103,rus_Cyrl," Симинофф сказал, что продажи выросли после его появления в выпуске шоу ""Shark Tank"" в 2013 году, где члены жюри отказались финансировать его стартап.",7.470381463652829,29.83953130777103,25.0,25.0
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.",В конце 2017 года Симинофф появился на торговом телеканале QVC.,Siminoff appeared на канале QVC.,10.218289380194191,17.979793739062195,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",25.466654589274857,30.027286220005056,22.375,21.5
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.","Ring также выжила с конкурирующими компаниями, ADT Corporation.",9.425569802018437,30.195812819351826,rus_Cyrl," Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.",9.425569802018437,30.195812819351826,19.25,18.875
