prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang
"Q: « Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.
A:","« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","We have now mice of 4 months old who are not diabetic, but we have now mice of 4 months old who are not diabetic, but we have now mice of 4 months old who are not diabetic, but we have now mice of 4 months old who are not diabetic, but we have now mice of 4 months old who are not diabetic, but we have now mice of 4 months old who are not diabetic, but we have now mice of 4 months old who",1.834391418472122,20.138594459272355,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",1.834391418472122,20.138594459272355
"Q: Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.
A:","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dr. Ehud Ur, a professor of medicine at Dalhousie University, has warned that research is still in its early stages.",28.604716537487647,44.8923007337031,eng_Latn," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",28.604716537487647,44.8923007337031
"Q: À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.
A:","À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","To the extent that it is not applicable to people who are already suffering from type 1 diabetes, it is not applicable to people who are already suffering from type 1 diabetes.",7.640775558824018,33.65502261429067,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",7.640775558824018,33.65502261429067
"Q: Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.
A:","Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","On Monday, during a radio show on Sveriges Radio, in Sweden, Sara Danius, the permanent secretary of the Nobel Committee for Literature, announced publicly that the committee, unable to contact Bob Dylan directly, the permanent secretary of the Nobel Committee for Literature, announced publicly that the committee, unable to contact Bob Dylan directly, the permanent secretary of the committee, announced publicly that the committee, unable to contact Bob Dylan directly, the permanent secretary of the committee, announced publicly that the committee, unable to",22.204421819421093,52.98681301502959,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",22.204421819421093,52.98681301502959
"Q: Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »
A:","Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius said: ""In this moment, we are not doing anything. We are not doing anything in this moment, we are not doing anything in this moment, we are not doing anything in this moment, we are not doing anything in this moment, we are not doing anything in this moment, we are not doing anything in this moment, we are not doing anything in this moment, we are not doing anything in this moment, we are not doing anything in this moment, we are not doing",1.9980877794890015,16.91984590551,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",1.9980877794890015,16.91984590551
"Q: Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.
A:","Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Previously, the CEO of Ring, Jamie Siminoff, said that he launched the company when the CEO of Ring, Jamie Siminoff, said that he launched the company when the CEO of Ring, Jamie Siminoff, said that he launched the company when the CEO of Ring, Jamie Siminoff, said that he launched the company when the CEO of Ring, Jamie Siminoff, said that he launched the company when the CEO of Ring, Jamie Siminoff, said that he launched the company when the CEO",6.068750039821331,25.381871934771343,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",6.068750039821331,25.381871934771343
"Q: Il dit avoir conçu une sonnette de porte Wi-Fi.
A:",Il dit avoir conçu une sonnette de porte Wi-Fi.,"He built a WiFi door bell, he said.",He said he designed a wireless door bell.,11.478744233307168,36.731496464141586,eng_Latn," He built a WiFi door bell, he said.",11.478744233307168,36.731496464141586
"Q: M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.
A:",M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,M. Siminoff said that sales have increased after M. Siminoff said that sales have increased after M. Siminoff said that sales have increased after M. Siminoff said that sales have increased after M. Siminoff said that sales have increased after M. Siminoff said that sales have increased after M. Siminoff said that sales have increased after M. Siminoff said that sales have increased after M. Siminoff said that sales have increased after M. Siminoff said that sales have increased after,2.3464194153105953,15.800066126833578,eng_Latn, Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,2.3464194153105953,15.800066126833578
"Q: Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.
A:","Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.","In late 2017, Siminoff appeared on shopping television channel QVC.","In 2017, Siminoff appeared on the QVC channel in 2017, in 2017, Siminoff appeared on the QVC channel in 2017, in 2017, Siminoff appeared on the QVC channel in 2017, in 2017, Siminoff appeared on the QVC channel in 2017, in 2017, Siminoff appeared on the",8.856387214544856,33.79352012559534,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",8.856387214544856,33.79352012559534
"Q: Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.
A:","Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring also set up a trial with a competitor, the ADT Corporation.",32.38350315786145,52.069623597609215,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",32.38350315786145,52.069623597609215
