prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Agora temos ratos de 4 meses de idade que não são diabéticos e que antes eram diabéticos,""complementou.","""Agora temos 4 meses de gatos que não têm 4 meses de gatos que não têm 4 meses de gatos que têm 4 meses de gatos que têm 4 meses de gatos que têm 4 meses de gatos que têm 4 meses de gatos que têm 4 meses de gatos que têm 4 meses de gatos que têm 4 meses de gatos que têm 4 meses de gatos que têm 4 meses de",4.537271308830983,25.064923215177288,por_Latn," ""Agora temos ratos de 4 meses de idade que não são diabéticos e que antes eram diabéticos,""complementou.",4.537271308830983,25.064923215177288,25.0,25.0
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","O Médico Ehud Ur, um professor de medicina na Universidade de Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Canadian Diabetes Association disse que o estudo ainda está dando seus primeiros passos.","Dr. Ehud Ur, professor de medicina, da Dalhousa, Nova Scotia, e o professor de medicina, Dr. Ehud Ur, professor de medicina, da Dalhousa, Nova, Nova, e o professor de medicina, Dr. Ehud, professor de medicina, Nova, Nova, e o professor de medicina, Dr. Ehud, Nova, Nova, e o professor de medicina, Dr. Ehud, Nova, Nova",5.106528695667228,26.062744926640402,por_Latn," O Médico Ehud Ur, um professor de medicina na Universidade de Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Canadian Diabetes Association disse que o estudo ainda está dando seus primeiros passos.",5.106528695667228,26.062744926640402,23.125,23.75
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Assim como alguns outros especialistas, ele é cético sobre a cura do diabetes, observando que essas descobertas não têm relevância às pessoas que já têm diabetes tipo 1.","Como outros especialistas, ele é suspeito de que a diabetes pode ser curado, como outros especialistas, como outros especialistas, como outros especialistas, como outros especialistas, como outros especialistas, como outros especialistas, como outros especialistas, como outros especialistas, como outros especialistas, como outros especialistas, como outros especialistas, como outros especialistas, como outros especialistas, como outros especialistas, como outros especialistas, como outros especialistas, como",5.198881571495403,23.002488010086548,glg_Latn," Do mesmo xeito que outros expertos, amósase escéptico de que a diabetes teña cura e apunta que estes achados non son relevantes para as persoas que xa teñen diabetes de tipo 1.",2.512462369370416,17.953467019605274,25.0,25.0
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Rádio Sveriges na Suécia que o comitê, incapaz de entrar em contato com Bob Dylan diretamente sobre a conquista do Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para contactá-lo.","Sara Danius, a permanente, na Só, Sara, a, na Só, Sara, a, permanente, na Só, Sara, a, permanente, na Só, Sara, a, permanente, na Só, Sara, a, permanente, na Só, Sara, a permanente, na Só, Sara, a permanente, na Só, Sara, a permanente, na Só, Sara, a permanente,",3.5366251877272625,15.209759567861964,krc_Cyrl,,,,25.0,25.0
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius disse: ""Neste momento não estamos fazendo nada. Tenho ligado e enviado e-mails para o seu colaborador mais próximo e tenho recebido repostas muito amigáveis. Por enquanto, isso certamente é o suficiente.""","Danius disse, ""Agora, estamos fazendo nada. A Danius disse, ""Agora, estamos fazendo nada. A Danius disse, ""Agora, estamos fazendo nada. A Danius disse, ""Agora, estamos fazendo nada. A Danius disse, A Danius disse, A Danius disse, A Danius disse, A Danius disse, A Danius disse, A Danius disse, A Danius disse, A",5.184468149241119,21.719320208999946,por_Latn," Danius disse: ""Neste momento não estamos fazendo nada. Tenho ligado e enviado e-mails para o seu colaborador mais próximo e tenho recebido repostas muito amigáveis. Por enquanto, isso certamente é o suficiente.""",5.184468149241119,21.719320208999946,23.125,25.0
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa surgiu quando sua campainha não podia ser ouvida de sua loja em sua garagem.","Anteriormente, o CEO da Ring, Jamie Siminó, a empresa começou quando o seu porta, a empresa, anteriormente, o CEO da Ring, Jamie Siminó, a empresa começou quando o porta, a empresa, anteriormente, a empresa, a empresa, anteriormente, a empresa, a empresa, anteriormente, a empresa, a empresa, anteriormente, a empresa, a empresa, anteriormente, a empresa, a empresa, anteriormente, a empresa, a",9.252164677647988,33.0110045291884,por_Latn," Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa surgiu quando sua campainha não podia ser ouvida de sua loja em sua garagem.",9.252164677647988,33.0110045291884,25.0,25.0
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","Ele montou uma campainha sem fio, disse.","Ele construiu um relógio de WiFi, ele disse que construiu um relógio de WiFi, ele construiu um relógio de WiFi, ele construiu um relógio de WiFi, ele construiu um relógio de WiFi, ele construiu um relógio de WiFi, ele construiu um relógio de WiFi, ele construiu um relógio de WiFi, ele construiu um relógio de WiFi",0.5199315540229602,8.902488523299535,por_Latn," Ele montou uma campainha sem fio, disse.",0.5199315540229602,8.902488523299535,16.25,12.9375
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Siminoff afirmou que as vendas aumentaram após sua aparição de 2013 em um episódio do Shark Tank, no qual os jurados do programa recusaram o financiamento da startup.",Siminoff disse que a venda foi aumentado após a Siminoff disse que a venda foi aumentado após a Siminof disse que a venda foi aumentado após a Siminof disse que a venda foi aumentado após a Siminof disse que a venda foi aumentado após a Siminof disse que a venda foi aumentado após a Siminof disse que a Siminof disse que a Siminof disse que a Siminof disse que a Siminof disse,1.589020724534756,16.067559395859142,por_Latn," Siminoff afirmou que as vendas aumentaram após sua aparição de 2013 em um episódio do Shark Tank, no qual os jurados do programa recusaram o financiamento da startup.",1.589020724534756,16.067559395859142,25.0,25.0
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Siminoff foi exibido no canal de televisão de compras QVC, no final de 2017.","Em 2017, Siminoff aparece na televisão de shopping em 2017, Siminoff aparece na televisão de shopping em 2017, Siminof em 2017, Siminof aparece na televisão de shopping em 2017, Siminof aparece na televisão de shopping em 2010, Siminof aparece na televisão de shopping em 201",3.931934711909701,22.654190337959015,por_Latn," Siminoff foi exibido no canal de televisão de compras QVC, no final de 2017.",3.931934711909701,22.654190337959015,24.5,24.0
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","A Ring ganhou também uma causa judicial contra a empresa de segurança concorrente, a ADT Corporation.",A Ring também resolveu um caso de que também resolveu a empresa de que também resolveu a empresa de que também resolveu a empresa de que também resolveu a empresa de que também resolveu a empresa de que também resolveu a empresa de que também resolveu a empresa de que também resolveu a empresa de que também resolveu a empresa de que também resolveu a empresa de que também resolveu a empresa de que também resolveu a empresa de que também resolveu a empresa de que,1.8276333471467492,15.042392660187154,por_Latn," A Ring ganhou também uma causa judicial contra a empresa de segurança concorrente, a ADT Corporation.",1.8276333471467492,15.042392660187154,25.0,25.0
