prompt,query,reference,generation_ablation,bleu_ablation,chrf_ablation,ablation_lang,reference_lang,bleu_ablation_lang,chrf_ablation_lang,metricx_qe_ablation,metricx_ablation
"Translate the following sentence from English to Hindi:
Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",उन्होंने कहा “कि अब हमारे पास 4 महीने उम्र वाले चूहे हैं जिन्हें मधुमेह नहीं है जो मधुमेह के रोगी थे। ”,"""वै वै वै वै वै वै वै वै वै वै वै वै वै वै वै वै वै वै वै वै वै वै वै वै वै",0.0,0.49472295514511877,mai_Deva," ""ओ आगू कहलथि, हमरा सभ लग आब 4 मासक मूस अछि जे मधुमेह सँ पीड़ित नहि अछि आ जे पहिने मधुमेह"" सँ पीड़ित छल।",0.9833441958415141,0.6379605333254043,25.0,25.0
"Translate the following sentence from English to Hindi:
Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","डॉ. एहुड उर, नोवा स्कोटिया के हैलिफ़ैक्स में डलहौज़ी विश्वविद्यालय में चिकित्सा के प्रोफ़ेसर और कनाडाई डायबिटीज़ एसोसिएशन के नैदानिक ​​और वैज्ञानिक विभाग के अध्यक्ष ने आगाह किया कि शोध अभी भी अपने शुरुआती दिनों में है.",ड्र. एहुद उर ड्र. ड्र. ड्र. ड्र. ड्र. ड्र. ड्र. ड्र. ड्र. ड्र. ड्र. ड्र. ड्र. ड्र. ड्र. ड्र. ड्र. ड्र. ड्र. ड्र. ड्र. ड्र.,2.1951089592782784,3.608682711348847,ita_Latn," Lo studio è ancora in fase iniziale, come dichiarato cautelativamente dal dottor Ehud Ur, professore di medicina alla Dalhousie University di Halifax, Nuova Scozia, e direttore del dipartimento clinico e scientifico della Canadian Diabetes Association.",0.6213575710959174,0.37332828849218025,25.0,24.0
"Translate the following sentence from English to Hindi:
Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","कुछ अन्य विशेषज्ञों की तरह, उन्हें इस बात पर संदेह है कि क्या मधुमेह को ठीक किया जा सकता है, यह देखते हुए कि इन निष्कर्षों की उन लोगों के लिए कोई प्रासंगिकता नहीं है जिन्हें पहले से ही टाइप 1 मधुमेह है.",यही यही यही यही यही यही यही यही यही यही यही यही यही यही यही यही यही यही यही यही यही यही यही यही यही,0.0,2.361987731187663,mai_Deva," किछु आन विशेषज्ञ सभ जेकां ओ एहि संबंध मे संशय मे छथि जे मधुमेह कें ठीक कएल जा सकैत अछि वा नहि, ई देखैत जे ई नव जानकारी सभक टाइप 1 मधुमेह सँ पीड़ित लोकनिक सभ संग कोनो प्रासंगिकता नहि अछि।",0.0,0.853566009104704,24.875,12.875
"Translate the following sentence from English to Hindi:
Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","सोमवार को स्वीडिश अकादमी में साहित्य के लिए नोबेल समिति के स्थायी सचिव, सारा डेनियस, स्वीडन समिति में सेवरिज रेडियो पर एक रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा की, कि साहित्य में 2016 के नोबेल पुरस्कार जीतने को लेकर सीधे बॉब डायलन तक पहुँचने में असमर्थ होकर, अपने प्रयासों को छोड़ चुके थे.",एक दिव्या दिव्या दिव्या दिव्या दिव्या दिव्या दिव्या दिव्या दिव्या दिव्या दिव्या दिव्या दिव्या दिव्य,0.24583826104906925,3.990571395528955,mar_Deva," सोमवारी, सारा डॅनिअस, स्विडिश अकादमी येथील साहित्याच्या नोबेल कमिटीच्या कायमस्वरूपी सचिव यांनी स्विडनमधील स्वेरीज (स्विडिश) रेडिओवरील कार्यक्रमादरम्यान सार्वजनिकरीत्या घोषणा केली की, कमिटीने बॉब डायलन यांच्याशी २०१६ सालचे साहित्यातील नोबेल पारितोषिक मिळाल्याबद्दल थेट संपर्क साधू न शकल्यामुळे, त्यांच्यापर्यंत पोहोचण्याचा प्रयत्न सोडून दिला.",0.10745666364371903,5.489467385839682,25.0,25.0
"Translate the following sentence from English to Hindi:
Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","डेनियस ने कहा, “फ़िलहाल हम कुछ नहीं कर रहे हैं. मैंने अपने साथ काम करने वाले लोगों को ईमेल भेजे हैं और उसने उनके फ्रेंडली जवाब भेजे हैं. अभी के लिए, बस इतना ही बताना चाहूँगा.”",देवनू ने देवनू ने देवनू ने देवनू ने देवनू ने देवनू ने देवनू ने देवनू ने देवनू ने देवनू ने,0.6637917036742567,3.824208951521759,hin_Deva," डेनियस ने कहा, “फ़िलहाल हम कुछ नहीं कर रहे हैं. मैंने अपने साथ काम करने वाले लोगों को ईमेल भेजे हैं और उसने उनके फ्रेंडली जवाब भेजे हैं. अभी के लिए, बस इतना ही बताना चाहूँगा.”",0.6637917036742567,3.824208951521759,25.0,25.0
"Translate the following sentence from English to Hindi:
Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","इससे पहले, रिंग के सीईओ, जेमी सिमिनॉफ ने बताया था कि कंपनी तब शुरू हुई जब उसके दरवाज़े की घंटी उसके गेराज में स्थित दुकान से सुनाई नहीं देती थी।",रिंग्याच्या चार्च्या रिंग्याच्या चार्च्या रिंग्याच्या चार्च्या रिंग्याच्या चार्च्या रिंग्याच्या चार,1.455282884114794,3.674741807570228,mar_Deva," याआधी, रिंगचे सीईओ, जेमी सिमीनऑफ ने असे उद्गार काढले की ही कंपनी तेव्हा सुरु झाली जेव्हा त्याच्या दाराची घंटा त्याच्या गॅरेजमधील दुकानातून ऐकू येत नव्हती.",1.404225658454573,9.934281118713777,25.0,25.0
"Translate the following sentence from English to Hindi:
Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","उन्होंने (जेमी सिमिनॉफ़) कहा, कि उन्होंने एक वाईफ़ाई डोर बेल बनाई है.",वही एक फिन्सिफिक्सिंटें बॉल्लू बॉल्लू बॉल्लू बॉल्लू बॉल्लू बॉल्लू बॉल्लू बॉल्लू बॉ,1.0559717178170818,6.2292662843159,mar_Deva," ते म्हणाले की, त्यांनी WiFi डोअर बेल बनवली आहे.",0.0,3.854625550660793,24.875,24.875
"Translate the following sentence from English to Hindi:
Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"सिमिनॉफ़ ने कहा कि 2013 में शार्क टैंक एपिसोड में उनके दिखने के बाद बिक्री में बढ़ोतरी हुई, जहाँ शो पैनल ने स्टार्टअप को पूँजी लगाने से मना कर दिया.",शार्कटन परीम्स्ट्रूटिशन के लिए निर्णायन निकालने के लिए निर्णायन निकालने के लिए निर्णायन निकालने के लिए न,1.6263909776643135,11.475895998062011,hin_Deva," सिमिनॉफ़ ने कहा कि 2013 में शार्क टैंक एपिसोड में उनके दिखने के बाद बिक्री में बढ़ोतरी हुई, जहाँ शो पैनल ने स्टार्टअप को पूँजी लगाने से मना कर दिया.",1.6263909776643135,11.475895998062011,20.875,21.875
"Translate the following sentence from English to Hindi:
Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","2017 के अंत में, सिमिनॉफ़ शॉपिंग टेलीविज़न चैनल QVC में दिखाई दिए.",ल०००००००००००००००००००००००००००००००००००००००००००००००००,0.0,0.26455026455026454,fin_Latn, Vuoden 2017 lopulla Siminoff esiintyi QVC-ostostelevisiokanavalla.,0.0,0.0,25.0,25.0
"Translate the following sentence from English to Hindi:
Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.",रिंग ने अपनी प्रतिस्पर्धी कंपनी ADT कॉर्पोरेशन के साथ एक मुकदमा निपटाया है.,रिंग ने अपनी अस्टेटमेंटेंटेंटेंटेंटेंटेंटेंटेंटेंटेंटेंटेंटेंटेंटेंटेंटेंटेंटेंटेंटेंटेंटेंटेंटेंटे�,6.814385179012219,16.686245801332568,awa_Deva," रिंग प्रतिस्पर्धी सुरक्षा कंपनी, ADT कारपोरेशन के  साथे  एक मुकदमा भी निपटाय दिहिन।",2.177002209903929,5.795541800042079,23.0,21.875
