prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.","""Tunaona 4-mwezi wa mchana, ambayo ilikuwa ya diabetic, ilikuwa na diabetes.",1.9300431450765243,19.161843225313895,swh_Latn," ""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.",1.9300431450765243,19.161843225313895
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.","Dr. Ehud Ur, mtaalamu wa matibabu wa diabetes, mtaalamu wa matibabu wa diabetes, mtaalamu wa matibabu wa diabetes, mtaalamu wa matibabu wa diabetes, mtaalamu wa matibabu wa diabetes, mtaalamu wa matibabu wa diabetes, mtaalamu wa matibabu wa diabetes, mtaalamu wa matibabu wa diabetes, mtaalamu wa matibabu wa diabetes, mtaalamu wa",4.951407104386746,13.542449660718189,swh_Latn," Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.",4.951407104386746,13.542449660718189
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.","Hata hivyo, alikuwa na wasiwasi wa kutosha kuhusu uwezekano wa kuondolewa kwa diabetes, kwa sababu matokeo haya yamejumuisha uwezekano wa kuondolewa kwa diabetes, kwa sababu matokeo haya yamejumuisha uwezekano wa kuondolewa kwa diabetes.",2.000245408596587,26.32516008245709,swh_Latn," Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.",2.000245408596587,26.32516008245709
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.","Sara Danius, mwanasiasa wa mtaalamu wa Nobel ya 2016 katika maandiko ya Sweden, ilitangaza wakati wa programu ya radio ya Sveriges Radio, mwanasiasa wa mtaalamu wa Nobel wa 2016 katika maandiko ya Sweden, ilitangaza wakati wa programu ya radio ya Sveriges Radio, mwanasiasa wa mtaalamu wa Nobel wa 2016 katika maandiko ya Sweden, ilit",5.755197454153974,28.7837507633438,swh_Latn," Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.",5.755197454153974,28.7837507633438
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""","Danius alisema, ""Sasa tunafanya kitu chochote. Nilipeleka na kutuma barua kwa mshirika wake mkuu na marafiki walio na furaha sana. Kwa sasa, ni kweli kwamba tunafanya kitu chochote.",32.31764029063017,50.864741842035656,swh_Latn," Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""",32.31764029063017,50.864741842035656
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.","Hata hivyo, CEO wa Ring, Jamie Siminoff, alisema kwamba ilianza wakati ringi ilikuwa haifadhiwa kutoka kwenye duka lake la garage.",17.518112095052206,38.97816292344306,swh_Latn," Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.",17.518112095052206,38.97816292344306
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","Aliunda kengele ya mlango ya Wi-Fi, alisema.","He alifanya simu ya WiFi, alisema.",10.434384015500639,35.75679047465013,swh_Latn," Aliunda kengele ya mlango ya Wi-Fi, alisema.",10.434384015500639,35.75679047465013
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.,"Siminoff alisema kwamba mauzo yaliongezeka baada ya kuingia kwenye Shark Tank katika msimu wa 2013, ambapo panel ya Shark Tank ilipoteza malipo ya kuwekeza simu ya simu ya simu ya simu ya simu ya simu ya simu ya simu ya simu ya simu ya simu ya simu ya simu ya simu ya simu ya simu ya simu ya simu",12.307151670022016,39.1323026039894,swh_Latn, Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.,12.307151670022016,39.1323026039894
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.",Siminoff alikwenda kwenye chaneli ya TV ya QVC katika 2017.,13.249171906458194,37.4011447706457,swh_Latn," Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.",13.249171906458194,37.4011447706457
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.",Ring pia ilipigana na ADT Corporation kwa sheria ya kushikamana.,5.961815569304147,25.817895561108834,swh_Latn," Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.",5.961815569304147,25.817895561108834
"Q: While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.
A:","While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","Huku chanjo moja ya majaribio ikionekana kupunguza vifo kutokana na Ebola, hadi kufikia sasa, hakuna dawa zimeonyeshwa dhahiri kufaa kutibu maambukizo yaliyoko.","Kwa kuongeza, vaccine ya kipekee inaweza kupunguza maishio ya Ebola, lakini hadi sasa, dawa zote mbili hazijatambuliwa kwa usahihi kwa kuongeza maishio ya Ebola, lakini hadi sasa, dawa zote mbili hazijatambuliwa kwa usahihi.",2.4421939652539373,26.193099025788985,swh_Latn," Huku chanjo moja ya majaribio ikionekana kupunguza vifo kutokana na Ebola, hadi kufikia sasa, hakuna dawa zimeonyeshwa dhahiri kufaa kutibu maambukizo yaliyoko.",2.4421939652539373,26.193099025788985
"Q: One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.
A:","One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","Kinywaji kimoja cha kingamwili, ZMapp, hapo awali kilionyesha ahadi uwanjani, lakini tafiti rasmi zilionyesha kilikuwa na faida kidogo kuliko ilivyotafutwa katika kuzuia kifo.","Kitu cha kwanza cha zikwenda, ZMapp, ilitambuliwa kwa ufanisi katika mazingira ya mazingira, lakini maudhui ya awali ya maudhui ya zikwenda, ZMapp, ilitambuliwa kwa ufanisi katika mazingira ya mazingira, lakini maudhui ya awali ya zikwenda, ZMapp, ilitambuliwa kwa ufanisi katika mazingira",6.076417448391539,24.27696614768669,swh_Latn," Kinywaji kimoja cha kingamwili, ZMapp, hapo awali kilionyesha ahadi uwanjani, lakini tafiti rasmi zilionyesha kilikuwa na faida kidogo kuliko ilivyotafutwa katika kuzuia kifo.",6.076417448391539,24.27696614768669
