prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Agora temos ratos de 4 meses de idade que não são diabéticos e que antes eram diabéticos,""complementou.","""Nós agora temos 4 meses de idade, os ratos agora têm 4 meses de idade, nós agora temos 4 meses de idade, os ratos agora têm 4 meses de idade, nós agora temos 4 meses de idade, os ratos agora têm 4 meses de idade, nós agora temos 4 meses de idade, os ratos agora têm 4 meses de idade, nós agora temos 4 meses de idade, os ratos agora têm 4 meses de",3.3795889894880022,22.915969680390436,por_Latn," ""Agora temos ratos de 4 meses de idade que não são diabéticos e que antes eram diabéticos,""complementou.",3.3795889894880022,22.915969680390436
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","O Médico Ehud Ur, um professor de medicina na Universidade de Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Canadian Diabetes Association disse que o estudo ainda está dando seus primeiros passos.","O Dr. Ehud Ur, professor de medicina, o Dr. Ehud Ur, professor de medicina, A pesquisa ainda está em seus estágios iniciais.",7.363940133513353,25.774531464573432,por_Latn," O Médico Ehud Ur, um professor de medicina na Universidade de Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Canadian Diabetes Association disse que o estudo ainda está dando seus primeiros passos.",7.363940133513353,25.774531464573432
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Assim como alguns outros especialistas, ele é cético sobre a cura do diabetes, observando que essas descobertas não têm relevância às pessoas que já têm diabetes tipo 1.","Como outros especialistas, ele é cético em relação ao fato de que a cura da diabetes é algo que, como outros especialistas, ele é cético em relação ao fato de que a cura da diabetes é algo que, como outros especialistas, ele é cético em relação ao fato de que a cura da diabetes é algo que, como outros especialistas, ele é cético em relação ao fato de que a cura da diabetes é algo que, como outros especialistas, ele é cético em relação ao fato",7.606200992531086,31.859830481187796,por_Latn," Assim como alguns outros especialistas, ele é cético sobre a cura do diabetes, observando que essas descobertas não têm relevância às pessoas que já têm diabetes tipo 1.",7.606200992531086,31.859830481187796
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Rádio Sveriges na Suécia que o comitê, incapaz de entrar em contato com Bob Dylan diretamente sobre a conquista do Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para contactá-lo.","Na segunda-feira, Sara Danius, o Comitê anunciou que, na segunda-feira, o Comitê anunciou que, na segunda-feira, o Comitê anunciou que, na segunda-feira, o Comitê anunciou que, na segunda-feira, o Comitê anunciou que, na segunda-feira, o Comitê anunciou que, na segunda-feira, o Comitê anunciou que, na segunda-feira, o Comitê anunciou que,",10.447712098776549,21.6019152558311,por_Latn," Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Rádio Sveriges na Suécia que o comitê, incapaz de entrar em contato com Bob Dylan diretamente sobre a conquista do Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para contactá-lo.",10.447712098776549,21.6019152558311
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius disse: ""Neste momento não estamos fazendo nada. Tenho ligado e enviado e-mails para o seu colaborador mais próximo e tenho recebido repostas muito amigáveis. Por enquanto, isso certamente é o suficiente.""","Danius disse: ""Agora, nós não estamos fazendo nada. Agora, nós não estamos fazendo nada. O Dânio disse: ""Agora, nós não estamos fazendo nada. Agora, nós não estamos fazendo nada. O Dânio disse: ""Agora, nós não estamos fazendo nada. Agora, nós não estamos fazendo nada. O Dânio disse: ""Agora, nós não estamos fazendo nada. Agora, nós não estamos fazendo nada. O Dânio disse: ""Agora, nós",7.308977329870753,24.50870198070571,por_Latn," Danius disse: ""Neste momento não estamos fazendo nada. Tenho ligado e enviado e-mails para o seu colaborador mais próximo e tenho recebido repostas muito amigáveis. Por enquanto, isso certamente é o suficiente.""",7.308977329870753,24.50870198070571
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa surgiu quando sua campainha não podia ser ouvida de sua loja em sua garagem.","Anteriormente, a empresa começou quando o sino da campainha não é audível, o que significa que o sino da campainha não é audível, o que significa que o sino da campainha não é audível, o que significa que o sino da campainha não é audível, o que significa que o sino da campainha não é audível, o que significa que o sino da campainha não é audível, o que significa que o sino da",4.277296804696043,27.65526848209261,por_Latn," Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa surgiu quando sua campainha não podia ser ouvida de sua loja em sua garagem.",4.277296804696043,27.65526848209261
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","Ele montou uma campainha sem fio, disse.","Ele construiu um campainha, ele construiu um campainha.",10.82597837309053,29.148272363215703,por_Latn," Ele montou uma campainha sem fio, disse.",10.82597837309053,29.148272363215703
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Siminoff afirmou que as vendas aumentaram após sua aparição de 2013 em um episódio do Shark Tank, no qual os jurados do programa recusaram o financiamento da startup.",As vendas aumentaram depois que Siminoff disse que as vendas aumentaram depois que As vendas aumentaram depois que As vendas aumentaram depois que As vendas aumentaram depois que As vendas aumentaram depois que As vendas aumentaram depois que As vendas aumentaram depois que As vendas aumentaram depois que As vendas aumentaram depois que As vendas aumentaram depois que As vendas aumentaram depois que As vendas aumentaram depois que As vendas aumentaram depois que As vendas aumentaram depois que As vendas aumentaram depois que,4.582213027214193,19.29982954342949,por_Latn," Siminoff afirmou que as vendas aumentaram após sua aparição de 2013 em um episódio do Shark Tank, no qual os jurados do programa recusaram o financiamento da startup.",4.582213027214193,19.29982954342949
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Siminoff foi exibido no canal de televisão de compras QVC, no final de 2017.","No final de 2017, Siminoff apareceu na televisão de compras, o que apareceu na televisão de compras, o que apareceu na televisão, o que apareceu na televisão, o que apareceu na televisão, o que apareceu na televisão, o que apareceu na televisão, o que apareceu na televisão, o que apareceu na televisão, o que apareceu na televisão, o que apareceu na televisão, o que apareceu na televisão, o que apare",4.6928388306211914,27.556031008946736,por_Latn," Siminoff foi exibido no canal de televisão de compras QVC, no final de 2017.",4.6928388306211914,27.556031008946736
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","A Ring ganhou também uma causa judicial contra a empresa de segurança concorrente, a ADT Corporation.",O Anel também resolveu um processo com a empresa de segurança. O anel também resolveu um processo com a empresa de segurança.,9.615094003919298,30.50649441297094,por_Latn," A Ring ganhou também uma causa judicial contra a empresa de segurança concorrente, a ADT Corporation.",9.615094003919298,30.50649441297094
