prompt,reference,generation_baseline,generation_function_vector,bleu_baseline,bleu_function_vector,chrf_baseline,chrf_function_vector,function_vector_lang,bleu_function_vector_lang,chrf_function_vector_lang
"Q: Pittman suggested that conditions wouldn't improve until sometime next week.
A:", Pitman insinuó que las condiciones no mejorarían hasta la semana siguiente., Pittman sugirió que las condiciones no mejorarían hasta algún momento próximo.," The question seems to be asking for a specific time frame or condition that Pittman believes will improve. However, the text does not provide any information about Pittman's predictions or expectations regarding conditions. Therefore, it is impossible to determine the exact time frame or condition that Pittman suggested would improve.",46.825687910244014,0.6728248038139729,58.117877399050634,14.866748750429181,eng_Latn,4.337983821381413,30.21938762836276
"Q: Each of these nomadic rampages or marches lasts for approximately 17 days.
A:", Cada uno de estos desmadres o marchas errantes dura aproximadamente 17 días., Cada uno de estos desplazamientos o marchas nomadíacos dura aproximadamente 17 días.," Which of the following is a synonym for ""rampage""?",38.021155610492436,0.0,74.13863710721077,5.812129937432772,eng_Latn,2.725762876425168,19.0118956035579
"Q: The different constructions have different capabilities, are sensitive to different wave-lengths and have differing degrees of acuity, also they require different processing to make sense of the input and different numbers to work optimally.
A:"," Las distintas construcciones tienen diferentes capacidades, son susceptibles de tener distintas longitudes y grados de agudeza; también requieren un procesamiento diferenciado para dar sentido a la entrada y números disímiles para que funcionen de forma óptima."," Las diferentes construcciones tienen diferentes capacidades, son sensibles a diferentes longitudes de onda y tienen diferencias en la acústica, también requieren diferentes procesamiento para entender el input y diferentes números para funcionar optimamente."," The different constructions have different capabilities, are sensitive to different wave-lengths and have differing degrees of acuity, also they require different processing to make sense of the input and different numbers to work optimally.",20.081953852342565,0.8379704668482366,50.36586597720185,20.00479550783261,eng_Latn,100.00000000000004,100.0
"Q: The typhoon is estimated to be moving toward China at eleven kph.
A:", Se calcula que el tifón se desplaza en dirección a China a 11 km/h., El huracán está estimado moviéndose hacia China a 11 km/h., The typhoon is estimated to be moving toward China at eleven kph.,30.872297363852297,2.4160274660569665,31.40021849861277,14.638249790534308,eng_Latn,100.00000000000004,100.0
"Q: Massa is due to be out for at least the rest of the 2009 season.
A:", Massa debe estar fuera durante al menos lo que resta de la temporada 2009., Massa está listo para estar fuera de la temporada de 2009 por lo menos durante el resto de la temporada., Massa is due to be out for at least the rest of the 2009 season.,9.84610795142858,2.445593937240363,52.00642285839372,18.445819291083616,eng_Latn,100.00000000000004,100.0
"Q: One of strong points of Charlotte, North Carolina, is that it has an abundance of high-quality options for families.
A:"," Una de las principales ventajas de Charlotte, en Carolina del Norte, es que ofrece un buen número de opciones de calidad para familias."," Una de las principales fortalezas de Charlotte, Nueva York, es que tiene una abundancia de opciones de alta calidad para familias."," Based on the information provided, one of the strong points of Charlotte, North Carolina, is its abundance of high-quality options for families. This suggests that Charlotte offers a variety of amenities, services, and attractions that cater to the needs and preferences of families, making it an attractive place to live or visit for those seeking a family-friendly environment.",32.69625311331097,1.132776948658847,58.82064731682991,22.072109213159493,eng_Latn,21.170311128409615,58.953938554352625
"Q: This makes inexpensive zoom lenses hard to use in low-light conditions without a flash.
A:", Esto hace que las lentes con zoom económicas no sean fáciles de utilizar en condiciones de poca luz o sin flash., Esto hace que los lentes de zoom económicos sean difíciles de usar en condiciones de luz oscura sin una iluminación.," No, inexpensive zoom lenses are not hard to use in low-light conditions without a flash. In fact, they are often the best choice for low-light photography because they offer a wide range of focal lengths and can be easily adjusted to different lighting conditions. However, if you need a flash, you can still use a zoom lens with a flash mount, such as a telephoto",12.286996020967836,1.2224966503308727,52.712822431395054,18.32919050848915,eng_Latn,18.3159503668336,51.226493457008345
"Q: Traditionally, the heir to the throne would go straight into the military after finishing school.
A:", Es tradición que el futuro sucesor del trono se enliste directamente en el ejército tras finalizar su educación escolar.," Tradicionalmente, el heredero a la corte se diría directamente al ejército después de terminar la escuela."," The traditional path for a person to become a military officer is to complete a military academy, which is a school that prepares students for military service. After completing the academy, the individual would then go to the military and serve in a specific branch or unit. However, it's important to note that the path to becoming a military officer can vary depending on the country and the specific",3.973293314223658,0.44476523315234656,27.716002003512465,14.167145098571469,eng_Latn,1.750586769963558,29.192912759800755
"Q: A cell is the smallest structural and functional unit of a living (things) organism.
A:", Se define a la célula como la más pequeña unidad estructural y funcional que forma un organismo (cosas) vivo., Q: ¿Cuál es la unidad estructural y funcional más pequeña de una vida (cosa) vivo?, A cell is the smallest structural and functional unit of a living organism.,26.558089698943796,1.7143713968707794,44.78966968626694,22.573057735828517,eng_Latn,72.14103859635675,86.4595428458876
"Q: Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.
A:"," Los principales investigadores principales sostienen que esto puede permitir la detección precoz del cáncer, la tuberculosis, el VIH y la malaria en pacientes de países de bajos recursos, donde la tasa de supervivencia de enfermedades como el cáncer de mama puede ser la mitad de la de los países más avanzados."," Los investigadores de la investigación de liderazgo dicen que esto podría llevar a la detección temprana de cáncer, tuberculosis, HIV y malaquita a los pacientes en países de bajos ingresos, donde las tasas de supervivencia para enfermedades como el cáncer de mama pueden ser de la mitad de las de"," The researchers say that the technology could be used to detect diseases such as tuberculosis, HIV and malaria in patients in low-income countries, where the survival rates for illnesses like breast cancer can be half those of richer countries.",28.24889414293412,3.614411062119435,55.32392711003226,18.952657170036467,eng_Latn,64.3032893272445,76.59053131036342
