prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector,commet_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Limu wax mooy, leegi am nañu am jinaxu 4 weer yu musoon am jabet te leegi ama tuñu ko. ""","""We now have 4-month-old mice that are non-diabetic that used to be diabetik, we now have 4-month-old mice that are non-diabetic that used to be diabetik, we now have 4-month-old mice that are non-diabetic that used to be diabetik, we now have 4-month-old mice that are non-diabetic that used to be diabetik, we now have 4-month-old mice that are non-diabetic that used",0.40639704279602973,8.276074397229413,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",19.147770516227514,51.39184276455033,24.75,25.0,-0.01251220703125
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dr. Ehud Ur, professor ci walum paj ci dara bu magg bi Dalhousie ca Halifax, Nova Scotia ak siisu paccu paj ak xam-xam ca mbootay ñu am jabët ci Kanadaa artuna ni saaytu bi dama nekk ci bés yu jiitu yi.",Dr. Ën Ën Ën Ën Ën Ën Ën Ën Ën Ën Ën Ën Ën Ën Ën Ën Ën Ën Ën Ën Ën Ën Ën Ën Ën Ën Ën Ën Ën Ën Ën Ën Ë,1.0797096550109928,1.7725862061362476,ltz_Latn," Den Dr. Ehud Ur, Medezinprofesser un der Dalhousie University zu Halifax (Neischottland) a Virsëtzende vun der klinescher a wëssenschaftlecher Abteilung vun der Canadian Diabetes Association huet virdru gewarnt, datt d'Fuerschung nach an de Kannerschong stieche géif.",0.9581884408225197,2.706721982341562,24.375,25.0,-0.05322265625
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Ni yénééni borom xamxam yi, geemulni gni am jabét meenna gno wér, di waxni geestu yi amugnu solo dara ci nit yi am jabétu Type 1.","The study is not a study of people who have diabetes, but a study of people who have diabetes. The study is not a study of people who have diabetes, but a study of people who have diabetes. The study is not a study of people who have diabetes, but a study of people who have diabetes. The study is not a study of people who have diabetes, but a study of people who have diabetes. The study is not a study of people who have diabetes, but a study of",0.426878472907377,7.904860040413484,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",1.3074494969921748,20.322076810020384,24.625,25.0,-0.031005859375
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Altine, Sara Danius, sekreteer permanaa bu Comité Nobel bu literature ci Academi bu Suede, dafa xamle ci benn emisioŋu rajo ci Sveriges Radio ca Suède ni ginaaw kuréel gi mënul jokkoo ak Bob Dylan ci ki gàddu neexalu Nobel ci literature 2016, dakkal nañu li ñu ko doon jéema jokkoo ak moom.","Sara Daniu, nuyu, nuyu, nuyu, nuyu, nuyu, nuyu, nuyu, nuyu, nuyu, nuyu, nuyu, nuyu, nuyu, nuyu, nuyu, nuyu, nuyu, nuyu, nuyu, nuyu, nuyu, nuyu, nuyu, nuyu,",1.117610929050461,5.195767293734678,quy_Latn," Killachay punchawta, Sara Danius, qillqa kamayuq comité nobel qillqaypi suntur wasi sueca suyupi, willakurqan llaqta runaman, wayrawasi radio Sverige chawpinta suecia suyupi, comité, mana willanakuy munasqanpi Bob Dylan Nobel de literatura suñakuy aypasqanmanta 2016 watapi, tatichisqa payman aypayninta.",1.3116657166396477,7.5901366767645735,25.0,25.0,-0.05615234375
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius wax na ni, “Fimne nii defu ñu dara. Woote na te yónnee naa ay m-bataaxal ci way-liggéeyandoowam biko gëna jege te jot ay tontu yu neex lool. Léegi, loolu war naa doy.”",I am not sure if we are doing nothing. I am not sure if we are doing anything. I am not sure if we are doing anything. I am not sure if we are doing anything. I am not sure if we are doing anything. I am not sure if we are doing anything. I am not sure if we are doing anything. I am not sure if we are doing anything. I am not sure if we are doing anything. I am not sure if we are doing anything.,0.4724186878758777,9.351011413329317,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",4.752280407536617,18.288089934091527,20.5,25.0,-0.0087890625
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Bu njëkk, Direktëru Ring, Jamie Siminoff, dafa gisoon ni këru liggéeyukaay bi tambaliwoon na biñu mënul woon dégg limuy sab ci magasiinam bi nekk ci garaasam.",The door bell was a nuku nuku nuku nuku nuku nuku nuku nuku nuku nuku nuku nuku nuku nuku nuku nuku nuku nuku nuku nuku nuku nuku nuku nuku nuku nuku nuku nuku nuku nuku nuku nuk,0.0,4.271826547771431,als_Latn," Më parë, drejtori ekzekutiv i ""Ring"", Xhemi Siminof, theksoi se shoqëria nisi aktivitetin kur nuk mund ta dëgjonte zilen e derës së dyqanit të tij në garazhin e tij.",0.6643193146386905,4.181793889012697,24.375,25.0,-0.0693359375
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","Defar na ab sonëri buntu buy doxee WIFI, ci limu wax.","He built a WiFi door bell, he said.",2.242173863464727,9.85828100581873,eng_Latn," He built a WiFi door bell, he said.",100.00000000000004,100.0,25.0,25.0,1.0078125
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff wax na ne njaay yi dañoo yokku gannaaw ba mu feeñee ci 2013 ci benn episodu Shark Tank fa gurupi xew xew gi bañee dugal seen xaalis ci këru liggéeyukaay gu ndaw guy dooga door.,Siminoff said sales boosted after his 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 2013 201,2.6084880801929686,6.433006365211452,roh_Latn,,,,25.0,25.0,0.01611328125
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Ci njeexte 2017, la Siminoff feeñ ci television buy siiwal njaay bii di QVC.","Siminoff was on QVC in late 2017, and she was on Qeej jeej jeej jeej jeej jeej jeej jeej jeej jeej jeej jeej jeej jeej jeej jeej jeej jeej jeej jeej jeej jeej jeej jeej jeej jeej jeej jee",2.528878218509562,18.57663043216054,lim_Latn, Ind 2017 versjijnde Sinimoff op tèllevisie bij de verkaopzender QVC.,1.1425497125652677,10.341780467751093,17.25,23.0,0.005035400390625
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.",Ring lijjanti na jàppante bi amoon ci wàllu yoon ak ADT Corporation bii di seen wujj ci liggéey.,The ring also settled a lawsuit with the ADT Corporation.,4.178873129101046,19.969986000788545,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",52.58479114901755,62.336756251318924,23.625,24.375,0.80078125
"Q: While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.
A:","While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","Naam amna benn ñaq buñ gis ni mën na wàññi limu ñiy faatu ci Ebola, ba leegi amul benn garab bu ñu gis ni mën na faj ñi am feebar bi.",The biyayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayay,0.7144315612998046,2.453505390946257,quy_Latn," Sichus huk vacuna experimental nisqa ebola wañuy unquyta pisipachinman, kunankama manaraqmi ima hampikamayuqpa hampi tañichiqta urqumunraqchu.",0.0,2.9143915924206723,24.0,25.0,-0.07177734375
"Q: One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.
A:","One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","Benn kokteelu antikoor, ZMapp, wonewn na yaakaar ci geew bi, wante ay njangat yu jaar yoon wone nañu njureefam bëriwul ca nañu ko seeteewoon ngir aar dee.",The biyayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayay,0.7144315612998046,2.7249424868806043,quy_Latn," Huk cóctel de anticuerpos nisqam, ZMapp nisqa, ñawpaqninmanta allinta rikuchikusqa karqan, ichaqa allin yachaykuna nisqanku, pisilla beneficiokunata tiyasqa chanta maskanapaq wañuyta llallinanpaq kasqa.",0.0,3.466905389043328,25.0,24.875,-0.0732421875
"Q: In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.
A:","In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.","Ci saytug PALM, ZMapp la ñu ko doon càmbaree, loolu mooy wane ni scientifique yi dañu ko jëfandikoo ni royuwaay ba noppi ñu mengale ko ak yeneen ñaati pajtal.",The control was a biyayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayay,0.6866732953963861,3.6254798406469066,quy_Latn," PALM, ZMapp ensayo nisqapi haqkanapaqmi kasqa, chayqa nimunmi hamawtakuna chaywan ruraranku sinri sapinta tupachinaranku ima chay kimsa huk paywan hapisqanwan.",0.0,4.662238392001655,23.0,25.0,-0.0040283203125
"Q: USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.
A:",USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,USA Gymnastics dafay dooleel bataaxalu Comité olympique américain ba noppi nangu bëgg-bëggu njabootu waa olympique ngir amal tàggat gi ci anam yu am kaaraange ndax musal athlete yi ci loraange.,"USA Gymnàs, nàs, nàs, nàs, nàs, nàs, nàs, nàs, nàs, nàs, nàs, nàs, nàs, nàs, nàs, nàs, nàs, nàs, nàs, nàs, nàs, nàs, nàs, nàs, nà",0.9621613720042518,3.7962782830217234,lmo_Latn, La USA Gymnastics la sostegn la letra dol comitad ollimpic dei Stats Units e la tœ ‘l besogn asollud de la famiia ollimpica de promovir un ambient sugur par tuts i lor atlets.,1.0648065942311606,4.368213557071758,25.0,25.0,-0.0478515625
"Q: We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.
A:","We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.","And nañu ak waxu USOC bi ni li geen ci sunu jonganté kat yi ak kureelu jonganté yi, ak sén taggat yaram, mën na genne jem ci kanam ak ay soppité yu am solo ci bir, mo genn wét.","We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, and we do not agree with the decetee biy biy biy biy biy biy biy biy biy biy biy biy biy biy biy biy biy biy biy biy biy biy biy biy biy biy biy bi",1.2492747348816378,12.593782937151806,szl_Latn," Zgodzōmy sie z ôświadczyniym USOC, iże interesa ôd naszych szportowcōw i klubōw, a tyż jejich szportu, mogōm być lepij spiyrane bez kōntynuowanie z prawymi pōmianami w naszyj ôrganizacyji, a niy cofanie licyncyji.",1.193610540925682,15.314321939079424,25.0,25.0,0.041748046875
"Q: USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.
A:",USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,"USA Gymnastics amal na lànket bu jàmbure bu mëna indi ay leeral ci jublang gu ànd ak fit gi ñi jota mucc ci Larry Nassar mënoon na jàll te kenn du ci xam dara, tax dina ñu indi bépp coppite gu war ngir loolu baña amati.",USA Gymnànnu nuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuqnuq,0.732802327574171,4.642683875377164,quy_Latn," USA Gymnastics q'imichasqa huk sapan yachay t'aqwiyta k'anchayta ch'oqamunman abuso de la proporción descrita nisqa pataman allin qharichaywan llapan Larry Nassar kawsaqkunarayku, mana rikusqas pasanmankaran unay matakunapi chaskiytapas ima allin chanin t'iqraytapas.",0.732802327574171,4.4595662156712095,25.0,25.0,-0.03369140625
"Q: USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.
A:","USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.",Gimnastik bu Amerig ak USOC ñoo bokk jubluwaay — fexe ba gimnastik ak yeneen xeeti tàggat yaram wóor ngir jongantekat yi topp seeni mbëbët ci nekkin bu baax te am doole.,USA Gymnastikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikikik,0.7252854126424073,4.399487904624662,bak_Cyrl," АҠШ гимнастикаһы менән АҠШ Олимпия комитетының маҡсаты бер – атлеттар хәүефһеҙ, ыңғай һәм уңайлы мөхиттә үҙ хыялдарына өлгәшә алһын өсөн, гимнастика һәм башҡа спорт төрҙәрен мөмкин тиклем хәүефһеҙ итеү.",0.0,0.0,23.875,25.0,-0.034423828125
"Q: Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.
A:","Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.","Ci atum 1960, Brzezinski liggéeyal na for John F. Kennedy niki konseyeem ak adnistarasiyoŋ bu Lyndon B. Johnson.",Brzezniak wuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñuñ,0.70027739171007,3.1306087428736666,ast_Latn," Na década de los años 60, Brzezinski trabayó como conseyeru pa John F. Kennedy y dempués pa l’alministración de Lyndon B. Jonhson.",0.70027739171007,2.6850622900127186,25.0,25.0,-0.04443359375
"Q: During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.
A:","During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.","Ci diiru tànneef yu 1976 dafa diggal Carter ci politiku bitim réew, daldi liggéey ne Joxekatu Xalaat ci Karaange Biir Réew mi (NSA) dalee ko ci 1977 ba 1981,wutu Henry Kissinger.",He was a jummi jummi jummi jummi jummi jummi jummi jummi jummi jummi jummi jummi jummi jummi jummi jummi jummi jummi jummi jummi jummi jummi jummi jummi jummi jummi jummi jummi jummi jummi jummi jummi j,0.0,2.8837198767021106,mlt_Latn," Matul lis-selezzjonijiet tal-1976 huwa ta parir lil Carter dwar il-politika barranija, imbagħad serva bħala Konsulent tas-Sigurtà Nazzjonali (NSA) mill-1977 sal-1981, wara Henry Kissinger.",0.0,2.8611892962221375,25.0,25.0,-0.05859375
"Q: As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.
A:","As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.","Niki ab NSA, jàppale na Carter ngir saytu ci anam bu rafet mbiri addina bi, yu melni Deggoo yuñu amal ci Camp David, ci atum 1978; tek lëkkaloo Amerik ak Siin ci ay Sàrt ci njextalu ati 1970 yi, Rewolisiyoŋ bu Iran, bi waraloon ay kirisu otaas yi ci Iran, 1979; ak congum Sowiyetik yi ci Afganistaan, 1979.","As NSA, he wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu",0.6366131508082952,2.133838668026499,tso_Latn," Tanihi NSA, u pfune Carter eku tameleni timhaka misava hi vutswatsi, tanihi Camp David Accords, 1978; a hlela vuxaka exikarhi ka US–China emalembeni ya le ku heleni ka va-1970; Hundzuluko wa Iran, loyi vangeke hasahasa ya mpfalelo wa Iran, hi 1979; swin’we ni ku hlasela ka Soviet le Afghanistan, hi 1979.",0.849479416751502,2.388929651799896,24.5,25.0,-0.01104736328125
"Q: The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.
A:","The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.","Film bi, digganté Ryan Gosling ak Emma Stone, amna ay raaya ci tollu waay yu mag yepp.","The movie, yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee yee y",0.70027739171007,2.4954168195103783,dik_Latn, Anyiköl wën yennë dai cï raan Ryan Gosling ku Emma Stone cïk lɔ̈m ë dhɔ̈ldït juɛ̈ɛ̈cic.,0.0,1.4156466591633068,25.0,25.0,-0.01251220703125
"Q: Gosling and Stone received nominations for Best Actor and Actress respectively.
A:",Gosling and Stone received nominations for Best Actor and Actress respectively.,Tabë nañu Gosling ak Stone ci Acteur ak Actrice yu gena rañeku.,Gosling and Stone biyayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayayay,1.5198578415124373,14.202267660035279,quy_Latn," Gosling, Stonepiwan Aswan sumaq Aktur, Actrispiwan sutichaykunatan chaskiranku.",1.5198578415124373,9.70632132215503,23.25,23.75,0.0008544921875
"Q: The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay.
A:","The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay.","Yenneen tànneef yi bokk na ci Nataal bi gën, Njiit, Sinematogarafi, West yi, defarub film, misik piire, njureef defar, Defar ab deglu, Boole ay deglu ak Ekaraan piire.","The other nominations include Best Picture, Director, Cinnaa, naa, naa, naa, naa, naa, naa, naa, naa, naa, naa, naa, naa, naa, naa, naa, naa, naa, naa, naa, naa, naa, naa, naa, naa, naa, naa, naa, naa, naa,",0.8435153871730833,10.431423452762584,krc_Cyrl,,,,24.375,24.75,-0.01483154296875
"Q: Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio.
A:","Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio.","Ñaari woyi filmy bi, Audition (Dof Yuy Gént) ak Dëkku Biddew yi, dañ leen lim ci ñi bokk ci woyu cosaan yi dàq. Istijoo Lionsgate jot na 26 ci ay nit yuñu lim – ëppale istijoo yépp.","The Fools who dream, wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu",0.5475443879136198,2.276785910739839,tso_Latn," Tinsimu timbirhi eka fililmi, Odixini (The Fools Who Dream) na Dorobakulu of Stars, ti langiwile eka risimu ro sungula ro famba emahlweni. Xitudiyo xa Lionsgate xi langiwile ka 26 — ku tlula xitudiyo xihi ni xihi xin’wana.",1.1892629985324792,5.745539543731307,24.875,25.0,-0.027099609375
