prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector,commet_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.","""Nous avons maintenant des souris de 4 mois qui sont non diabétiques qui étaient diabétiques, nous avons eu des souris de 4 mois qui étaient diabétiques, nous avons eu des souris de 4 mois qui étaient diabétiques, nous avons eu des souris de 4 mois qui étaient diabétiques, nous avons eu des souris de 4 mois qui étaient diabétiques, nous avons eu des souris de",7.987346684268201,32.2780463754516,fra_Latn," « Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.",7.987346684268201,32.2780463754516,24.25,23.25,-0.02685546875
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.","Dr. Ehud Ur, professeur de médecine à Dalhousie, Halifax, en Nouvelle-Écosse, et le conseil de la recherche est encore en état d’être en début de temps.",21.61205277343828,40.13780425278575,fra_Latn," Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.",21.61205277343828,40.13780425278575,16.0,16.625,0.05419921875
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.","Comme d’autres experts, il est sceptique quant à la possibilité de guérir le diabète, notant que ces résultats n’ont aucun rapport avec les personnes qui ont déjà le diabète de type 1, les résultats ne sont pas liés à la possibilité de guérir le diabète, il est possible de guérir le diabète, les résultats ne sont pas liés à la possibilité de guérir le diabète",26.4803643498084,57.0690002998488,fra_Latn," À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.",26.4803643498084,57.0690002998488,22.75,21.5,0.037109375
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.","Le Sénateur de la Cour de la Noblesse, incapable de parvenir à Bob Dylan, le Sénateur de la Cour de la Noblesse, incapable de parvenir à Bob Dylan, incapable de parvenir à Bob Dylan, incapable de parvenir à Bob Dylan, incapable de parvenir à Bob Dylan, incapable de parvenir à Bob Dylan, incapable de parvenir à Bob Dylan, incapable de parvenir à Bob Dylan, incapable de parvenir à Bob Dylan, incapable de",4.0681730722753375,18.748489179305132,fra_Latn," Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.",4.0681730722753375,18.748489179305132,25.0,25.0,-0.033447265625
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »","Danius a dit, « Nous ne faisons rien actuellement. Je lui ai appelé et j’ai reçu des réponses très amicalement. Pour l’heure, cela suffit certainement. Nous ne faisons pas actuellement tout simplement. Je lui ai appelé et j’ai reçu des réponses très amicalement. Pour l’heure, cela suffit certainement. Nous ne faisons pas simplement actuellement. Je lui ai appelé et j’ai re",13.237361928223603,41.21966529026438,fra_Latn," Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »",13.237361928223603,41.21966529026438,24.0,25.0,0.0810546875
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.","Il y a une fois, le chef de la société Ring, Jamie Siminoff, dit que le son de son porte-son n'était pas audible de son garage, il y a une fois, le chef de la société Ring, Jamie Siminoff, dit que le son de son porte-son n'était pas audible de son garage, il y a une fois, le chef de la société Ring, Jamie Siminoff, dit que le son de son porte-son n'était pas",11.782756636643743,35.47461838324277,fra_Latn," Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.",11.782756636643743,35.47461838324277,25.0,25.0,-0.031005859375
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.",Il dit avoir conçu une sonnette de porte Wi-Fi.,"Il a construit un système de WiFi, il dit.",4.053997537205932,19.63282414771398,fra_Latn, Il dit avoir conçu une sonnette de porte Wi-Fi.,4.053997537205932,19.63282414771398,13.5625,13.625,0.20703125
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,Siminoff dit qu’Il a augmenté les ventes après son apparition sur le show Shark Tank où le show panel a refusé de faire de l’entreprise de l’augmenter après l’apparition sur le show Shark Tank où le show panel a refusé de faire de l’entreprise de l’augmenter après l’apparition sur le show Shark Tank où le show panel a refusé de faire de l’entreprise de l’aug,11.170825816930853,38.782291879598866,fra_Latn, M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,11.170825816930853,38.782291879598866,23.625,23.875,-0.00830078125
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.","En 2017, Siminoff a apparu sur la chaîne de télévision de commerce QVC en fin de 2017.",43.18575710208896,62.53223205109998,fra_Latn," Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.",43.18575710208896,62.53223205109998,5.65625,7.6875,0.8984375
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.","La Cour a également résolu une affaire de la société de sécurité, la société ADT, qui a résolu une affaire de la société de sécurité, la société ADT, qui a résolu une affaire de la société de sécurité, la société ADT, qui a résolu une affaire de la société de sécurité, la société ADT, qui a résolu une affaire de la société de sécurité, la société ADT, qui a résolu une affaire de",1.2435106431164566,20.571298825949707,fra_Latn," Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.",1.2435106431164566,20.571298825949707,24.75,24.375,-0.047607421875
