prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。,"""Weは、4ヶ月の子供が糖尿病を患っているが、糖尿病の病気であるため、糖尿病の病気であるため、病気病気であるため、病気病気であるため、病気病気であるため、病気病気であるため、病気病気であるため、病気病気であるため、病気病気であるため、病気病気であるため、病気病気であるため、病気病気であるため、病",0.732982310966735,6.876900824125134,jpn_Jpan, 「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。,0.732982310966735,6.876900824125134,20.25,21.625
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。,糖尿病の研究はまだ初期の段階で、ダーム州大学の教授であるエウード・ウエハードゥーの臨床研究部門の主任であるダーム州大学の教授であるエウード・ウエハードゥーは、糖尿病の研究の初期段階で、まだ初期の段階で、ダーム州大学の臨床研究部門の主任であるダーム州大学の教授であるエウード・ウエハードゥーは、糖尿病の,1.4537721025811299,14.488542650149212,jpn_Jpan, ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。,1.4537721025811299,14.488542650149212,12.1875,16.5
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。,医師は、糖尿病の治療を、医師の立場から、糖尿病の治療を、医師の立場から、糖尿病の患者の立場から、糖尿病の患者の立場から、糖尿病の患者の立場から、糖尿病の患者の立場から、糖尿病の患者の立場から、糖尿病の患者の立場から、糖尿病の患者の立場から、糖尿病の患者の立場から、糖尿病の患者の立場から、糖尿病の患者の立場から、糖尿病の患者の立場から,0.6397539760127176,3.533411508966916,jpn_Jpan, 他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。,0.6397539760127176,3.533411508966916,22.25,21.25
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。,2016年11月10日に、森・デイルの永久大使館の専務官僚であるボブ・デイルが、2016年11月10日に、森・デイルの永久大使館の専務官僚であるボブ・デイルが、2016年11月10日に、森・デイルの永久大使館の専務官僚であるボブ・デイルが、,2.4823944533563687,5.729392205585574,jpn_Jpan, スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。,2.4823944533563687,5.729392205585574,25.0,25.0
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。,私は、彼の近くの協力者と連絡をしました。 私は、彼の近くの協力者と連絡をしました。 私は、彼の近くの協力者と連絡をしました。 私は、彼の近くの協力者と連絡をしました。 私は、彼の近くの協力者と連絡をしました。 私は、彼の近くの協力者と連絡をしました。 私は、彼の近くの協力者と連絡をしました。 私は、彼の近くの協力者と,0.90734290676978,5.28299759801922,jpn_Jpan, ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。,0.90734290676978,5.28299759801922,21.625,25.0
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。,"Ring's CEO, Jamie Siminoff, は、このドアの鳴り響きが聞こえなかった。そのとき、彼のドアが鳴り響くように聞こえなかった。",4.339467128024338,11.323384463490914,jpn_Jpan, RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。,4.339467128024338,11.323384463490914,16.125,16.5
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.",彼はWi-Fiで鳴るドアベルを作ったそうです。,"He built a WiFi door bell, he said.",0.0,3.6231979635174167,eng_Latn," He built a WiFi door bell, he said.",100.00000000000004,100.0,25.0,25.0
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。,2013年に、Shark Tankの出演者で、そのパネルのパネルは、資金の増加によって、資金の増加によって、資金の増加によって、資金の増加によって、資金の増加によって、資金の増加によって、資金の増加によって、資金の増加によって、資金の増加によって、資金の増加によって、資金の増加によって、資金の増加によって、資金の増加によって、資金の増加によって、資金の増加によって、資金の増加によって、,0.613554670903944,5.644113029236068,jpn_Jpan, シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。,0.613554670903944,5.644113029236068,21.25,19.75
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.",2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。,Siminoff appeared on QVCのショッピングテレビチャンネルのQVC。,5.098813553369431,13.612511302594,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",26.33201939239633,30.2930380149667,22.625,22.75
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.",Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。,Ringは、同社が、同社が、同社が、同社が、同社が、同社が、同社が、同社が、同社が、同社が、同社が、同社が、同社が、同社が、同社が、同社が、同社が、同社が、同社が、同社が、同社が、同社が、同社が、同社が、同,0.5644235767491028,4.5979073986349155,yue_Hant, Ring 還與競爭對手ADT Corporation 保安公司達成了和解。,0.47462176237300036,3.0542444770545907,17.625,15.125
