prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Limu wax mooy, leegi am nañu am jinaxu 4 weer yu musoon am jabet te leegi ama tuñu ko. ""","""Nii ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñë",0.4504321747452186,2.6575492341356677,wol_Latn," ""Limu wax mooy, leegi am nañu am jinaxu 4 weer yu musoon am jabet te leegi ama tuñu ko. """,0.4504321747452186,2.6575492341356677,25.0,25.0
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dr. Ehud Ur, professor ci walum paj ci dara bu magg bi Dalhousie ca Halifax, Nova Scotia ak siisu paccu paj ak xam-xam ca mbootay ñu am jabët ci Kanadaa artuna ni saaytu bi dama nekk ci bés yu jiitu yi.",Xam nekk ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jë ñëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñ,1.4464071778690684,7.535230839098979,wol_Latn," Dr. Ehud Ur, professor ci walum paj ci dara bu magg bi Dalhousie ca Halifax, Nova Scotia ak siisu paccu paj ak xam-xam ca mbootay ñu am jabët ci Kanadaa artuna ni saaytu bi dama nekk ci bés yu jiitu yi.",1.4464071778690684,7.535230839098979,25.0,25.0
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Ni yénééni borom xamxam yi, geemulni gni am jabét meenna gno wér, di waxni geestu yi amugnu solo dara ci nit yi am jabétu Type 1.","Nitt ñëëu ci jëkkale, ci jëkkale bi ñëñu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñë",0.542570281918038,4.600291924890137,wol_Latn," Ni yénééni borom xamxam yi, geemulni gni am jabét meenna gno wér, di waxni geestu yi amugnu solo dara ci nit yi am jabétu Type 1.",0.542570281918038,4.600291924890137,23.5,25.0
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Altine, Sara Danius, sekreteer permanaa bu Comité Nobel bu literature ci Academi bu Suede, dafa xamle ci benn emisioŋu rajo ci Sveriges Radio ca Suède ni ginaaw kuréel gi mënul jokkoo ak Bob Dylan ci ki gàddu neexalu Nobel ci literature 2016, dakkal nañu li ñu ko doon jéema jokkoo ak moom.",Nite ci nekk ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jë ñëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jë,0.6402736093264203,5.954104242746444,wol_Latn," Altine, Sara Danius, sekreteer permanaa bu Comité Nobel bu literature ci Academi bu Suede, dafa xamle ci benn emisioŋu rajo ci Sveriges Radio ca Suède ni ginaaw kuréel gi mënul jokkoo ak Bob Dylan ci ki gàddu neexalu Nobel ci literature 2016, dakkal nañu li ñu ko doon jéema jokkoo ak moom.",0.6402736093264203,5.954104242746444,25.0,25.0
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius wax na ni, “Fimne nii defu ñu dara. Woote na te yónnee naa ay m-bataaxal ci way-liggéeyandoowam biko gëna jege te jot ay tontu yu neex lool. Léegi, loolu war naa doy.”",Danius wax bi ñëñu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñ,1.8017286989808745,6.7033109129923165,wol_Latn," Danius wax na ni, “Fimne nii defu ñu dara. Woote na te yónnee naa ay m-bataaxal ci way-liggéeyandoowam biko gëna jege te jot ay tontu yu neex lool. Léegi, loolu war naa doy.”",1.8017286989808745,6.7033109129923165,25.0,25.0
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Bu njëkk, Direktëru Ring, Jamie Siminoff, dafa gisoon ni këru liggéeyukaay bi tambaliwoon na biñu mënul woon dégg limuy sab ci magasiinam bi nekk ci garaasam.","Xam-xee, Jëngu réewu réewu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëng",0.8131425235899726,7.878323519208899,wol_Latn," Bu njëkk, Direktëru Ring, Jamie Siminoff, dafa gisoon ni këru liggéeyukaay bi tambaliwoon na biñu mënul woon dégg limuy sab ci magasiinam bi nekk ci garaasam.",0.8131425235899726,7.878323519208899,25.0,25.0
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","Defar na ab sonëri buntu buy doxee WIFI, ci limu wax.",Xam doon doon doon doon doon doon doon doon doon doon doon doon doon do doon doon doon doon doon doon doon doon doon doon doon doon doon doon doon doon doon doon doon doon doon doon doon doon doon doon doon doon doon doon doon doon doon doon doon do,0.70027739171007,1.6892621157403511,lim_Latn," Heer maakde ‘n Wi-Fi deurbel, zag ‘r.",0.0,0.9674922600619196,22.25,23.625
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff wax na ne njaay yi dañoo yokku gannaaw ba mu feeñee ci 2013 ci benn episodu Shark Tank fa gurupi xew xew gi bañee dugal seen xaalis ci këru liggéeyukaay gu ndaw guy dooga door.,Simiñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci,0.795534085830813,4.477067236285379,wol_Latn, Siminoff wax na ne njaay yi dañoo yokku gannaaw ba mu feeñee ci 2013 ci benn episodu Shark Tank fa gurupi xew xew gi bañee dugal seen xaalis ci këru liggéeyukaay gu ndaw guy dooga door.,0.795534085830813,4.477067236285379,25.0,25.0
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Ci njeexte 2017, la Siminoff feeñ ci television buy siiwal njaay bii di QVC.",Xam neet bi ñëëu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci,0.5749785925016119,5.215557759573617,wol_Latn," Ci njeexte 2017, la Siminoff feeñ ci television buy siiwal njaay bii di QVC.",0.5749785925016119,5.215557759573617,24.875,25.0
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.",Ring lijjanti na jàppante bi amoon ci wàllu yoon ak ADT Corporation bii di seen wujj ci liggéey.,Nàñu ci jëngu ci jëngu ci jëngu ci jëngu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci,0.7188461938966489,5.645137708642489,wol_Latn, Ring lijjanti na jàppante bi amoon ci wàllu yoon ak ADT Corporation bii di seen wujj ci liggéey.,0.7188461938966489,5.645137708642489,22.875,25.0
"Q: While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.
A:","While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","Naam amna benn ñaq buñ gis ni mën na wàññi limu ñiy faatu ci Ebola, ba leegi amul benn garab bu ñu gis ni mën na faj ñi am feebar bi.",Waay ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jë ñëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci,0.5943123208853887,5.936930334631404,wol_Latn," Naam amna benn ñaq buñ gis ni mën na wàññi limu ñiy faatu ci Ebola, ba leegi amul benn garab bu ñu gis ni mën na faj ñi am feebar bi.",0.5943123208853887,5.936930334631404,25.0,25.0
"Q: One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.
A:","One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","Benn kokteelu antikoor, ZMapp, wonewn na yaakaar ci geew bi, wante ay njangat yu jaar yoon wone nañu njureefam bëriwul ca nañu ko seeteewoon ngir aar dee.","Nitt ñëñëu ci jëkkale, ci ñëñëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci ñëëu ci",0.5289179797706146,3.425008717996832,wol_Latn," Benn kokteelu antikoor, ZMapp, wonewn na yaakaar ci geew bi, wante ay njangat yu jaar yoon wone nañu njureefam bëriwul ca nañu ko seeteewoon ngir aar dee.",0.5289179797706146,3.425008717996832,25.0,25.0
"Q: In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.
A:","In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.","Ci saytug PALM, ZMapp la ñu ko doon càmbaree, loolu mooy wane ni scientifique yi dañu ko jëfandikoo ni royuwaay ba noppi ñu mengale ko ak yeneen ñaati pajtal.",Nàñu ci jëngu ci jëngu ci jëngu ci jëngu ci jëngu ci jë ñëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñu ci jëñ,0.6044751875664687,3.8865439119900507,wol_Latn," Ci saytug PALM, ZMapp la ñu ko doon càmbaree, loolu mooy wane ni scientifique yi dañu ko jëfandikoo ni royuwaay ba noppi ñu mengale ko ak yeneen ñaati pajtal.",0.6044751875664687,3.8865439119900507,23.0,25.0
