prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。,"""私たちは今、糖尿病患者の4ヶ月の老人は、糖尿病患者の4ヶ月の老人は、糖尿病患者の4ヶ月の老人は、糖尿病患者の4ヶ月の老人は、糖尿病患者の4ヶ月の老人は、糖尿病患者の4ヶ月の老人は、糖尿病患者の4ヶ月の老人は、糖尿病患者の4ヶ月の老人は、糖尿病患者の4ヶ月の老人は、糖尿病患者の4ヶ月の老人は、糖尿病患者の4ヶ月の",0.6042614825967025,4.329977413953824,jpn_Jpan, 「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。,0.6042614825967025,4.329977413953824
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。,糖尿病の専門家であるエドゥアルド・ウールは、この研究はまだ初期段階にあると警告しています。,9.264011446142712,20.524246732515262,jpn_Jpan, ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。,9.264011446142712,20.524246732515262
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。,糖尿病の専門家の中には、糖尿病の専門家は、糖尿病の専門家は、糖尿病の専門家は、糖尿病の専門家は、糖尿病の専門家は、糖尿病の専門家は、糖尿病の専門家は、糖尿病の専門家は、糖尿病の専門家は、糖尿病の専門家は、糖尿病の専門家は、糖尿病の専門家は、糖尿病の専門家は、糖尿病の専門家は、糖尿病の専門家は、糖尿病の,0.6487550775635628,4.683896839606811,jpn_Jpan, 他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。,0.6487550775635628,4.683896839606811
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。,2016年ノーベル文学賞の受賞者は、スウェーデンでは、2016年ノーベル文学賞の受賞者は、スウェーデンでは、2016年ノーベル文学賞の受賞者は、スウェーデンでは、2016年ノーベル文学賞の受賞者は、スウェーデンでは、2016年ノーベル文学賞の受賞者は、スウェーデンでは、2016,5.671248737813157,13.745055640551286,jpn_Jpan, スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。,5.671248737813157,13.745055640551286
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。,ダニウスは、今、その研究者は、その研究者は、その研究者は、その研究者は、その研究者は、その研究者は、その研究者は、その研究者は、その研究者は、その研究者は、その研究者は、その研究者は、その研究者は、その研究者は、その研究者は、その研究者は、その研究者は、その研究者は、その研究者は、その研究者は、その研究者は、その研究者は、その研究者は、その,0.5618036648822435,2.3992534907675465,yue_Hant, 丹尼烏斯說：「現在我們不採取任何行動。我已經打電話和發送電郵給他最緊密的合作夥伴，並得到非常友善的回覆。就目前而言，這就足夠了。」,0.0,0.0
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。,以前、この会社は、そのドアベルは、その会社は、そのドアベルは、その会社は、そのドアベルは、その会社は、そのドアベルは、その会社は、そのドアベルは、その会社は、そのドアベルは、その会社は、そのドアベルは、その会社は、そのドアベルは、その会社は、そのドアベルは、その会社は、そのドアベルは、その会社は、そのドアベル,0.4087663913874611,1.303536079983184,jpn_Jpan, RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。,0.4087663913874611,1.303536079983184
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.",彼はWi-Fiで鳴るドアベルを作ったそうです。,彼らはWiFiドアベルを建てました。それは彼らが言ったことのドアベルは、彼らが言ったことのドアベルを建てました。,3.632928877985223,14.94145427798657,jpn_Jpan, 彼はWi-Fiで鳴るドアベルを作ったそうです。,3.632928877985223,14.94145427798657
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。,2013年、シマンフは、その番組で資金調達は、2013年、シマンフは、その番組で資金調達は、資金調達は、その番組で資金調達は、その番組で資金調達は、その番組で資金調達は、その番組で資金調達は、その番組で資金調達は、その番組で資金調達は、その番組で資金調達は、,1.118525345052971,7.139810493992549,yue_Hant, Siminoff 表示，2013 年他在《創智贏家》節目中亮相，節目的評審團拒絕為這間初創公司提供資金，其後銷量有所增長。,0.44476523315234656,3.580863590062521
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.",2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。,2017年末、シモフは、ショッピングテレビ番組のQVCで、2017年末、シモフはショッピングテレビ番組で、2017年末、ショッピングテレビ番組では、シモフはショッピングテレビ番組で、2017年末、ショッピングテレビ番組では、シモフはショッピングテレビ番組で、2017年末、ショッピングテレビ番組では、シモフはショッピングテレビ番組で、2017年末,1.2492747348816378,11.728290350862638,jpn_Jpan, 2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。,1.2492747348816378,11.728290350862638
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.",Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。,警報装置も、競争相手の会社と契約を締結した。,2.908317710573758,4.577157569841957,jpn_Jpan, Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。,2.908317710573758,4.577157569841957
