prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.
A:","""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""The only one who was able to start off by saying that he was the one who was able to start off by saying that he was the one who was able to start off by saying that he was the one who was able to start off by saying that he was able to start off by saying that he was able to start off by saying that he was able to start off by saying that he was able to start off by saying that he was able to start off by saying that he was able",0.5367712622457371,9.771927042065592,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",0.5367712622457371,9.771927042065592,25.0,25.0
"Q: Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.
A:","Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","The research is still ongoing, the research is still ongoing, the research is still ongoing, the research is still ongoing, the research is still ongoing, the research is still ongoing, the research is still ongoing, the research is still ongoing, the research is still ongoing, the research is still ongoing, the research is still ongoing, the research is still ongoing, the research is still ongoing, the research is still ongoing, the research is still ongoing, the research is still ongoing, the research is still",2.2989288385218574,16.014643121422207,eng_Latn," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",2.2989288385218574,16.014643121422207,23.625,18.5
"Q: Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.
A:","Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",The recent findings show that the results show that the recent findings show that the recent findings show that the recent findings show that the recent findings show that the recent findings show that the recent findings show that the recent findings show that the recent findings show that the recent findings show that the recent findings show that the recent findings show that the recent findings show that the recent findings show that the recent findings show that the recent findings show that the recent findings show that the recent findings show that the recent findings show that the,0.6660235903419677,12.133109704077718,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",0.6660235903419677,12.133109704077718,23.625,23.625
"Q: Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.
A:","Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",The Nobel Prize for the award of the Nobel Prize for the award of the Nobel Prize for the Nobel Prize for the Nobel Prize for the Nobel Prize for the Nobel Prize for the Nobel Prize for the Nobel Prize for the Nobel Prize for the Nobel Prize for the Nobel Prize for the Nobel Prize for the Nobel Prize for the Nobel Prize for the Nobel Prize for the Nobel Prize for the Nobel Prize for the Nobel Prize for the Nobel Prize for the Nobel Prize for the Nobel Prize for the Nobel Prize for the Nobel,1.9461449829088897,13.073298311424153,wes_Latn,,,,23.875,21.75
"Q: Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""
A:","Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",I am aware that this is a good way to say that this is a good way to say that this is a good way to say that this is a good way to say that this is a good way to say that this is a good way to say that this is a good way to say that this is a good way to say that this is a good way to say that this is a good way to say that this is a good way to say that this is a good way to say that,0.5076469172229491,8.4319395215201,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",0.5076469172229491,8.4319395215201,25.0,25.0
"Q: Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.
A:","Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",The founder of the company was able to set up a company that was able to set up a company that was able to set up a company that was able to set up a company that was able to set up a company that was able to set up a company that was able to set up a company that was able to set up a company that was able to set up a company that was able to set up a company that was able to set up a company that was able to set up a company,0.7107049514277448,10.738766268741001,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",0.7107049514277448,10.738766268741001,24.25,23.0
"Q: Aliunda kengele ya mlango ya Wi-Fi, alisema.
A:","Aliunda kengele ya mlango ya Wi-Fi, alisema.","He built a WiFi door bell, he said.","The Wi-Fi router is the wireless router, the WiFi router is the wireless router, the WiFi router is the wireless router, the WiFi router is the wireless router, the WiFi router is the wireless router, the WiFi router is the wireless router, the WiFi router is the wireless router, the WiFi router is the wireless router, the WiFi router is the wireless router, the WiFi router is the wireless router, the WiFi router is the wireless router, the WiFi router is the wireless router, the WiFi router",0.37710255325014946,4.407965946283532,eng_Latn," He built a WiFi door bell, he said.",0.37710255325014946,4.407965946283532,6.125,14.625
"Q: Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.
A:",Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,The Shark Tank panel that gave the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the opportunity to the,1.573048639973161,10.219926360205417,eng_Latn, Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,1.573048639973161,10.219926360205417,21.75,21.25
"Q: Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.
A:","Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.","In late 2017, Siminoff appeared on shopping television channel QVC.","After the 2017, The 2017, The 2017, The 2017, The 2017, The 2017, The 2017, The 2017, The 2017, The 2017, The 2017, The 2017, The 2017, The 2017, The 2017, The 2017, The 2017, The 2017, The 2017, The 2017",0.8954307276600084,7.1600689952143926,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",0.8954307276600084,7.1600689952143926,21.25,19.375
"Q: Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.
A:","Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.","Ring also settled a lawsuit with competing security company, the ADT Corporation.",The ring of the company of the ADI is the company of the ADI is the company of the ADI is the company of the ADI is the company of the ADI is the company of the ADI is the company of the ADI is the company of the ADI is the company of the ADI is the company of the ADI is the company of the ADI is the company of the ADI is the company of the ADI is the company of the ADI,0.794510362267378,11.69167311491198,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",0.794510362267378,11.69167311491198,17.125,18.25
