prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.
A:","""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","Now we have four-month mice, who no longer have diabetes, he added.",7.153732611558955,27.780437646790496,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",7.153732611558955,27.780437646790496,2.390625,4.96875
"Q: Согласно предупреждению доктора Эхуда Ура (Ehud Ur), профессора медицины в Университете Дэлхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.
A:","Согласно предупреждению доктора Эхуда Ура (Ehud Ur), профессора медицины в Университете Дэлхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","According to the warning issued by Dr. Ehud Ur, Professor of Medicine at the University of Dalhaze in New York, research still remains at the beginning stage.",11.507992597087936,30.316112107639952,eng_Latn," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",11.507992597087936,30.316112107639952,8.4375,8.125
"Q: Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.
A:","Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Some experts believe that diabetes is not curable, noting that these discoveries do not relate to people who have already diabetes 1 type, noting that these discoveries do not relate to people who have already diabetes 1 type, noting that these discoveries do not relate to people who have already diabetes 1 type, noting that these discoveries do not relate to people who have already diabetes 1 type, noting that these discoveries do not relate to people who have already diabetes 1 type, noting that these discoveries do",4.6539585499188085,30.826139080208947,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",4.6539585499188085,30.826139080208947,23.375,25.0
"Q: В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской Академии, публично заявила во время передачи на шведской радиостанции Sveriges о том, что комитет, которому не удалось связаться с Бобом Диланом напрямую и сообщить ему, что он выиграл Нобелевскую премию по литературе за 2016 год, прекращает попытки выйти с ним на связь.
A:","В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской Академии, публично заявила во время передачи на шведской радиостанции Sveriges о том, что комитет, которому не удалось связаться с Бобом Диланом напрямую и сообщить ему, что он выиграл Нобелевскую премию по литературе за 2016 год, прекращает попытки выйти с ним на связь.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","On Monday, the Nobel Prize committee, which could not reach Bob Dilman directly and could not get in touch with him, has decided to stop trying to reach him.",5.64007900298379,27.36878148810441,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",5.64007900298379,27.36878148810441,9.9375,9.9375
"Q: Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".
A:","Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Daniel said: ""Now we are not doing anything. I called and sent very friendly replies to him, and on this, of course, it is enough to be doing nothing. Now we are not doing anything. I called and sent very friendly replies to him, and on this, of course, it is enough to be doing nothing. Now we are not doing anything. I called and sent very friendly replies to him, and on this, of course, it is enough to be doing nothing.",5.285278681044473,35.94437240508225,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",5.285278681044473,35.94437240508225,25.0,25.0
"Q: Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.
A:","Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Previously, the general director of Ring, Jay S. Simmons, said that this company began with the fact that he did not hear a doorbell in the garage master, earlier, the general director of Ring, Jay Simmons, said that this company began with the fact that he did not hear a doorbell in the garage master earlier, the general director of Ring, Jay Simmons, said that this company began with the fact that he did not hear a doorbell in the garage master earlier, earlier,",2.0886073226058,22.810482111475846,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",2.0886073226058,22.810482111475846,17.875,22.625
"Q: Он сказал, что создал дверной звонок, работающий от WiFi.
A:","Он сказал, что создал дверной звонок, работающий от WiFi.","He built a WiFi door bell, he said.","He said he created a doorbell that works from WiFi, he said he created a doorbell that works from WiFi, he said he created a doorbell that works from WiFi, he said he created a doorbell that works from WiFi, he said he created a doorbell that works from WiFi, he said he created a doorbell that works from WiFi, he said he created a doorbell that works from WiFi, he said he created a doorbell that works from WiFi, he said he created",1.6514531543459698,14.887218020273899,eng_Latn," He built a WiFi door bell, he said.",1.6514531543459698,14.887218020273899,21.0,22.875
"Q: Симинофф сказал, что продажи выросли после его появления в выпуске шоу ""Shark Tank"" в 2013 году, где члены жюри отказались финансировать его стартап.
A:","Симинофф сказал, что продажи выросли после его появления в выпуске шоу ""Shark Tank"" в 2013 году, где члены жюри отказались финансировать его стартап.",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Siminoff said that sales rose after he appeared on the show ""Shark Tank"" where members of the jury refused to finance his startup after he appeared on the show ""Shark Tank"" where members of the jury refused to finance his startup after he appeared on the show ""Shark Tank"" where members of the jury refused to finance his startup after he appeared on the show ""Shark Tank"" where members of the jury refused to finance his startup after he appeared on the show ""Shark",3.199978311602786,28.082303397997038,eng_Latn, Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,3.199978311602786,28.082303397997038,24.0,23.375
"Q: В конце 2017 года Симинофф появился на торговом телеканале QVC.
A:",В конце 2017 года Симинофф появился на торговом телеканале QVC.,"In late 2017, Siminoff appeared on shopping television channel QVC.","In the end, Siminoff appeared on the QVC trading channel in 2017, Siminoff appeared on the QVC trading channel in 2017, in the end, Siminoff appeared on the QVC trading channel in 2017, in the end, Siminoff appeared on the QVC trading channel in 2017, in the end, Siminoff appeared on the QVC trading channel in 2017, in the end, Siminoff appeared on",6.204197079876287,28.877377198101183,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",6.204197079876287,28.877377198101183,21.75,23.75
"Q: Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.
A:","Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Besides, Ring has also resolved the legal process with competitors, ADT Corporation has also resolved the legal process with the security company ADT Corporation has also resolved the legal process with competitors ADT Corporation has also resolved the legal process with competitors ADT Corporation has also resolved the legal process with competitors ADT Corporation has also resolved the legal process with competitors ADT Corporation has also resolved the legal process with competitors ADT Corporation has also resolved the legal process with competitors ADT Corporation has also resolved the legal process",1.7680220246176919,24.01877916049555,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",1.7680220246176919,24.01877916049555,5.0625,12.8125
