prompt,reference,generation_baseline,generation_function_vector,bleu_baseline,bleu_function_vector,chrf_baseline,chrf_function_vector
"Q: Pittman suggested that conditions wouldn't improve until sometime next week.
A:",M. Pittman a laissé entendre que les conditions ne s'amélioreraient pas avant la semaine prochaine., Pittman a suggéré que les conditions ne s'amélioreraient pas avant la semaine prochaine., Pittman suggérait que les conditions ne s'amélioreraient pas avant la semaine prochaine.,75.17092946515983,71.98926585924599,78.74225253536797,76.95976545572944
"Q: Each of these nomadic rampages or marches lasts for approximately 17 days.
A:",Chacun de ces raids ou chacune de ces razzias dure environ 17 jours., Chaque de ces rampages nomades ou marches dure environ 17 jours., 17 days,24.744772958964134,0.01677313139512559,50.81436267335954,2.71603086155165
"Q: The different constructions have different capabilities, are sensitive to different wave-lengths and have differing degrees of acuity, also they require different processing to make sense of the input and different numbers to work optimally.
A:","Les diverses constructions ont des capacités différentes, sont sensibles à des longueurs d’onde distinctes et ont des degrés d’acuité différents. Elles nécessitent également des traitements distincts pour l’interprétation des données reçues et les nombres qu’il leur faut pour fonctionner de manière optimale diffèrent aussi."," Les constructions différentes ont des capacités différentes, sont sensibles à différentes longueurs d'onde et ont des degrés de netteté différents, aussi elles nécessitent différents traitements pour faire sens de l'entrée et différents nombres pour fonctionner de manière optimale.<eos>"," The different constructions have different capabilities, are sensitive to different wave-lengths and have differing degrees of acuity, also they require different processing to make sense of the input and different numbers to work optimally.",29.149834995379305,1.0974799445460242,56.33804436526272,19.526547052822472
"Q: The typhoon is estimated to be moving toward China at eleven kph.
A:",On estime que le typhon se dirige vers la Chine à une vitesse de 11 km/h., Le typhon est estimé à se déplacer vers la Chine à onze kph., The typhoon is estimated to be moving toward China at eleven kph.,14.543850872444347,2.161956367131169,36.114339086430256,19.01095402791736
"Q: Massa is due to be out for at least the rest of the 2009 season.
A:",Il est prévu que Massa soit absent au moins jusqu'à la fin de la saison 2019., Massa devrait être hors de combat pour le reste de la saison 2009., Massa is due to be out for at least the rest of the 2009 season.,12.245958331349383,1.9046304733974748,26.892953667207593,15.079589198958743
"Q: One of strong points of Charlotte, North Carolina, is that it has an abundance of high-quality options for families.
A:","Un des points forts de Charlotte, en Caroline du Nord, est l'abondance des services de haute qualité pour les familles."," L'un des points forts de Charlotte, Caroline du Nord, est qu'elle a une abondance d'options de haute qualité pour les familles.", True,45.92339012220896,0.0,76.57035315775416,0.7425742574257427
"Q: This makes inexpensive zoom lenses hard to use in low-light conditions without a flash.
A:",Cela rend les objectifs zoom peu coûteux difficiles à utiliser dans des conditions de faible luminosité sans flash., Cela rend les objectifs zoom peu coûteux difficiles à utiliser dans des conditions de faible luminosité sans flash., The lens is not fast enough.,100.00000000000004,0.43509678773757415,100.0,5.4496460595651515
"Q: Traditionally, the heir to the throne would go straight into the military after finishing school.
A:","Dans la tradition, l'héritier du trône faisait son service militaire après avoir fini ses études."," Traditionnellement, l'héritier du trône allait directement dans l'armée après avoir terminé l'école.", False,33.6170468567365,0.0,42.52795464943173,1.2402487222463634
"Q: A cell is the smallest structural and functional unit of a living (things) organism.
A:",Une cellule est la plus petite unité structurelle et fonctionnelle d'un organisme vivant., Une cellule est l'unité structurelle et fonctionnelle la plus petite d'un organisme vivant., The cell is the basic structural and functional unit of life. It is the smallest unit of life that…,59.460355750136046,1.5732934811145336,88.91173466130844,22.038677899228716
"Q: Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries, where the survival rates for illnesses such as breast cancer can be half those of richer countries.
A:","Selon les chercheurs principaux, cela pourrait permettre une détection précoce du cancer, de la tuberculose, du VIH et du paludisme chez les patients des pays à faible revenu, où le taux de survie à des maladies telles que le cancer du sein peut être deux fois moins élevé que dans les pays riches."," Les chercheurs principaux disent que cela peut apporter une détection précoce du cancer, de la tuberculose, du VIH et de la malaria aux patients dans les pays à faible revenu, où les taux de survie des maladies telles que le cancer du"," The researchers say that the new technology could also be used to detect other diseases, such as tuberculosis, HIV and malaria.",49.27800014722817,0.6435664110576168,63.47708893672883,12.295072026438495
"Q: Germany code-named the attack “Operation Sealion”. Most of the British Army's heavy weapons and supplies had been lost when it evacuated from Dunkirk, so the army was fairly weak.
A:","L’Allemagne a donné le nom de code « Opération Lion de Mer » à cette attaque. L’armée britannique avait perdu la majeure partie de son artillerie lourde et de ses munitions lors de l’évacuation de Dunkerque, et était donc assez affaiblie.", La France a été attaquée par l'Allemagne nazie. La France a été vaincue par l'Allemagne nazie.," The British had a strong navy and air force, but the Germans had a strong army.",0.8561033264433761,0.1819067219872818,12.012406036305205,6.677000470331221
"Q: These aren't very nimble so the trail has to take a long swerve around the Transantarctic Mountains to come onto the plateau.
A:","Ces derniers ne sont pas très agiles, de sorte que la piste doit faire une longue embardée autour des montagnes transantarctiques pour arriver sur le plateau."," Ces-ci ne sont pas très agiles, donc le sentier doit faire un grand détour autour des montagnes Transantarctiques pour arriver sur la plate-forme.", The Transantarctic Mountains are a mountain range in Antarctica that separates the East Antarctic Ice Sheet from the West Antarctic Ice Sheet.,36.19174049405417,1.2570568270750533,59.66343558700208,15.610480358756277
"Q: There are infinite variations possible, but this remains what most people mean when they talk of ""going to Disney World"".
A:","Une infinité de variations sont possibles, mais c’est ce qu’entendent la plupart des gens lorsqu’ils parlent d’« aller à Disney World »."," Il y a des variations infinies possibles, mais cela reste ce que la plupart des gens ont en tête quand ils parlent de ""aller à Disney World"".", The Magic Kingdom,13.785646846949897,0.0,56.944494623014094,1.448781541394822
"Q: A World's Fair (commonly called World Exposition, or simply Expo) is large international festival of arts and sciences.
A:",Une exposition internationale (communément appelée exposition universelle ou tout simplement expo) est un grand festival international des arts et des sciences.," Une foire mondiale (communément appelée foire mondiale, ou simplement foire) est un grand festival international d'arts et de sciences."," A World's Fair (commonly called World Exposition, or simply Expo) is large international festival of arts and sciences.",34.560054646264724,6.504188249254888,54.88867696860547,29.437483602256677
"Q: To Check the victim, you must first survey the scene to ensure your safety.
A:","Avant d'examiner la victime, assurez-votre sécurité en inspectant les lieux."," Pour vérifier la victime, vous devez d'abord inspecter la scène pour vous assurer de votre sécurité.", True,12.586347848916265,0.0,41.21089043924128,1.102941176470588
"Q: Then, a few years later in 1639, an English astronomer named Jeremiah Horrocks observed a transit of Venus.
A:","Puis, quelques années plus tard, en 1639, un astronome anglais du nom de Jeremiah Horrocks a observé un transit de Vénus."," Alors, quelques années plus tard en 1639, un astronome anglais nommé Jeremiah Horrocks a observé un transit de Vénus.", The transit of Venus is a rare astronomical event in which the planet Venus passes directly between the Sun and a superior planet.,74.6190694519013,1.4524352287301074,83.25541022390453,19.145048125777894
"Q: Nevertheless, there are many distinctive ways of drinking coffee around the world that are worth experiencing.
A:","Néanmoins, il existe de nombreuses façons de boire le café dans le monde entier qui valent la peine d'être expérimentées."," Cependant, il existe de nombreuses façons distinctes de boire du café dans le monde qui valent la peine d'être expérimentées."," En effet, il y a beaucoup de façons distinctes de boire du café dans le monde qui valent la peine d'être vécues.",67.32916112291822,35.8545191000871,78.82022584188401,51.45028117719724
"Q: During the last three decades, despite officially remaining a communist state, China has developed a market economy.
A:","Au cours des trois dernières décennies, bien qu’elle soit officiellement restée un État communiste, la Chine a développé une économie de marché."," Au cours des trois dernières décennies, malgré le fait qu'elle reste officiellement un État communiste, la Chine a développé une économie de marché.", True,68.56347391431373,0.0,81.1587905508106,0.6048387096774194
"Q: Hopefully, most people will realise that their long term best option is to work together with others.
A:",Il est à espérer que la plupart des gens réaliseront que leur meilleure option à long terme est de travailler ensemble., Espérons que la plupart des gens se rendent compte que leur meilleure option à long terme est de travailler ensemble avec les autres., Je ne sais pas.,51.02904728977014,0.19565086277504187,74.55453043318818,3.2950328082753786
