prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Agora temos ratos de 4 meses de idade que não são diabéticos e que antes eram diabéticos,""complementou.","""A mamífero que já é diabético, que usou para ser diabético, foi para ser diabético, e o corpo foi diabético. A partir de agora, a mamífero, que usou para ser diabético, foi para ser diabético, e o corpo foi diabético. A partir de agora, a mamífero, que usou para ser diabético, foi para ser diabético, e o corpo foi diabético. A partir de agora, a",1.2375540084144703,19.49402934300848,por_Latn," ""Agora temos ratos de 4 meses de idade que não são diabéticos e que antes eram diabéticos,""complementou.",1.2375540084144703,19.49402934300848,25.0,25.0
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","O Médico Ehud Ur, um professor de medicina na Universidade de Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Canadian Diabetes Association disse que o estudo ainda está dando seus primeiros passos.","Dr. Ur, professor de medicina da Dalhousie em Nova Scotia e presidente da divisão clínica e científica da Associação Canadense de Diabetes, alertou sobre a pesquisa ainda em sua fase inicial.",26.765288685838353,47.78004731003048,por_Latn," O Médico Ehud Ur, um professor de medicina na Universidade de Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Canadian Diabetes Association disse que o estudo ainda está dando seus primeiros passos.",26.765288685838353,47.78004731003048,2.03125,1.9296875
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Assim como alguns outros especialistas, ele é cético sobre a cura do diabetes, observando que essas descobertas não têm relevância às pessoas que já têm diabetes tipo 1.","A especialista, como alguns especialistas, é crítico com a hipótese de que diabetes pode ser curado, considerando que essas descobertas não têm relação com pessoas que já têm Diabetes Tipo 1.",22.151496246782845,56.91555493032481,por_Latn," Assim como alguns outros especialistas, ele é cético sobre a cura do diabetes, observando que essas descobertas não têm relevância às pessoas que já têm diabetes tipo 1.",22.151496246782845,56.91555493032481,4.9375,5.4375
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Rádio Sveriges na Suécia que o comitê, incapaz de entrar em contato com Bob Dylan diretamente sobre a conquista do Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para contactá-lo.","A jornalista Sara Danius, permanent secretário de Estado do Nobel da Literatura da Suécia, publicamente anunciou durante a programa de radio de SVD em Suécia, em uma entrevista, o grupo, incapaz de chegar diretamente a Bob Dylan, abandonou as suas atividades para chegar a ele.",10.14994893208201,39.77395573712024,por_Latn," Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Rádio Sveriges na Suécia que o comitê, incapaz de entrar em contato com Bob Dylan diretamente sobre a conquista do Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para contactá-lo.",10.14994893208201,39.77395573712024,10.9375,11.25
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius disse: ""Neste momento não estamos fazendo nada. Tenho ligado e enviado e-mails para o seu colaborador mais próximo e tenho recebido repostas muito amigáveis. Por enquanto, isso certamente é o suficiente.""","Danius disse, ""Agora estamos fazendo nada. Eu tenho chamado e enviaram-lhe as mensagens de e-mail para o seu mais próximo colaborador e recebi muito respondidos de forma cordial. Por ora, isso é suficiente. Por enquanto, isso é suficiente. Por ora, isso é suficiente. Por ora, isso é suficiente. Por ora, isso é suficiente. Por ora, isso é suficiente. Por ora, isso é suficiente. Por ora, isso é suficiente. Por ora, isso",11.09870251226186,45.75881160859662,por_Latn," Danius disse: ""Neste momento não estamos fazendo nada. Tenho ligado e enviado e-mails para o seu colaborador mais próximo e tenho recebido repostas muito amigáveis. Por enquanto, isso certamente é o suficiente.""",11.09870251226186,45.75881160859662,22.125,25.0
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa surgiu quando sua campainha não podia ser ouvida de sua loja em sua garagem.","A CEO da Ring, Jamie Siminoff, disse que a empresa começou quando o seu CEO, Jamie Siminoff, disse que a empresa começou quando o seu CEO, Jamie Siminoff, disse que a empresa começou quando o seu CEO, Jamie Siminoff, disse que a empresa começou quando o seu CEO, Jamie Siminoff, disse que a empresa começou quando o seu CEO, Jamie Siminoff, disse que a empresa começou quando o seu CEO, Jamie Siminoff, disse que a empresa começou quando o",8.73182561569593,28.98148405716034,por_Latn," Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa surgiu quando sua campainha não podia ser ouvida de sua loja em sua garagem.",8.73182561569593,28.98148405716034,25.0,25.0
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","Ele montou uma campainha sem fio, disse.","A porta-voz de telefones, ele disse.",7.574347133041985,19.792229789129994,por_Latn," Ele montou uma campainha sem fio, disse.",7.574347133041985,19.792229789129994,22.875,23.375
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Siminoff afirmou que as vendas aumentaram após sua aparição de 2013 em um episódio do Shark Tank, no qual os jurados do programa recusaram o financiamento da startup.","Siminovicz disse que a venda de produtos aumentou após a apresentação de um episódio de Shark Tank em um episódio da TV, em que o panel de jurados recusaram a financiamento da startup. A Siminovicz disse que a venda de produtos aumentou após a apresentação de um episódio de Shark Tank em um episódio da TV, em que o panel de jurados recusaram a financiamento da startup. A Siminovicz disse que a venda de produtos aumentou após a apresentação de um",8.01676619229259,38.898554328409155,por_Latn," Siminoff afirmou que as vendas aumentaram após sua aparição de 2013 em um episódio do Shark Tank, no qual os jurados do programa recusaram o financiamento da startup.",8.01676619229259,38.898554328409155,25.0,25.0
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Siminoff foi exibido no canal de televisão de compras QVC, no final de 2017.",Siminoff apareceu no canal de TV Shopping QVC.,11.407366440092597,27.116669441716258,por_Latn," Siminoff foi exibido no canal de televisão de compras QVC, no final de 2017.",11.407366440092597,27.116669441716258,8.8125,8.25
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","A Ring ganhou também uma causa judicial contra a empresa de segurança concorrente, a ADT Corporation.","A Ring também foi julgado contra a ADT, a ADT Corporation.",27.90167718822468,38.59183870688663,por_Latn," A Ring ganhou também uma causa judicial contra a empresa de segurança concorrente, a ADT Corporation.",27.90167718822468,38.59183870688663,17.5,17.875
"Q: While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.
A:","While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","Embora uma vacina experimental pareça ser capaz de reduzir a mortalidade do Ebola, até o momento, nenhuma droga foi claramente considerada como adequada para tratar a infecção existente.","A estudo experimentalmente mostrou que o vírus Ebola pode reduzir a mortalidade humana, mas até agora, nenhum medicamento foi claramente demonstrado adequado para tratar o vírus Ebola.",13.280049125630924,43.58124274015888,por_Latn," Embora uma vacina experimental pareça ser capaz de reduzir a mortalidade do Ebola, até o momento, nenhuma droga foi claramente considerada como adequada para tratar a infecção existente.",13.280049125630924,43.58124274015888,14.375,13.5
"Q: One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.
A:","One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","Um coquetel de anticorpos, ZMapp, inicialmente se mostrou promissor na área, mas estudos formais indicaram que ele tinha menos benefícios do que buscado na prevenção da morte.","A cocktail de anticorop, ZMapp, inicialmente mostrou-se prometedor no campo, mas formalmente estudos indicaram que o efeito de proteção não foi suficiente para evitar a morte.",20.537155167015396,42.653294078234644,por_Latn," Um coquetel de anticorpos, ZMapp, inicialmente se mostrou promissor na área, mas estudos formais indicaram que ele tinha menos benefícios do que buscado na prevenção da morte.",20.537155167015396,42.653294078234644,8.25,8.9375
