prompt,query,reference,generation_baseline,bleu_baseline,chrf_baseline,metricx_qe_baseline,metricx_baseline,commet_baseline
"Q: Ili kurejea katika hali yao ya awali ya nishati, ni lazima ziondoe nishati ya ziada zilizopata kutoka kwa mwangaza.
A: To return to their previous energy level, they must get rid of the extra energy they got from the light.

Q: Kamera ingine za muundo wa kati zinatumia muundo wa 6 kwa 6, kwa usahihi 56 kwa 56 hasi.
A: Some medium-format film cameras use a 6 by 6 cm format, more precisely a 56 by 56 mm negative.

Q: Leonov, anayejulikana pia kama “Mwanaanga Nambari 11”, alikuwa kati ya timu ya kiasili ya Umoja wa Soviet ya wanaanga.
A: Leonov, also known as ""cosmonaut No. 11"", was part of the Soviet Union's original team of cosmonauts.

Q: Madaktari walianza kuajiriwa na Mtawala Augustus na hata kuunda kitengo kikubwa cha kwanza cha Matibabu cha Kirumi kwa ajili ya kutumika baada ya vita.
A: Doctors began to be recruited by Emperor Augustus and even formed the first Roman Medical Corps for use in the aftermath of battles.

Q: Inasemekana kwamba mnamo 1649, Zhabdrung Ngawang Namgyel aliunda ngome hiyo kama ukumbusho wa ushindi wake dhidi ya vikosi vya Tibeti na Mongoli.
A: It is said that in 1649, Zhabdrung Ngawang Namgyel created the fortress to commemorate his victory against the Tibetan-Mongol forces.

Q: ""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.
A:"," ""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza."," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""The sun rises in the east and sets in the west"", is a proverb that is often used to describe the natural cycle of the sun.",3.016200863100729,19.932466312698825,22.375,24.0,-0.01287841796875
"Q: Wiki iliyopita, Naked News ilitangaza kuwa wangeongeza sana idhini yake ya utangazaji wa Habari kwa lugha za kimataifa, na watangazaji watatu wapya.
A: Last week, Naked News announced that it would dramatically increase its international language mandate to news reporting, with three new broadcasts.

Q: Bendi ilifuta onyesho pale Uwanja wa Maui’s War Memorial, ambalo lingehudhuriwa na watu 9,000, na kuwaomba mashabiki msamaha.
A: The band canceled the show at Maui's War Memorial Stadium, which was set to be attended by 9,000 people, and apologized to fans.

Q: Wakati wapangaji walianza kusumulia yaliyowatendekea, familia nyingi husika ziligundua kuwa Carolyn Wilson wa shirika la OHA aliiba amana yao na kutoweka mjini.
A: When the tenants started sharing what had occurred to them, most of the families involved suddenly realized that Carolyn Wilson of the OHA had stolen their security deposits, and skipped out of town.

Q: Katika kesi nyingine, wale tu wanoishi nje ya makazi ya watlii wanafaa kujiandikisha. Lakini, hii inafanya sheria kuwa fiche, kwa hivyo jua mapema.
A: In other cases, only those staying outside of tourist accommodations need to register.  However, this makes the law much more obscure, so find out beforehand.

Q: Mwongezo wa 300 unaleta jumla ya magari 1,300 kutafutwa ili kupunguza msongamano.
A: An additional 300 brings the total to 1,300 carriages to be acquired to relieve overcrowding.

Q: Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.
A:"," Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema."," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",The Dalhousie University of Toronto is the only university in Canada that has a full-time professor of law.,4.707347595064305,23.295240611046413,25.0,25.0,-0.02392578125
"Q: Kuona mandhari na wanyamapori wa Galapagos hufanywa vizuri kwa boti, kama vile Charles Darwin alivyofanya mnamo 1835.
A: Seeing the sites and wildlife of the Galapagos is best done by boat, just as Charles Darwin did it in 1835.

Q: Kwa kweli mkimbiaji wa daraja la kwanza wa nusu maili, mtu anayeweza kufuzu kwa dakika mbili, lazima awe na kasi ya kutosha, lakini uvumilivu lazima ustawishwe wakati wote wa hatari.
A: Of course a first-class half-miler, a man who can beat two minutes, must be possessed of a fair amount of speed, but endurance must be cultivated at all hazards.

Q: Mbio kiasi za mashambani katika msimu wa baridi, pamoja na shughuli katika ukumbi wa mazoezi kwa ajili ya sehemu ya juu ya mwili, ndiyo maandalizi bora ya msimu wa mbio.
A: Some cross country running during the winter, combined with gymnasium work for the upper part of the body, is the best preparation for the running season.

Q: Kulikuwa pia na makabila mengine kwenye visiwa vya Chatham, ambao walikuwa Maori waliohamia Nyuzilandi.
A: There was also another tribe on the Chatham islands these were Maori who migrated away from New Zealand.

Q: Kihindi na Kiurdu zinafanana kwa msamiati lakini tofauti katika hati; katika mazungumzo ya kila siku, wazungumzaji wa lugha zote mbili wanaweza kuelewana.
A: Hindi and Urdu are similar in vocabulary but different in script; in everyday conversations, speakers of both languages can usually understand each other.

Q: Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.
A:"," Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1."," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",The first step is to get a good idea of what you want to do; the second step is to find a place where you can do it.,1.5199466663267451,14.59894594706132,25.0,25.0,-0.043212890625
"Q: Wakati mamlaka haina uhakika juu ya kuaminika kwa tishio hilo, Mamlaka ya Usafirishaji ya Maryland ilifanya ufungaji kufuatia hamasisho la Shirika la Upelelezi la Marekani.
A: While authorities are unsure of the credibility of the threat, the Maryland Transportaion Authority made the closure with the urging of the FBI.

Q: Utafutaji huo ulikuwa umetatizwa na hali hiyo hiyo mbaya ya hewa ambayo ilikuwa imesababisha kukatizwa kwa utuaji.
A: The search had been hampered by the same bad weather that had caused the aborted landing.

Q: Mabadiliko yalifanywa katika hiki kipindi cha sheria wakati hukumu ya pili ilipofutwa kwanza na Nyumba ya Wawakilishi kasha ikapitishwa katika njia sawa na Seneti Jumatatu.
A: A change was made this legislative session when the second sentence was deleted first by the House of Representatives and then was passed in a similar form by the Senate Monday.

Q: Shida moja ya kawaida wakati wa kujaribu kubadilisha sinema kwenda kwa muundo wa DVD ni kuskani zaidi.
A: One of the most common problems when trying to convert a movie to DVD format is the overscan.

Q: Lengo halisi ni kuzipatia kampuni hizo udhibiti zaidi wa masoko yake; yote ni kuhusu kutengeneza pesa.
A: The actual purpose is to give those companies more control over their markets; it's all about money spinning.

Q: Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.
A:"," Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia."," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",The Nobel Prize in Literature was awarded to Sara Danius for her work in the field of literature.,3.7804935002913567,19.014415355154654,21.875,19.375,0.017578125
"Q: Kwenye ukingo wa barafuto vipande vikubwa hujitenga, kuanguka na pengine kuruka au kubingirika mbali zaidi na ukingo.
A: At the edge of glaciers huge blocks break loose, fall down and perhaps jump or roll farther from the edge.

Q: Piquet mdogo alianguka katika Grand Prix ya Singapori mara tu baada ya kituo cha mapema cha matengenezo kwa Fernando Alonso, na kuleta gari la usalama.
A: Piquet Jr. crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car.

Q: Kusafiri kuenda Ulimwengu wa Walt Disney inawakilisha hija kuu kwa familia nyingi za Amerika.
A: Traveling to Walt Disney World represents a major pilgrimage for many American families.

Q: Daktari wa medali ya fedha ya Olimpiki ya 2004 Amir Khan alisema, ""Chini kabisa nadhani wanawake hawapaswi kupigana. Huo ni maoni yangu.""
A: 2004 Olympic silver medallist Amir Khan said, ""Deep down I think women shouldn’t fight. That’s my opinion.""

Q: ""Kamera ya siri bila shaka ingetuma ishara imara kwa wale watu wanaofanya kazi na wanyama kwamba ustawi wao ni wa kipaumbele cha juu.""
A: ""The CCTV would certainly send a strong signal to those people working with animals that their welfare is of the highest priority.""

Q: Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""
A:"," Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha."""," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","""I am not afraid of the future. I am not afraid of the unknown. I am not afraid of the unknown. I am not afraid of the unknown. I am not afraid of the unknown. I am not afraid of the unknown. I am not afraid of the unknown. I am not afraid of the unknown. I am not afraid of the unknown. I am not afraid of the unknown. I am not afraid of the unknown. I am not afraid of the unknown. I am not",0.8120420613760079,10.224030649617605,24.625,25.0,-0.020263671875
"Q: Makoloni ya siafu huandamana na kuishi katika awamu tofauti vilevile.
A: Army ant colonies march and nest in different phases as well.

Q: Mnamo Oktoba 7 injini ilijitenga wakati wa kuruka, bila majeraha. Urusi iliweka Il-76 kando baada ya ajali hiyo.
A: On October 7 an engine separated on takeoff, without injuries. Russia briefly grounded Il-76s after that accident.

Q: Hii inapinga ripoti za awali, ambazo zilisema kuwa kughairi duru ya pili ya uchaguzi kungekuwa dhidi ya katiba.
A: This contradicts earlier reports, which said that cancelling the runoff would have been against the constitution.

Q: Bidhaa zinaweza kununuliwa zinapotakikana, lakini nyingi zitakuwa na athari ndogo au isiyo halisi kwa utendaji.
A: Products can be purchased as needed, but most will have little or no real impact on performance.

Q: Ziara katika eneo hilo inaweza kujumuishwa kwa urahisi na safari ya ziwa katika boti.
A: A visit to the site can be conveniently combined with a boat trip to the lake.

Q: Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.
A:"," Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake."," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","The lake is a beautiful place to visit, and it is easy to combine a visit with a boat trip to the lake.",1.397632980246024,11.836121217046937,25.0,25.0,-0.0302734375
"Q: Eneo lingine ndogo chini ya tangi zenye uwezo wa kuhifadhi mapipa 104,500 bado halikuwa limejazwa hadi kiwango chake.
A: Another secondary containment area below the tanks capable of holding 104,500 barrels was not yet filled to capacity.

Q: Ugonjwa wenye maambukizi ni ule unaosababishwa na pathojeni, kama vile kirusi, bakteria, kuvu au vimelea wengine.
A: An infectious disease is one that is caused by a pathogen, such as a virus, bacterium, fungus or other parasites.

Q: Asilimia kumi na nane ya Wavenezuela hawana ajira, na wengi wa wale walioajiriwa hufanya kazi katika sekta isiyo rasmi.
A: Eighteen percent of Venezuelans are unemployed, and most of those who are employed work in the informal economy.

Q: Maonyesho ya Kimataifa ya Maua ni matukio maalum ambayo huonyesha maonyesho ya maua, bustani za mimea na kitu chochote kingine kinachohusisha mimea.
A: International Horticultural Expositions are specialised events which showcase floral displays, botanical gardens and anything else to do with plants.

Q: Watoaji wa VPN (mtandao pepe wa kibinafsi) ya kibinafsi ni njia bora ya kukwepa uzuiaji wa kisiasa na uchujaji wa kibiashara wa IP kulingana na eneo.
A: Personal VPN (virtual private network) providers are an excellent way of circumventing both political censorship and commercial IP-geofiltering.

Q: Aliunda kengele ya mlango ya Wi-Fi, alisema.
A:"," Aliunda kengele ya mlango ya Wi-Fi, alisema."," He built a WiFi door bell, he said.",Wi-Fi is a wireless technology that allows devices to connect to the internet without the need for cables.,1.9582248325011242,12.881204337278524,11.375,6.90625,0.024658203125
"Q: Takribani dakika kumi kabla ya kutua kutoka kwa ujio wake wa pili ilipotea.
A: About ten minutes before it was due to land from its second approach it disapeared.

Q: Inawezekana kupata vibali vya mbuga moja kwa moja kutoka kwa Kituo cha Walinzi katika Puerto Jimerez, lakini hawakubali kadi za deni.
A: It is possible to secure park permits directly from the Ranger Station in Puerto Jiménez, but they do not accept credit cards

Q: Vimbunga hupiga sehemu ndogo ikilinganishwa na dhoruba zingine kali, lakini vinaweza kuharibu kila kitu kilichopo njiani mwao.
A: Tornadoes strike a small area compared to other violent storms, but they can destroy everything in their path.

Q: Watu wenye aina hii ya kufikiria wana mawazo ya kimantiki, wanaweza kukariri miundo, kutatua shida na kufanya majaribio ya kisayansi.
A: People with this type of thinking have logical thinking, are able to memorize patterns, solve problems and work on scientific tests.

Q: Blake pia alitiwa hatiani kwa kujaribu kuzuia mkondo wa sheria.
A: Blake was also convicted of attempting to pervert the course of justice.

Q: Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.
A:", Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya., Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff was also convicted of perverting the course of justice.,4.311855239471058,15.2705012176737,25.0,25.0,-0.00628662109375
"Q: Nadal alipata 88% ya pointi kwenye mechi na kushinda pointi 76 kwenye utumishi wa kwanza.
A: Nadal bagged 88% net points in the match winning 76 points in the first serve.

Q: Peter Lenz, mwendeshaji wa pikipiki za mashindano mwenye umri wa miaka 13, alifariki baada ya kuhusika katika ajali kwenye Motor Speedway ya Indianapolis.
A: Peter Lenz, a 13-year-old motorcycle racer, has died after being involved in a crash at the Indianapolis Motor Speedway.

Q: Michoro ya kuta au maandishi yasiyotakikana yanajulikana kama grafiti.
A: Unwanted murals or scribble is known as graffiti.

Q: Wanariadha wanaweza kuhisi wanapendelea bidhaa hata kama haina manufaa halisi.
A: Athletes may feel that they prefer a product even when it provides no real benefits.

Q: Matukio ya kiafya ya muda mrefu kutokana na kunywa kupita kiasi yanaweza kujumuisha uharibifu wa ini na hata upofu na kifo. Kuwepo kwa hatari huongezeka wakati wa kunywa pombe iliyotengenezwa kiharamu.
A: Possible long term health events from excessive drinking can include liver damage and even blindness and death. The potential danger is increased when consuming illegally produced alcohol.

Q: Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.
A:"," Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC."," In late 2017, Siminoff appeared on shopping television channel QVC.","In 2017, Siminoff was the first person to be featured on the channel's unfiltered list of the top 100 most popular TV shows.",8.635800047213174,35.17833693849013,17.0,17.5,0.00225830078125
"Q: Mifumo inayobadilika ya fikira ni mbinu za utatuzi wa shida ambazo zinaunganisha maoni au nyanja tofauti ili kupata suluhisho.
A: Convergent thinking patterns are problem solving techniques that unite different ideas or fields to find a solution.

Q: Elimu ya Kisasa ilimlaumu kwa kuchapa matangazo makubwa kwenye mabasi bila idhini na kudanganya kwa kusema kwamba alikuwa mwalimu mkuu wa Kiingereza.
A: Modern Education accused him of printing large advertisements on buses without authorisation and lying by saying that he was the chief English tutor.

Q: Koloni huanza awamu ya kuhamahama wakati chakula kilichopo kimepunguka. Katika awamu hii, koloni hutengeneza viota visivyo vya kudumu ambavyo hubadilishwa kila siku.
A: The colony begins a nomadic phase when available food has decreased. During this phase, the colony makes temporary nests that are changed everyday.

Q: Mnamo Jumatatu, wanasayansi kutoka Shule ya Tiba ya Chuo Kikuu cha Stanford walitangaza uvumbuzi wa kifaa kipya cha utambuzi ambacho kinaweza kupanga seli kwa aina: kidude kidogo kinachoweza kuchapwa, na ambacho kinaweza kutengenezwa kwa kutumia printa ya kawaida ya kupuliza rangi, yawezekana kwa takribani senti moja ya Marekani kwa kila moja.
A: On Monday, scientists from the Stanford University School of Medicine announced the invention of a new diagnostic tool that can sort cells by type: a tiny printable chip that can be manufactured using standard inkjet printers for possibly about one U.S. cent each.

Q: Ukucha wake wa pili ulikuwa mkubwa, na kuleta chimbuko la jina Hesperonikasi linalomaanisha ""ukucha wa magharibi.""
A: Its second claw was larger, giving rise to the name Hesperonychus which means ""western claw.""

Q: Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.
A:"," Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT."," Ring also settled a lawsuit with competing security company, the ADT Corporation.",The first step in the process of creating a new drug is to identify a disease that is causing the patient to suffer.,2.1300733682208985,16.66243219846751,25.0,25.0,0.003936767578125
