prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",他补充道：“我们现在有 4 个月大没有糖尿病的老鼠，但它们曾经得过该病。”,4个月大的小鼠现在是糖尿病的 4 个月大的小鼠现在是糖尿病的 4 个月大的小鼠现在是糖尿病的 4 个月大的小鼠现在是糖尿病的 4 个月大的小鼠现在是糖尿病的 4 个月大的小鼠现在是糖尿病的 4 个月大的小鼠现在是糖尿病的 4 个月大的小鼠现在是糖尿病的 4 个月大的小鼠现在是糖尿病的 4,2.901141650569629,8.122869156614534,zho_Hans, 他补充道：“我们现在有 4 个月大没有糖尿病的老鼠，但它们曾经得过该病。”,2.901141650569629,8.122869156614534,17.125,24.75
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",埃胡德·乌尔博士（新斯科舍省哈利法克斯市达尔豪西大学医学教授，加拿大糖尿病协会临床与科学部门教授）提醒，这项研究仍处在早期阶段。,Dr. 埃德华·厄德·尤德教授在加拿大，哈利法克斯大学医学院的埃德华·厄德教授在加拿大，哈利法克斯大学医学院的埃德华·厄德教授在加拿大，哈利法克斯大学医学院的埃德华·厄德教授在加拿大，哈利法克斯大学医学院的埃德华·厄德教授在加拿大，哈利法克斯大学医学院的埃德华·,5.427699978125028,8.603582018456288,yue_Hant, 位於新斯科舍省哈利法克斯的達爾豪西大學醫學教授、加拿大糖尿病協會臨床與科學部門主席埃胡德·烏爾醫生警告，這項研究仍處於早期階段。,4.820612393283825,5.985834956476159,22.375,23.5
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。,他对糖尿病可以治愈，他指出这些发现对已经患有糖尿病的人来说，他指出这些发现对患有糖尿病的人来说，这些发现对患有糖尿病的人来说，这些发现对患有糖尿病的人来说，这些发现对患有糖尿病的人来说，这些发现对患有糖尿病的人来说，这些发现对患有糖尿病的人来说，这些发现对患有糖尿病的人来说，这些发现对患有糖尿病的人来说，这些发现对患有糖尿病的人,2.5891239287969587,12.745426986332244,zho_Hans, 和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。,2.5891239287969587,12.745426986332244,23.125,23.625
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",周一，瑞典学院诺贝尔文学委员会常务秘书萨拉·丹尼尔斯在瑞典广播电台的一档节目中向公众宣布，委员会因无法直接联系到鲍勃·迪伦，通知他获得了 2016 年诺贝尔文学奖，已经放弃了与他联系的尝试。,2016 年诺贝尔文学奖委员会无法直接与 2016 年诺贝尔文学奖委员会无法直接与 2016 年诺贝尔文学奖委员会无法直接与 2016 年诺贝尔文学奖委员会无法直接与 2016 年诺贝尔文学奖委员会无法直接与 2016 年诺贝尔文学奖委员会无法直接与 2016 年诺贝尔文学奖委员会无法直接与 2,11.481911511851816,14.419351963742239,yue_Hant, 在星期一，瑞典學院諾貝爾文學獎委員會常任秘書薩拉·達尼烏斯在瑞典 Sveriges 電台的一個廣播節目中公開宣布，該委員會無法就獲得 2016 年諾貝爾文學獎一事直接聯繫鮑勃·迪倫，因此放棄聯繫他。,1.0230403685546674,4.74405678841584,25.0,25.0
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",达尼厄斯说道：“目前我们保持按兵不动。我给他关系最好的合作者打过电话并发送了电子邮件，而且收到了对方非常友好的回复。就目前而言，这足够了。”,丹尼斯说：“现在我们正在做些什么？丹尼斯说：“现在我们正在做些什么？丹尼斯说：“现在我们正在做些什么？丹尼斯说：“现在我们正在做些什么？丹尼斯说：“现在我们正在做些什么？丹尼斯说：“现在我们正在做些什么？丹尼斯说：“现在我们正在做些什么？丹尼斯说：“现在我们正在做些什么？丹尼斯,1.080025072892678,1.8813939607221724,zho_Hans, 达尼厄斯说道：“目前我们保持按兵不动。我给他关系最好的合作者打过电话并发送了电子邮件，而且收到了对方非常友好的回复。就目前而言，这足够了。”,1.080025072892678,1.8813939607221724,18.25,23.0
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",此前，铃声 (Ring) 公司 CEO 杰米·西米诺夫曾表示，公司成立之初，他在位于车库的工作室里是听不到门铃响声的。,之前，Ring 的首席执行官 Jamie Siminoff 表示，Ring 始创于他的商店里，他的门铃不听从他的商店里，他的门铃不听从他的商店里，他的门铃不听从他的商店里，他的门铃不听从他的商店里，他的门铃不听从他的商店里，他的门铃不听从他的商店里，他的门铃不听从他的商店里，他的门铃不听从他的商店,1.204253196405594,5.707384762560555,yue_Hant, 此前，Ring 的行政總裁Jamie Siminoff 表示公司創立的源由是從他車庫的店中聽不到門鈴。,4.198143474504894,23.902171361317794,19.875,20.25
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.",他称，他制作了一个 WiFi 门铃。,他的建立 WiFi 门铃，他说。,26.44967217413845,27.316763114995673,zho_Hant, 他說他做了一個無線網路門鈴。,3.4162113597999784,3.0612244897959187,7.625,7.96875
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,西米诺夫说，2013 年他在《创智赢家》节目中露面后，公司的销售额大增，当时节目组拒绝向这家初创公司投资。,2013年，Siminoff 在 Shark Tank 节目中，他 2013 年，Siminoff 在 Shark Tank 节目中，他 2013 年，Siminoff 在 Shark Tank 节目中，他 2013 年，Siminoff 在 Shark Tank 节目中，他 2013 年，Siminoff 在 Shark Tank 节目中，他 2013 年，Siminoff 在 Shark Tank 节目中,2.0122656145090545,4.825814596012553,yue_Hant, Siminoff 表示，2013 年他在《創智贏家》節目中亮相，節目的評審團拒絕為這間初創公司提供資金，其後銷量有所增長。,1.2435106431164566,8.900192521078845,24.25,25.0
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.",2017 年年末，西米诺夫出现在 QVC 电视销售频道。,2017 年 12 月，Siminoff 在购物频道 QVC 上 2017 年 12 月，Siminoff 在购物频道 QVC 上 2017 年 12 月，Siminoff 在购物频道 QVC 上 2017 年 12 月，Siminoff 在购物频道 QVC 上 2017 年 12 月，Siminoff 在购物频道 QVC 上 2017,1.601246346983589,9.870666137122754,yue_Hant, 2017 年底，Siminoff 出現在電視購物頻道 QVC 上。,6.267163185424095,20.70822095160663,7.6875,12.1875
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.",铃声 (Ring) 公司还与竞争对手 ADT 安保公司在一起官司中达成了庭外和解。,警长也与竞争对手安德塔公司。,9.535147742820392,9.130592416341413,yue_Hant, Ring 還與競爭對手ADT Corporation 保安公司達成了和解。,3.1911854274745144,2.873630451233645,12.375,16.25
"Q: While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.
A:","While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",虽然有一种实验性疫苗看似能够降低埃博拉病毒的死亡率，但迄今为止，还没明确证明任何药物适合治疗现有的感染。,埃博拉病毒的实验疫苗似乎能够减少埃博拉病毒的死亡率，迄今为止，还没有明确的药物可以治疗现有的感染。,39.898971941389476,35.15047302218665,zho_Hans, 虽然有一种实验性疫苗看似能够降低埃博拉病毒的死亡率，但迄今为止，还没明确证明任何药物适合治疗现有的感染。,39.898971941389476,35.15047302218665,2.5625,2.078125
"Q: One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.
A:","One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",一种名为 ZMapp 的“抗体鸡尾酒”（多抗体联合）最初有望在该领域发挥作用，但正式研究表明，它在预防死亡方面的效果有些不尽人意。,一种抗体组合，最初在临床试验中，ZMPP 首次显示出在预防死亡方面，最初在临床试验中，ZMPP 一种抗体组合，最初在临床试验中，ZMPP 一种抗体组合，最初在临床试验中，ZMPP 一种抗体组合，最初在临床试验中，ZMPP 一种抗体组合，最初在临床试验中，ZMPP 一种抗体组合，最初,2.0701356581955856,7.548669682496214,yue_Hant, 一種名為 ZMapp 的混合抗體最初在該領域表現出色，但正式發表的研究顯示，它在預防死亡方面的益處不如預期般多。,0.8999311783752036,5.763781223615978,23.875,24.75
"Q: In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.
A:","In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",在 PALM 实验中，ZMapp 用作参照。也就是科学家将其作为基线，把其他三种治疗方法与之作比较。,在PALM试验中，ZMapp作为对照，科学家们使用它作为基准，在三项其他治疗方式与ZMapp作为对照，在PALM试验中，ZMapp作为对照，科学家们使用它作为基准，在PALM试验中，ZMapp作为对照，科学家们使用它作为基准，在PALM试验中，ZMapp作为对照，科学家们使用它作为基准，在PALM试验中，Z,5.231953156479998,16.187712646541115,zho_Hans, 在 PALM 实验中，ZMapp 用作参照。也就是科学家将其作为基线，把其他三种治疗方法与之作比较。,5.231953156479998,16.187712646541115,25.0,25.0
