prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang
"Q: «Actualmente, tenemos ratones de cuatro meses de edad que antes solían ser diabéticos y que ya no lo son», agregó.
A:","«Actualmente, tenemos ratones de cuatro meses de edad que antes solían ser diabéticos y que ya no lo son», agregó.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","The population of rats that have been diagnosed with four months of age, the population of rats that have been diagnosed with four months of age, the population of rats that have been diagnosed with four months of age, the population of rats that have been diagnosed with four months of age, the population of rats that have been diagnosed with four months of age, the population of rats that have been diagnosed with four months of age, the population of rats that have been diagnosed with four months of age, the population",0.4739602654146061,10.823811175911343,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",0.4739602654146061,10.823811175911343
"Q: La investigación todavía se ubica en su etapa inicial, conforme indicara el Dr. Ehud Ur, docente en la carrera de medicina de la Universidad de Dalhousie, en Halifax, Nueva Escocia, y director del departamento clínico y científico de la Asociación Canadiense de Diabetes.
A:","La investigación todavía se ubica en su etapa inicial, conforme indicara el Dr. Ehud Ur, docente en la carrera de medicina de la Universidad de Dalhousie, en Halifax, Nueva Escocia, y director del departamento clínico y científico de la Asociación Canadiense de Diabetes.","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","The research still remains in its initial stage, as the Dr. Ur, the research is still in its initial stage, as the Dr. Ur, the research is still in its initial stage, as the Dr. Ur, the research is still in its initial stage, as the Dr. Ur, the research is still in its initial stage, as the Dr. Ur, the research is still in its initial stage, as the Dr. Ur, the research is still in its initial stage, as",6.049011151496248,22.655421143734923,eng_Latn," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",6.049011151496248,22.655421143734923
"Q: Al igual que otros especialistas, es escéptico acerca de si la diabetes tiene cura y remarca que estos descubrimientos no son relevantes para quienes que ya padecen de diabetes de tipo 1.
A:","Al igual que otros especialistas, es escéptico acerca de si la diabetes tiene cura y remarca que estos descubrimientos no son relevantes para quienes que ya padecen de diabetes de tipo 1.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",The idea of diabetes has not been widely accepted as it is not widely accepted that diabetes has not been widely accepted as it is not widely accepted that diabetes has not been widely accepted as it is not widely accepted that diabetes has not been widely accepted as it is not widely accepted that diabetes has not been widely accepted as it is not widely accepted that diabetes has not been widely accepted as it is not widely accepted that diabetes has not been widely accepted as it is not widely accepted that diabetes has not been widely accepted,0.46582492008030474,13.98098182538264,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",0.46582492008030474,13.98098182538264
"Q: El lunes, Sara Danius, secretaria permanente del Comité por el Nobel de Literatura de la Academia Sueca, declaró públicamente en un programa radiofónico de Sveriges, en Suecia, que, al no poder contactar directamente con Bob Dylan para comunicarle el premio en Literatura 2016, el comité había abandonado sus esfuerzos por comunicarse con él.
A:","El lunes, Sara Danius, secretaria permanente del Comité por el Nobel de Literatura de la Academia Sueca, declaró públicamente en un programa radiofónico de Sveriges, en Suecia, que, al no poder contactar directamente con Bob Dylan para comunicarle el premio en Literatura 2016, el comité había abandonado sus esfuerzos por comunicarse con él.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Sara Danius, the secretary of the Nobel Prize Committee, Bob Dylan, the chairman of Sveriges, Bob Dylan, the chairman of Sveriges, Bob Dylan, the chairman of Sveriges, Bob Dylan, the chairman of Sveriges, Bob Dylan, the chairman of Sveriges, Bob Dylan, the chairman of Sveriges, Bob Dylan, the chairman of Sveriges, Bob Dylan, the chairman of Sveriges, Bob Dylan, the chairman of Sveriges, Bob Dylan, the chairman of Sver",6.922086238440698,26.682365501722614,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",6.922086238440698,26.682365501722614
"Q: Danius declaró: «Actualmente no estamos haciendo nada. Llamé y envié correos electrónicos a su asistente más cercano y recibí contestaciones muy cordiales. Por el momento, eso es sin dudas suficiente».
A:","Danius declaró: «Actualmente no estamos haciendo nada. Llamé y envié correos electrónicos a su asistente más cercano y recibí contestaciones muy cordiales. Por el momento, eso es sin dudas suficiente».","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius declared: ""Currently, we are not doing anything. We have not done anything. We have not done anything. We have not done anything. We have not done anything. We have not done anything. We have not done anything. We have not done anything. We have not done anything. We have not done anything. We have not done anything. We have not done anything. We have not done anything. We have not done anything. We have not done anything. We have not",1.268800908363999,15.349668557769611,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",1.268800908363999,15.349668557769611
"Q: Con anterioridad, el director ejecutivo de Ring, Jamie Siminoff, mencionó que la compañía había iniciado a raíz de que el timbre de su entrada no podía oírse desde la tienda que tenía montada en su garaje.
A:","Con anterioridad, el director ejecutivo de Ring, Jamie Siminoff, mencionó que la compañía había iniciado a raíz de que el timbre de su entrada no podía oírse desde la tienda que tenía montada en su garaje.","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","The CEO of Ring, Jamie Siminoff, said that Ring had begun to take root after the door to the entrance to Ring, Jamie Siminoff, said that Ring had begun to take root after the door to the entrance to Ring, Jamie Siminoff, said that Ring had begun to take root after the door to the entrance to Ring, Jamie Siminoff, said that Ring had begun to take root after the door to the entrance to Ring, Jamie Siminoff, said that Ring had begun to take",4.505623619647642,18.02665322885729,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",4.505623619647642,18.02665322885729
"Q: Él dijo que construyó un timbre wifi.
A:",Él dijo que construyó un timbre wifi.,"He built a WiFi door bell, he said.",He said that he built a wireless microphone.,8.913765521398126,33.474310971762236,eng_Latn," He built a WiFi door bell, he said.",8.913765521398126,33.474310971762236
"Q: Siminoff declaró que las ventas se dispararon luego de su aparición en un episodio de Shark Tank en el año 2013, en el que el panel del programa televisivo se negó a financiar la puesta en marcha de la compañía.
A:","Siminoff declaró que las ventas se dispararon luego de su aparición en un episodio de Shark Tank en el año 2013, en el que el panel del programa televisivo se negó a financiar la puesta en marcha de la compañía.",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"The company was founded after the show appeared, the company was founded after the show appeared, the company was founded after the show appeared, the company was founded after the show appeared, the company was founded after the show appeared, the company was founded after the show appeared, the company was founded after the show appeared, the company was founded after the show appeared, the company was founded after the show appeared, the company was founded after the show appeared, the company was founded after the show appeared, the",1.0107211074792084,13.52197310955379,eng_Latn, Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,1.0107211074792084,13.52197310955379
"Q: Hacia fines del año 2017, Siminoff hizo una aparición en el canal de compras televisadas QVC.
A:","Hacia fines del año 2017, Siminoff hizo una aparición en el canal de compras televisadas QVC.","In late 2017, Siminoff appeared on shopping television channel QVC.","In the year 2017, Siminoff appeared on the channel QVC.",54.451788461394045,59.39274831228214,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",54.451788461394045,59.39274831228214
"Q: Ring también llegó a un acuerdo en el litigio con la compañía de seguridad de la competencia, ADT Corporation.
A:","Ring también llegó a un acuerdo en el litigio con la compañía de seguridad de la competencia, ADT Corporation.","Ring also settled a lawsuit with competing security company, the ADT Corporation.",The Ring also came to an agreement in the lawsuit with the company ADT Corporation.,22.786788980326644,50.63500141037818,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",22.786788980326644,50.63500141037818
