prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.","""Kwa kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini k",0.7144315612998046,4.197011232327265,ceb_Latn," ""Aduna na kami karon 4 ka bulang mga ilaga nga dili dayabetik nga kaniadto dayabetik,"" dugang pa niya.",0.7144315612998046,4.077736758629246
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.",Mafaji kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini k,0.0,5.653197456197616,ceb_Latn," Si Dr. Ehud Ur, propesor sa medisina sa Dalhousie University sa Halifax, Nova Scotia ug chair sa klinikal ug siyentipiko nga dibisyon sa Canadian Diabetes Association mipahimangno nga ang panukiduki naa pa sa iyang sayo nga mga adlaw.",0.0,4.058830727599949
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.",Kwa kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini,0.0,3.3037300335256576,ceb_Latn," Sama sa ubang mga eksperto, maduhaduhaon siya kon mahimong maayo ang diyabetes, ingon nga kining mga nakaplagan walay kalabutan sa mga tawo nga adunay Type 1 nga diabetes.",0.0,3.479892268713965
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.",Kwa kini kini hifini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini k,0.0,4.3029015576629,ceb_Latn," Sa Lunes, si Sara Danius, ang permanente nga sekretarya sa Nobel Committee sa Literatura sa Swedish Academy, nagpahayag sa publiko sa usa ka programa sa radyo nga Sveriges Radio sa Sweden, nga tungod kay wala direktang nakaistorya si Bob Dylan mahitungod sa pagkadaog niya sa 2016 nga Nobel Prize sa Literatura, gihunong na sa committee ang paningkamot niining makigstorya kaniya.",0.0,3.376533978425189
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""",Kwa kini hini hifini hini kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa k,0.8496070958802302,7.9963558642379935,tsn_Latn," Danius o rile, ”Mo nakong ya gompieno ga re dire sepe. Ke leditse ke be ke romela melaetsa ya e-mail ko go ba ba dirisanang thata le ene ka bo ke amogela diphetolo tse di solofetsang. Ga jaana se se selekane.”",0.0,3.76597299023142
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.",Kwa kini hifini hifini hini kini kwa kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini,0.0,6.328039650779517,ceb_Latn, Ang kaniadto CEO sa kompanyang Ring nga si Jamie Siminoff nag-ingon nga nagsugod ang kompanya sa dili pa madungog ang timbre sa pultahan gikan sa tindahan sa iyang garahe.,0.0,4.224493188219394
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","Aliunda kengele ya mlango ya Wi-Fi, alisema.",Mili hini hini kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa kwa,0.0,3.2855559126898712,tsn_Latn, A re o dirile tshitswana e e kokotang ya WiFi.,0.0,3.9557628364709885
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.,Maji kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini kini,0.0,3.2878414366257673,ceb_Latn, Niingon si Siminoff nga ang halin misaka human sa iyang paggawas sa usa ka episode sa Shark Tank sa 2013 diin ang panel sa pasundayag nagdumili sa pagpundo sa nagasugod nga kumpanya.,0.0,3.189135035454653
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.",Kwa kini hifini hini kwa kini kwa kini kwa kini kwa kini kwa kini kwa kini kwa kini kwa kini kwa kini kwa kini kwa kini kwa kini kwa kini kwa kini kwa kini kwa kini kwa kini kwa kini kwa kini kwa kini kwa kini kwa kini kwa k,0.0,4.995137212439167,ceb_Latn," Sa ulahing bahin sa 2017, nakita si Siminoff sa usa ka shopping channel sa telebisyon nga QVC.",0.0,5.792537251113387
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.",Kwa kini hifini hifini hifini hifini hifini hifini hifini hifini hifini hifini hifini hifini hifini hifini hifini hifini hifini hifini hifini hifini hifini hifini hifini hifini hifini hifini hifini hifini hifini hifini hifini hifini,0.0,3.0855718975946647,bam_Latn," Ring fana ye kiri dɔ boloda a ni a sinama basikili cakɛda, cakɛda ADT.",0.0,2.9360937752264635
