prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.","""Sasa hivi tuna wanyama wa miguu 4 ambao sasa hivi wamekuwa wanyama wa miguu 4, wamekuwa wanyama wa miguu 4.",6.146186566180317,22.54153167556319,swh_Latn," ""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.",6.146186566180317,22.54153167556319,21.375,22.375
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.","Profesa wa dawa ya kisayansi ya Uhispania, Dr. Ehud Ur, amesema kuwa utafiti huo bado ni wa kwanza na wa kwanza.",6.246932935303222,23.938278849918962,swh_Latn," Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.",6.246932935303222,23.938278849918962,16.75,18.5
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.","Kama baadhi ya wataalamu, wamekuwa wakisema kwamba ugonjwa wa sukari ya damu unaweza kutibiwa, lakini wataalamu wengine wamekuwa wakisema kwamba ugonjwa wa sukari ya damu unaweza kutibiwa, lakini wataalamu wamekuwa wakisema kwamba ugonjwa wa sukari ya damu unaweza kutibiwa, lakini wataalamu wamekuwa wakisema kwamba u",5.036098510733814,35.8876488124451,swh_Latn," Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.",5.036098510733814,35.8876488124451,19.75,21.25
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.","Mnamo Jumatatu, Sara Danius, msimamizi wa kitivo cha Uswizi, hakika alitangaza kuwa, Mnamo Jumatatu, Sara Danius, msimamizi wa kitivo cha Uswizi, hakika alitangaza kuwa, Mnamo Jumatatu, Sara Danius, msimamizi wa kitivo cha Uswizi, hakika alitangaza kuwa, Mnamo Jumatatu, Sara Danius,",11.895535195483248,26.176132933497602,swh_Latn," Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.",11.895535195483248,26.176132933497602,25.0,25.0
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""","Danius alisema, ""Sasa hivi tunafanya kitu hakuna. Nimepiga simu na kutuma barua kwa rafiki zetu, hapa tunafanya kitu hakuna. Hata hivyo, tunafanya kitu hakuna. Hata hivyo, tunafanya kitu hakuna. Hata hivyo, tunafanya kitu hakuna. Hata hivyo, tunafanya kitu hakuna. Hata hivyo, tunafanya kitu hakuna. Hata",19.483017530736372,37.95004218678758,swh_Latn," Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""",19.483017530736372,37.95004218678758,25.0,25.0
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.","Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alikiri kwamba kampuni ilianza wakati mwanzo wa mzunguko wa simu ulikuwa haujawahi kuanza, na mwanzo wa mzunguko wa simu ulikuwa haujawahi kuanza.",37.83430622254701,49.834057405071285,swh_Latn," Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.",37.83430622254701,49.834057405071285,13.1875,11.5625
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","Aliunda kengele ya mlango ya Wi-Fi, alisema.","Aliyekufunza ufundi wa WiFi, alisema.",11.412735515545796,33.886044339332436,swh_Latn," Aliunda kengele ya mlango ya Wi-Fi, alisema.",11.412735515545796,33.886044339332436,18.875,21.125
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.,"Msimu wa Siminoff alisema mauzo yameongezeka baada ya kuonekana katika kipindi cha televisheni cha 2013, mauzo yameongezeka baada ya kuonekana katika kipindi cha televisheni cha 2013, mauzo yameongezeka baada ya kuonekana katika kipindi cha televisheni cha 2013, mauzo yameongezeka baada ya kuonekana katika kipindi cha televisheni cha 2",13.762837010244922,38.669567565815306,swh_Latn, Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.,13.762837010244922,38.669567565815306,25.0,25.0
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.","Katika mwisho wa 2017, Siminoff alionekana kwenye televisheni ya QVC.",31.174747170522185,53.91937743547023,swh_Latn," Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.",31.174747170522185,53.91937743547023,4.1875,4.28125
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.","Mzungu pia alikwenda mahali pa kujiunga na kikundi cha watawala wa nchi, pia alikwenda mahali pa kujiunga na kikundi cha watawala wa nchi.",1.4780822562194806,17.751184929012386,swh_Latn," Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.",1.4780822562194806,17.751184929012386,24.75,25.0
