prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: 「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。
A:",「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","The mice we are keeping are diabetic, but the mice we are keeping are diabetic, but the mice we are keeping are diabetic, but the mice we are keeping are diabetic, but the mice we are keeping are diabetic, but the mice we are keeping are diabetic, but the mice we are keeping are diabetic, but the mice we are keeping are diabetic, but the mice we are keeping are diabetic, but the mice we are keeping are diabetic, but the mice we are keeping are diabetic, but the",1.4939256111286259,13.487885172615705,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",1.4939256111286259,13.487885172615705,25.0,25.0
"Q: ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。
A:",ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","The study is still in its early stages, the study is still in its early stages, the study is still in its early stages, the study is still in its early stages, the study is still in its early stages, the study is still in its early stages, the study is still in its early stages, the study is still in its early stages, the study is still in its early stages, the study is still in its early stages, the study is still in its early stages, the",3.6813702840198532,17.81350231526031,eng_Latn," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",3.6813702840198532,17.81350231526031,19.25,20.375
"Q: 他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。
A:",他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","He is skeptical about the results, which are of no relevance to people with diabetes, the results are of no relevance to people with diabetes, the results are of no relevance to people with diabetes, the results are of no relevance to people with diabetes, the results are of no relevance to people with diabetes, the results are of no relevance to people with diabetes, the results are of no relevance to people with diabetes, the results are of no relevance to people with diabetes, the results are of no relevance",5.602430578720846,28.639768981741238,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",5.602430578720846,28.639768981741238,16.625,20.375
"Q: スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。
A:",スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","The Swedish Academy has publicly announced that it has given up trying to contact Dylan, the Swedish Academy has publicly announced that it has given up trying to contact Dylan, the Swedish Academy has publicly announced that it has given up trying to contact Dylan, the Swedish Academy has publicly announced that it has given up trying to contact Dylan, the Swedish Academy has publicly announced that it has given up trying to contact Dylan, the Swedish Academy has publicly announced that it has given up trying to contact Dylan, the Swedish Academy has",3.635698897653107,22.272117867643022,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",3.635698897653107,22.272117867643022,22.0,23.875
"Q: ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。
A:",ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",The dust mite is doing nothing at the moment. It is doing nothing at the moment. The dust mite is doing nothing at the moment. The dust mite is doing nothing at the moment. The dust mite is doing nothing at the moment. The dust mite is doing nothing at the moment. The dust mite is doing nothing at the moment. The dust mite is doing nothing at the moment. The dust mite is doing nothing at the moment. The dust mite is doing nothing at the moment. The dust,0.9448373757517554,13.068257480053584,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",0.9448373757517554,13.068257480053584,23.375,24.375
"Q: RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。
A:",RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","The CEO of Ring, Jamie Siminoff, started the business after the doorbell rang, the CEO of Ring, Jamie Siminoff, started the business after the doorbell rang, the doorbell rang, the CEO of Ring, Jamie Siminoff, started the business after the doorbell rang, the doorbell rang, the CEO of Ring, Jamie Siminoff, started the business after the doorbell rang, the doorbell rang, the CEO of Ring, Jamie Siminoff, started the business after the doorbell rang, the doorbell rang",4.916860515288906,21.361853071612476,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",4.916860515288906,21.361853071612476,22.5,24.0
"Q: 彼はWi-Fiで鳴るドアベルを作ったそうです。
A:",彼はWi-Fiで鳴るドアベルを作ったそうです。,"He built a WiFi door bell, he said.","He has made a doorbell that rings with Wi-Fi, he has made a doorbell that rings with Wi-Fi, he has made a doorbell that rings with Wi-Fi, he has made a doorbell that rings with Wi-Fi, he has made a doorbell that rings with Wi-Fi, he has made a doorbell that rings with Wi-Fi, he has made a doorbell that rings with Wi-Fi, he has made a doorbell that rings with Wi-Fi, he has made a",0.7765782506252724,11.387617508288088,eng_Latn," He built a WiFi door bell, he said.",0.7765782506252724,11.387617508288088,14.5,18.625
"Q: シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。
A:",シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"He said that sales have skyrocketed since the show, after which sales have skyrocketed, he said, the sales have skyrocketed since the show, he said, sales have skyrocketed since the show, he said, sales have skyrocketed since the show, he said, sales have skyrocketed since the show, he said, sales have skyrocketed since the show, he said, sales have skyrocketed since the show, he said, sales have skyrocketed since the show, he said, sales have skyrocketed since the show, he said,",0.778239574904937,14.456883279802518,eng_Latn, Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,0.778239574904937,14.456883279802518,19.5,20.0
"Q: 2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。
A:",2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。,"In late 2017, Siminoff appeared on shopping television channel QVC.","In the second half of 2017, Siminoff appeared on QVC, a home shopping channel, in the second half of 2017, Siminoff appeared on QVC, a home shopping channel, in the second half of 2017, Siminoff appeared on QVC, a home shopping channel, in the second half of 2017, Siminoff appeared on QVC, a home shopping channel, in the second half of 20",6.590635722871875,32.65945631322636,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",6.590635722871875,32.65945631322636,24.25,23.375
"Q: Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。
A:",Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring has settled a lawsuit with the competing security company, Ring has settled a lawsuit with the competing security company, Ring has settled a lawsuit with the competing security company, Ring has settled a lawsuit with the competing security company, Ring has settled a lawsuit with the competing security company, Ring has settled a lawsuit with the competing security company, Ring has settled a lawsuit with the competing security company, Ring has settled a lawsuit with the competing security company, Ring has settled a lawsuit with the competing security company, Ring",6.374365846135625,28.390347030234015,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",6.374365846135625,28.390347030234015,10.375,15.8125
