prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.","""Sasa hivi tuna wanyama wenye umri wa miezi 4 ambao hawawezi kuwa wanyama wa kwanza, wamekuwa wanyama wa kwanza kwa muda mrefu, wamekuwa wanyama wa kwanza kwa muda mrefu, wamekuwa wanyama wa kwanza kwa muda mrefu, wamekuwa wanyama wa kwanza kwa muda mrefu, wamekuwa",6.14297303735283,29.960810078279863,swh_Latn," ""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.",6.14297303735283,29.960810078279863
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.","Profesa M. Ehud Ur, profesa ya dawa ya Dalhousie katika Halifax, Nova Scotia na kiti cha utendakazi wa dawa ya Dalhousie katika Halifax, Nova Scotia na kiti cha utendakazi wa dawa ya Dalhousie katika Halifax, Nova Scotia na kiti cha utendakazi wa dawa ya Dalhousie katika Halifax, Nova Scotia na kiti cha utendakazi wa dawa ya Dalhousie katika Halifax, Nova Scotia na k",11.22408380940862,32.00638814983394,swh_Latn," Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.",11.22408380940862,32.00638814983394
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.","Kama baadhi ya wataalamu, ana shaka kuhusu kama ugonjwa wa sukari unaweza kutibiwa, na watu wengi wamekuwa na shaka kuhusu kama ugonjwa wa sukari unaweza kutibiwa, na watu wengi wamekuwa na shaka kuhusu kama ugonjwa wa sukari unaweza kutibiwa, na watu wengi wamekuwa na shaka kuhusu kama ugonjwa wa sukari unaweza kutibiwa",14.828686902548505,43.63964424532489,swh_Latn," Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.",14.828686902548505,43.63964424532489
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.","Kwa Ijumaa, Sara Danius, mkurugenzi wa kamati ya Uandishi wa kitaalam, haijawahi kufanikiwa kufikia Bob Dylan, mkurugenzi wa kamati ya Uandishi wa kitaalam, haijawahi kufanikiwa kufikia Bob Dylan, mkurugenzi wa kamati ya Uandishi wa kitaalam, haijawahi kufanikiwa kufikia Bob Dylan, mkurugenzi wa kam",6.434483791383646,25.621306937612786,swh_Latn," Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.",6.434483791383646,25.621306937612786
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""","Danius alisema, ""Hivi sasa tunafanya kitu hakuna. Nimepiga simu na kutuma barua za marafiki na marafiki wamepata jibu la kutosha. Hivi sasa tunafanya kitu hakuna. Nimepiga simu na kutuma barua za marafiki na marafiki wamepata jibu la kutosha. Hivi sasa tunafanya kitu hakuna.",17.512787030906903,39.57374717475459,swh_Latn," Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""",17.512787030906903,39.57374717475459
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.","Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alikiri kwamba kampuni ilianza wakati mlango wa kwanza haukuwa kusikika kutoka kwa duka la kwanza, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alikiri kwamba kampuni ilianza wakati mlango wa kwanza haukuwa kusikika kutoka kwa duka la kwanza, Mkurugenzi Mtendaji wa Ring, Jamie",22.554305171826744,49.437546922745646,swh_Latn," Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.",22.554305171826744,49.437546922745646
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","Aliunda kengele ya mlango ya Wi-Fi, alisema.","Aliyekuja, aliyekuja, aliyekuja, aliyekuja, aliyekuja, aliyekuja, aliyekuja, aliyekuja, aliyekuja, aliyekuja, aliyekuja, aliyekuja, aliyekuja, aliyekuja, aliyekuja, aliyekuja, aliyekuja, aliyekuja, aliyekuja, aliyekuja",0.5356571470331629,6.7534449839235355,swh_Latn," Aliunda kengele ya mlango ya Wi-Fi, alisema.",0.5356571470331629,6.7534449839235355
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.,"Siminoff alisema mauzo yameongezeka baada ya kuonekana katika mfululizo wa Shark Tank mwaka 2013, mauzo yameongezeka baada ya kuonekana katika mfululizo wa Shark Tank mwaka 2013, mauzo yameongezeka baada ya kuonekana katika mfululizo wa Shark Tank mwaka 2013, mauzo yameongezeka baada ya kuonekana katika mfululizo wa",11.220298028116186,37.67964766996166,swh_Latn, Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.,11.220298028116186,37.67964766996166
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.","Katika mwisho wa 2017, Siminoff alionekana kwenye kituo cha televisheni cha QVC.",31.065583953962292,52.962985310479525,swh_Latn," Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.",31.065583953962292,52.962985310479525
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.","Mzungu pia alikwenda kwenye kesi na kampuni nyingine ya usalama, ADT Corporation.",10.117127007355416,34.80675023523014,swh_Latn," Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.",10.117127007355416,34.80675023523014
