prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.","Nous avons maintenant des souris de quatre mois, qui ont maintenant des souris, nous avons maintenant des souries, nous avons maintenant des souries, nous avons des souries, nous avons des souries, nous avons des souries, nous avons des souries, nous avons des souries, nous avons des souries, nous avons des souries, nous avons des souries, nous avons des souries, nous avons des souries, nous avez des souries, nous avons des",2.957500814931966,19.30824401163146,fra_Latn," « Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.",2.957500814931966,19.30824401163146
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.","Le Dr Ehud Ehud, le Dr Dr Ehud, le Dr Ehud, le Dr Ehud, le Dr Ehud, le Dr Ehud, le Dr Ehud, le Dr Ehud, le Dr Ehud, le Dr Ehud, le Dr Ehud, le Dr Ehud, le Dr Ehud, le Dr Ehud, le Dr Ehud, le Dr Ehud, le Dr Ehud, le Dr Ehud, le Dr Eh L' Dr Eh",2.584663866580268,8.058639118451772,yue_Hant, 位於新斯科舍省哈利法克斯的達爾豪西大學醫學教授、加拿大糖尿病協會臨床與科學部門主席埃胡德·烏爾醫生警告，這項研究仍處於早期階段。,0.35896057761679323,0.0
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.","Comme comme certains experts, il est comme les autres, il est comme les experts, il est comme les autres, il est comme les experts, il est comme les autres, il est comme les experts, il est comme les autres, il est comme les experts, il est comme les autres, il est comme les experts, il est comme les autres, il est comme les autres, il est comme les autres, il est comme les autres, il est comme les autres, il est comme les",1.4505708252848146,15.497611483323132,fra_Latn," À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.",1.4505708252848146,15.497611483323132
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.","Le mardi, Sara Danius, le mardi, le mardi, le mardi, le mardi, le mardi, le mardi, le mardi, le mardi, le mardi, le mardi, le mardi, le mardi, le mardi, le m mardi, le m mardi, le m m, le m, le m, le m, le m, le m, le m, le m, le m, le m",4.092538093934057,12.454581983899638,tsn_Latn," Ka Mosupologo, Sara Danius, mokwaledi-mogolo wa Komiti ya Nobel ya Sekgele sa tsa Bokwadi kwa Swedish Academy, o phatlaladitse mo thulaganyong ya seromamowa mo Sveriges Radio kwa Sweden go re komiti e itlhobogile ka maiteko a go itshwaraganya le Bob Dylan, mabapi le go bo a gapile Sekgele sa Bokwadi sa 2016, ka ba nna ba palalwa ke go mo fitlhelela.",3.89228996581778,10.733775836541271
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »","Danius a dit que nous, à présent, nous avons fait, à présent, nous avons dit que Danius a dit que nous, à présent, nous avons fait, à présent, nous a fait, à présent, nous a fait, à présent, nous a fait, à présent, nous a fait, à présent, nous a fait, à présent, nous a fait, à présent, à présent, nous a fait, à présent, à présent, nous a fait, à présent,",1.8276333471467492,15.820445298841864,fra_Latn," Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »",1.8276333471467492,15.820445298841864
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.","L'fois, le chef de l' Ring, qui a précédement, le Ring a commencé, le chef de l' L'fois, le chef de l' Ring, le L'fois, le chef de l' L'fois, le chef de l' L'fois, le L'fois, le L'fois, le L'fois, le L'fois, le L'fois, le L'fois, le L'fois, le L'fois",1.552614960080184,14.228010116952747,fra_Latn," Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.",1.552614960080184,14.228010116952747
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.",Il dit avoir conçu une sonnette de porte Wi-Fi.,"Il a construit un porte de la maison, il a construit un porte de la maison, il a construit un porte de la maison, il a construit un porte de la maison, il a construit un porte de la maison, il a construit un porte de la maison, il a construit un porte de la maison, il a construit un porte de la maison, il a construit un porte de la maison, il a construit un porte de la maison,",0.4724186878758777,9.461240540083942,fra_Latn, Il dit avoir conçu une sonnette de porte Wi-Fi.,0.4724186878758777,9.461240540083942
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,"Siminoff a dit que les ventes ont été augmentées par Siminoff, qui a dit que les ventes ont été augmentées par Siminoff, qui a dit que les ventes ont été augmentées par Siminoff, qui a dit que les ventes ont été augmentées par Siminoff, qui a dit que les ventes ont été augmentées par Siminoff, qui a dit que les ventes ont été augmentées par Siminin, qui a",5.979562872418577,22.894772167870837,fra_Latn, M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,5.979562872418577,22.894772167870837
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.","En 201 Siminoff a appéché en 201, Siminoff a appéché en 20, Siminoff a appéché en 20, Siminoff a appéché en  L Siminoff a appéché en 20, Siminoff a appéché en 20, Siminoff a appéché en 20, Siminoff a appéché en  Siminoff",1.7433355587455566,14.138655332237096,ltz_Latn, Enn 2017 ass de Siminoff um Shopping-Fernseesender QVC opgetrueden.,1.7433355587455566,11.793836367533036
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.","Le ring a également, le ring a également, le ring a également, le ring a également, le ring a également, le ring a également, le ring a également, le ring a également, le ring a également, le ring a également, le ring a également, le ring a également, le ring a également, le ring a également, le ring a également, le ring a également, le ring a également, le ring a également, le ring a également, le ring a également,",0.794510362267378,12.215482751912129,fra_Latn," Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.",0.794510362267378,12.215482751912129
"Q: While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.
A:","While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","Même si un vaccin expérimental semble jusqu'ici capable de réduire le taux de mortalité d'Ebola, aucun remède n'a encore été suffisamment efficace pour traiter l'infection existante.","Lorsque un vaccé, un, l' un, le vaccé, l' un, le vaccé, le vaccé, le vaccé, le vaccé, le vaccé, le vaccé, le vaccé, le vaccé, le vaccé, le vaccé, le vaccé, le vaccé, le vaccé, le vaccé, le vaccé, le vaccé, le vaccé, le vaccé, le vaccé, le vaccé",0.9644220999514661,8.49037063129761,fra_Latn," Même si un vaccin expérimental semble jusqu'ici capable de réduire le taux de mortalité d'Ebola, aucun remède n'a encore été suffisamment efficace pour traiter l'infection existante.",0.9644220999514661,8.49037063129761
"Q: One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.
A:","One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","Même si l'administration d'un cocktail d'anticorps, ZMapp, avait d'abord montré des signes prometteurs sur le terrain, des études formelles ont démontré que sa capacité à limiter les décès ne répondait pas aux attentes.","Un cocktail de un seul, l'antibone, un un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un, un",1.1677537242499494,7.839334886694554,krc_Cyrl,,,
"Q: In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.
A:","In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.","Dans l'essai PALM, le ZMapp a servi de témoin, ce qui signifie que les scientifiques l'ont utilisé comme base de référence et lui ont comparé les trois autres traitements.","Dans le PALM, ZMapp a été utilisé dans le PALM, le ZM a été utilisé dans le PALM, le ZM a été utilisé dans le PALM, le ZM a été utilisé dans le PALM, le ZM a été utilisé dans le PALM, le ZM a été utilisé dans le PALM, le ZM a été utilisé dans le PALM, le ZM a été utilisé dans le PALM, le ZM a été utilisé dans",6.656826541448469,18.077454049592145,fra_Latn," Dans l'essai PALM, le ZMapp a servi de témoin, ce qui signifie que les scientifiques l'ont utilisé comme base de référence et lui ont comparé les trois autres traitements.",6.656826541448469,18.077454049592145
"Q: USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.
A:",USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,La Fédération américaine de gymnastique soutient la lettre du Comité olympique des États-Unis et accepte la nécessité absolue de la famille olympique de promouvoir un environnement sûr pour tous nos athlètes.,"La gymnastique aux États-Un de la USA Gymnastique, les États-Un de la gymnastique aux États-Un de la USA Gymnastique, la gymnastique aux États-Un de la USA Gymnastique, la gymnastique aux États-Un de la USA Gymnastique, la gymnastique aux États-Un de la USA Gymnastique, la gymnastique aux États de",3.626808732118359,18.79433460870246,fra_Latn, La Fédération américaine de gymnastique soutient la lettre du Comité olympique des États-Unis et accepte la nécessité absolue de la famille olympique de promouvoir un environnement sûr pour tous nos athlètes.,3.626808732118359,18.79433460870246
"Q: We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.
A:","We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.","Nous sommes d'accord avec la déclaration de l'USOC (Comité olympique des États-Unis) selon laquelle les intérêts de nos athlètes et de nos clubs, ainsi que de leur sport, pourraient être mieux servis. Cela peut être fait en allant de l'avant et en procédant plutôt à des changements significatifs au sein de notre organisation, qu'à la révocation d'accréditation.","Nous sommes d'accord avec l USOC, nous avons accepté que les intérions de l USOC, nous avons accepté que les intérions de l USOC, nous avons accepté, les intérions de l USOC, nous avons accepté, les intérions de l USOC, nous accepteront, les intérions de l USOC, les intérions de l US, les intérions de l US, les intérions",6.500085500663167,21.271015315244373,fra_Latn," Nous sommes d'accord avec la déclaration de l'USOC (Comité olympique des États-Unis) selon laquelle les intérêts de nos athlètes et de nos clubs, ainsi que de leur sport, pourraient être mieux servis. Cela peut être fait en allant de l'avant et en procédant plutôt à des changements significatifs au sein de notre organisation, qu'à la révocation d'accréditation.",6.500085500663167,21.271015315244373
