prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector,commet_function_vector
"Q: 「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。
A:",「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",The man added that the mice that were fed after four months of the man added that the mice that were fed after four months of the man added that the mice that were fed after four months of the man added that the mice that were fed after four months of the man added that the mice that were fed after four months of the man added that the mice that were fed after four months of the man added that the mice that were fed after four months of the man added that the mice that were fed,1.4041607419696693,13.240707116781763,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",1.4041607419696693,13.240707116781763,25.0,25.0,-0.031982421875
"Q: ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。
A:",ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","The study is still in its early stages, and it is noted that the study is still in its early stages.",6.952329397138363,21.171294262360565,eng_Latn," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",6.952329397138363,21.171294262360565,18.875,13.4375,0.0078125
"Q: 他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。
A:",他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","The other specialists also said that the results of these studies are not related to people who have diabetes, and the results of these studies are not related to people who have diabetes.",6.094215428596596,33.15414782419865,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",6.094215428596596,33.15414782419865,13.4375,12.1875,0.04296875
"Q: スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。
A:",スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","The Swedish broadcaster, which is the chairman of the Nobel Prize Committee, has announced that he has decided to take no further contact with Bob D'lan, who has decided to take no further contact with Bob D'lan, who has decided to take no further contact with Bob D'lan, who has decided to take no further contact with Bob D'lan, who has decided to take no further contact with Bob D'lan, who has decided to take no further contact with Bob D'lan",2.37919499020131,24.305782862688062,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",2.37919499020131,24.305782862688062,22.875,22.75,-0.016845703125
"Q: ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。
A:",ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","The Dianus said that ""Now, there is nothing that has been done. He called the Dianus, and he sent a message, but the Dianus said that the Dianus said that the Dianus said that the Dianus said that the Dianus said that the Dianus said that the Dianus said that the Dianus said that the Dianus said that the Dianus said that the Dianus said that the Dian",0.7531373725072504,17.20678145706353,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",0.7531373725072504,17.20678145706353,23.25,23.75,-0.041259765625
"Q: RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。
A:",RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","The CEO of the company, who is the CEO of the company, who is the CEO of the company, who is the CEO of the company, who is the CEO of the company, who is the CEO of the company, who is the CEO of the company, who is the CEO of the company, who is the CEO of the company, who is the CEO of the company, who is the CEO of the company, who is the CEO of the company, who is the CEO of the",0.9448373757517554,13.157767658771094,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",0.9448373757517554,13.157767658771094,18.375,15.25,-0.035888671875
"Q: 彼はWi-Fiで鳴るドアベルを作ったそうです。
A:",彼はWi-Fiで鳴るドアベルを作ったそうです。,"He built a WiFi door bell, he said.",The man made a doorbell that is ringing on the Wi-Fi.,3.21858262703621,24.40700027935672,eng_Latn," He built a WiFi door bell, he said.",3.21858262703621,24.40700027935672,2.984375,4.3125,0.875
"Q: シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。
A:",シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,The Shaker Tank episode was the reason for the sudden increase in sales after the committee of the Shaker Tank was dismissed after the Shaker Tank episode was the reason for the sudden increase in sales after the committee of the Shaker Tank was dismissed after the Shaker Tank was dismissed after the committee of the Shaker Tank was dismissed after the committee of the Shaker Tank was dismissed after the committee of the Shaker Tank was dismissed after the committee of the Shaker Tank was dismissed after the committee of,1.0887158746775496,18.391396297018066,eng_Latn, Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,1.0887158746775496,18.391396297018066,23.25,23.375,-0.029052734375
"Q: 2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。
A:",2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。,"In late 2017, Siminoff appeared on shopping television channel QVC.","In the 2017 after half, Shimon was in the TV shopping QVC in the 2017 after half.",4.5672118332822365,25.624995702288373,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",4.5672118332822365,25.624995702288373,10.1875,11.9375,0.07421875
"Q: Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。
A:",Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","In the dispute between ADT and the company, the company has reached an agreement.",10.521495173810226,25.26183707440179,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",10.521495173810226,25.26183707440179,5.21875,5.9375,0.07666015625
