prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.","Мы имеем 4-месячные мыши, которые сейчас, по словам, мы имеем 4-месячные мыши, которые сейчас, по словам, мы имеем 4-месячные мыши, которые сейчас, по словам, мы имеем 4-месячные мыши, которые сейчас, по словам, мы имеем 4-месячные мыши, которые сейчас, по словам, мы имеем 4",4.012187763745914,16.91174610701146,rus_Cyrl," ""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.",4.012187763745914,16.91174610701146,25.0,25.0
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Согласно предупреждению доктора Эхуда Ура (Ehud Ur), профессора медицины в Университете Дэлхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.","Доктор Еуд У, профессор, врач, доктор, Доктор Еуд У, профессор, врач, доктор, Доктор Еуд У, профессор, врач, доктор, Доктор Еуд У, профессор, врач, доктор, Доктор Еуд У, профессор, врач, доктор, Доктор Еуд У, профессор, врач, док",0.49464401776903133,10.15176083446722,krc_Cyrl,,,,20.25,24.375
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.","Как и другие эксперты, он сомнитель, что, как и другие эксперты, он сомнитель, что, как и другие эксперты, он сомнитель, что, как и другие эксперты, он сомнитель, что, как и другие эксперты, он сомнитель, что, как и другие эксперты, он сомнитель, что, как и другие эксперты, он сомнитель, что, как и",5.283351331074835,24.19149337053213,rus_Cyrl," Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.",5.283351331074835,24.19149337053213,25.0,25.0
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской Академии, публично заявила во время передачи на шведской радиостанции Sveriges о том, что комитет, которому не удалось связаться с Бобом Диланом напрямую и сообщить ему, что он выиграл Нобелевскую премию по литературе за 2016 год, прекращает попытки выйти с ним на связь.","На 1, на 1, на 1, на 1, на 1, на 1, на 1, на 1, на 1, на 1, на 1, на 1, на 1, на 1, на 1, на 1, на 1, на 1, на 1, на 1, на 1, на 1, на 1, на 1, на 1,",0.30649256895309535,3.9531726932346425,bul_Cyrl," В понеделник постоянният секретар на Нобеловия комитет по литература в Шведската академия, Сара Даниъс, обяви публично по време на радио предаване по радио Sveriges в Швеция, че комитетът се е отказал от усилията си да достигне до Боб Дилън, защото не може да се свърже директно с него за спечелването на Нобеловата награда за литература за 2016 г.",0.41428733842930143,4.050688464053774,25.0,25.0
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".","Даниус сказал, что сейчас мы ничего не делаем, и он сказал, что сейчас мы ничего не делаем, и он сказал, что сейчас мы ничего не делаем, и он сказал, что сейчас мы ничего не делаем, и он сказал, что сейчас мы ничего не делаем, и он сказал, что сейчас мы ничего не делаем, и он сказал, что сейчас мы ничего не дел, и он сказал, что сейчас мы ничего не дел, и он сказал, что",4.371720876799082,20.155487473344063,rus_Cyrl," Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".",4.371720876799082,20.155487473344063,25.0,25.0
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.","В прошлое время, когда CEO Ring, Jamie Siminoff, говорил, что компания, в прошлое время, когда CEO, Jamie Siminoff, говорил, что компания, в прошлое время, когда CEO, Jamie Simin, говорил, что компания, в прошлое время, когда CEO, Jamie Simin, говорил, что компания, в прошлое время, когда CEO, Jamie Simin, говорил, что компания, в про",1.2997232922204551,15.812250875339851,rus_Cyrl," Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.",1.2997232922204551,15.812250875339851,25.0,25.0
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","Он сказал, что создал дверной звонок, работающий от WiFi.","Он построил WiFi-дверь, он сказал, что он построил WiFi-дверь, он сказал, что он построил WiFi-дверь, он сказал, что он построил WiFi-дверь, он сказал, что он построил WiFi-дверь, он сказал, что он построил WiFi-дверь, он сказал, что он построил WiFi-дверь, он сказал, что он по",1.7106026606149256,18.779647229389614,rus_Cyrl," Он сказал, что создал дверной звонок, работающий от WiFi.",1.7106026606149256,18.779647229389614,22.875,25.0
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Симинофф сказал, что продажи выросли после его появления в выпуске шоу ""Shark Tank"" в 2013 году, где члены жюри отказались финансировать его стартап.","Симминов сказал, что продавцы, когда он, Симминов, сказал, что продавцы, когда он, Симминов, сказал, что, когда он, Симминов, сказал, что, когда он, Симминов, сказал, что, когда он, Симминов, сказал, что, когда он, Симминов, сказал, что, когда он, Симминов, сказал, что, когда он",2.706825076775131,16.377819514027546,krc_Cyrl,,,,25.0,25.0
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.",В конце 2017 года Симинофф появился на торговом телеканале QVC.,"В 2017, Siminoff, в 2017, Siminoff, в 2017, Siminoff, в 2017, Siminoff, в 2017, Siminoff, в 2017, Siminoff, в 2017, Siminoff, в 2017, Siminoff, в 2017, Simin, в",0.6735878102046052,3.8018508621257823,krc_Cyrl,,,,25.0,25.0
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.","Ринг также решил дело, в котором также решена, что Ринг также решил дело, в котором также решена, что Ринг также решил дело, в котором также решена, что Ринг также решил дело, в котором также решена, что Ринг также решил дело, в котором также решена, что Ринг также решил дело, в котором также решена, что Ринг также решил дело, в котором также решена, что Ринг",0.45954054609853756,6.922843023564306,rus_Cyrl," Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.",0.45954054609853756,6.922843023564306,25.0,25.0
