prompt,query,reference,generation_baseline,bleu_baseline,chrf_baseline
"Q: Afisa wa kampuni ya gesi alikuwa anaripoti mahali pa tukio baada ya jirani kupiga simu kuhusu uvujaji wa gesi.
A: An official with the gas company was reporting to the scene after a neighbor called about a gas leak.

Q: Meno ya triseratopu yangeweza kuponda si majani pekee, bali pia matawi na mizizi migumu sana.
A: A triceratops' teeth would have been able to crush not only leaves but even very tough branches and roots.

Q: Onyesho la PBS lina tuzo zaidi ya dazeni mbili za Emmy, na muda wake ni mfupi kuliko tu Sesame Street na Mister Roger's Neighborhood.
A: The PBS show has more than two-dozen Emmy awards, and its run is shorter only than Sesame Street and Mister Rogers' Neighborhood.

Q: Hali ya rais ni thabiti, ingawa atatengwa nyumbani kwa siku kadhaa.
A: The president's condition is stable, though he will be isolated at home for several days.

Q: Baada ya mamia ya saa za operesheni, hatimaye uzi wa balbu unaungua na balbu ya nuru haiwezi kufanya kazi tena.
A: After hundreds of hours of operation the filament in the bulb eventually burns out and the light bulb no longer works.

Q: ""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.
A:"," ""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza."," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""The old man is not dead yet, even though he has been dead for a long time"", he said.",1.7940140496456916,15.680163294321995
"Q: Ruwaza hiyo inapaswa kuwa na kina kirefu, milimita 5 (inchi 1/5) au zaidi, na nyenzo laini za kutosha katika hali ya baridi.
A: The pattern should be deep enough, 5 mm (1/5 inch) or more, and the material soft enough in cold temperatures.

Q: Victoria Falls ni mji ulioko katika sehemu ya magharibi mwa Zimbabwe, kuvuka mpaka kutoka Livingstone, ya Zambia, na karibu na Botswana.
A: Victoria Falls is a town in the western portion of Zimbabwe, across the border from Livingstone, Zambia, and near Botswana.

Q: Lengo halisi ni kuzipatia kampuni hizo udhibiti zaidi wa masoko yake; yote ni kuhusu kutengeneza pesa.
A: The actual purpose is to give those companies more control over their markets; it's all about money spinning.

Q: Seli ni sehemu ndogo ya kimuundo na ya kazi ya viumbe (vitu) hai.
A: A cell is the smallest structural and functional unit of a living (things) organism.

Q: Schumacher aliyestaafu mwaka wa 2006 baada ya kushinda michuano ya Formula 1 mara saba, alikua tayari kuchukua nafasi ya Felipe Massa aliyejeruhiwa.
A: Schumacher who retired in 2006 after winning the Formula 1 championship seven times, was due to replace the injured Felipe Massa.

Q: Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.
A:"," Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema."," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dr. Ehud Ur, a professor of medicine at Dalhousie University in Halifax, Nova Scotia, and a pioneer in the field of infectious diseases in Canada, was appointed to the position of Chief of Medicine at the University of Toronto in 1998.",36.19628750938915,48.95336983777274
"Q: Kujiunga na mtandao kama huo kwa kawaida kunahitaji tu kujaza fomu ya mtandaoni; hata hivyo mitandao mingine itatoa ama kuhitaji uhakiki zaidi.
A: Joining such a network usually just requires filling out an online form; although some networks offer or require additional verification.

Q: Si ulemavu wa kusoma, ni mvurugiko wa kusoma; “unaathiri asilimia 3 hadi 5 ya watoto wote, pengine takriban watoto milioni 2 wa Marekani”.
A: It is not a learning disability, it is a learning disorder; it ""affects 3 to 5 percent of all children, perhaps as many as 2 million American children"".

Q: Kwa sababu simu hupitishwa kwenye intaneti, huhitaji kutumia kampuni ya simu iliyo mahali unakoishi au unakosafiri.
A: Because calls are routed over the Internet, you do not need to use a phone company located where you live or where you travel.

Q: Mfalme Sejong alikua ndiye mfalme wa nne kwenye Nasaba ya Joseon na ndiye aliyezingatiwa Zaidi.
A: King Sejong was the fourth king of the Joseon Dynasty and is one of the most highly regarded.

Q: Wameorodheshwa katika Orodha ya Urithi wa Dunia ya UNESCO.
A: They are listed on the UNESCO World Heritage List.

Q: Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.
A:"," Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1."," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","When you are in a hurry, you can't wait to get to the airport, so you will not be able to get a seat on the plane.",1.668059290051974,13.946427285760135
"Q: pengine utagundua kinywaji rahisi ambacho unaweza kutengeneza kwa kiamshakinywa utakaporejea utaratibu wako wa kila siku.
A: maybe you'll discover a simple beverage that you can make for breakfast when you're back to your daily routine.

Q: Gavana pia alitamka, “Leo, tulifahamu kwamba baadhi ya watoto walio na umri wa kwenda shuleni wametambuliwa kama waliokuwa wametangamana na mgonjwa.”
A: The governor also stated, ""Today, we learned that some school aged children have been identified as having had contact with the patient.""

Q: Mgiriki mwingine maarufu ni Pythagoras, anayejulikana sana kwa nadharia zake maarufu za hisabati kuhusu uhusiano wa pande za pembe tatu zenye pembemraba.
A: Another famous Greek is a mathematician Pythagoras, mostly known for his famous theorem about relations of the sides of right triangles.

Q: Mwaka wa 1977, Dak. Damadian alikamilisha ujenzi wa mdaki wa MRI wa mwili wote ambao aliuita “kisicho epukika”.
A: In 1977, Dr. Damadian completed the construction of the first “whole-body” MRI scanner, which he called the ”Indomitable”.

Q: Wakati wa kiangazi, pia jihadhari na mbu wa Skandinavia. Ingawa hawaenezi magonjwa, wanaweza kukera.
A: During the summer, also watch out for the Nordic mosquitoes. Although they do not transmit any diseases, they can be irritating.

Q: Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.
A:"," Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia."," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","On June 10, 2016, Sara Danius, the Nobel Prize winner in Literature in Swahili, announced the award on the radio program Radio Sweden in Swahili, in order to give Bob Dylan the Nobel Prize in Literature for 2016, to give him the opportunity to accept the award.",13.318737804276205,38.974999978251
"Q: Ripoti ilionyesha alama za jaribio zilikuwa zimeongezeka kwa haraka isiyowezekana, na ikadai shule ilikuwa imegundua matatizo lakini haikuchukua hatua dhidi ya matokeo.
A: The report showed test scores had increased implausibly fast, and alleged the school internally detected problems but didn't act on the findings.

Q: Meli hiyo ya mita 100 ilikuwa safarini kuchukua mzigo wake wa kawaida wa samadi na mwanzoni maafisa walihofia meli hiyo huenda ikamwaga mzigo.
A: The 100-metre ship was en route to pick up its usual fertiliser cargo and initially officials feared the vessel could spill a load.

Q: Katika awamu ya kuhamahama, siafu huandamana usiku na kusimama na kukita kambi mchana.
A: In the nomadic phase, army ants march at night and stop to camp during the day.

Q: Wanyamapori wanaweza kuwa wenye aibu au wakali. Mazingira yanaweza kuwa baridi, joto, au makali kwa vinginevyo.
A: Wild animals might either be shy or aggressive. The environment might be cold, hot, or otherwise hostile.

Q: Kimsingi, Kipindi cha Mwamko kilifanya mabadiliko muhimu katika mbinu za kujifunza na usambazaji wa maarifa.
A: In essence, the Renaissance made a significant change in the approach to learning and the dissemination of knowledge.

Q: Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""
A:"," Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha."""," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","The man said, ""This is a very difficult problem. I have tried to solve it and have not been able to find a solution. In the end, I gave up.""",7.1215293739073475,21.8690899535729
"Q: Sekta muhimu kwa Wavenezuela ni mafuta, ambapo nchi hiyo ni wauzaji nje, ingawa ni asilimia moja tu wanaofanya kazi katika sekta ya mafuta.
A: An important industry for Venezuelans is oil, where the country is a net exporter, even though only one percent work in the oil industry.

Q: Hii inaaminika kuwa mara ya tano katika historia ambapo watu walitazama kilichogeuka kuwa nyenzo zilizothibitiwa kikemikali kuwa za mihiri zikianguka Duniani.
A: This is believed to be the fifth time in history that people have observed what turned out to be chemically confirmed martian material falling to Earth.

Q: Wapangaji katika Lockwood Gardens wanaamini kwamba huenda kukawa na familia nyingine 40 au zaidi zitakazokabili kufukuzwa, kwani walifahamu kuwa polisi wa OHA pia wanachunguza mali nyingine za makazi katika Oakland ambazo huenda zikajipata katika sakata ya nyumba.
A: Tenants at Lockwood Gardens believe that there may be another 40 families or more to face eviction, since they learned that OHA police are also investigating other public housing properties in Oakland that may be caught up in the housing scam.

Q: Walakini, kuna njia nyingi za kipekee za kunywa kahawa ulimwenguni kote ambazo zinafaa kushuhudiwa.
A: Nevertheless, there are many distinctive ways of drinking coffee around the world that are worth experiencing.

Q: Kumi na tano ya haya mawe yamehusishwa kwa mawe yaliyotoka katika nyota na kunyesha Julai iliyopita.
A: Fifteen of these rocks are attributed to the meteorite shower last July.

Q: Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.
A:"," Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake."," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","In the beginning, the Ring of Fire, Jamie Siminoff, was in charge of the campsite where the fire was burning, and the time it took to get there was a long time ago.",12.519775678207912,25.205227078589328
"Q: Zayat hakujeruhiwa katika ajali hiyo.
A: Zayat was unhurt in the accident.

Q: Bw. Reid aliweza kuendesha gari la A1GP la New Zealand, Urembo Mweusi kwa kasi zaidi ya kilomita 160 kwa saa mara saba juu ya daraja.
A: Mr Reid managed to drive the New Zealand's A1GP car, Black Beauty at speeds over 160km/h seven times over the bridge.

Q: Ulimwengu una zaidi ya lugha 5,000, zikiwemo zaidi ya ishirini zilizo na wazungumzaji zaidi ya milioni 50.
A: The world has over 5,000 different languages, including more than twenty with 50 million or more speakers.

Q: Wakala hawa wana wajibu wa kutoa huduma za kiserikali na kisheria chini ya Kifungu cha 247 cha Katiba ya Pakistani.
A: These agents are responsible for providing government and judicial services under Article 247 of the Pakistani Constitution.

Q: Balbu ya mwanga basi inahitaji kubadilishwa. Ni muhimu kuwa na uangalifu wakati wa kuibadilisha balbu ya mwanga.
A: The light bulb then needs replacing. It is necessary to be careful in replacing the light bulb.

Q: Aliunda kengele ya mlango ya Wi-Fi, alisema.
A:"," Aliunda kengele ya mlango ya Wi-Fi, alisema."," He built a WiFi door bell, he said.","When you connect to the Wi-Fi network, you will be connected.",3.125190763972442,13.239785326011278
"Q: Baadhi ya mawe, ambayo ni nadra sana katika Dunia, yanauzwa kutoka dola 11,000 hadi dola 22,500 za Marekani kwa aunsi, ambayo ni takriban mara kumi ya bei ya dhahabu.
A: Some of the rocks, which are very rare on Earth, are being sold from US$11,000 to $22,500 per ounce, which is about ten times more than the cost of gold.

Q: Kiungo kikuu cha mfumo wa mzunguko ni moyo, ambao hupiga damu.
A: The major organ of the circulatory system is the heart, which pumps the blood.

Q: Tatizo la Upungufu wa Umakini ""ni ugonjwa wa neva ambao dalili zake tatu za kawaida za kuufafanua ni msukumo, mvurugo na utendaji wa kupita kiasi au nguvu za ziada.""
A: Attention Deficit Disorder ""is a neurological syndrome whose classic defining triad of symptoms including impulsivity, distractibility, and hyperactivity or excess energy"".

Q: Hakuna mtu mwingine aliyewahi kujitokeza zaidi au kufungia klabu mabao mengi kuliko Bobek.
A: No one else has ever made more appearances or scored more goals for the club than Bobek.

Q: Pengine aina ya kawaida zaidi ya utalii ni ambayo watu wengi huhusisha na usafiri: Utalii wa burudani.
A: Perhaps the most common type of tourism is what most people associate with traveling: Recreation tourism.

Q: Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.
A:", Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya., Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Simon Cowell was fired from the show in 2013 after the panelists voted him out of the competition.,3.632461082061781,22.303109845066235
"Q: Katika baadhi ya nchi za shirikisho, kama vile Marekani na Kanada, ushuru wa mapato hutozwa katika ngazi ya shirikisho na pia ngazi ya ndani, kwa hivyo viwango na vikundi vinaweza kutofautiana toka eneo hadi eneo.
A: In some federal countries, such as the United States and Canada, income tax is levied both at the federal level and at the local level, so the rates and brackets can vary from region to region.

Q: Sherehe hizo zilianza na onyesho maalum la kikundi maarufu duniani cha Cirque du Soleil.
A: The celebrations started with a special show by the world-renowned group Cirque du Soleil.

Q: Kando na pwani zenye mchanga mweupe na mandhari ya milima, nchi hiyo ni nyumbani mwa mji wa zamani zaidi wa Kiingereza katika Amerika, ukiwa sasa sehemu ya Santo Domingo.
A: Besides white sand beaches and mountain landscapes, the country is home to the oldest European city in the Americas, now part of Santo Domingo.

Q: Jiji liko mara moja karibu na maporomoko ya maji ambayo ndiyo kivutio kikuu, lakini sehemu hii maarufu ya watalii huwatolea wanaotafuta kusisimka na kutembea maeneo mbali mbali fursa ya kukaa kwa muda mrefu.
A: The town lies immediately next to the falls, and they are the major attraction, but this popular tourist destination offers both adventure seekers and sightseers plenty of opportunities for a longer stay.

Q: Pia inaweza kuwa njia bora ya kupanua bajeti ili kuwezesha kukaa mahali kwa muda mrefu kwani kazi nyingi za kujitolea hutoa vyumba na malazi na baadhi hulipa mshahara kidogo.
A: It can also be a good way to stretch a budget to allow a longer stay somewhere since many volunteer jobs provide room and board and a few pay a small salary.

Q: Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.
A:"," Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC."," In late 2017, Siminoff appeared on shopping television channel QVC.","In 2017, Siminoff was featured on the television channel QVC.",40.325042950627804,61.06033834209057
"Q: Hii hufanya lenzi za kukuza za bei ya chini vigumu kutumia katika hali ya mwangaza duni bila mwako.
A: This makes inexpensive zoom lenses hard to use in low-light conditions without a flash.

Q: Jardin de la Union. Nafasi hii ilijengwa kama nyumba ya watawa ya karne ya 17, ambapo Templo de San Diego ndilo jengo pekee lililopo sasa.
A: Jardín de la Unión. This space was built as the atrium for a 17th-century convent, of which the Templo de San Diego is the sole surviving building.

Q: Baada ya vipingamizi vya kwanza vya kijeshi, Ethelred aliweza kukubaliana kimasharti na Olaf, ambaye alirudi Norwe ili kujaribu kupata ufalme wake, kwa mafanikio mseto.
A: After initial military setbacks, Ethelred was able to agree to terms with Olaf, who returned to Norway to try to gain his kingdom with mixed success.

Q: Kibumba hicho kitaonekana kama vimondo vinavyopita angani.
A: The capsule will look much like a shooting star going across the sky.

Q: Yerusalemu ni mji mkuu na mkubwa zaidi wa Israeli, ijapokuwa nchi nyingine nyingi na Umoja wa Mataifa haziutambui kama mji mkuu wa Israeli.
A: Jerusalem is the capital and largest city of Israel, though most other countries and the United Nations do not recognize it as Israel's capital.

Q: Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.
A:"," Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT."," Ring also settled a lawsuit with competing security company, the ADT Corporation.","The ring was used to mark the boundary of the camp, and the ADT sign.",8.562365224473284,18.762905161251393
