prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: उन्होंने कहा “कि अब हमारे पास 4 महीने उम्र वाले चूहे हैं जिन्हें मधुमेह नहीं है जो मधुमेह के रोगी थे। ”
A:",उन्होंने कहा “कि अब हमारे पास 4 महीने उम्र वाले चूहे हैं जिन्हें मधुमेह नहीं है जो मधुमेह के रोगी थे। ”,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","They said that we now have mice that are 4 months old that have diabetes, they said that we now have mice that are 4 months old that have diabetes, they said that we now have mice that are 4 months old that have diabetes, they said that we now have mice that are 4 months old that have diabetes, they said that we now have mice that are 4 months old that have diabetes, they said that we now have mice that are 4 months old that have",2.871684620934346,22.88209470008419,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",2.871684620934346,22.88209470008419,21.5,24.5
"Q: डॉ. एहुड उर, नोवा स्कोटिया के हैलिफ़ैक्स में डलहौज़ी विश्वविद्यालय में चिकित्सा के प्रोफ़ेसर और कनाडाई डायबिटीज़ एसोसिएशन के नैदानिक ​​और वैज्ञानिक विभाग के अध्यक्ष ने आगाह किया कि शोध अभी भी अपने शुरुआती दिनों में है.
A:","डॉ. एहुड उर, नोवा स्कोटिया के हैलिफ़ैक्स में डलहौज़ी विश्वविद्यालय में चिकित्सा के प्रोफ़ेसर और कनाडाई डायबिटीज़ एसोसिएशन के नैदानिक ​​और वैज्ञानिक विभाग के अध्यक्ष ने आगाह किया कि शोध अभी भी अपने शुरुआती दिनों में है.","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dr. Ehud Ur, a professor at Dalhousie University in Halifax, the research is still in its early days, Dr. Ehud Ur, a professor at Dalhousie University in Halifax, the research is still in its early days, the research is still in its early days, the research is still in its early days, the research is still in its early days, the research is still in its early days, the research is still in its early days, the research is still in",18.840980244046623,41.25893216812409,eng_Latn," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",18.840980244046623,41.25893216812409,19.375,23.25
"Q: कुछ अन्य विशेषज्ञों की तरह, उन्हें इस बात पर संदेह है कि क्या मधुमेह को ठीक किया जा सकता है, यह देखते हुए कि इन निष्कर्षों की उन लोगों के लिए कोई प्रासंगिकता नहीं है जिन्हें पहले से ही टाइप 1 मधुमेह है.
A:","कुछ अन्य विशेषज्ञों की तरह, उन्हें इस बात पर संदेह है कि क्या मधुमेह को ठीक किया जा सकता है, यह देखते हुए कि इन निष्कर्षों की उन लोगों के लिए कोई प्रासंगिकता नहीं है जिन्हें पहले से ही टाइप 1 मधुमेह है.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Some other experts doubt that the condition can be cured, given that the condition can be cured, some other experts doubt that the condition can be cured, given that the condition can be cured, some other experts doubt that the condition can be cured, given that the condition can be cured, some other experts doubt that the condition can be cured, given that the condition can be cured, some other experts doubt that the condition can be cured, given that the condition can be cured, some other experts doubt that",4.314233335879605,22.03407191569402,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",4.314233335879605,22.03407191569402,23.125,24.25
"Q: सोमवार को स्वीडिश अकादमी में साहित्य के लिए नोबेल समिति के स्थायी सचिव, सारा डेनियस, स्वीडन समिति में सेवरिज रेडियो पर एक रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा की, कि साहित्य में 2016 के नोबेल पुरस्कार जीतने को लेकर सीधे बॉब डायलन तक पहुँचने में असमर्थ होकर, अपने प्रयासों को छोड़ चुके थे.
A:","सोमवार को स्वीडिश अकादमी में साहित्य के लिए नोबेल समिति के स्थायी सचिव, सारा डेनियस, स्वीडन समिति में सेवरिज रेडियो पर एक रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा की, कि साहित्य में 2016 के नोबेल पुरस्कार जीतने को लेकर सीधे बॉब डायलन तक पहुँचने में असमर्थ होकर, अपने प्रयासों को छोड़ चुके थे.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","The Nobel committee for literature announced that it has given up trying to reach Dylan directly, the Nobel committee for literature has given up trying to reach Dylan directly, the Nobel committee for literature has given up trying to reach Dylan directly, the Nobel committee for literature has given up trying to reach Dylan directly, the Nobel committee for literature has given up trying to reach Dylan directly, the Nobel committee for literature has given up trying to reach Dylan directly, the Nobel committee for literature has given up trying to reach Dylan directly",1.7263152258244363,28.467728627712184,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",1.7263152258244363,28.467728627712184,22.875,22.875
"Q: डेनियस ने कहा, “फ़िलहाल हम कुछ नहीं कर रहे हैं. मैंने अपने साथ काम करने वाले लोगों को ईमेल भेजे हैं और उसने उनके फ्रेंडली जवाब भेजे हैं. अभी के लिए, बस इतना ही बताना चाहूँगा.”
A:","डेनियस ने कहा, “फ़िलहाल हम कुछ नहीं कर रहे हैं. मैंने अपने साथ काम करने वाले लोगों को ईमेल भेजे हैं और उसने उनके फ्रेंडली जवाब भेजे हैं. अभी के लिए, बस इतना ही बताना चाहूँगा.”","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Denys said, ""At the moment, we are doing nothing, I have sent emails to my colleagues, saying that at the moment, we are doing nothing, I have sent emails to my colleagues, saying that at the moment, we are doing nothing, we are doing nothing, we are doing nothing, we are doing nothing, we are doing nothing, we are doing nothing, we are doing nothing, we are doing nothing, we are doing nothing, we are doing nothing, we are doing",5.914055757701989,26.641267271409024,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",5.914055757701989,26.641267271409024,18.875,20.5
"Q: इससे पहले, रिंग के सीईओ, जेमी सिमिनॉफ ने बताया था कि कंपनी तब शुरू हुई जब उसके दरवाज़े की घंटी उसके गेराज में स्थित दुकान से सुनाई नहीं देती थी।
A:","इससे पहले, रिंग के सीईओ, जेमी सिमिनॉफ ने बताया था कि कंपनी तब शुरू हुई जब उसके दरवाज़े की घंटी उसके गेराज में स्थित दुकान से सुनाई नहीं देती थी।","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","The doorbell rang before, the doorbell rang before, the doorbell rang before, the doorbell rang before, the doorbell rang before, the doorbell rang before, the doorbell rang before, the doorbell rang before, the doorbell rang before, the doorbell rang before, the doorbell rang before, the doorbell rang before, the doorbell rang before, the doorbell rang before, the doorbell rang before, the doorbell rang before, the doorbell rang before, the doorbell rang before, the doorbell rang before, the doorbell rang before,",0.785355513002782,8.979852541992297,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",0.785355513002782,8.979852541992297,19.375,13.375
"Q: उन्होंने (जेमी सिमिनॉफ़) कहा, कि उन्होंने एक वाईफ़ाई डोर बेल बनाई है.
A:","उन्होंने (जेमी सिमिनॉफ़) कहा, कि उन्होंने एक वाईफ़ाई डोर बेल बनाई है.","He built a WiFi door bell, he said.","They (Jamie Siminoff) said that they have created a WiFi doorbell, which they said that they have created a WiFi doorbell, which they said that they have created a WiFi doorbell, which they said that they have created a WiFi doorbell, which they said that they have created a WiFi doorbell, which they said that they have created a WiFi doorbell, which they said that they have created a WiFi doorbell, which they said that they have created a WiFi doorbell, which they said that they have created a",1.3782748200348331,12.927835674670094,eng_Latn," He built a WiFi door bell, he said.",1.3782748200348331,12.927835674670094,17.875,20.125
"Q: सिमिनॉफ़ ने कहा कि 2013 में शार्क टैंक एपिसोड में उनके दिखने के बाद बिक्री में बढ़ोतरी हुई, जहाँ शो पैनल ने स्टार्टअप को पूँजी लगाने से मना कर दिया.
A:","सिमिनॉफ़ ने कहा कि 2013 में शार्क टैंक एपिसोड में उनके दिखने के बाद बिक्री में बढ़ोतरी हुई, जहाँ शो पैनल ने स्टार्टअप को पूँजी लगाने से मना कर दिया.",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Siminoff said that sales increased after the show, where the shark tank panel said that sales increased after the show, where the shark tank panel said that sales increased after the show, where the shark tank panel said that sales increased after the show, where the shark tank panel said that sales increased after the show, where the shark tank panel said that sales increased after the show, where the shark tank panel said that sales increased after the show, where the shark tank panel said that sales increased after the show",3.0410425508121657,22.46013557166121,eng_Latn, Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,3.0410425508121657,22.46013557166121,25.0,24.875
"Q: 2017 के अंत में, सिमिनॉफ़ शॉपिंग टेलीविज़न चैनल QVC में दिखाई दिए.
A:","2017 के अंत में, सिमिनॉफ़ शॉपिंग टेलीविज़न चैनल QVC में दिखाई दिए.","In late 2017, Siminoff appeared on shopping television channel QVC.","At the end of 2017, Siminoff appeared on the QVC shopping channel, which is a 2017, Siminoff appeared on the QVC shopping channel, which is at the end of 2017, Siminoff appeared on the QVC shopping channel, which is at the end of 2017, Siminoff appeared on the QVC shopping channel, which is at the end of 2017, Siminoff appeared on the",6.599446653043193,32.49818205461495,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",6.599446653043193,32.49818205461495,19.625,21.625
"Q: रिंग ने अपनी प्रतिस्पर्धी कंपनी ADT कॉर्पोरेशन के साथ एक मुकदमा निपटाया है.
A:",रिंग ने अपनी प्रतिस्पर्धी कंपनी ADT कॉर्पोरेशन के साथ एक मुकदमा निपटाया है.,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring settled a lawsuit with its rival company, Ring settled a lawsuit with its rival company, Ring settled a lawsuit with its rival company, Ring settled a lawsuit with its rival company, Ring settled a lawsuit with its rival company, Ring settled a lawsuit with its rival company, Ring settled a lawsuit with its rival company, Ring settled a lawsuit with its rival company, Ring settled a lawsuit with its rival company, Ring settled a lawsuit with its rival company, Ring settled a lawsuit with its rival company, Ring",4.18721633315395,21.96340042252285,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",4.18721633315395,21.96340042252285,9.5,13.1875
