prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector,commet_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.","Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques, mais qui étaient auparavant diabétiques, a déclaré l'homme, qui a ajouté que les souris ont maintenant 4 mois et qui ne sont pas diabétiques, mais qui étaient auparavant diabétiques, a déclaré l'homme, qui a ajouté que les souris ont maintenant 4 mois et qui ne sont pas",18.389681413759,47.64024132643772,fra_Latn," « Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.",18.389681413759,47.64024132643772,23.0,22.5,0.01397705078125
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.","Dr. Ehud Ur, professeur de médecine à l'Université de Halifax, en Nouvelle-Écosse, et président de la division clinique et scientifique de l'Association canadienne de diabète a déclaré que les recherches sont encore en phase de début, et que les recherches sont encore en phase de début, et que les recherches sont encore en phase de début, et que les recherches sont encore en phase de début,",37.79554006280246,62.62556311388474,fra_Latn," Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.",37.79554006280246,62.62556311388474,20.375,19.0,-0.05810546875
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.","Comme d'autres experts, il est sceptique sur la possibilité de guérir la diabète, notant que ces résultats n'ont aucune pertinence pour les personnes qui ont déjà diabète de type 1, car il n'y a aucune pertinence pour les personnes qui ont déjà diabète de type 1, car il n'y a aucune pertinence pour les personnes qui ont déjà diabète de type 1, car il n",19.96686497007464,49.10746424610522,fra_Latn," À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.",19.96686497007464,49.10746424610522,18.75,15.9375,-0.002197265625
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.","Le Sverre Danius, secrétaire permanente de la commission Nobel pour la littérature au Sverre, a annoncé, lors d'une émission radio sur Sverre, le Sverre, le Sverre, le Sverre, le Sverre, le Sverre, le Sverre, le Sverre, le Sverre, le Sverre, le Sverre, le Sverre, le Sverre",19.92603973240825,32.03879763420952,fra_Latn," Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.",19.92603973240825,32.03879763420952,25.0,25.0,-0.0458984375
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »","D'aniens a dit, ""Aujourd'hui, nous ne faisons rien. Je m'envoyer des messages et des emails à la collaborateur le plus proche et recevons des réponses très amicales. Pour l'instant, c'est suffisamment pour cela.",36.98323385649478,54.523788605324405,fra_Latn," Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »",36.98323385649478,54.523788605324405,15.8125,14.9375,0.2109375
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.","Il y a longtemps, le président de la compagnie, Jamie Siminoff, a déclaré que la société a commencé lorsque le son de la porte d'entrée n'était pas audible de la boutique de Jamie Siminoff, dans son garage.",34.466816942389855,50.93210730238531,fra_Latn," Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.",34.466816942389855,50.93210730238531,9.625,9.375,0.423828125
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.",Il dit avoir conçu une sonnette de porte Wi-Fi.,"Il a construit un sonde de WiFi, il a dit.",4.0451386841269,19.966653729929163,fra_Latn, Il dit avoir conçu une sonnette de porte Wi-Fi.,4.0451386841269,19.966653729929163,8.375,16.0,0.1982421875
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,Le Siminoff a dit que les ventes ont été renforcées après son apparition en 2013 dans une émission de Shark Tank où la panel de la série a refusé de financer l'entreprise.,51.35115006816825,69.29561361917827,fra_Latn, M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,51.35115006816825,69.29561361917827,7.75,6.875,0.59375
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.","En 2017, Siminoff a apparaît sur la chaîne de télévision de commerce de QVC.",39.89849341102657,59.33368620455091,fra_Latn," Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.",39.89849341102657,59.33368620455091,5.59375,5.59375,0.55078125
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.","La ring a également résolu un litige avec une entreprise de sécurité concurrente, la ADT Corporation.",40.873575197739775,74.57719836746955,fra_Latn," Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.",40.873575197739775,74.57719836746955,3.734375,2.625,0.703125
