prompt,query,reference,generation_ablation,bleu_ablation,chrf_ablation,ablation_lang,reference_lang,bleu_ablation_lang,chrf_ablation_lang,metricx_qe_ablation,metricx_ablation,commet_ablation
"Translate the following sentence from Japanese to English:
Q: 「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。
A:",「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","The sentence translates to: ""We have a diabetic mouse.""",3.4760019323084066,21.54785081967064,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",3.4760019323084066,21.54785081967064,20.25,19.75,-0.001861572265625
"Translate the following sentence from Japanese to English:
Q: ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。
A:",ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","The doctor is a professor at the University of Toronto, Canada, and the University of Toronto is a world-renowned medical school. The doctor is also a member of the American Diabetes Association, which is a prestigious organization. The doctor is also a member of the American Diabetes Association, which is a prestigious organization. The doctor is also a member of the American Diabetes Association, which is a prestigious organization. The doctor is also a member of the American Diabetes Association, which is a prestigious organization. The doctor",2.187616093659055,28.90689414957553,eng_Latn," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",2.187616093659055,28.90689414957553,23.375,24.75,-0.0234375
"Translate the following sentence from Japanese to English:
Q: 他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。
A:",他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",他指出，糖尿病是一种慢性病，不能治愈，因此他不认为糖尿病患者会从他的研究中获益。 他指出，糖尿病是一种慢性病，不能治愈，因此他不认为糖尿病患者会从他的研究中获益。,0.8010354164744189,0.0,zho_Hans, 和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。,2.4534227392854255,9.22688839322961,22.5,23.5,-9.1552734375e-05
"Translate the following sentence from Japanese to English:
Q: スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。
A:",スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","The Nobel Committee for Literature is a non-profit organization that is not part of the Swedish Academy. The Nobel Committee for Literature is responsible for selecting the winner of the Nobel Prize in Literature. The committee is composed of 5 members, including the chairperson, who is not a member of the committee. The chairperson is responsible for communicating with the winner and their representatives. The chairperson of the committee is not a member of the committee, but rather an employee of the committee. The committee is responsible",10.792378634314668,35.393769809426246,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",10.792378634314668,35.393769809426246,24.0,24.75,-0.01611328125
"Translate the following sentence from Japanese to English:
Q: ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。
A:",ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","The sentence is a direct quote from a Japanese source, and it is translated as follows:",0.7940752655734318,12.220576809855757,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",0.7940752655734318,12.220576809855757,24.0,22.625,-0.0361328125
"Translate the following sentence from Japanese to English:
Q: RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。
A:",RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","The CEO of Ring, Jamie Simons, has stated that the company was founded in 2011, and the name ""Ring"" was chosen to represent the product. The company's name is not directly related to the product, but it has become a household name in the United States. The company's name is not directly related to the product, but it has become a household name in the United States. The company's name is not directly related to the product, but it has become",2.2890238766821773,20.978887491416593,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",2.2890238766821773,20.978887491416593,25.0,25.0,-0.03076171875
"Translate the following sentence from Japanese to English:
Q: 彼はWi-Fiで鳴るドアベルを作ったそうです。
A:",彼はWi-Fiで鳴るドアベルを作ったそうです。,"He built a WiFi door bell, he said.",He made a doorbell that plays a sound when it is pressed.,3.4585921141027365,25.535163886593736,eng_Latn," He built a WiFi door bell, he said.",3.4585921141027365,25.535163886593736,6.90625,8.125,0.022705078125
"Translate the following sentence from Japanese to English:
Q: シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。
A:",シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"The sentence is about a man named Simonoff, who is a well-known entrepreneur. He is not a native English speaker, so his English is not perfect. The sentence is about his business, not his personal life. The sentence is about his business, not his personal life. The sentence is about his business, not his personal life. The sentence is about his business, not his personal life. The sentence is about his business, not his personal life. The sentence is about his business, not",0.5158215476945921,13.341575981718613,eng_Latn, Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,0.5158215476945921,13.341575981718613,25.0,25.0,-0.01141357421875
"Translate the following sentence from Japanese to English:
Q: 2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。
A:",2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。,"In late 2017, Siminoff appeared on shopping television channel QVC.",2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。,2.0244462660665508,4.336574627806845,jpn_Jpan, 2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。,100.00000000000004,100.0,24.5,23.375,1.03125
"Translate the following sentence from Japanese to English:
Q: Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。
A:",Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring has settled a lawsuit with ADT, a competitor, and this is a good thing for the company. The sentence is a bit ambiguous, but it can be translated as: ""Ring has settled a lawsuit with ADT, a competitor, and this is a good thing for the company.""",8.36995700938697,35.55847333466441,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",8.36995700938697,35.55847333466441,21.375,23.25,0.0390625
"Translate the following sentence from Japanese to English:
Q: 実験的なワクチンでエボラの死亡率が減るように見えますが、今までのところ、既存の感染症の治療に適しているとはっきり実証された薬剤はありません。
A:",実験的なワクチンでエボラの死亡率が減るように見えますが、今までのところ、既存の感染症の治療に適しているとはっきり実証された薬剤はありません。,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","The sentence translates to: ""There is no cure for the disease, and no vaccine has been developed for it.""",3.121486449429245,16.922889935150316,eng_Latn," While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",3.121486449429245,16.922889935150316,12.625,11.125,-0.00628662109375
"Translate the following sentence from Japanese to English:
Q: 抗体カクテルの1つであるZMappは、当初はこの分野で有望視されていましたが、正式な研究では期待されたほどの死亡予防効果がないことが示されました。
A:",抗体カクテルの1つであるZMappは、当初はこの分野で有望視されていましたが、正式な研究では期待されたほどの死亡予防効果がないことが示されました。,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","The sentence translates to: ""The first antibody cocktail, ZMapp, was developed by a team of scientists in the United States. It was tested in monkeys and showed some promise, but the results were not as good as hoped. The sentence is a bit long, so I'll break it down into smaller parts to make it easier to understand.",12.351824822447698,34.806993166701204,eng_Latn," One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",12.351824822447698,34.806993166701204,16.125,17.875,-0.00567626953125
"Translate the following sentence from Japanese to English:
Q: PALM試験では、ZMappは対照薬として使用され、科学者たちはZMappを基準として、他の3つの治療法と比較しました。
A:",PALM試験では、ZMappは対照薬として使用され、科学者たちはZMappを基準として、他の3つの治療法と比較しました。,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.","In the study, the researchers compared the effectiveness of the four treatments. The researchers also compared the four treatments to a placebo. The researchers found that the four treatments were equally effective. The researchers concluded that the treatments were equally effective. The researchers also found that the treatments were equally effective. The researchers concluded that the treatments were equally effective. The researchers also found that the treatments were equally effective. The researchers concluded that the treatments were equally effective. The researchers concluded that the treatments were equally effective. The researchers",1.8153132360887017,19.060406357084915,eng_Latn," In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",1.8153132360887017,19.060406357084915,22.625,23.375,-0.025146484375
