prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",他补充道：“我们现在有 4 个月大没有糖尿病的老鼠，但它们曾经得过该病。”,现我们已经有了4个月的非糖失瘧的我们已经有了4个月的有了我们已经有了4月的有了我们已经有了4月的有了我们有了4月的有了有了4月的有了有了有了有了有了有了有了有了有了有了有了有了有了有了有了有了有了有了有了有了有了有了,0.9448373757517554,4.638332690282305,zho_Hans, 他补充道：“我们现在有 4 个月大没有糖尿病的老鼠，但它们曾经得过该病。”,0.9448373757517554,4.638332690282305,12.5625
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",埃胡德·乌尔博士（新斯科舍省哈利法克斯市达尔豪西大学医学教授，加拿大糖尿病协会临床与科学部门教授）提醒，这项研究仍处在早期阶段。,Dr. Ehود ا ی دا ا ی ے ے ے ے ے ے ے ے ے ے ے ے ے ے ے ے ے ے ے ے ے ے ے ے ے ے ے ے ے ے,0.0,0.0,urd_Arab, ہالیفیکس، نووا اسکاٹیا کی ڈلہوزی یونیورسٹی میں طب کے پروفیسر اور کینیڈین ڈائبیٹک ایسوسی ایشن کے طبی و سائنسی ڈویژن کے صدر ڈاکٹر ایہود یوآر نے متنبہ کیا ہے کہ تحقیق ابھی تک اپنے ابتدائی مراحل میں ہے۔,0.4484148400899619,1.8228459654589426,24.375
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。,他像一些其他专家说 diabetes 可以 没 有 这 话 有 没 有 这 话 有 没 有 这 话 没 有 这 话 没 有 这 有 没 有 这 没 有 没 有 这 没 有 没 有 没 有 没 有 没 有 没 有 没 有 没 有 没 有 没 有 没 没 没 没 没 没 没 没 没,0.9119981239179452,2.8330606907860827,yue_Hant, 和其他專家一樣，他對能否治愈​​糖尿病抱懷疑態度，並指出該等發現與1型糖尿病患者並不相關。,0.4772646417760986,1.6666055417232075,15.0625
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",周一，瑞典学院诺贝尔文学委员会常务秘书萨拉·丹尼尔斯在瑞典广播电台的一档节目中向公众宣布，委员会因无法直接联系到鲍勃·迪伦，通知他获得了 2016 年诺贝尔文学奖，已经放弃了与他联系的尝试。,在星期日，瑞克拉斯没有无法无法无法没有在没有没有在没有没有在没有没有没有没有在没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有没有,0.5367712622457371,1.1482042556476377,zho_Hans, 周一，瑞典学院诺贝尔文学委员会常务秘书萨拉·丹尼尔斯在瑞典广播电台的一档节目中向公众宣布，委员会因无法直接联系到鲍勃·迪伦，通知他获得了 2016 年诺贝尔文学奖，已经放弃了与他联系的尝试。,0.5367712622457371,1.1482042556476377,18.625
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",达尼厄斯说道：“目前我们保持按兵不动。我给他关系最好的合作者打过电话并发送了电子邮件，而且收到了对方非常友好的回复。就目前而言，这足够了。”,Dani 说 现 在 我 已 没 没 是 现 在 我 已 没 是 现 在 我 已 没 是 现 在 我 已 没 是 现 在 我 已 没 是 现 在 我 已 没 是 现 在 我 已 没 是 现 在 我 已 没 是 现 在 我 已 没 是 现 在 我 已 没 是 现 在 我 已 没 是 现 在 我 已 没 是 现 在 我 已 没 是 现 在 我 已 �,0.28172702905063624,0.5807200929152148,zho_Hans, 达尼厄斯说道：“目前我们保持按兵不动。我给他关系最好的合作者打过电话并发送了电子邮件，而且收到了对方非常友好的回复。就目前而言，这足够了。”,0.28172702905063624,0.5807200929152148,22.0
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",此前，铃声 (Ring) 公司 CEO 杰米·西米诺夫曾表示，公司成立之初，他在位于车库的工作室里是听不到门铃响声的。,旧之前 Ring 公司 的 前 门 不 是 在 garage 的 门 不 是 旧 的 前 门 是 旧 的 前 门 的 前 门 是 旧 的 前 的 门 的 前 的 门 的 前 的 门 的 前 的 门 的 前 的 门 的 前 的 门 的 前 的 门 的 前 的 门 的 前 的 门 的 前 的 门 的 前 的 门 的 前 的 门 的 前,0.8451753849055373,5.560525686191935,zho_Hans, 此前，铃声 (Ring) 公司 CEO 杰米·西米诺夫曾表示，公司成立之初，他在位于车库的工作室里是听不到门铃响声的。,0.8451753849055373,5.560525686191935,16.25
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.",他称，他制作了一个 WiFi 门铃。,他 建 了 WiFi 门 门 说 他 建 了 WiFi 门 门 说 他 建 了 门 门 说 他 建 了 门 门 说 他 建 了 门 门 说 他 建 了 门 门 说 门 门 门 门 门 门 门 门 门 门 门 门 门 门 门 门 门 门 门 门 门 门 门 门 门,1.2798967954303346,10.18640093098107,zho_Hant, 他說他做了一個無線網路門鈴。,0.380515593898734,1.714285714285714,15.3125
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,西米诺夫说，2013 年他在《创智赢家》节目中露面后，公司的销售额大增，当时节目组拒绝向这家初创公司投资。,Sim因﹧ 2013 的 2013 的 2013 的 2013 的 2013 的 2013 的 2013 的 2013 的 2013 的 2013 的 2013 的 2013 的 2013 的 2013 的 2013 的 2013 的 2013 的 2013 的 2013 的 2013 的 2013 的 2013 的 2013 的 2013,0.0,2.1000853837440623,zho_Hans, 西米诺夫说，2013 年他在《创智赢家》节目中露面后，公司的销售额大增，当时节目组拒绝向这家初创公司投资。,0.0,2.1000853837440623,22.75
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.",2017 年年末，西米诺夫出现在 QVC 电视销售频道。,在 2017 年 在 电 串 电 机 串 2017 年 在 电 串 串 电 串 2017 年 在 电 串 串 电 串 2017 年 在 电 串 串 串 2017 年 电 串 串 串 2017 年 电 串 串 串 串 2017 电 串 串 串 串 串 电 串 串 串 串,0.8281450432855119,7.861204588225224,zho_Hant, 在 2017 年末，西米諾夫出現在 QVC 購物頻道 上。,1.4966270407847004,11.23127397190118,14.9375
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.",铃声 (Ring) 公司还与竞争对手 ADT 安保公司在一起官司中达成了庭外和解。,容有了与竞争的公司的与竞有了的与有了的与有了的与有了的与有了的与有了的与有了的与有了的与有了的与有了的与有了的与有了的与有了的与有了的与有了的与有了的与有了的与有了的与有了的与有了的与有了的与有了的与,1.5182183979200934,2.910163709737025,zho_Hans, 铃声 (Ring) 公司还与竞争对手 ADT 安保公司在一起官司中达成了庭外和解。,1.5182183979200934,2.910163709737025,14.8125
