prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.","""We now have 4-month-old mice that are non-diabetic that used إلى كان يُعد من الأطفال الذين كانوا يُعتاد أن يكونون من يُعتاد أن يكونون غير متساهلين، لكننا الآن نملك 4-أشهر من الأطفال الذين لا يُعتاد أن يكونوا غير متساهلين، لكننا الآن نملك 4-أشهر من الأطفال الذين لا يُعتاد أن",0.6570706511126851,16.563388878119152,arb_Arab," أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.",0.6570706511126851,16.563388878119152,25.0,25.0
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",نبه الدكتور إيهود أور -أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية في الجمعية الكندية للسكري- إلى أن البحث لا يزال في أيامه الأولى.,"""إن كان هذا البحث لا يزال في مرحته الأولى، لكنه يؤكد أن هناك حاجة إلى مزيلات الأوسع من الأشبال في مجال الأعضاء التناثي، حيث أن هناك حاجة إلى مزيلات الأوسع من الأشبال في مجال الأعضاء التناثي، حيث أن هناك حاجة إلى مزيلات الأوسع من الأشبال في مجال الأعضاء التناثي، حيث أن هناك",5.820493600328758,21.226016405339806,arb_Arab, نبه الدكتور إيهود أور -أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية في الجمعية الكندية للسكري- إلى أن البحث لا يزال في أيامه الأولى.,5.820493600328758,21.226016405339806,23.875,24.625
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.,هذا مثل بعض الخبراء، وهو يختفي عن أن لا يمكن أن يتم علاج مرض السكر على الأقل، ويؤكد أن هذه النتائج لا تتميز بالشخص الذي لديه مرض السكر على الأقل.,11.502758756996778,29.894606181668028,arb_Arab, مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.,11.502758756996778,29.894606181668028,16.375,17.5
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",في يوم الإثنين ، أعلنت سارة دانيوس -السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية- على الملأ خلال برنامج إذاعي على راديو السويد في السويد، أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها للوصول إليه.,في يوم الأحد، أعلت السيدة سارة دانيوس، المديرية الدائمة للجنة النوبيل للتراث في السويد، في برنامج إذاءي في سويسرا، أن اللجنة لم تتمكن من التواصل مع بوب ديلان مباشرةً عن طريق الاتصال به، وقد أعلت أن اللجنة قد أعلت أنها قد أعلت أنها قد أعلت أنها قد أعلت,19.705354578916438,34.83339293312398,arb_Arab, في يوم الإثنين ، أعلنت سارة دانيوس -السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية- على الملأ خلال برنامج إذاعي على راديو السويد في السويد، أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها للوصول إليه.,19.705354578916438,34.83339293312398,16.375,15.3125
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","قال دانيوس ""لن نقوم الآن بفعل أي شيء. لقد قمت بالاتصال وإرسال رسائل بريد إلكتروني إلى أقرب المتعاونين معه وحصلت على ردود لطيفة جداً. هذا يكفي في الوقت الحالي بالطبع"".","I am not certain if I understood you correctly, but if I did, I would say that I am not certain if I understood you correctly, ولكن إذا كنت قد فهمت بشكل صحيح, فإن هذا هو ما أعتقده.",0.7833580983412223,5.143932994174985,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",1.1133308819227488,14.090924872900839,25.0,25.0
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن جرس بابه مسموعاً من متجره في مرآب منزله.,في بداية الأمر، كان يُعتبر أنّ جهاز رينج لا يُسمح بفتح الباب من خلال غرفة العمل في غرفة العمل، لكنه أصبح يُسمح بفتح الباب من خلال غرفة العمل في غرفة العمل، لكنه أصبح يُسمح بفتح الباب من خلال غرفة العمل في غرفة العمل، لكنه أصبح يُسمح بفتح الباب من خلال غرفة,0.8202403827125495,12.452286972755674,arb_Arab, في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن جرس بابه مسموعاً من متجره في مرآب منزله.,0.8202403827125495,12.452286972755674,23.125,21.875
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.",قال إنه صنع جرس باب يعمل بتقنية واي فاي.,"He built a WiFi door bell, he said.",2.812739937159535,1.6514900662251655,eng_Latn," He built a WiFi door bell, he said.",100.00000000000004,100.0,25.0,25.0
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,قال سيمينوف إن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.,قالت سيمينوف أن بيعاتها تم تحسّب بعد ظهورها في حلقة من حانة الشاحب في عام 2013 حيث رفض لجبهة الحانة تمويل الشركة.,15.03133483914167,42.722294131600414,arb_Arab, قال سيمينوف إن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.,15.03133483914167,42.722294131600414,13.4375,14.625
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","في أواخر عام 2017، ظهر ""سيمينوف"" على قناة التسوق التلفزيونية كيو في سي.",في عام 2017، ظهرت سيمينوف في قناة قوّي قوّي قوّي قوّي قوّي قوّي قوّي قوّي قوّي قوّي قوّي قوّي قوّي قوّي قوّي قوّي قوّي قوّي قوّي قوّي قوّ,3.5697281352520407,23.74595315640177,azb_Arab, 2017-اینجی ایلینین اواخیرینده، سیمینوف «کیو وی سی» تلویزیونی ساتیش کانالیندا ظاهر اولدی.,0.6246373674408189,5.112972595044249,19.5,21.75
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.",كما قامت رينج بتسوية دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,"Ring also settled a lawsuit with competing security company, ADT Corporation.",3.1618181883312406,3.468777572325208,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",84.2801443078418,91.97441734502988,25.0,25.0
"Q: While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.
A:","While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",بينما يبدو أن هناك لقاحاً واحداً تجريبياً قادراً على الحد من وفيات الإيبولا، حتى الآن، لم يتم إثبات أي عقاقير مناسبة لعلاج العدوى الموجودة.,While one vaccine appears able to reduce mortality من العلاج، إلا أن لا يوجد أي دواء يظهر أنه مناسب للعلاج من العلاج.,1.0581025730275693,11.46919272435619,arb_Arab, بينما يبدو أن هناك لقاحاً واحداً تجريبياً قادراً على الحد من وفيات الإيبولا، حتى الآن، لم يتم إثبات أي عقاقير مناسبة لعلاج العدوى الموجودة.,1.0581025730275693,11.46919272435619,19.125,20.625
"Q: One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.
A:","One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",كان كوكتيل واحد من الأجسام المضادة، وهو ZMapp، واعداً في البداية في هذا المجال، ولكن الدراسات الرسمية أشارت إلى أن الفائدة المترتبة على هذا الكوكتيل كانت أقل من الفوائد التي تم السعي إليها في منع الموت.,و كانت هناك إشعيلات أولية لانتكافز ZMapp في المجال، لكن الدراسات الرسمية أظهرت أن لها أقل فائدة من ما يبحث فيه في منع الوفاة.,10.582845851653559,27.519510693357702,arb_Arab, كان كوكتيل واحد من الأجسام المضادة، وهو ZMapp، واعداً في البداية في هذا المجال، ولكن الدراسات الرسمية أشارت إلى أن الفائدة المترتبة على هذا الكوكتيل كانت أقل من الفوائد التي تم السعي إليها في منع الموت.,10.582845851653559,27.519510693357702,10.5,12.5
"Q: In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.
A:","In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.",في تجربة PALM، استُخدم عقار ZMapp كمعيار مراقبة، بمعنى أن العلماء وضعوه كأساس وقارنوا العلاجات الثلاثة الأخرى به.,"In the PALM trial, ZMAPP تمثل كيّيّة التحكم، أي أن العلماء استخدمواها كأساس وتم مقارنة ثلاثة علاجات أخرى معها.",9.115897478323546,25.763263380724055,arb_Arab, في تجربة PALM، استُخدم عقار ZMapp كمعيار مراقبة، بمعنى أن العلماء وضعوه كأساس وقارنوا العلاجات الثلاثة الأخرى به.,9.115897478323546,25.763263380724055,6.375,7.15625
