prompt,query,reference,generation_ablation,bleu_ablation,chrf_ablation,ablation_lang,reference_lang,bleu_ablation_lang,chrf_ablation_lang,metricx_qe_ablation,metricx_ablation
"Translate the following sentence from Portuguese to English:
Q: ""Agora temos ratos de 4 meses de idade que não são diabéticos e que antes eram diabéticos,""complementou.
A:","""Agora temos ratos de 4 meses de idade que não são diabéticos e que antes eram diabéticos,""complementou.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Now we have diabetic rats that are 4 months old, and we have non-diabetic rats that are 4 months old. The diabetic rats are used to compare with the non-diabetic rats to see if the treatment works. The non-diabetic rats are used as a control group. The diabetic rats are not used as a control group because they are not diabetic. The diabetic rats are used to compare with the non-diabetic rats to see if the treatment works. The diabetic rats are used",4.6782616396875145,26.381076686350998,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",4.6782616396875145,26.381076686350998,24.875,24.375
"Translate the following sentence from Portuguese to English:
Q: O Médico Ehud Ur, um professor de medicina na Universidade de Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Canadian Diabetes Association disse que o estudo ainda está dando seus primeiros passos.
A:","O Médico Ehud Ur, um professor de medicina na Universidade de Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Canadian Diabetes Association disse que o estudo ainda está dando seus primeiros passos.","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","The study is still in its early stages, and the results are not yet conclusive.",4.526229344734806,18.10342543091804,eng_Latn," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",4.526229344734806,18.10342543091804,19.0,14.125
"Translate the following sentence from Portuguese to English:
Q: Assim como alguns outros especialistas, ele é cético sobre a cura do diabetes, observando que essas descobertas não têm relevância às pessoas que já têm diabetes tipo 1.
A:","Assim como alguns outros especialistas, ele é cético sobre a cura do diabetes, observando que essas descobertas não têm relevância às pessoas que já têm diabetes tipo 1.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","The sentence translates to: ""As a result of the research, the author is skeptical about the claim that the research will lead to a cure for diabetes. The author believes that the research is important, but not for the reasons given. The author is also skeptical about the research's ability to cure diabetes, but the author is not necessarily skeptical about the research itself. The author is skeptical about the research's ability to cure diabetes, but the author is not necessarily skeptical about the research itself.""",2.8851017167755733,26.284670794750326,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",2.8851017167755733,26.284670794750326,24.625,24.375
"Translate the following sentence from Portuguese to English:
Q: Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Rádio Sveriges na Suécia que o comitê, incapaz de entrar em contato com Bob Dylan diretamente sobre a conquista do Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para contactá-lo.
A:","Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Rádio Sveriges na Suécia que o comitê, incapaz de entrar em contato com Bob Dylan diretamente sobre a conquista do Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para contactá-lo.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","The sentence is about the committee's inability to contact Bob Dylan, and the committee's decision to abandon its efforts to contact him. The committee is not the only one that has tried to contact him, but the committee's efforts are the most recent. The committee's decision to abandon its efforts is not a reflection on the committee's ability to contact him, but rather on the committee's inability to contact him. The committee's decision to abandon its efforts is not a reflection on the committee's ability to",2.40659192386334,25.12977822396749,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",2.40659192386334,25.12977822396749,22.625,21.5
"Translate the following sentence from Portuguese to English:
Q: Danius disse: ""Neste momento não estamos fazendo nada. Tenho ligado e enviado e-mails para o seu colaborador mais próximo e tenho recebido repostas muito amigáveis. Por enquanto, isso certamente é o suficiente.""
A:","Danius disse: ""Neste momento não estamos fazendo nada. Tenho ligado e enviado e-mails para o seu colaborador mais próximo e tenho recebido repostas muito amigáveis. Por enquanto, isso certamente é o suficiente.""","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius said: ""I have not received a reply from the person I contacted. I have not received a reply from the person I contacted. I have not received a reply from the person I contacted.""",6.262459616203869,23.71282935339752,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",6.262459616203869,23.71282935339752,23.75,24.0
"Translate the following sentence from Portuguese to English:
Q: Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa surgiu quando sua campainha não podia ser ouvida de sua loja em sua garagem.
A:","Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa surgiu quando sua campainha não podia ser ouvida de sua loja em sua garagem.","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","The sentence is about a company that makes products for the home, and the CEO of the company is the one who is interviewed. The CEO is interviewed by a reporter, and the reporter is asking questions. The CEO is answering questions about the company's products and services. The CEO is not the one who is being interviewed, but rather the CEO is answering questions about the company's products and services. The CEO is not being interviewed, but rather the reporter is asking questions. The CEO is not being",1.1380070591442817,15.759522765432282,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",1.1380070591442817,15.759522765432282,25.0,22.125
"Translate the following sentence from Portuguese to English:
Q: Ele montou uma campainha sem fio, disse.
A:","Ele montou uma campainha sem fio, disse.","He built a WiFi door bell, he said.","The sentence ""Ele montou uma campainha sem fio"" can be translated to ""He set up a wired campainha"" or ""He set up a wired campainha"" (depending on the context). However, the word ""campainha"" is not a standard word in Portuguese. It might be a misspelling or a colloquial term. If you can provide more context, I can give a more accurate translation.",0.48726106895923676,8.485897663609343,eng_Latn," He built a WiFi door bell, he said.",0.48726106895923676,8.485897663609343,20.375,23.5
"Translate the following sentence from Portuguese to English:
Q: Siminoff afirmou que as vendas aumentaram após sua aparição de 2013 em um episódio do Shark Tank, no qual os jurados do programa recusaram o financiamento da startup.
A:","Siminoff afirmou que as vendas aumentaram após sua aparição de 2013 em um episódio do Shark Tank, no qual os jurados do programa recusaram o financiamento da startup.",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Siminoff said that the sales increased after his appearance on Shark Tank, which is a reality show where he was the only one to invest in the company.",13.75995747290722,42.80409447738322,eng_Latn, Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,13.75995747290722,42.80409447738322,8.875,8.1875
"Translate the following sentence from Portuguese to English:
Q: Siminoff foi exibido no canal de televisão de compras QVC, no final de 2017.
A:","Siminoff foi exibido no canal de televisão de compras QVC, no final de 2017.","In late 2017, Siminoff appeared on shopping television channel QVC.","Siminoff was shown on QVC in the US, but not in the UK.",10.934883431625593,20.212884785354607,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",10.934883431625593,20.212884785354607,12.9375,13.5625
"Translate the following sentence from Portuguese to English:
Q: A Ring ganhou também uma causa judicial contra a empresa de segurança concorrente, a ADT Corporation.
A:","A Ring ganhou também uma causa judicial contra a empresa de segurança concorrente, a ADT Corporation.","Ring also settled a lawsuit with competing security company, the ADT Corporation.","A Ring won a lawsuit against ADT, the largest security company in the United States, for violating the terms of service.",8.839374326825924,40.48102751835642,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",8.839374326825924,40.48102751835642,6.3125,8.4375
