prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.","""I'm not trying to be a bad boy.""",0.43681267517507044,2.831302464998243,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",2.2689472437522356,9.963672791629667,25.0,25.0
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.",1) 2) 3) 4) 5) 0 1 1/2 10 4 10 10 10 10 10 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1,0.0,0.38484924059638703,epo_Latn," D-ro Ehud Ur, profesoro pri medicino ĉe la Universitato Dalhousie en Halifax, Nova Skotlando, kaj estro de la klinika kaj scienca fako de la Kanada Diabeta Asocio, avertis, ke la esploro ankoraŭ estas en siaj fruaj tagoj.",0.0,0.0,25.0,20.625
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.",1. 2. 3. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4. 4.,0.5943593157583923,1.1942370969789908,kas_Deva," दीगर मेहरण हिन्द पेटग, छु सु ति अथ सोच मंज़ ज़ि आया डाइअबीटीज़ हेकवा यलाज कारिथ, यि नोट कारिथ ज़ि ईमन तहक़ीक़ हन छु नि टाइप 1 डाइअबीटीज़ वालें लूखन सीथ कह ति तालुक़।",0.0,0.43222683264177036,22.125,15.0625
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.",Dylan’s first prize in 1969.,0.000530766774316163,2.3123650398009854,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",0.004663910322042804,3.3744444394734905,25.0,25.0
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »",FOOL,0.0,0.0,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",0.0,0.1689189189189189,25.0,24.75
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.",1.0 bas,0.0,0.5000279373086793,fra_Latn," Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.",0.0,0.5000279373086793,25.0,23.125
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.",Il dit avoir conçu une sonnette de porte Wi-Fi.,"""125DB wired for model number""",0.0,5.876738089810805,eng_Latn," He built a WiFi door bell, he said.",0.0,6.844558437574561,23.625,25.0
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,"$100,000 for 120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000",0.0,0.683293911832031,zsm_Latn, Siminoff mengatakan bahawa jualan telah meningkat setelah penampilan beliau pada tahun 2013 dalam sebuah episod Shark Tank di mana panel rancangan tersebut menolak untuk membiayai permulaannya.,0.0,0.5665032314824663,25.0,25.0
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.",1. 2. 3. 4. 5. 6. 6. 12. 12. 12. 12. 12. 12. 12. 12. 12. 12.12. 12.12.12.12.12.12.12.12.12.12.12.12,0.0,1.3869816566642934,glg_Latn, Foi a finais de 2017 cando Siminoff apareceu na canle de compras por televisión QVC.,0.0,1.172306659186345,20.875,19.625
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.",1. 1. 2. 2. 2. 2. 1. 2. 2. 2. 1. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2.,0.0,0.7212379065159109,glg_Latn," Ring tamén chegou a un acordo extraxudicial cunha empresa de seguridade competidora, a ADT Corporation.",0.0,0.693717277486911,22.25,15.625
