prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。,"""今は4ヶ月の miceが非糖尿症で、以前は糖尿症だった。前々々は糖尿症だった。""",1.9626728448746968,6.954185422590767,jpn_Jpan, 「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。,1.9626728448746968,6.954185422590767,13.8125,15.25
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。,Dr. エドゥ ツ・ウ、ダルホウスキー、ノバスコラ州の医師は、まだまだ初めのところで、研究はまだまだ初めのところで、研究はまだまだ初めのところで、初めのところで、初めのところで、初めのところで、初めのところで、初めのところで、初めのところで、初めのところで、初めのところ,1.7113108382290902,7.466122710947963,jpn_Jpan, ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。,1.7113108382290902,7.466122710947963,15.875,16.0
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。,他は、糖尿病は治療されないことがないと、糖尿病は治療されないことを認識している。そういうことでは、既に糖尿病は治療されないことを認識している。,1.4976715458406646,9.984236838712867,jpn_Jpan, 他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。,1.4976715458406646,9.984236838712867,15.3125,16.375
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。,2016年、ノーベル文学賞を受賞したボル・ディylanは、無ければ、受賞したのは、ボル・ディylanは、受賞したのは、受賞したのは、受賞したのは、受賞したのは、受賞したのは、受賞したのは、受賞したのは、受賞したのは、受賞したのは、受賞したのは、受賞したのは、受賞したのは、受賞したのは,4.279834727254434,7.7640378753543,jpn_Jpan, スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。,4.279834727254434,7.7640378753543,25.0,25.0
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。,今日は何も行わない。彼の近くに近づき、友達と一緒にいる。今は何も行わない。今は何も行わない。今は何も行わない。今は何も行わない。今は何も行わない。今は何も行わない。今は何も行わない。今は何も行わない。今は何も行わない。今は何,2.278390555189902,6.593620865672542,jpn_Jpan, ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。,2.278390555189902,6.593620865672542,17.75,22.625
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。,すごく、前のリングのCEOは、自宅のドアの音が聞こえなかったら、自宅のドアの音は聞こえなかったら、前のリングは自宅のドアの音は聞こえなかったら、前のリングは自宅のドアの音は聞こえなかったら、前のリングは自宅のドアの音は聞こえなかったら、前のリングは自宅のドアの音,2.591158332443442,9.081499159756506,jpn_Jpan, RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。,2.591158332443442,9.081499159756506,24.375,24.125
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.",彼はWi-Fiで鳴るドアベルを作ったそうです。,その WiFi ドアの bell は、 WiFi を設置した。,3.3864985683445354,8.628775319389664,jpn_Jpan, 彼はWi-Fiで鳴るドアベルを作ったそうです。,3.3864985683445354,8.628775319389664,17.0,18.625
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。,シミノフは、2013年にシークレットの番組で、番組の審査員は、投資を拒否した。シミノフは、シークレットの番組で、審査員は、投資を拒否した。,6.726687248488958,15.368553936229482,jpn_Jpan, シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。,6.726687248488958,15.368553936229482,20.75,21.25
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.",2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。,2017年末には、シミノフは、ショ핑テレビ局QVCで登場した。,10.657284485555579,20.12534003012711,jpn_Jpan, 2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。,10.657284485555579,20.12534003012711,4.6875,5.8125
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.",Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。,Ringは、競争相手のADT社と訴訟を解決した。,6.471074162236761,14.979530304503191,jpn_Jpan, Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。,6.471074162236761,14.979530304503191,3.21875,3.53125
