prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector,commet_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.","""Tunajitishaji 4-mwakilifu wa mwanamwamaji ambaye hawakiongezwa kwa kufuishi kwa muda wa miwakilifu 4 na hawakiongezwa kwa kufuishi.""",1.3339264902154053,21.089572478309876,swh_Latn," ""Sasa tuna panya wenye umri wa miezi minne ambao hawana kisukari ambao awali walikuwa na kisukari"", aliongeza.",1.3339264902154053,21.089572478309876,21.875,25.0,-0.025634765625
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.",Uhadi wa Umejulishwa kwa kwanini hiviongozi hawakiongezwa kwa kila siku.,0.2771466173647148,8.995107279131775,swh_Latn," Dak. Ehud Ur, profesa wa udaktari katika chuo kikuu cha Dalhousie kule Halifix, Nova Scotia na mwenyekiti wa kitengo cha kliniki na kisayansi kwenye ushirika wa ugonjwa wa kisukari nchini Canada alionya kuwa utafiti bado uko kwenye siku za mapema.",0.2771466173647148,8.995107279131775,25.0,25.0,-0.026611328125
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.","Kama mionyaji, hana hali ya kuwa na hali ya kuwa na diabetes, anahitaji kuwa na hali ya kuwa na mionyaji, kama mionyaji mengine, anahitaji kuwa na hali ya kuwa na mionyaji, kama mionyaji mionyaji, anahitaji kuwa na hali ya kuwa na mionyaji, kama m",0.79512838176731,19.376611808454765,swh_Latn," Kama wataalam wengine, ana shaka kuhusu kama ugonjwa wa kisukari unaweza kutibiwa, akagundua kuwa matokeo haya hayana umuhimu kwa watu ambao tayari wana ugojwa wa kisukari wa aina 1.",0.79512838176731,19.376611808454765,25.0,25.0,-0.0439453125
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.","Jina la kiongozi wa kwanini, Sara Danius, mioniko wa kiongozi kwa kiongozi, alipata kiongozi kwa kiongozi, alipata kiongozi kwa kiongozi, alipata kiongozi kwa kiongozi, alipata kiongozi kwa kiongozi, alipata kiongozi kwa kiongozi",4.881241377876734,15.887409191178737,swh_Latn," Mnamo Jumatatu, Sara Danius, katibu wa kudumu wa Kamati ya Nobel ya Fasihi katika Chuo cha Uswidi, alitangaza hadharani wakati wa kipindi cha redio kwenye Sveriges Radio katika Uswidi kwamba kamati hiyo, kwa kutoweza kumfikia Bob Dylan moja kwa moja kuhusu ushindi wa Tuzo la Nobel la Fasihi 2016, iliacha juhudi zake za kujaribu kumfikia.",4.881241377876734,15.887409191178737,25.0,25.0,-0.0008544921875
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""","Danius alikiongezwa ""Kwakiongezwa kwa sasa tunakiongezwa. Niliongezwa na kiongezwa. Kwa sasa, hiviongezwa kwa sasa, hiviongezaji kwa sasa.",7.336098072271918,23.76608919046662,swh_Latn," Danius alisema, ""Sasa hivi hatufanyi chochote. Nimepiga simu na kutuma barua pepe kwa mshirika wake wa karibu na kupata majibu ya kirafiki sana. Kwa sasa, hakika hiyo imetosha.""",7.336098072271918,23.76608919046662,23.25,25.0,-0.02490234375
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.","Kwanachini, Siminifu, Jamuaji, aliongezaji kwa kila kiongozo lake lilipojishaji kwa kichuo chake cha kiongozo cha kina Siminifu, Siminifu, aliongezaji kwa kila kiongozo lake lilipojishaji kwa kichuo cha kiongozo cha kina Siminifu, Siminifu,",0.7833454445209486,17.504988225092948,swh_Latn," Hapo awali, Mkurugenzi Mtendaji wa Ring, Jamie Siminoff, alitamka kampuni hiyo ilianza wakati kengele yake ya mlangoni haikuwa inasikika katika duka lake kwenye karakana yake.",0.7833454445209486,17.504988225092948,25.0,25.0,-0.076171875
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","Aliunda kengele ya mlango ya Wi-Fi, alisema.","Anamishindii kiongehusi kiongehusi, alitumalifu WiFi kiongehusi, alitumalifu.",1.5880117714047368,18.20038798945363,swh_Latn," Aliunda kengele ya mlango ya Wi-Fi, alisema.",1.5880117714047368,18.20038798945363,25.0,25.0,-0.00579833984375
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.,Siminofu alipotelewa kwa kushindii kwa kushindii kwa kushindii kwa kushindii kwa kushindii kwa kushindii kwa kushindii kwa kushindii kwa kushindii kwa kushindii kwa kushindii kwa kushindii kwa kushindii kwa kushindii kwa kushindii k,1.0797096550109928,9.978200949435474,swh_Latn, Siminoff alisema mauzo yaliongezeka baada ya yeye kuonekana katika kipindi cha Shark Tank mnamo 2013 ambapo paneli ya onyesho hilo ilikataa kufadhili biashara hiyo mpya.,1.0797096550109928,9.978200949435474,23.25,25.0,-0.025390625
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.","Siminofuiliwa kwenye TV ya kuchukua kwa mwaka 2017, Siminofuiliwa kwenye TV ya kuchukua kwa mwaka 2017,",6.65422126355551,23.591945010713413,swh_Latn," Baadaye 2017, Siminoff alionekana katika chaneli ya ununuzi ya televisheni QVC.",6.65422126355551,23.591945010713413,25.0,25.0,-0.02734375
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.",Kipaji pili pili kwa kiongozo kina ADT Corporation.,3.990502812023364,12.064022060828721,swh_Latn," Ring pia alitatua mashtaka ya kampuni pinzani ya usalama, Shirika la ADT.",3.990502812023364,12.064022060828721,23.125,25.0,0.01953125
