prompt,query,reference,generation_ablation,bleu_ablation,chrf_ablation,ablation_lang,reference_lang,bleu_ablation_lang,chrf_ablation_lang,metricx_qe_ablation,metricx_ablation,commet_ablation
"Translate the following sentence from Russian to English:
Q: ""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.
A:","""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Now we have mice that are four months old, and they are cured of diabetes"", said the researcher.",9.582664846924837,29.10534361046164,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",9.582664846924837,29.10534361046164,2.515625,4.21875,0.77734375
"Translate the following sentence from Russian to English:
Q: Согласно предупреждению доктора Эхуда Ура (Ehud Ur), профессора медицины в Университете Дэлхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.
A:","Согласно предупреждению доктора Эхуда Ура (Ehud Ur), профессора медицины в Университете Дэлхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",The sentence is about the research on the effects of exercise on the body.,0.7451869046619921,13.071576007274105,eng_Latn," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",0.7451869046619921,13.071576007274105,23.0,21.0,-0.026123046875
"Translate the following sentence from Russian to English:
Q: Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.
A:","Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","As a result of the translation, the sentence is:",0.4591962117697101,8.09880342766578,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",0.4591962117697101,8.09880342766578,25.0,25.0,-0.0062255859375
"Translate the following sentence from Russian to English:
Q: В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской Академии, публично заявила во время передачи на шведской радиостанции Sveriges о том, что комитет, которому не удалось связаться с Бобом Диланом напрямую и сообщить ему, что он выиграл Нобелевскую премию по литературе за 2016 год, прекращает попытки выйти с ним на связь.
A:","В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской Академии, публично заявила во время передачи на шведской радиостанции Sveriges о том, что комитет, которому не удалось связаться с Бобом Диланом напрямую и сообщить ему, что он выиграл Нобелевскую премию по литературе за 2016 год, прекращает попытки выйти с ним на связь.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",The committee is not going to give up.,0.011144437546118812,5.636283515394396,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",0.011144437546118812,5.636283515394396,23.875,23.125,-0.019287109375
"Translate the following sentence from Russian to English:
Q: Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".
A:","Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danus said: ""We are not doing anything at the moment. I have called and emailed his office and received very friendly responses. At the moment, this is enough.""",19.57129762538074,44.197513105259446,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",19.57129762538074,44.197513105259446,4.25,3.234375,0.90625
"Translate the following sentence from Russian to English:
Q: Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.
A:","Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","The company was founded in 2013 by Jamie Siminoff, who is the CEO.",9.829470053938975,24.99773749316856,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",9.829470053938975,24.99773749316856,15.125,12.125,0.00665283203125
"Translate the following sentence from Russian to English:
Q: Он сказал, что создал дверной звонок, работающий от WiFi.
A:","Он сказал, что создал дверной звонок, работающий от WiFi.","He built a WiFi door bell, he said.",He said that he created a door bell that works on WiFi.,8.737167851715874,39.04170757899812,eng_Latn," He built a WiFi door bell, he said.",8.737167851715874,39.04170757899812,1.359375,1.3046875,0.94921875
"Translate the following sentence from Russian to English:
Q: Симинофф сказал, что продажи выросли после его появления в выпуске шоу ""Shark Tank"" в 2013 году, где члены жюри отказались финансировать его стартап.
A:","Симинофф сказал, что продажи выросли после его появления в выпуске шоу ""Shark Tank"" в 2013 году, где члены жюри отказались финансировать его стартап.",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff's appearance on the show was a huge success.,5.632324537099818,20.80937666469882,eng_Latn, Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,5.632324537099818,20.80937666469882,16.875,14.8125,-0.00616455078125
"Translate the following sentence from Russian to English:
Q: В конце 2017 года Симинофф появился на торговом телеканале QVC.
A:",В конце 2017 года Симинофф появился на торговом телеканале QVC.,"In late 2017, Siminoff appeared on shopping television channel QVC.","In the end of 2017, Siminoff appeared on the QVC channel.",39.43168375847628,52.9344551747699,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",39.43168375847628,52.9344551747699,3.546875,3.265625,0.69140625
"Translate the following sentence from Russian to English:
Q: Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.
A:","Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.","Ring also settled a lawsuit with competing security company, the ADT Corporation.","In addition, Ring settled a lawsuit with ADT Corporation.",41.81914517914233,52.75177205257402,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",41.81914517914233,52.75177205257402,2.75,2.78125,0.6640625
