prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Limu wax mooy, leegi am nañu am jinaxu 4 weer yu musoon am jabet te leegi ama tuñu ko. ""","""Di bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi",0.35896057761679323,1.1187149694768632,wes_Latn,,,
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Dr. Ehud Ur, professor ci walum paj ci dara bu magg bi Dalhousie ca Halifax, Nova Scotia ak siisu paccu paj ak xam-xam ca mbootay ñu am jabët ci Kanadaa artuna ni saaytu bi dama nekk ci bés yu jiitu yi.",A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,0.0,0.0,sag_Latn," Dr. Ehud Ur, Kota wafängö-mbëtï na ndô tènè ti séni na dä séndagigi ti Halifax, Nova Scotia nga mokonzi ti ndôkua ti gingo ndâ ti â yé na ndô tènè ti kobela ti sukani na sésé ti Canada sô angbâ ti sala kusala juska na ngoye sô.",0.0,0.0
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Ni yénééni borom xamxam yi, geemulni gni am jabét meenna gno wér, di waxni geestu yi amugnu solo dara ci nit yi am jabétu Type 1.",A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,0.0,0.0,sag_Latn," Légé ôko tongana ti â mbéni â wandara, lo ngbâ ti gi bè ti lo ouala alingbi ti kaï kobéla ti sukani, teti sô â gingo ndâ ti â yé sô a mü maboko pèpè na â zo sô a yeke na kozô nzörökö ti kobela ti sukani.",0.0,0.0
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Altine, Sara Danius, sekreteer permanaa bu Comité Nobel bu literature ci Academi bu Suede, dafa xamle ci benn emisioŋu rajo ci Sveriges Radio ca Suède ni ginaaw kuréel gi mënul jokkoo ak Bob Dylan ci ki gàddu neexalu Nobel ci literature 2016, dakkal nañu li ñu ko doon jéema jokkoo ak moom.",A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,0.0,0.11837121212121213,sag_Latn," Na Bikua ôko, Sara Danius Wakua su ti ndôkua ti mungo kota makanda ti sungo mbéti ti kodro ti Suede a tènè polele na dafönönö tènè na ndô ti dafönönö ti Sveries na yâ bungbi ti Suede, sô a wara légé ti tingbi na Bob Dylan lè na lè na ndô tènè ti warango makanda ti sungo mbéti ti lo nga ngü 2016, na lo zia légé ti ngingo péko ti lo.",0.0,0.0
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius wax na ni, “Fimne nii defu ñu dara. Woote na te yónnee naa ay m-bataaxal ci way-liggéeyandoowam biko gëna jege te jot ay tontu yu neex lool. Léegi, loolu war naa doy.”","Daniu, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y yi, y",0.4724186878758777,3.6259343767359216,cjk_Latn," Danius kambanga, “olaino tusokulinga nhi cecimue. nasanhika shinga nhi kutuma ma emails, kuli mukua kumuwanhissa uli hakamuihi, anangulueza cize ngu kalakala, halyapuila kwahwa yatela.",0.5618036648822435,4.414471805241389
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Bu njëkk, Direktëru Ring, Jamie Siminoff, dafa gisoon ni këru liggéeyukaay bi tambaliwoon na biñu mënul woon dégg limuy sab ci magasiinam bi nekk ci garaasam.",A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,0.0,0.0,sag_Latn," Kozo kwè, mokonzi ti ndôkua ti Ring, Jamie Siminoff, a bâ sô ndôkua ni a tônda ti kusala na ngoye sô ngbonga ti yanga dä adé a tônda ti toto pèpè na ndô ti kango yé nga na ndô ti ziangô kutukutu ti lo.",0.0,0.0
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","Defar na ab sonëri buntu buy doxee WIFI, ci limu wax.",He bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi bi,0.0,1.3463876749809154,wes_Latn,,,
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,Siminoff wax na ne njaay yi dañoo yokku gannaaw ba mu feeñee ci 2013 ci benn episodu Shark Tank fa gurupi xew xew gi bañee dugal seen xaalis ci këru liggéeyukaay gu ndaw guy dooga door.,Simounni yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay yay y,0.0,3.5751750812570195,som_Latn, Simioff wuxu yidhi iibka waxa kor u qaaday ka soo muuqashadiisii uu ka muuqday Shark Tank 2013kii halkaasoo guddida bandhigu diideen inay maalgeliyaan shirkadda yar.,0.0,4.541362798389952
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Ci njeexte 2017, la Siminoff feeñ ci television buy siiwal njaay bii di QVC.","Simin, a qaw yey, a qaw yey, a qaw yey, a qaw yey, a qaw yey, a qaw yey, a qaw yey, a qaw yey, a qaw yey, a qaw yey, a qaw yey, a qaw yey, a qaw yey, a qaw yey, a qaw yey, a qaw yey, a",0.0,5.410901068067867,arb_Latn," Fi awakher 3am 2017, dhahara Siminoff fi barnamej tasawwuq telefizyoni 3ala qanat QVC.",0.0,7.147174732457219
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.",Ring lijjanti na jàppante bi amoon ci wàllu yoon ak ADT Corporation bii di seen wujj ci liggéey.,A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A: A:,0.0,0.15024038461538464,sag_Latn," Ndôkua ti Ring a zia nga â mbéni kusala ti ndia nga na kota ndôkua ti sédouti, Ndôkua ti ADT Corporation.",0.0,0.14204545454545456
