prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.",Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques. Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques. Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques. Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques. Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques. Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques. Nous avons maintenant des,11.769894578691185,33.970459235233804,fra_Latn," « Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.",11.769894578691185,33.970459235233804
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.","Le Dr Ehud Ur, le professeur a averti que la recherche est encore dans ses débuts.",6.7854952117465706,30.003773615159147,fra_Latn," Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.",6.7854952117465706,30.003773615159147
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.","Comme d'autres experts, il est sceptique à l'égard du fait que certains experts sont sceptiques à l'égard du fait que certains experts sont sceptiques à l'égard du fait que certains experts sont sceptiques à l'égard du fait que certains experts sont sceptiques à l'égard du fait que certains experts sont sceptiques à l'égard du fait que certains experts sont sceptiques à l'égard du fait que certains experts sont sceptiques à l'égard du fait",5.591682956633827,22.689906666153817,fra_Latn," À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.",5.591682956633827,22.689906666153817
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.","Le lundi, Sara Danius, le secrétaire permanent a annoncé que le lundi, Sara Danius, le secrétaire permanent a annoncé que le lundi, Sara Danius, le lundi, Sara Danius a annoncé que le lundi, Sara Danius a annoncé que le lundi, Sara Danius a annoncé que le lundi, Sara Danius a annoncé que le lundi, Sara Danius a annoncé que le lundi, Sara Danius a annoncé que le lundi, Sara Danius a annoncé que le lundi, Sara",5.767611446585648,22.982581900813496,fra_Latn," Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.",5.767611446585648,22.982581900813496
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »","Dénis a dit : ""En ce moment, nous ne faisons rien. En ce moment, nous ne faisons rien. En ce moment, nous ne faisons rien. Dénis a dit : ""En ce moment, nous ne faisons rien. En ce moment, nous ne faisons rien. En ce moment, nous ne faisons rien. Dénis a dit : ""En ce moment, nous ne faisons rien. En ce moment, nous ne faisons rien. En ce moment, nous ne faisons",8.674520441616977,25.030417676380523,fra_Latn," Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »",8.674520441616977,25.030417676380523
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.","Auparavant, l'entreprise a commencé lorsque l'entreprise a commencé, l'entreprise a commencé, l'entreprise a commencé, l'entreprise a commencé, l'entreprise a commencé, l'entreprise a commencé, l'entreprise a commencé, l'entreprise a commencé, l'entreprise a commencé, l'entreprise a commencé, l'entreprise a commencé, l'entreprise a commencé, l'entreprise a commencé, l'entreprise a commencé, l'entreprise a commencé, l",5.238429699288736,19.64400294718435,fra_Latn," Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.",5.238429699288736,19.64400294718435
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.",Il dit avoir conçu une sonnette de porte Wi-Fi.,"Il a construit une sonnette sans fil, il a dit.",12.571192676522521,32.30293013512821,fra_Latn, Il dit avoir conçu une sonnette de porte Wi-Fi.,12.571192676522521,32.30293013512821
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,Les ventes ont augmenté après l'apparition de Siminoff a déclaré que les ventes ont augmenté après l'apparition de Siminoff a déclaré que les ventes ont augmenté après l'apparition de Siminoff a déclaré que les ventes ont augmenté après l'apparition de Siminoff a déclaré que les ventes ont augmenté après l'apparition de Siminoff a déclaré que les ventes ont augmenté après l'apparition de Siminoff a déclaré que les ventes ont augmenté après l'apparition de Siminoff a déclaré que les ventes,9.991034118863773,31.70733025829043,fra_Latn, M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,9.991034118863773,31.70733025829043
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.","En fin d'année 2017, Siminoff est apparu sur la chaîne de télévision, en fin d'année 2017, Siminoff est apparu sur la chaîne de télévision, En fin d'année 2017, Siminoff est apparu sur la chaîne de télévision, En fin d'année 2017, Siminoff est apparu sur la chaîne de télévision, En fin d'année 2017, Sim",13.387526452578589,42.0200701740953,fra_Latn," Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.",13.387526452578589,42.0200701740953
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.",Le Ring a réglé un procès avec la société a réglé un procès avec la société Le Ring a réglé un procès avec la société Le Ring a réglé un procès avec la société Le Ring a réglé un procès avec la société Le Ring a réglé un procès avec la société Le Ring a réglé un procès avec la société Le Ring a réglé un procès avec la société Le Ring a réglé un procès avec la société Le Ring a réglé un procès avec la société Le Ring,3.864973962757331,19.393161503426533,fra_Latn," Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.",3.864973962757331,19.393161503426533
