prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang
"Q: « Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.
A:","« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",We have now introduced mice that are now mice that are now mice that are now mice that are now mice that are now mice that are now mice that are now mice that are now mice that are now mice that are now mice that are now mice that are now mice that are now mice that are now mice that are now mice that are now mice that are now mice that are now mice that are now mice that are now mice that are now mice that are now mice that are now mice that are now,2.078233414182664,16.605276576180213,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",2.078233414182664,16.605276576180213
"Q: Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.
A:","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","The Dr Ehud Ur, professor of medicine, has warned that the research is still in its early stages.",19.372131765185177,37.170197476647054,eng_Latn," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",19.372131765185177,37.170197476647054
"Q: À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.
A:","À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","He is skeptical that the cure for diabetes is not applicable to people who have diabetes, he is skeptical that the cure is not applicable to people who have diabetes, he is skeptical that the cure is not applicable to people who have diabetes, he is skeptical that the cure is not applicable to people who have diabetes, he is skeptical that the cure is not applicable to people who have diabetes, he is skeptical that the cure is not applicable to people who have diabetes, he is skeptical that the cure is not",4.910266388061486,28.606380258702263,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",4.910266388061486,28.606380258702263
"Q: Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.
A:","Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",The Nobel Prize committee has announced that the committee has decided to not contact Bob Dylan has decided to not contact the committee has decided to not contact the committee has decided to not contact the committee has decided to not contact the committee has decided to not contact the committee has decided to not contact the committee has decided to not contact the committee has decided to not contact the committee has decided to not contact the committee has decided to not contact the committee has decided to not contact the committee has decided to not contact the committee,1.478750407465983,18.95745771043141,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",1.478750407465983,18.95745771043141
"Q: Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »
A:","Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius said: ""At the moment, we have not contacted him yet. We have not contacted him yet. We have not contacted him yet. We have not contacted him yet. We have not contacted him yet. We have not contacted him yet. We have not contacted him yet. We have not contacted him yet. We have not contacted him yet. We have not contacted him yet. We have not contacted him yet. We have not contacted him yet. We have not contacted him yet.",1.5949496127070926,14.22947321891224,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",1.5949496127070926,14.22947321891224
"Q: Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.
A:","Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Before, the PDG of Ring, Jamie Siminoff, said that he had launched the company when the door was opened, he said that the company had launched the company when the door was opened, he said that the company had launched the company when the door was opened, he said that the company had launched the company when the door was opened, he said that the company had launched the company when the door was opened, he said that the company had launched the company when the door was opened,",5.449200334421274,21.25444734149385,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",5.449200334421274,21.25444734149385
"Q: Il dit avoir conçu une sonnette de porte Wi-Fi.
A:",Il dit avoir conçu une sonnette de porte Wi-Fi.,"He built a WiFi door bell, he said.",He said he designed a Wi-Fi door.,6.567274736060395,31.419251272238636,eng_Latn," He built a WiFi door bell, he said.",6.567274736060395,31.419251272238636
"Q: M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.
A:",M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"The show has been criticized for its appearance in Shark Tank, the show has been criticized for its appearance in Shark Tank, the show has been criticized for its appearance in Shark Tank, the show has been criticized for its appearance in Shark Tank, the show has been criticized for its appearance in Shark Tank, the show has been criticized for its appearance in Shark Tank, the show has been criticized for its appearance in Shark Tank, the show has been criticized for its appearance in Shark Tank, the show has been",1.9847625469471815,18.856517323200666,eng_Latn, Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,1.9847625469471815,18.856517323200666
"Q: Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.
A:","Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.","In late 2017, Siminoff appeared on shopping television channel QVC.","Fin 2017, Siminoff appeared on the QVC channel.",41.99973984488548,52.40292231331121,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",41.99973984488548,52.40292231331121
"Q: Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.
A:","Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring a also also also, the ADT Corporation.",27.042567898113262,38.9505352732955,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",27.042567898113262,38.9505352732955
