prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",उन्होंने कहा “कि अब हमारे पास 4 महीने उम्र वाले चूहे हैं जिन्हें मधुमेह नहीं है जो मधुमेह के रोगी थे। ”,"""We now have 4-month-old mice that are non-diabetic that использовали से थे.",1.1848104855866088,0.9562480619522464,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",64.2177806360813,64.08188671597486,25.0,25.0
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","डॉ. एहुड उर, नोवा स्कोटिया के हैलिफ़ैक्स में डलहौज़ी विश्वविद्यालय में चिकित्सा के प्रोफ़ेसर और कनाडाई डायबिटीज़ एसोसिएशन के नैदानिक ​​और वैज्ञानिक विभाग के अध्यक्ष ने आगाह किया कि शोध अभी भी अपने शुरुआती दिनों में है.","Dr. Ehud Ur, के रूप में की जाने वाली चिकित्सा के साथ-साथ के रूप में की जाने वाली चिकित्सा के साथ-साथ के रूप में की जाने वाली चिकित्सा के साथ-साथ के रूप में की जाने वाली चिकित्सा के साथ-साथ के रूप में की जाने वाली चिकित्सा के साथ-साथ के रूप में की जाने वाली चिकित्सा के साथ-साथ के रूप में की जाने वाली चिकित्सा के साथ-साथ के रूप में की जाने वाली चिकित्सा के साथ-साथ के रूप में की जाने वाली",1.0735425244914742,13.268229573796031,hin_Deva," डॉ. एहुड उर, नोवा स्कोटिया के हैलिफ़ैक्स में डलहौज़ी विश्वविद्यालय में चिकित्सा के प्रोफ़ेसर और कनाडाई डायबिटीज़ एसोसिएशन के नैदानिक ​​और वैज्ञानिक विभाग के अध्यक्ष ने आगाह किया कि शोध अभी भी अपने शुरुआती दिनों में है.",1.0735425244914742,13.268229573796031,23.75,24.5
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","कुछ अन्य विशेषज्ञों की तरह, उन्हें इस बात पर संदेह है कि क्या मधुमेह को ठीक किया जा सकता है, यह देखते हुए कि इन निष्कर्षों की उन लोगों के लिए कोई प्रासंगिकता नहीं है जिन्हें पहले से ही टाइप 1 मधुमेह है.","He is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",0.7046737444128227,1.141773727626408,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",82.21537092376154,85.6695151809534,25.0,25.0
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","सोमवार को स्वीडिश अकादमी में साहित्य के लिए नोबेल समिति के स्थायी सचिव, सारा डेनियस, स्वीडन समिति में सेवरिज रेडियो पर एक रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा की, कि साहित्य में 2016 के नोबेल पुरस्कार जीतने को लेकर सीधे बॉब डायलन तक पहुँचने में असमर्थ होकर, अपने प्रयासों को छोड़ चुके थे.","Sara Danius, Swedish Academy के स्थायी सचिव के रूप में स्थायी रूप से Roberta Dylan के लिए स्थायी रूप से Roberta Dylan के लिए, 2016 के लिए 2016 के लिए 2016 के लिए Roberta Dylan के लिए, 2016 के लिए Roberta Dylan के लिए, 2016 के लिए Roberta Dylan के लिए Roberta Dylan के लिए Roberta Dylan के लिए Roberta Dylan के लिए Roberta Dylan के लिए Roberta Dylan के लिए Roberta Dylan के लिए",2.779070498146935,13.504135630593284,mag_Deva," सोमरवा के, स्वीडिश अकादमी में साहित्य के लेल नोबेल समिति के स्थायी सचिव, सारा डेनियस स्वीडन में स्वेरिग्स रेडियो पर एगो रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा कलई, समिति, 2016 में साहित्य में नोबेल पुरस्कार जीते के बारे में सीधे बॉब डायलन तक पहुचाबे में असमर्थ रहलन, ओकरा तक पहुंचे के प्रयास में छोड़ देलन।",2.62828260445074,12.582850707363317,20.375,19.875
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","डेनियस ने कहा, “फ़िलहाल हम कुछ नहीं कर रहे हैं. मैंने अपने साथ काम करने वाले लोगों को ईमेल भेजे हैं और उसने उनके फ्रेंडली जवाब भेजे हैं. अभी के लिए, बस इतना ही बताना चाहूँगा.”","Danius ने कहा, ""अब हम सब से निकटतम Collaborator के साथ काम कर रहे हैं और बहुत से प्रतिक्रिया प्राप्त कर रहे हैं। अब इस बात की बात कर रहे हैं कि मैं और मेरे निकट Collaborator के साथ काम कर रहे हैं। अब इस बात की बात कर रहे हैं कि मैं और मेरे निकट Collaborator के साथ काम कर रहे हैं। अब इस बात की बात कर रहे हैं कि मैं और मेरे निकट Collaborator के साथ काम कर रहे हैं। अब इस बात की बात",2.8995167590192468,19.894491175493894,hin_Deva," डेनियस ने कहा, “फ़िलहाल हम कुछ नहीं कर रहे हैं. मैंने अपने साथ काम करने वाले लोगों को ईमेल भेजे हैं और उसने उनके फ्रेंडली जवाब भेजे हैं. अभी के लिए, बस इतना ही बताना चाहूँगा.”",2.8995167590192468,19.894491175493894,25.0,25.0
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","इससे पहले, रिंग के सीईओ, जेमी सिमिनॉफ ने बताया था कि कंपनी तब शुरू हुई जब उसके दरवाज़े की घंटी उसके गेराज में स्थित दुकान से सुनाई नहीं देती थी।","Ring's CEO, Jamie Siminoff, ने कहा कि कंपनी जब तक कि अपने घर के पास नहीं सुनी जाने वाली है, वह है कि अपने घर के पास नहीं सुनी जाने वाली है।",2.3616951657176304,15.52969428271366,hin_Deva," इससे पहले, रिंग के सीईओ, जेमी सिमिनॉफ ने बताया था कि कंपनी तब शुरू हुई जब उसके दरवाज़े की घंटी उसके गेराज में स्थित दुकान से सुनाई नहीं देती थी।",2.3616951657176304,15.52969428271366,14.9375,14.75
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","उन्होंने (जेमी सिमिनॉफ़) कहा, कि उन्होंने एक वाईफ़ाई डोर बेल बनाई है.","He built a WiFi door bell, he said.",1.2305311064153412,2.172757392938384,eng_Latn," He built a WiFi door bell, he said.",100.00000000000004,100.0,25.0,25.0
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"सिमिनॉफ़ ने कहा कि 2013 में शार्क टैंक एपिसोड में उनके दिखने के बाद बिक्री में बढ़ोतरी हुई, जहाँ शो पैनल ने स्टार्टअप को पूँजी लगाने से मना कर दिया.","Siminoff said, ""Shark Tank"" में एक शो में जब Shark Tank में एक Shark Tank के सदस्य ने कहा कि इस शो में आने के लिए कोई फंडिंग नहीं है, तो यह कहा गया है कि इस शो में आने के लिए कोई फंडिंग नहीं है, लेकिन यह कहा गया है कि इस शो में आने के लिए कोई फंडिंग नहीं है, लेकिन यह कहा गया है कि इस शो में आने के लिए कोई फंडिंग नहीं है, लेकिन यह कहा गया है कि इस शो में आने के लिए कोई फंडिंग",1.5964449532259426,13.620830355783378,hin_Deva," सिमिनॉफ़ ने कहा कि 2013 में शार्क टैंक एपिसोड में उनके दिखने के बाद बिक्री में बढ़ोतरी हुई, जहाँ शो पैनल ने स्टार्टअप को पूँजी लगाने से मना कर दिया.",1.5964449532259426,13.620830355783378,18.875,19.5
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","2017 के अंत में, सिमिनॉफ़ शॉपिंग टेलीविज़न चैनल QVC में दिखाई दिए.",Siminoff appeared on QVC channel.,2.781653694759595,3.7974339434654816,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",31.363229944485827,41.23510366379988,17.75,18.875
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.",रिंग ने अपनी प्रतिस्पर्धी कंपनी ADT कॉर्पोरेशन के साथ एक मुकदमा निपटाया है.,"Ring also sued competing security company, the ADT Corporation.",3.077061262737526,3.305591588867248,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",54.65084115822032,72.9162608275667,19.875,21.375
