prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.","""У нас теперь 4-месячные мыши, которые не были диabetic, и теперь у них 4-месячные моль, которые не были диабом, и теперь у них 4-меодоль, которые не были диабом, и теперь у них 4-меодоль, который не был диабом, и теперь у них 4-меодоль, который не был диабом, и теперь у них 4-",4.398085473438987,24.503342009230618,rus_Cyrl," ""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.",4.398085473438987,24.503342009230618,25.0
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Согласно предупреждению доктора Эхуда Ура (Ehud Ur), профессора медицины в Университете Дэлхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.",Профодание У. Э. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У. У,0.426878472907377,1.6585815128024772,abk_Cyrl,,,,25.0
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.","Как, как и некоторые другие эксподы, он сомодает, что эти данные имеют relevance к людям, которые уже имеют Type 1 диабер, отметая, что эти данные имеют relevance к людям, которые уже имеют Type 1 диабер.",7.498657605505894,41.46774687794884,rus_Cyrl," Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.",7.498657605505894,41.46774687794884,22.875
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской Академии, публично заявила во время передачи на шведской радиостанции Sveriges о том, что комитет, которому не удалось связаться с Бобом Диланом напрямую и сообщить ему, что он выиграл Нобелевскую премию по литературе за 2016 год, прекращает попытки выйти с ним на связь.",1) 1) 1) 1) 1) 1) 1) 1) 1) 1) 1) 1) 1) 1) 1) 1) 1) 1) 1) 1) 1) 1) 1) 1) 1) 1) 1) 1) 1) 1) 1) 1) 1),0.0,0.0471342383107089,azb_Arab, سوئد آکادامیسینین ادبیات اوچون نوبل کمیته سینین دائمی دبیری، سارا دانیوس، دوشنبه گونو سوئدین «سورگی رادیو»سوندا عمومی صورتده اعلام الدی کی، کمیته 2016-اینجی ایلین ادبیات اوچون نوبل جایزه سینی آپارماق باره سینده باب دیلن ایله مستقیم تماس توتابیلمدیی اوچون، اونلا تماس توتماق تلاشلارینی اوتوروب.,0.0,0.05863039399624765,25.0
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".","Даниус сказал, ""Сейчас мы ничего не делаем. Я отправил и отправил пись, получая очень дружествовое сообщение. В настоящее время, это, наверольно, достаточно.",23.30017547602893,40.259811541000744,rus_Cyrl," Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".",23.30017547602893,40.259811541000744,18.375
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.","Рожеством, началас, когда его дверь не слышного от его магаз, когда его дверь не слышного, начал, когда его дверь не слышного, когда его дверь не слышного, начал, когда его дверь не слышного, когда его дверь не слышного, когда его дверь не слышного, когда его дверь не слышного, когда его дверь не слышного, когда его дверь не слышного, когда его",0.5349886180047957,14.821865801258873,rus_Cyrl," Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.",0.5349886180047957,14.821865801258873,25.0
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","Он сказал, что создал дверной звонок, работающий от WiFi.","Он построл WiFi дверной билет, он сказал.",6.863269655992759,29.206563290576554,rus_Cyrl," Он сказал, что создал дверной звонок, работающий от WiFi.",6.863269655992759,29.206563290576554,19.25
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Симинофф сказал, что продажи выросли после его появления в выпуске шоу ""Shark Tank"" в 2013 году, где члены жюри отказались финансировать его стартап.","Симинф, говоря, продажи увеличивались после его 2013 года, когда показал, что показал, что показал, что показал, что показал, что показал, что показал, что показал, что показал, что показал, что показал, что показал, что показал, что показал, что показал, что показал, что показал, что показал, что показал, что показал,",1.4343892910068337,20.968116599035476,rus_Cyrl," Симинофф сказал, что продажи выросли после его появления в выпуске шоу ""Shark Tank"" в 2013 году, где члены жюри отказались финансировать его стартап.",1.4343892910068337,20.968116599035476,25.0
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.",В конце 2017 года Симинофф появился на торговом телеканале QVC.,"В 2017 году Симинфф, появившись на телевидании канала QVC, появилас, в 2017 году Симинфф, появившись на телевидании канала QVC, появил, в 2017 году Симинф, появившись на телевидании канала QVC, появил, в 2017 году Симинф, появившись на телевидании канала QVC, появил, в",1.1977121656015002,19.960034365716922,rus_Cyrl, В конце 2017 года Симинофф появился на торговом телеканале QVC.,1.1977121656015002,19.960034365716922,25.0
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.","Комподельство также подставилас компанда, комподельство, комподельство, комподельство, комподельство, комподельство, комподельство, комподельство, комподельство, комподельство, комподельство, комподельство, комподельство, комподельство, комподельство, комподельство, комподельство, комподельство, компод",0.4312572865610176,6.296801830884154,krc_Cyrl,,,,25.0
"Q: While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.
A:","While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","Несмотря на то, что нашлась экспериментальная вакцина, способная снизить смертность от вируса Эбола, пока еще ни одно лекарство не продемонстрировало явного эффекта в лечении существующей инфекции.","Водоподставляет, что, пока один экспериментировавший вакод, не доказал, что никого из эксподостудив, пока не доказал, что, пока один эксподостудив, не доказал, что, пока не доказал, что, пока один эксподостудив, пока не доказал, что, пока не доказал, что, пока не доказал, что, пока не доказал, что, пока не",1.404656981937404,18.43887627075616,rus_Cyrl," Несмотря на то, что нашлась экспериментальная вакцина, способная снизить смертность от вируса Эбола, пока еще ни одно лекарство не продемонстрировало явного эффекта в лечении существующей инфекции.",1.404656981937404,18.43887627075616,25.0
"Q: One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.
A:","One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","Коктейль из антител ZMapp изначально показал многообещающие результаты в этой области, но официальные исследования показали, что он обладает меньшей пользой в предотвращении смерти, чем ожидалось ранее.","Ододин из антител, ZМап, показал, что он менее, чем, поиск, показал, что он менее, чем, один из антитолов, ZМап, показал, что он менее, чем, поиск, показ, что он менее, чем, один из антод, ZМап, показ, что он менее, чем, поиск, показ, что он менее, чем, один из антод,",3.1786527917768814,20.821689240107176,rus_Cyrl," Коктейль из антител ZMapp изначально показал многообещающие результаты в этой области, но официальные исследования показали, что он обладает меньшей пользой в предотвращении смерти, чем ожидалось ранее.",3.1786527917768814,20.821689240107176,25.0
