prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang,metricx_qe_function_vector,metricx_function_vector
"Q: «Actualmente, tenemos ratones de cuatro meses de edad que antes solían ser diabéticos y que ya no lo son», agregó.
A:","«Actualmente, tenemos ratones de cuatro meses de edad que antes solían ser diabéticos y que ya no lo son», agregó.","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","Currently, we have rats that are four months old that were previously diabetic rats, but they are currently rats that are four months old, which are currently rats that are four months old, which are currently rats that are four months old, which are currently rats that are four months old, which are currently rats that are four months old, which are currently rats that are four months old, which are currently rats that are four months old, which are currently rats that are four months old, which are currently",1.1332345834254787,14.485217432752547,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",1.1332345834254787,14.485217432752547,23.875,22.625
"Q: La investigación todavía se ubica en su etapa inicial, conforme indicara el Dr. Ehud Ur, docente en la carrera de medicina de la Universidad de Dalhousie, en Halifax, Nueva Escocia, y director del departamento clínico y científico de la Asociación Canadiense de Diabetes.
A:","La investigación todavía se ubica en su etapa inicial, conforme indicara el Dr. Ehud Ur, docente en la carrera de medicina de la Universidad de Dalhousie, en Halifax, Nueva Escocia, y director del departamento clínico y científico de la Asociación Canadiense de Diabetes.","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","The research is still in its early stages, as the Dr. Ehud Ur, a researcher at the University of Dalhousie, Canada, and the researcher is still in the early stages of the research, as the researcher is still in the early stages of the research, as the researcher is still in the early stages of the research, as the researcher is still in the early stages of the research, as the researcher is still in the early stages of the research, as the researcher is still",10.252892096476305,33.99459412481073,eng_Latn," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",10.252892096476305,33.99459412481073,19.125,21.75
"Q: Al igual que otros especialistas, es escéptico acerca de si la diabetes tiene cura y remarca que estos descubrimientos no son relevantes para quienes que ya padecen de diabetes de tipo 1.
A:","Al igual que otros especialistas, es escéptico acerca de si la diabetes tiene cura y remarca que estos descubrimientos no son relevantes para quienes que ya padecen de diabetes de tipo 1.","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Like other experts, he is skeptical about whether diabetes has a cure and he points out that these discoveries are not relevant for those who have diabetes type 1, as they are skeptical about whether diabetes has a cure and he points out that these discoveries are not relevant for those who have diabetes type 1, as he is skeptical about whether diabetes has a cure and he points out that these discoveries are not relevant for those who have diabetes type 1, as he is skeptical about whether diabetes has a cure",9.776133097148204,39.61120145517523,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",9.776133097148204,39.61120145517523,21.75,23.25
"Q: El lunes, Sara Danius, secretaria permanente del Comité por el Nobel de Literatura de la Academia Sueca, declaró públicamente en un programa radiofónico de Sveriges, en Suecia, que, al no poder contactar directamente con Bob Dylan para comunicarle el premio en Literatura 2016, el comité había abandonado sus esfuerzos por comunicarse con él.
A:","El lunes, Sara Danius, secretaria permanente del Comité por el Nobel de Literatura de la Academia Sueca, declaró públicamente en un programa radiofónico de Sveriges, en Suecia, que, al no poder contactar directamente con Bob Dylan para comunicarle el premio en Literatura 2016, el comité había abandonado sus esfuerzos por comunicarse con él.","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","On Monday, Sara Danius, the permanent member of the Nobel Prize in Literature Committee, publicly announced that the committee abandoned its efforts to communicate with Bob Dylan, as the committee was unable to contact Bob Dylan directly to announce the Nobel Prize in Literature 2016, the committee abandoned its efforts to communicate with Bob Dylan, as the committee was unable to contact Bob Dylan, the committee abandoned the Nobel Prize in Literature 2016, the committee abandoned the Nobel Prize in Literature, the",20.130450965489537,50.538807986684645,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",20.130450965489537,50.538807986684645,15.75,16.625
"Q: Danius declaró: «Actualmente no estamos haciendo nada. Llamé y envié correos electrónicos a su asistente más cercano y recibí contestaciones muy cordiales. Por el momento, eso es sin dudas suficiente».
A:","Danius declaró: «Actualmente no estamos haciendo nada. Llamé y envié correos electrónicos a su asistente más cercano y recibí contestaciones muy cordiales. Por el momento, eso es sin dudas suficiente».","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Danius declared: ""Currently, we are not doing anything. I called and sent emails to the closest person to Danius, and he declared that he is not doing anything. He declared that he is not doing anything. He declared that he is not doing anything. He declared that he is not doing anything. He declared that he is not doing anything. He declared that he is not doing anything. He declared that he is not doing anything. He declared that he is not doing anything. He",6.821390140814333,28.485654650850506,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",6.821390140814333,28.485654650850506,20.75,23.625
"Q: Con anterioridad, el director ejecutivo de Ring, Jamie Siminoff, mencionó que la compañía había iniciado a raíz de que el timbre de su entrada no podía oírse desde la tienda que tenía montada en su garaje.
A:","Con anterioridad, el director ejecutivo de Ring, Jamie Siminoff, mencionó que la compañía había iniciado a raíz de que el timbre de su entrada no podía oírse desde la tienda que tenía montada en su garaje.","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","In the past, the director of Ring, Jamie Siminoff, said that the company began after the doorbell of the house, which was in the past, the director of Ring, Jamie Siminoff, said that the doorbell, the doorbell, the doorbell, the doorbell, the doorbell, the doorbell, the doorbell, the doorbell, the doorbell, the doorbell, the doorbell, the doorbell, the doorbell, the doorbell",5.836431711187454,25.145760988074635,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",5.836431711187454,25.145760988074635,15.25,16.875
"Q: Él dijo que construyó un timbre wifi.
A:",Él dijo que construyó un timbre wifi.,"He built a WiFi door bell, he said.",He said that he built a wifi clock.,11.044795567078939,33.13961287740011,eng_Latn," He built a WiFi door bell, he said.",11.044795567078939,33.13961287740011,1.6171875,7.25
"Q: Siminoff declaró que las ventas se dispararon luego de su aparición en un episodio de Shark Tank en el año 2013, en el que el panel del programa televisivo se negó a financiar la puesta en marcha de la compañía.
A:","Siminoff declaró que las ventas se dispararon luego de su aparición en un episodio de Shark Tank en el año 2013, en el que el panel del programa televisivo se negó a financiar la puesta en marcha de la compañía.",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Siminoff stated that sales increased after the company's appearance on Shark Tank in 2013, when the company's sales increased after the company's appearance on Shark Tank in 2013, the company's sales increased after the company's appearance on Shark Tank in 2013, the company's sales increased after the company's appearance on Shark Tank in 2013, the company's sales increased after the company's appearance on Shark Tank in 20",2.973409554454791,25.149532609060465,eng_Latn, Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,2.973409554454791,25.149532609060465,21.875,23.0
"Q: Hacia fines del año 2017, Siminoff hizo una aparición en el canal de compras televisadas QVC.
A:","Hacia fines del año 2017, Siminoff hizo una aparición en el canal de compras televisadas QVC.","In late 2017, Siminoff appeared on shopping television channel QVC.","Towards the end of 2017, Siminoff appeared on the television shopping channel QVC, towards the end of 2017, Siminoff appeared on the television shopping channel QVC, towards the end of 2017, Siminoff appeared on the television shopping channel QVC, towards the end of 2017, Siminoff appeared on the television shopping channel QVC, towards the end of 2017, Simin",7.825969250885018,38.76491749017589,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",7.825969250885018,38.76491749017589,20.625,23.625
"Q: Ring también llegó a un acuerdo en el litigio con la compañía de seguridad de la competencia, ADT Corporation.
A:","Ring también llegó a un acuerdo en el litigio con la compañía de seguridad de la competencia, ADT Corporation.","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Ring also reached an agreement with ADT Corporation, which also reached an agreement with Ring, the company reached an agreement with ADT, Ring also reached an agreement with ADT, Ring also reached an agreement with ADT, Ring also reached an agreement with ADT, Ring also reached an agreement with ADT, Ring also reached an agreement with ADT, Ring also reached an agreement with ADT, Ring also reached an agreement with ADT, Ring also reached an agreement with ADT, Ring",2.0912688816031335,22.73141136276363,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",2.0912688816031335,22.73141136276363,15.0625,17.25
