prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.","Мы теперь у 4-м, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы, мы,",0.482211049975733,5.775276698995622,krc_Cyrl,,,
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","Согласно предупреждению доктора Эхуда Ура (Ehud Ur), профессора медицины в Университете Дэлхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.","Дуда У, профессия, врач, Дуда, У, профессия, Дуда, У, профессия, Дуда, У, профессия, Дуда, У, профессия, Дуда, У, профессия, Дуда, У, профессия, Дуда, У, профессия, Дуда, У, профессия, Дуда, У, профессия",0.5853439652165596,8.871411334321202,krc_Cyrl,,,
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.","Как некоторые другие эксперты, как он, как, как некоторые другие экспер, он, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как, как,",4.41702973502717,20.378272948979806,oss_Cyrl,,,
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской Академии, публично заявила во время передачи на шведской радиостанции Sveriges о том, что комитет, которому не удалось связаться с Бобом Диланом напрямую и сообщить ему, что он выиграл Нобелевскую премию по литературе за 2016 год, прекращает попытки выйти с ним на связь.","С на С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С, С,",0.5723153256294115,1.881668927022662,krc_Cyrl,,,
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".","Даниус сказал, что сейчас мы ничего не делают, и он сказал, что сейчас, когда он, Даниус, сказал, что сейчас, когда он, Дани, Дани, Дани, Дани, Дани, Дани, Дани, Дани, Дани, Дани, Дани, Дани, Дани, Дани, Дани, Дани, Дани, Дани, Дани, Дани, Дани, Дани",3.910441247676791,17.713498118666134,krc_Cyrl,,,
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.","В прошем, Симинов, CEO, Ринг, в прошем, Сим, Сим, Сим, Сим, Сим, Сим, Сим, Сим, Сим, Сим, Сим, Сим, Сим, Сим, Сим, Сим, Сим, Сим, Сим, Сим, Сим, Сим, Сим, Сим, Сим, Сим, Сим",1.2981871105685319,5.4432237038592275,krc_Cyrl,,,
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","Он сказал, что создал дверной звонок, работающий от WiFi.","Он построил WiFi-дверь, он сказал, что он построил WiFi-дверь, он сказал, что он построил WiFi-дверь, он сказал, что он построил WiFi-дверь, он сказал, что он построил WiFi-д, он, он, он, он, он, он, он, он, он, он, он, он, он, он, он, он, он, он,",1.6740069390952712,19.578638247713105,krc_Cyrl,,,
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"Симинофф сказал, что продажи выросли после его появления в выпуске шоу ""Shark Tank"" в 2013 году, где члены жюри отказались финансировать его стартап.","Симинов сказал, что продавки, симинов, в 2, Симинов, Симинов, Симинов, Симинов, Симинов, Симинов, Симинов, Симинов, Симинов, Симинов, Симинов, Симинов, Симинов, Симинов, Симинов, Симинов,",3.649963240704604,15.082545882689496,krc_Cyrl,,,
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.",В конце 2017 года Симинофф появился на торговом телеканале QVC.,"В конце 2017, Simmin, в 2017, Simmin, в 2, в 2, в 2, в 2, в 2, в 2, в 2, в 2, в 2, в 2, в 2, в 2, в 2, в 2, в 2, в 2, в 2, в 2, в 2, в 2",1.428863122599609,13.728957056422347,krc_Cyrl,,,
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.","Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.","Ринг также решал, что также, Ринг также решал, что, Ринг также решал, Ринг также решал, Ринг также решал, Ринг также решал, Ринг также решал, Ринг также решал, Ринг также решал, Ринг также решал, Ринг также решал, Ринг также решал, Ринг также решал, Ринг также решал, Ринг также решал, Ринг также решал",0.426878472907377,5.451845751770857,rus_Cyrl," Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.",0.426878472907377,5.451845751770857
"Q: While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.
A:","While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","Несмотря на то, что нашлась экспериментальная вакцина, способная снизить смертность от вируса Эбола, пока еще ни одно лекарство не продемонстрировало явного эффекта в лечении существующей инфекции.","Хотя одна эксперимент, в экспер, пока не, пока не, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока, пока",1.2197798070536228,11.161082039388285,krc_Cyrl,,,
"Q: One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.
A:","One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","Коктейль из антител ZMapp изначально показал многообещающие результаты в этой области, но официальные исследования показали, что он обладает меньшей пользой в предотвращении смерти, чем ожидалось ранее.","Одно, ZMapp, начит, начит, начит, начит, начит, начит, начит, начит, начит, начит, начит, начит, начит, начит, начит, начит, начит, начит, начит, начит, начит, начит, начит, начит, начит, начит, начит, начит, начит, начит, начит,",1.589020724534756,7.111355272114181,rus_Cyrl," Коктейль из антител ZMapp изначально показал многообещающие результаты в этой области, но официальные исследования показали, что он обладает меньшей пользой в предотвращении смерти, чем ожидалось ранее.",1.589020724534756,7.111355272114181
"Q: In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.
A:","In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.","В испытании PALM, ZMapp служил в качестве контрольного уровня, то есть учёные использовали его в качестве основы и сравнили с ним три других варианта лечения.","В PALP, ZM, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z, Z",2.0912688816031335,2.7278314806955706,krc_Cyrl,,,
"Q: USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.
A:",USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,Федерация гимнастики США поддерживает письмо Олимпийского комитета США и соглашается с абсолютной необходимостью создания безопасной среды для всех наших спортсменов.,"США Г Г США, поддерживающий США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США, США",0.8451753849055373,5.7029581341630635,krc_Cyrl,,,
"Q: We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.
A:","We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.","Мы согласны с заявлением USOC о том, что интересам наших спортсменов, клубов, а также их видов спорта, больше соответствует проведение реформ внутри нашей организации, а не аннулирование ее сертификации.","Мы согласно с США, что, согласно с США, мы согласно, что, согласно, что, согласно, что, согласно, что, согласно, что, согласно, что, согласно, что, согласно, что, согласно, что, согласно, что, согласно, что, согласно, что, согласно, что, согласно, что, согласно, что, согласно, что, согласно, что, соглас",1.3136313846844057,10.596588016331646,rus_Cyrl," Мы согласны с заявлением USOC о том, что интересам наших спортсменов, клубов, а также их видов спорта, больше соответствует проведение реформ внутри нашей организации, а не аннулирование ее сертификации.",1.3136313846844057,10.596588016331646
"Q: USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.
A:",USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,"USA Gymnastics поддерживает независимое расследование, которое бы могло пролить свет на то, каким образом насилие в таких масштабах, столь храбро описанных выжившими жертвами Ларри Наскара, могло продолжаться незамеченным так долго, и поддерживает все необходимые и уместные в данном случае изменения.","США Грамма, США, поддерживают, что США, Грамма, США, поддержива, США, Грамма, США, Грамма, США, Грамма, США, Грамма, США, Грамма, Грамма, США, Грамма, Грамма, Грамма, Грамма, Грамма, Грамма, Грамма, Грамма, Грамма, Грамма, Грамма",1.2187270330557123,9.190986192034742,krc_Cyrl,,,
"Q: USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.
A:","USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.","Федерация гимнастики США и Олимпийский комитет США имеют одинаковую цель — сделать гимнастику и другие виды спорта настолько безопасными для спортсменов, насколько это возможно, чтобы они могли стремиться к своим целям в безопасной, позитивной среде и были наделены всеми правами.","США Гей, и США, Гей, и, Гей, и, Гей, и, Гей, и, Гей, и, Гей, и, Гей, и, Гей, и, Гей, и, Гей, и, Гей, и, Гей, и, Гей, и, Гей, и, Гей, и, Гей, и, Гей, и, Гей, и, Гей,",0.6036973258707284,5.628717489034505,krc_Cyrl,,,
"Q: Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.
A:","Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.","В 1960-х гг. Бжезинский занимал должность советника при Джоне Ф. Кеннеди, затем в администрации Линдона Б. Джонсона.",В 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0.7291698644541256,0.9559831011646496,azb_Arab, ۱۹۶۰ اون ایللیین بویو، برژینسکی موشاویر عونوانیندا جان اف. کندی اوچون ایشلییب سونرا لیندون بی جانسون دولتینده ایشلمیشدیر.,0.0,0.0
"Q: During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.
A:","During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.","Во время выборов 1976 года он консультировал Картера по вопросам внешней политики. Затем с 1977 по 1981 год он работал советником по национальной безопасности, сменив на этом посту Генри Киссинджера.",В 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0.0,0.4280821917808219,azb_Arab, ۱۹۷۶ اینجی ایلین سئچیملر زامانی کارتره خارجی سیاست حوزهسینده موشاویره وئریب سونرا ۱۹۷۷-دن ۱۹۸۱-ه قدر هنری کیسینجرین یئرینه میللی امنیت موشاویری سیمتینده خیدمت ائلمیشدیر.,0.0,0.0
"Q: As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.
A:","As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.","Будучи советником по нацбезопасности, он помогал Картеру в мировой дипломатии, например, в заключении Кэмп-Дэвидских соглашений 1978 года, нормализации американо-китайских отношений в конце 1970-х годов, выработке политики в отношении Иранской революции, приведшей к кризису с заложниками в 1979 г., и вторжении СССР в Афганистан в 1979 году.","Нас, Нас, он, Нас, Нас, Нас, Нас, Нас, Нас, Нас, Нас, Нас, Нас, Нас, Нас, Нас, Нас, Нас, Нас, Нас, Нас, Нас, Нас, Нас, Нас, Нас, Нас, Нас, Нас, Нас, Нас, Нас, Нас, Нас",0.957956497517546,4.160901644244626,krc_Cyrl,,,
"Q: The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.
A:","The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.",Этот фильм с участием Райана Гослинга и Эммы Стоун получил номинации во всех главных категориях.,"Мульт, с фильм, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с, с,",0.426878472907377,4.314656008725101,krc_Cyrl,,,
