prompt,query,reference,generation_baseline,bleu_baseline,chrf_baseline,metricx_qe_baseline,metricx_baseline,commet_baseline
"Q: The crash site was located today and is so inaccessable that two policemen were dropped into the jungle in order to hike to the scene and seek survivors.
A: दुर्घटना स्थल का आज पता लगाया गया और वह इतना दुर्गम था कि दो पुलिसवालों को जंगल में उतरा गया ताकि वह स्थल तक पहुंच पाएं और जीवित लोगों की तलाश कर पाएं।

Q: Already reporting in English and Japanese, the global organization is launching Spanish, Italian, and Korean-language programs, for television, the web, and mobile devices.
A: जापानी और अंग्रेज़ी में पहले से यह रिपोर्ट की जा चुकी है कि टेलीविज़न, वेब और मोबाइल डिवाइसेस के लिए ग्लोबल ऑर्गनाइज़ेशन स्पेनिश, इटैलियन और कोरियन भाषा के प्रोग्राम्स शुरू कर रहा है.

Q: As well as a former Olympic and World champion, Saito was the All Japan Judo Federation training committee chairman at the time of his death.
A: साइतो भूतपूर्व ओलिंपिक और वर्ल्ड चैंपियन होने के साथ-साथ अपनी मृत्यु के समय ऑल जापान जूडो फ़ेडरेशन ट्रेनिंग कमेटी के अध्यक्ष भी थे.

Q: Unwanted murals or scribble is known as graffiti.
A: दिवालों पर अनचाहे चित्र या अस्पष्ट लिखावट को भित्तिचित्र के रूप में जाना जाता है.

Q: According to the story, his motivation was fame at any cost. The Ephesians, outraged, announced that Herostratus' name never be recorded.
A: कहानी के अनुसार, किसी भी कीमत पर उसकी प्रेरणा लोकप्रिय हुई. इफ़ेसियन्स ने गुस्से में यह घोषणा की थी कि हीरोस्ट्रैटस का नाम कभी-भी रिकॉर्ड नहीं किया जाएगा.

Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:"," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.", उन्होंने कहा “कि अब हमारे पास 4 महीने उम्र वाले चूहे हैं जिन्हें मधुमेह नहीं है जो मधुमेह के रोगी थे। ”,"""अब हम 4 महीने की उम्र के मास्टर्स को देखते हैं जो अब नहीं डाइबिटिक हैं जो अब डाइबिटिक थे,"" वह जोड़ते हैं.",3.1707499796910508,21.234450339848266,13.875,13.6875,0.255859375
"Q: Maintaining a healthy energy balance, practicing effective hydration habits, and understanding the various aspects of supplementation practices can help athletes improve their performance and increase their enjoyment of the sport.
A: एक स्वस्थ ऊर्जा संतुलन बनाए रखना, प्रभावी जलयोजन आदतें बनाना, और सप्लीमेंटेशन के विभिन्न पहलुओं को समझना एथलीटों को अपने प्रदर्शन को बेहतर बनाने और खेल का आनंद बढ़ाने में मदद कर सकता है.

Q: Felicia, once a Category 4 storm on the Saffir-Simpson Hurricane Scale, weakened to a tropical depression before dissipating Tuesday.
A: फ़ेलिशिया, एक बार सैफिर-सिम्पसन तूफ़ान पर श्रेणी 4 का तूफ़ान, मंगलवार को फैलने से पहले एक उष्णकटिबंधीय अवसाद के लिए कमज़ार हो गया था.

Q: Piquet Jr. crashed in the 2008 Singapore Grand Prix just after an early pit stop for Fernando Alonso, bringing out the safety car.
A: फ़र्नांडो अलोंसो के लिए एक शुरुआती पिट स्टॉप के बाद पिकेट जूनियर 2008 के सिंगापुर ग्रां प्री में दुर्घटनाग्रस्त हो गया।

Q: Turkish Airlines flies to 39 destinations in 30 African countries as of 2014.
A: तुर्की एयरलाइंस 2014 से 30 अफ़्रीकी देशों में 39 गंतव्यों के लिए उड़ान भरती है.

Q: Hostels cater primarily to young people – a typical guest is in their twenties – but you can often find older travellers there too.
A: होस्टल खास तौर पर युवा लोगों के लिए होते हैं. इनमें ज़्यादातर बीस साल की उम्र के लोग रुकते हैं. हालाँकि, आपको अक्सर यहाँ बड़ी उम्र के यात्री भी मिल सकते हैं.

Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:"," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days."," डॉ. एहुड उर, नोवा स्कोटिया के हैलिफ़ैक्स में डलहौज़ी विश्वविद्यालय में चिकित्सा के प्रोफ़ेसर और कनाडाई डायबिटीज़ एसोसिएशन के नैदानिक ​​और वैज्ञानिक विभाग के अध्यक्ष ने आगाह किया कि शोध अभी भी अपने शुरुआती दिनों में है.","डॉ. एहुद यूर, डॉक्टर और डेलहोसी यूनिवर्सिटी में हालिसोस्का नोवास्का के एम्स डिग्री अस्पताल के अस्पता�",3.822842224912823,14.244206949006925,15.625,16.5,-0.00189208984375
"Q: He went on to say, ""This case is serious. Rest assured that our system is working as well as it should.""
A: वह कहता चला गया, “यह मामला गंभीर है. इस बात की फ़िक्र न करें कि हमारा सिस्टम उम्मीद के मुताबिक काम कर रहा है.”

Q: These telescopes used a combination of two lenses to make distant objects appear both nearer and larger.
A: इन दूरबीनों ने दूर की वस्तुओं को नजदीक और बड़ा, दोनों दिखाई देने के लिए दो लेंसों के संयोजन का इस्तेमाल किया।

Q: Japanese judoka Hitoshi Saito, winner of two Olympic gold medals, has died at the age of 54.
A: दो ओलिम्पिक गोल्ड मेडल्स के विजेता जापानी जुडोका हितोशी साइतो का 54 साल की उम्र में निधन हो गया.

Q: China's GDP could be larger than the United States within two decades.
A: चीन की जीडीपी आने वाले दो दशकों मे अमेरिका की जीडीपी से ज्यादा हो सकती है।

Q: In some countries or types of stores there is at least one on-site restaurant, often a rather informal one with affordable prices.
A: कुछ देशों या कई तरह के स्टोर्स में कम से कम एक ऑन-साइट रेस्टोंरेंट है, जो किफ़ायती दामों के साथ अक्सर अनौपचारिक होता है.

Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:"," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes."," कुछ अन्य विशेषज्ञों की तरह, उन्हें इस बात पर संदेह है कि क्या मधुमेह को ठीक किया जा सकता है, यह देखते हुए कि इन निष्कर्षों की उन लोगों के लिए कोई प्रासंगिकता नहीं है जिन्हें पहले से ही टाइप 1 मधुमेह है.","जैसे कि कुछ अन्य विशेषज्ञों का मानना है, वह डायबिटीज को इसके बारे में ज्यादा जागरूक नहीं है, इसलिए यह पा�",4.59877372721734,21.718206464001398,14.1875,17.125,0.049560546875
"Q: Former U.S. Speaker of the House Newt Gingrich came in second with 32 percent.
A: न्यूट गिंगरिच सदन के पूर्व अमेरिकी वक्ता 32 प्रतिशत के साथ दूसरे स्थान पर आए.

Q: Since then, the Brazilian has featured in 53 matches for the club in all competitions and has scored 24 goals.
A: तब से, ब्राज़ील ने सभी प्रतियोगिताओं में क्लब के लिए 53 मैचों में भाग लिया और 24 गोल किए.

Q: Unless you are a diplomat, working overseas generally means that you will have to file income tax in the country you are based in.
A: जब तक आप विदेश में काम करने वाले डिप्लोमेट नहीं हों जिसका सामान्य अर्थ यह है कि आपको उस देश में इनकम टैक्स भरना होगा, जिसमें आप रहते हैं.

Q: MySpace is the third most popular website used in the United States and has 54 million profiles currently.
A: माइस्पेस संयुक्त राज्य अमेरिका में उपयोग की जाने वाली तीसरी सबसे लोकप्रिय वेबसाइट है और वर्तमान में इसपर 5.4 करोड़ प्रोफाइल हैं।

Q: The modern sport of fencing is played at many levels, from students learning at a university to professional and Olympic competition.
A: एक विश्वविद्यालय में पेशेवर और ओलंपिक प्रतियोगिता सीखने वाले छात्रों से तलवार बाज़ी का आधुनिक खेल कई स्तरों पर खेला जाता है.

Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:"," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him."," सोमवार को स्वीडिश अकादमी में साहित्य के लिए नोबेल समिति के स्थायी सचिव, सारा डेनियस, स्वीडन समिति में सेवरिज रेडियो पर एक रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा की, कि साहित्य में 2016 के नोबेल पुरस्कार जीतने को लेकर सीधे बॉब डायलन तक पहुँचने में असमर्थ होकर, अपने प्रयासों को छोड़ चुके थे.",मंगलवार को स्वीडन के नोबेल शिविर के लिथियों की राज्य कमेटी के परिसर के अध्यक्ष सारा डानियस ने स्वरीज रेडियो पर ए,2.4641621926288773,17.098363015522963,19.125,20.75,0.037109375
"Q: One of the most common problems when trying to convert a movie to DVD format is the overscan.
A: जब मूवी को डीवीडी प्रारूप में बदलने का प्रयास किया जाता है, तो ओवरस्कैन सबसे आम समस्याओं में से एक है।

Q: Although some scholars speculate that since the civilisation also existed in the basins of the now dried up Sarasvati River, it should be aptly called the Indus-Sarasvati Civilization, while some call it the Harappan Civilization after Harappa, the first of its sites to be excavated in the 1920s.
A: यद्यपि कुछ विद्वानों का अनुमान है कि चूंकि सभ्यता अब सूख चुकी सरस्वती नदी के घाटियों में विद्यमान थी, इसलिए इसे सिंधु-सरस्वती सभ्यता कहा जाना चाहिए, जबकि 1920 के दशक में हड़प्पा की पहली खुदाई के बाद से कुछ इसे हड़प्पा सभ्यता कहते हैं।

Q: Airlines that offer these include Air Canada, Delta Air Lines, Lufthansa for flights originating from the U.S. or Canada, and WestJet.
A: ये ऑफर देने वाली एयरलाइन में यूएस या कनाडा और वेस्टजेट से आने वाली उड़ानों के लिए एयर कनाडा, डेल्टा एयर लाइन्स, लुफ्थांसा शामिल हैं।

Q: These aren't very nimble so the trail has to take a long swerve around the Transantarctic Mountains to come onto the plateau.
A: इन पर बहुत फुर्ती से यात्रा नहीं की जा सकती, पहाड़ी मैदान तक आने के लिए ट्रांसअंटार्कटिक पर्वत के चारों ओर एक लंबा चक्कर लगाना पड़ता है.

Q: ""If it becomes commercial, we should have it. That is, there's no in-principle objection to nuclear energy"" Mr Costello said.
A: “यदि यह वाणिज्यिक हो जाता है, तो इसे हमारे पास होना चाहिए। श्री कोस्टेलो ने कहा कि परमाणु ऊर्जा पर कोई सैद्धांतिक आपत्ति नहीं है।”

Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:"," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough."""," डेनियस ने कहा, “फ़िलहाल हम कुछ नहीं कर रहे हैं. मैंने अपने साथ काम करने वाले लोगों को ईमेल भेजे हैं और उसने उनके फ्रेंडली जवाब भेजे हैं. अभी के लिए, बस इतना ही बताना चाहूँगा.”","डेनियस ने कहा, ""अब तक हम कुछ भी नहीं कर रहे हैं। मैंने उसके सबसे निकट सहयोगी को बुलाया और उसे बहुत उत्सुक र",12.307416209726894,25.467861550691843,13.5625,15.8125,0.51171875
"Q: At the time of the award, Atlanta schools had seen a large improvement on test scores.
A: पुरस्कार के समय, अटलांटा स्कूलों ने टेस्ट स्कोर में एक बड़ा सुधार देखा था.

Q: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.
A: तुर्की तीन और से समुद्र से घिरा हुआ है: पश्चिम में एजियन सागर से, उत्तर में काला सागर से और दक्षिण में भूमध्य सागर से |

Q: The first economic reforms were made under the leadership of Deng Xiaoping.
A: पहले आर्थिक सुधार डेंग के नेतृत्व में हुए थे

Q: There are a limited number permits reserved for walk-in requests available on a first come, first served basis.
A: यहाँ पहले आओ, पहले पाओ के आधार पर वॉक-इन अनुरोधों के लिए सीमित संख्या में परमिट रिज़र्व किए गए हैं.

Q: There are many theories to how Sanskrit came into existence. One of them is about an Aryan migration from the west into India who brought their language with them.
A: संस्कृत के अस्तित्व में आने के बारे में कई सिद्धांत हैं. उनमें से एक आर्यों के पश्चिम से भारत आने का सिद्धांत है कि वह अपने साथ अपनी भाषा लेकर आए थे.

Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:"," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage."," इससे पहले, रिंग के सीईओ, जेमी सिमिनॉफ ने बताया था कि कंपनी तब शुरू हुई जब उसके दरवाज़े की घंटी उसके गेराज में स्थित दुकान से सुनाई नहीं देती थी।","पिछले दिनों, रिंग के कैप्टन जेमी सिमिनोफ ने कहा कि कंपनी उनके गार्जेट में अपने दफ्तर के द्वार के बाहर नहीं सु",12.279767519765363,24.906074973066016,14.3125,14.5625,0.1298828125
"Q: They are separate from lingua francas, which are natural or organic languages that become dominant for one reason or another as means of communication between speakers of other languages.
A: वे सामान्य भाषा से अलग हैं, जो अन्य भाषा बोलने वालों के बीच संचार के साधन के रूप में प्राकृतिक या जैविक भाषाएँ हैं जो किसी कारण या अन्य वजह से हावी हो जाती हैं.

Q: However, they have a different kind of beauty and charm during winter, with many hill stations receiving healthy amounts of snow and offering activities such as skiing and snowboarding.
A: हालांकि, सर्दियों के दौरान उनका एक अलग तरह का सौंदर्य और आकर्षण होता है, जब कई हिल स्टेशन में अच्छी बर्फ होती है और वे स्कीइंग और स्नोबोर्डिंग जैसी गतिविधियों की पेशकश करते हैं।

Q: These requirements are designed to provide an organized migratory flow between both countries.
A: ये अनिवार्यताएँ दो देशों के बीच व्यवस्थित प्रवासी प्रवाह के लिए डिज़ाइन की गई हैं.

Q: Many exotic animals are hard to find, and parks sometimes have rules about taking photographs for commercial purposes.
A: कई अनोखे जानवरों को खोजना मुश्किल है और कभी-कभी पार्कों में पैसे कमाने के मकसद से फ़ोटो लेने के मामले में नियम लागू हो सकते हैं.

Q: If you want to fly around the world completely in the Southern Hemisphere, the choice of flights and destinations is limited due to the lack of transoceanic routes.
A: अगर आप पूरी तरह से दक्षिणी गोलार्ध में दुनिया भर में उड़ना चाहते हैं, तो ट्रांसओशनिक रूट की कमी के वजह से उड़ानों और डेस्टिनेशन के विकल्प सीमित हैं.

Q: He built a WiFi door bell, he said.
A:"," He built a WiFi door bell, he said."," उन्होंने (जेमी सिमिनॉफ़) कहा, कि उन्होंने एक वाईफ़ाई डोर बेल बनाई है.","वह एक वाईफाई द्वार बिल्ट किया, उसने कहा।",5.605743654355017,13.47555503034691,12.9375,14.0,0.5234375
"Q: In addition to the crushing ice, extreme weather conditions have been hampering rescue efforts.
A: तेज़ बर्फबारी के अलावा, मौसम की ख़राब स्थिति बचाव के प्रयासों में बाधा बन रही है।

Q: Charles was the first member of the British Royal Family to be awarded a degree.
A: चार्ल्स ब्रिटिश शाही परिवार के पहले सदस्य थे जिन्हें डिग्री प्रदान की गई थी.

Q: Humans can be affected by breathing affected water taken into the air by wind and waves.
A: हवा और तरंगों द्वारा हवा में मिले प्रभावित जल को साँस में लेने से मनुष्य प्रभावित हो सकता है.

Q: Tomb of Tutankhamun (KV62). KV62 may be the most famous of the tombs in the Valley, the scene of Howard Carter's 1922 discovery of the almost intact royal burial of the young king.
A: तूतनखामुन (KV62) का मकबरा। घाटी में KV62 कब्रों में सबसे प्रसिद्ध हो सकता है, हावर्ड कार्टर के 1922 के युवा राजा के लगभग बरकरार शाही दफन की खोज का दृश्य।

Q: Many of their writers have gone on to wield great influence on Jon Stewart and Stephen Colbert's news parody shows.
A: उनके कई लेखक जॉन स्टीवर्ट और स्टीफ़न कोलबर्ट के समाचार पैरोडी शो पर बहुत बड़ा प्रभाव डालते हैं.

Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:", Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.," सिमिनॉफ़ ने कहा कि 2013 में शार्क टैंक एपिसोड में उनके दिखने के बाद बिक्री में बढ़ोतरी हुई, जहाँ शो पैनल ने स्टार्टअप को पूँजी लगाने से मना कर दिया.",सिमिनोफ ने कहा कि उनकी 2013 में शार्क टेन की एपिसोड में विज्ञापन वित्तीय वित्तीय वित्तीय वित्तीय वित्तीय �,10.52781028994559,24.76579018802376,13.875,14.25,0.1494140625
"Q: The artistic event is also part of a campaign by the Bucharest City Hall that seeks to relaunch the image of the Romanian capital as a creative and colourful metropolis.
A: आर्टिस्टिक इवेंट (कलात्मक कार्यक्रम) भी बुखारेस्ट सिटी हॉल के कैंपेन का एक हिस्सा है जो रोमानिया की राजधानी की एक क्रिएटिव और रंगीन छवि को फिर से दिखाने की कोशिश है.

Q: Other scientists argue that these plants are very poisonous so it is unlikely that any dinosaur ate them, even though today the sloth and other animals like the parrot (a descendant of the dinosaurs) can eat poisonous leaves or fruit.
A: दूसरे वैज्ञानिकों का तर्क है कि ये पौधे काफ़ी जहरीले होते हैं इसलिए यह संभव ही नहीं है कि कोई डाइनासोर इन्हें खाएँ. भले ही आज स्लॉथ और तोते जैसे दूसरे जानवर (डाइनासोर के वंशज) जहरीले पत्ते या फल खा सकते हैं.

Q: With fewer REMs per night, this state in which you experience actual sleep and your body recovers becomes infrequent enough to become a problem.
A: हर रात कम आरईएम के साथ, वह अवस्था जिसमें आप वास्तविक नींद का अनुभव करते हैं और आपका शरीर एक समस्या बनने के लिए पर्याप्त रूप से असामान्य हो जाता है.

Q: Entering Southern Africa by car is an amazing way to see all the region's beauty as well as to get to places off the normal tourist routes.
A: कार से दक्षिणी अफ्रीका में प्रवेश करना सभी क्षेत्र की सुंदरता को देखने के साथ-साथ सामान्य पर्यटन मार्गों से हटकर अन्य स्थानों पर जाने का एक अद्भुत तरीका है।

Q: In developed countries today, providing deluxe bed and breakfasts has been raised to a sort of art-form.
A: आजकल विकसित देशों में, डीलक्स बिस्तर और नाश्ता प्रदान करना एक कला के रूप में विकसित हो गया है.

Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:"," In late 2017, Siminoff appeared on shopping television channel QVC."," 2017 के अंत में, सिमिनॉफ़ शॉपिंग टेलीविज़न चैनल QVC में दिखाई दिए.","2017 में अंतिम दिनों में, सिमिनोफ ने शॉपिंग टेलीविजन चैनल QVC पर नजर आया।",26.44894679721535,45.952364255044756,4.25,4.875,0.8671875
"Q: On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St James' Gate Brewery in Dublin, Ireland.
A: 24 सितंबर, 1759 को, आर्थर गिनीज़ ने डबलिन, आयरलैंड में सेंट जेम्स गेट ब्रूअरी के लिए 9,000 साल की लीज़ पर हस्ताक्षर किए.

Q: At its peak, Tropical Cyclone Gonu, named for a bag of palm leaves in the language of the Maldives, reached sustained winds of 240 kilometers an hour (149 miles per hour) .
A: अपने चरम पर, ट्रॉपिकल साइक्लोन गोनू, मालदीव की भाषा में ताड़ के पत्तों के एक बैग के नाम पर प्रति घंटे 240 किलोमीटर (149 मील प्रति घंटे) की लगातार हवाओं तक पहुंच गया.

Q: The pit is either heated with hot stones from a fire, or in some places geothermal heat makes areas of ground naturally hot.
A: गड्ढे को या तो आग द्वारा गर्म पत्थरों से गर्म किया जाता है या कुछ जगहों पर भूतापीय गर्मी स्वाभाविक रूप से ज़मीन के क्षेत्रों को गर्म बना देती है.

Q: Yesterday, the post office released their apology to citizens and the media after discovering that the boy had hidden more than 600 postal documents, including 429 New Year postcards, which weren't delivered to their intended recipients.
A: कल, डाकघर ने नागरिकों और मीडिया को अपनी माफ़ी जारी की, जिसमें पता चला कि लड़के ने नए साल के 429 पोस्टकार्ड सहित 600 से ज़्यादा डाक दस्तावेज़ों को छिपाया था, जो उनके इच्छित प्राप्तकर्ता को नहीं दिए गए थे.

Q: In many parts of the world, waving is a friendly gesture, indicating ""hello.""
A: दुनिया के कई हिस्सों में, हाथ का लहराना एक दोस्ताना इशारा है, जिसका तात्पर्य “हेल्लो” होता है।”

Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:"," Ring also settled a lawsuit with competing security company, the ADT Corporation.", रिंग ने अपनी प्रतिस्पर्धी कंपनी ADT कॉर्पोरेशन के साथ एक मुकदमा निपटाया है.,"रिंग ने अपने विपक्षी सुरक्षा कंपनी के साथ एक विचाराधीन विवाद को भी सुलझाया, जिसे एडीट कॉर्पोरेशन के नाम से �",17.681988003060095,39.81840061619902,6.5625,10.0625,0.62109375
