prompt,query,reference,generation_function_vector,bleu_function_vector,chrf_function_vector,function_vector_lang,reference_lang,bleu_function_vector_lang,chrf_function_vector_lang
"Q: ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.
A:","""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",उन्होंने कहा “कि अब हमारे पास 4 महीने उम्र वाले चूहे हैं जिन्हें मधुमेह नहीं है जो मधुमेह के रोगी थे। ”,"""अब हमारे पास 4 महीने के चूहे हैं जो अब गैर-मधुमेह वाले हैं, अब हमारे पास 4 महीने के चूहे हैं जो अब गैर-मधुमेह वाले हैं, अब हमारे पास 4 महीने के चूहे हैं जो अब गैर-मधुमेह वाले हैं, अब हमारे पास 4 महीने के चूहे हैं जो अब गैर-मधुमेह वाले हैं, अब हमारे पास 4 महीने के चूहे हैं जो अब गैर-मधुमेह वाले",5.709416803198972,29.850983450618113,hin_Deva, उन्होंने कहा “कि अब हमारे पास 4 महीने उम्र वाले चूहे हैं जिन्हें मधुमेह नहीं है जो मधुमेह के रोगी थे। ”,5.709416803198972,29.850983450618113
"Q: Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.
A:","Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","डॉ. एहुड उर, नोवा स्कोटिया के हैलिफ़ैक्स में डलहौज़ी विश्वविद्यालय में चिकित्सा के प्रोफ़ेसर और कनाडाई डायबिटीज़ एसोसिएशन के नैदानिक ​​और वैज्ञानिक विभाग के अध्यक्ष ने आगाह किया कि शोध अभी भी अपने शुरुआती दिनों में है.","डॉ. एहुद उर, डॉ. एहुद उर, डॉ. एहुद उर, डॉ. एहुद उर, डॉ. एहुद उर, डॉ. एहुद उर, डॉ. एहुद उर, डॉ. एहुद उर, डॉ. एहुद उर, डॉ. एहुद उर, डॉ. एहुद उर, डॉ. एहुद उर, डॉ. ए",3.308384782824108,5.650670340464227,bho_Deva," हैलीफ़ैक्स, नोवा स्कोशिया में डलहौज़ी विश्वविद्यालय में पढ़ावे वाला मेडिसीन के प्रोफ़ेसर डाक्टर इहद उर, जे कनाडा डाइबिटीज़ एसोसिएशन के क्लिनिकल अउर वैज्ञानिक विभाग के चेयरमैन हवन, बतइलन कि हई अनुसंधान अबहिंयो आपन प्राथमिक चरण में बाs.",1.9025914076899577,4.30841070167504
"Q: Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.
A:","Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","कुछ अन्य विशेषज्ञों की तरह, उन्हें इस बात पर संदेह है कि क्या मधुमेह को ठीक किया जा सकता है, यह देखते हुए कि इन निष्कर्षों की उन लोगों के लिए कोई प्रासंगिकता नहीं है जिन्हें पहले से ही टाइप 1 मधुमेह है.","कुछ अन्य विशेषज्ञों की तरह, वह संदेह करता है कि क्या मधुमेह को ठीक किया जा सकता है, यह ध्यान देते हुए कि इन निष्कर्षों का कोई भी प्रासंगिकता नहीं है, क्योंकि कुछ अन्य विशेषज्ञों की तरह, वह संदेह करता है कि क्या मधुमेह को ठीक किया जा सकता है, यह ध्यान देते हुए कि इन निष्कर्षों का कोई भी प्रासंगिकता नहीं है, क्योंकि कुछ अन्य विशेषज्ञों की तरह, यह ध्यान देते हुए कि इन निष्कर्षों का कोई भी प्रासंगिकता नहीं है,",25.939649420083782,50.89719273452159,hin_Deva," कुछ अन्य विशेषज्ञों की तरह, उन्हें इस बात पर संदेह है कि क्या मधुमेह को ठीक किया जा सकता है, यह देखते हुए कि इन निष्कर्षों की उन लोगों के लिए कोई प्रासंगिकता नहीं है जिन्हें पहले से ही टाइप 1 मधुमेह है.",25.939649420083782,50.89719273452159
"Q: On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
A:","On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","सोमवार को स्वीडिश अकादमी में साहित्य के लिए नोबेल समिति के स्थायी सचिव, सारा डेनियस, स्वीडन समिति में सेवरिज रेडियो पर एक रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा की, कि साहित्य में 2016 के नोबेल पुरस्कार जीतने को लेकर सीधे बॉब डायलन तक पहुँचने में असमर्थ होकर, अपने प्रयासों को छोड़ चुके थे.","सोमवार को, स्वीडिश अकादमी के नोबेल पुरस्कार की घोषणा करते समय, सोमवार को, स्वीडिश अकादमी ने सार्वजनिक रूप से घोषणा की कि नोबेल पुरस्कार की घोषणा करते समय, सोमवार को, स्वीडिश अकादमी ने सार्वजनिक रूप से घोषणा की कि सोमवार को, स्वीडिश अकादमी ने सार्वजनिक रूप से घोषणा की कि सोमवार को, स्वीडिश अकादमी ने सार्वजनिक रूप से घोषणा की कि सोमवार को, स्वीडिश अकादमी ने सार्वजनिक रूप से घोषणा की कि सोमवार को, स्वीड",10.335608067738198,28.314065137274646,hin_Deva," सोमवार को स्वीडिश अकादमी में साहित्य के लिए नोबेल समिति के स्थायी सचिव, सारा डेनियस, स्वीडन समिति में सेवरिज रेडियो पर एक रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा की, कि साहित्य में 2016 के नोबेल पुरस्कार जीतने को लेकर सीधे बॉब डायलन तक पहुँचने में असमर्थ होकर, अपने प्रयासों को छोड़ चुके थे.",10.335608067738198,28.314065137274646
"Q: Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""
A:","Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","डेनियस ने कहा, “फ़िलहाल हम कुछ नहीं कर रहे हैं. मैंने अपने साथ काम करने वाले लोगों को ईमेल भेजे हैं और उसने उनके फ्रेंडली जवाब भेजे हैं. अभी के लिए, बस इतना ही बताना चाहूँगा.”","डैनियस ने कहा, ""अभी हम कुछ नहीं कर रहे हैं। मैंने उसके सबसे करीबी सहयोगी को फोन किया है और ईमेल किया है। अभी के लिए, यह निश्चित रूप से पर्याप्त है।",17.93279839855066,32.24083981026641,hin_Deva," डेनियस ने कहा, “फ़िलहाल हम कुछ नहीं कर रहे हैं. मैंने अपने साथ काम करने वाले लोगों को ईमेल भेजे हैं और उसने उनके फ्रेंडली जवाब भेजे हैं. अभी के लिए, बस इतना ही बताना चाहूँगा.”",17.93279839855066,32.24083981026641
"Q: Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
A:","Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","इससे पहले, रिंग के सीईओ, जेमी सिमिनॉफ ने बताया था कि कंपनी तब शुरू हुई जब उसके दरवाज़े की घंटी उसके गेराज में स्थित दुकान से सुनाई नहीं देती थी।","पहले, रिंग के सीईओ, जेमी सिमोन्स ने कहा था कि कंपनी की शुरुआत तब हुई जब उनकी घंटी बजने पर, उनके गैरेज में उनकी दुकान से, उनकी घंटी बजने पर, उनकी शुरुआत तब हुई जब उनकी घंटी बजने पर, उनकी शुरुआत तब हुई जब उनकी घंटी बजने पर, उनकी शुरुआत तब हुई जब उनकी घंटी बजने पर, उनकी शुरुआत तब हुई जब उनकी घंटी बजने पर, उनकी शुरुआत तब हुई जब उनकी घंटी",14.037333287037354,34.42888605529523,hin_Deva," इससे पहले, रिंग के सीईओ, जेमी सिमिनॉफ ने बताया था कि कंपनी तब शुरू हुई जब उसके दरवाज़े की घंटी उसके गेराज में स्थित दुकान से सुनाई नहीं देती थी।",14.037333287037354,34.42888605529523
"Q: He built a WiFi door bell, he said.
A:","He built a WiFi door bell, he said.","उन्होंने (जेमी सिमिनॉफ़) कहा, कि उन्होंने एक वाईफ़ाई डोर बेल बनाई है.","उसने एक वाईफाई दरवाजा बनाया, उसने कहा।",4.861878379477922,15.83074852679544,hin_Deva," उन्होंने (जेमी सिमिनॉफ़) कहा, कि उन्होंने एक वाईफ़ाई डोर बेल बनाई है.",4.861878379477922,15.83074852679544
"Q: Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
A:",Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"सिमिनॉफ़ ने कहा कि 2013 में शार्क टैंक एपिसोड में उनके दिखने के बाद बिक्री में बढ़ोतरी हुई, जहाँ शो पैनल ने स्टार्टअप को पूँजी लगाने से मना कर दिया.","सिमोफ ने कहा कि 2013 में उनकी बिक्री में वृद्धि हुई, क्योंकि शो पैनल ने कहा कि 2013 में उनकी बिक्री में वृद्धि हुई, क्योंकि शो पैनल ने कहा कि 2013 में उनकी बिक्री में वृद्धि हुई, क्योंकि शो पैनल ने कहा कि 2013 में उनकी बिक्री में वृद्धि हुई, क्योंकि शो पैनल ने कहा कि 2013 में उनकी बिक्री में वृद्धि हुई, क्योंकि शो पैनल ने कहा कि 20",8.333976461513567,26.84241100862047,hin_Deva," सिमिनॉफ़ ने कहा कि 2013 में शार्क टैंक एपिसोड में उनके दिखने के बाद बिक्री में बढ़ोतरी हुई, जहाँ शो पैनल ने स्टार्टअप को पूँजी लगाने से मना कर दिया.",8.333976461513567,26.84241100862047
"Q: In late 2017, Siminoff appeared on shopping television channel QVC.
A:","In late 2017, Siminoff appeared on shopping television channel QVC.","2017 के अंत में, सिमिनॉफ़ शॉपिंग टेलीविज़न चैनल QVC में दिखाई दिए.","2017 के अंत में, सिमोफ ने खरीदारी के देर से 2017 में, सिमोफ ने खरीदारी के देर से दिखाई दिया, तो 2017 के अंत में, सिमोफ ने खरीदारी के देर से दिखाई दिया, तो 2017 के अंत में, सिमोफ ने खरीदारी के देर से दिखाई दिया, तो 2017 के अंत में, सिमोफ ने खरीदारी के देर से दिखाई दिया, तो",5.674090350276851,23.960059285744,mag_Deva," 2017 के अंत में, सिमिनॉफ़ शॉपिंग टेलीविज़न चैनल QVC पर देखाई देलई।",5.280336050951971,20.911809108353747
"Q: Ring also settled a lawsuit with competing security company, the ADT Corporation.
A:","Ring also settled a lawsuit with competing security company, the ADT Corporation.",रिंग ने अपनी प्रतिस्पर्धी कंपनी ADT कॉर्पोरेशन के साथ एक मुकदमा निपटाया है.,"रिंग ने भी एक मुकदमे का निपटारा किया, जो एक प्रतिद्वंद्वी सुरक्षा कंपनी के साथ भी हुआ था।",10.166724095023941,32.458891295934926,hin_Deva, रिंग ने अपनी प्रतिस्पर्धी कंपनी ADT कॉर्पोरेशन के साथ एक मुकदमा निपटाया है.,10.166724095023941,32.458891295934926
