prompt,query,reference,generation_ablation,bleu_ablation,chrf_ablation,ablation_lang,reference_lang,bleu_ablation_lang,chrf_ablation_lang,metricx_qe_ablation,metricx_ablation,commet_ablation
"Translate the following sentence from Japanese to English:
Q: 「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。
A:",「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",The sentence is: “We have a mouse that is 4 months old. It was diagnosed with diabetes when it was 4 months old. Now it is not.”,1.493369524819332,22.18374541466119,eng_Latn," ""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.",1.493369524819332,22.18374541466119,4.90625,6.15625,0.07763671875
"Translate the following sentence from Japanese to English:
Q: ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。
A:",ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","No. 1. The University of Alberta in Edmonton, Canada, is a world leader in the field of diabetes. The University of Alberta is a world leader in the field of diabetes. The University of Alberta is a world leader in the field of diabetes. The University of Alberta is a world leader in the field of diabetes. The University of Alberta is a world leader in the field of diabetes. The University of Alberta is a world leader in the field of diabetes. The University of Alberta is a",0.6482745092705706,19.27145814417779,eng_Latn," Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.",0.6482745092705706,19.27145814417779,24.375,25.0,-0.016845703125
"Translate the following sentence from Japanese to English:
Q: 他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。
A:",他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",The other experts are the same as mine. I am skeptical of the results of the studies. I have no doubt that I have type 2 diabetes.,4.31703191727636,30.054521649272797,eng_Latn," Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.",4.31703191727636,30.054521649272797,15.0625,14.4375,-0.00823974609375
"Translate the following sentence from Japanese to English:
Q: スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。
A:",スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",The Swedish Academy has announced that it will no longer award the Nobel Prize in Literature. The Academy has decided to stop the practice of awarding the prize to the author of the year’s best book. The Academy has also decided to stop the practice of awarding the prize to the author of the year’s best book. The Academy has also decided to stop the practice of awarding the prize to the author of the year’s best book. The Academy has also decided to stop the practice of awarding,5.393014021942506,26.591803311973578,eng_Latn," On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.",5.393014021942506,26.591803311973578,24.375,22.125,-0.0205078125
"Translate the following sentence from Japanese to English:
Q: ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。
A:",ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","Dania is not doing anything. She is just sitting in her room, watching TV, and reading. She is not doing anything. She is just sitting in her room, watching TV, and reading. She is not doing anything. She is just sitting in her room, watching TV, and reading. She is not doing anything. She is just sitting in her room, watching TV, and reading. She is not doing anything. She is just sitting in her room, watching TV, and reading",0.6217379583465574,15.257944381599446,eng_Latn," Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""",0.6217379583465574,15.257944381599446,25.0,25.0,-0.00634765625
"Translate the following sentence from Japanese to English:
Q: RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。
A:",RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","The CEO of Ring is James Smolin, who is the founder of the company. He is the founder of the company. He is the founder of the company. He is the founder of the company. He is the founder of the company. He is the founder of the company. He is the founder of the company. He is the founder of the company. He is the founder of the company. He is the founder of the company. He is the founder of the company. He is the",0.8499117561005306,14.623102186322528,eng_Latn," Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",0.8499117561005306,14.623102186322528,12.5625,16.875,-0.01324462890625
"Translate the following sentence from Japanese to English:
Q: 彼はWi-Fiで鳴るドアベルを作ったそうです。
A:",彼はWi-Fiで鳴るドアベルを作ったそうです。,"He built a WiFi door bell, he said.",He has built a doorbell that plays a doorbell.,7.768562846380176,34.745296553304186,eng_Latn," He built a WiFi door bell, he said.",7.768562846380176,34.745296553304186,10.625,10.3125,0.0174560546875
"Translate the following sentence from Japanese to English:
Q: シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。
A:",シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"The Japanese version of Shark Tank is a hit in Japan. The show was a success, but the Japanese version of Shark Tank was a failure.",5.705093314691302,22.870160522573933,eng_Latn, Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,5.705093314691302,22.870160522573933,21.25,21.75,-0.0050048828125
"Translate the following sentence from Japanese to English:
Q: 2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。
A:",2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。,"In late 2017, Siminoff appeared on shopping television channel QVC.",QVC is a television shopping channel.,6.866210821983635,36.45875233746197,eng_Latn," In late 2017, Siminoff appeared on shopping television channel QVC.",6.866210821983635,36.45875233746197,12.875,10.625,0.019287109375
"Translate the following sentence from Japanese to English:
Q: Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。
A:",Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。,"Ring also settled a lawsuit with competing security company, the ADT Corporation.","The Ring has been sued by ADT, a competitor, and the two companies have settled their differences.",5.595510806828872,28.625772256177683,eng_Latn," Ring also settled a lawsuit with competing security company, the ADT Corporation.",5.595510806828872,28.625772256177683,1.421875,1.7265625,0.859375
"Translate the following sentence from Japanese to English:
Q: 実験的なワクチンでエボラの死亡率が減るように見えますが、今までのところ、既存の感染症の治療に適しているとはっきり実証された薬剤はありません。
A:",実験的なワクチンでエボラの死亡率が減るように見えますが、今までのところ、既存の感染症の治療に適しているとはっきり実証された薬剤はありません。,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","The Japanese government has been conducting a clinical trial of a new vaccine against Ebola. The trial is designed to test the vaccine's efficacy. The trial is not yet complete, but the results are expected to be available in the near future. The results of the trial will be used to determine whether the vaccine is effective and safe. The results of the trial will be used to determine whether the vaccine is effective and safe. The results of the trial will be used to determine whether the vaccine is effective and safe",0.8997400221635432,19.224124411047587,eng_Latn," While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.",0.8997400221635432,19.224124411047587,24.875,24.75,-0.02099609375
